"","MGHBC6_5","MGHBC6_cro","MGHBC8_5","MGHBC8_cro","MGHBC11_5","MGHBC11_cro","MGHBC12_5","MGHBC12_cro","MGHBC13_5","MGHBC13_cro","MGHBC14_5","MGHBC14_cro","MGHBC16_5","MGHBC16_cro","MGHBC18_5","MGHBC18_cro","MGHBC21_5","MGHBC21_cro","MGHBC27_5","MGHBC27_cro","MGHBC28_5","MGHBC28_cro","MGHBC33_5","MGHBC33_cro","MGHBC38_5","MGHBC38_cro","MGHBC41_5","MGHBC41_cro","MGHBC44_5","MGHBC44_cro","MGHBC51_5","MGHBC51_cro","MGHBC52_5","MGHBC52_cro","MGHBC53_5","MGHBC53_cro","MGHBC55_5","MGHBC55_cro","MGHBC56_5","MGHBC56_cro","MGHBC57_5","MGHBC57_cro","MGHBC58_5","MGHBC58_cro","MGHBC60_5","MGHBC60_cro","MGHBC63_5","MGHBC63_cro","MGHBC64_5","MGHBC64_cro","MGHBC17ec_5","MGHBC17ec_cro","MGHBC5_5","MGHBC5_cro"
"POS_A","54640","71786","70775.00","71074.00","81828","94452","78405.00","88110.00","63748.00","87631.00","83532.00","78166.00","69751.00","68145.00","76893.00","74506.00","40846.00","31344.00","42703.00","50644.00","53342.00","63743.00","48414","35543","84018","83286","93430","63822","74760.00","75884.00","52597.00","54533.00","58163.00","66786.00","52432.00","50985.00","57165.00","53112.00","52905.00","56203.00","55349.00","57215.00","57625.00","49798.00","55594.00","47209.00","54100.00","43952.00","55397.00","38851.00","32903.00","46463.00","34236","33543"
"POS_B","8031","10145","9097.00","8921.00","10064","11690","9671.00","11198.00","8048.00","11127.00","10555.00","9924.00","8800.00","8740.00","10161.00","9662.00","5410.00","3960.00","5538.00","6376.00","6821.00","8221.00","6513","4565","10788","10829","12075","8371","9496.00","9801.00","15760.00","16458.00","17985.00","20259.00","15626.00","15279.00","17651.00","15946.00","16271.00","17650.00","16603.00","17382.00","18035.00","15303.00","16776.00","14431.00","16002.00","13539.00","16188.00","12323.00","10758.00","14513.00","10487","10725"
"POS_C","4195","5202","4710.00","4617.00","5052","5877","4697.00","5549.00","3922.00","5644.00","5320.00","5112.00","4338.00","4466.00","7024.00","6576.00","3646.00","2795.00","3935.00","4282.00","4792.00","5897.00","4443","3201","8122","7610","8533","5861","7037.00","6950.00","5051.00","5250.00","5431.00","6279.00","4841.00","4634.00","5481.00","4878.00","5056.00","5630.00","5042.00","5475.00","5463.00","4805.00","5222.00","4524.00","5054.00","4172.00","4924.00","3849.00","3333.00","4409.00","3264","3488"
"POS_D","472","540","492.00","459.00","501","614","545.00","589.00","412.00","607.00","571.00","518.00","476.00","472.00","576.00","526.00","292.00","220.00","346.00","362.00","344.00","413.00","339","244","589","604","627","464","525.00","542.00","1082.00","1099.00","1170.00","1348.00","1035.00","1011.00","1175.00","1056.00","1096.00","1185.00","1088.00","1178.00","1235.00","997.00","1133.00","949.00","1060.00","886.00","1096.00","745.00","614.00","950.00","661","704"
"POS_E","150","193","211.00","187.00","201","232","202.00","239.00","167.00","234.00","200.00","188.00","174.00","185.00","239.00","202.00","101.00","67.00","99.00","142.00","125.00","121.00","142","93","224","189","233","166","182.00","190.00","284.00","258.00","297.00","300.00","228.00","247.00","267.00","205.00","257.00","284.00","267.00","299.00","284.00","233.00","276.00","227.00","262.00","182.00","245.00","200.00","154.00","215.00","181","169"
"POS_F","55","82","70.00","41.00","87","87","78.00","76.00","81.00","110.00","74.00","55.00","64.00","66.00","113.00","124.00","49.00","44.00","59.00","75.00","68.00","80.00","77","45","83","75","121","73","86.00","88.00","79.00","88.00","84.00","85.00","79.00","69.00","82.00","79.00","79.00","68.00","86.00","103.00","97.00","61.00","77.00","80.00","66.00","68.00","71.00","63.00","46.00","55.00","47","50"
"NEG_A","2","5","1.00","1.00","1","4","1.00","1.00","1.00","1.00","1.00","1.00","2.00","1.00","24.00","20.00","4.00","1.00","1.00","2.00","6.00","5.00","7","5","5","1","3","4","12.00","4.00","2.00","3.00","4.00","7.00","1.00","1.00","2.00","1.00","12.00","8.00","3.00","2.00","2.00","2.00","2.00","2.00","4.00","2.00","6.00","1.00","3.00","1.00","3","1"
"NEG_B","3","3","3.00","1.00","3","1","2.00","1.00","2.00","1.00","1.00","1.00","1.00","3.00","7.00","10.00","5.00","1.00","6.00","1.00","4.00","5.00","8","5","6","1","12","1","10.00","6.00","4.00","3.00","9.00","4.00","4.00","6.00","6.00","7.00","8.00","7.00","4.00","4.00","5.00","8.00","3.00","3.00","6.00","1.00","5.00","3.00","2.00","1.00","3","4"
"NEG_C","4","5","1.00","2.00","2","4","1.00","1.00","1.00","1.00","1.00","1.00","2.00","2.00","7.00","11.00","4.00","5.00","3.00","1.00","6.00","5.00","9","1","5","1","10","5","11.00","6.00","5.00","4.00","8.00","6.00","6.00","3.00","3.00","6.00","4.00","6.00","7.00","6.00","6.00","4.00","6.00","11.00","4.00","2.00","10.00","4.00","2.00","3.00","4","3"
"NEG_D","3","1","1.00","1.00","2","1","1.00","1.00","1.00","1.00","1.00","1.00","1.00","2.00","6.00","6.00","1.00","2.00","3.00","1.00","2.00","2.00","3","1","4","1","4","4","5.00","5.00","2.00","3.00","2.00","5.00","4.00","3.00","4.00","5.00","5.00","1.00","3.00","6.00","2.00","1.00","3.00","5.00","4.00","2.00","3.00","3.00","2.00","1.00","2","4"
