,MGHBC4_5,MGHBC4_cz,MGHBC4_cro,MGHBC4_fep,MGHBC4_atm,MGHBC4_tzp,MGHBC4_etp,MGHBC4_mem,MGHBC15_5,MGHBC15_cz,MGHBC15_cro,MGHBC15_fep,MGHBC15_atm,MGHBC15_tzp,MGHBC15_etp,MGHBC15_mem,MGHBC19_5,MGHBC19_cz,MGHBC19_cro,MGHBC19_fep,MGHBC19_atm,MGHBC19_tzp,MGHBC19_etp,MGHBC19_mem,MGHBC23_5,MGHBC23_cz,MGHBC23_cro,MGHBC23_fep,MGHBC23_atm,MGHBC23_tzp,MGHBC23_etp,MGHBC23_mem,MGHBC25_5,MGHBC25_cz,MGHBC25_cro,MGHBC25_fep,MGHBC25_atm,MGHBC25_tzp,MGHBC25_etp,MGHBC25_mem,MGHBC34_5,MGHBC34_cz,MGHBC34_cro,MGHBC34_fep,MGHBC34_atm,MGHBC34_tzp,MGHBC34_etp,MGHBC34_mem,MGHBC35_5,MGHBC35_cz,MGHBC35_cro,MGHBC35_fep,MGHBC35_atm,MGHBC35_tzp,MGHBC35_etp,MGHBC35_mem,MGHBC29_5,MGHBC29_cz,MGHBC29_cro,MGHBC29_fep,MGHBC29_atm,MGHBC29_tzp,MGHBC29_etp,MGHBC29_mem,MGHBC32_5,MGHBC32_cz,MGHBC32_cro,MGHBC32_fep,MGHBC32_atm,MGHBC32_tzp,MGHBC32_etp,MGHBC32_mem,MGHBC26_5,MGHBC26_cz,MGHBC26_cro,MGHBC26_fep,MGHBC26_atm,MGHBC26_tzp,MGHBC26_etp,MGHBC26_mem,MGHBC47_5,MGHBC47_cz,MGHBC47_cro,MGHBC47_fep,MGHBC47_atm,MGHBC47_tzp,MGHBC47_etp,MGHBC47_mem,MGHBC50_5,MGHBC50_cz,MGHBC50_cro,MGHBC50_fep,MGHBC50_atm,MGHBC50_tzp,MGHBC50_etp,MGHBC50_mem,MGHBC48_5,MGHBC48_cz,MGHBC48_cro,MGHBC48_fep,MGHBC48_atm,MGHBC48_tzp,MGHBC48_etp,MGHBC48_mem,MGHBC61_5,MGHBC61_cz,MGHBC61_cro,MGHBC61_fep,MGHBC61_atm,MGHBC61_tzp,MGHBC61_etp,MGHBC61_mem,MGHBC62_5,MGHBC62_cz,MGHBC62_cro,MGHBC62_fep,MGHBC62_atm,MGHBC62_tzp,MGHBC62_etp,MGHBC62_mem,MGHBC17kp_5,MGHBC17kp_cz,MGHBC17kp_cro,MGHBC17kp_fep,MGHBC17kp_atm,MGHBC17kp_tzp,MGHBC17kp_etp,MGHBC17kp_mem
POS_A,77595,68902,78709,67302,72986,63583,68789,74736,74223,62839,70725,70651,59558,57780,68414,81345,58272,63448,60669,49544,54053,60888,68289,57501,53377,52841,43723,58841,31362,38708,27221,43059,44155,73919,64029,75355,62543,76452,69969,62644,44910,43466,18757,10923,41303,8674,39235,39213,58576,63826,57193,55255,53752,69548,58905,65693,83560,68028,82876,74207,80678,77613,71207,66793,84833,71582,68903,75438,19557,52929,43358,60107,80613,70165,68393,66755,61802,61611,84786,67265,72878,81380,81967,80860,75327,88058,82437,67973,44267,48121,50480,51592,49134,28156,39015,41547,50027,45128,44006,52622,51300,51313,54120,42154,54153,60518,55763,57568,46414,55998,45777,54287,39417,54713,32970,49510,63235,59195,39953,50375,56834,44412,62018,53861,49053,49915,35081,46724
POS_B,9536,8632,10077,8469,9120,7899,8719,9337,8663,7540,8301,8225,6948,6810,8184,9994,7626,8664,8095,6830,6907,8278,8991,7873,7049,7046,5839,7868,4182,5143,3591,5870,14528,9336,7856,9446,7921,9065,8671,7969,5795,5774,2301,1477,5406,1135,5193,5270,7634,8149,7359,6956,7074,8956,7809,8673,11131,9206,11052,10095,10777,10737,9551,8898,11067,9423,8928,9677,2553,6980,6342,7864,10671,9413,9068,9069,8485,8188,11335,9066,10137,11186,11459,11073,10695,12154,11506,9313,13106,14813,15602,15760,14528,8787,12202,12712,14918,13755,13864,16296,15530,15264,16729,12840,16089,18075,17066,17213,14103,16534,13953,16002,12883,17219,11640,15210,18797,18035,13247,15039,17209,13998,18879,16104,15023,14939,11871,14889
POS_C,5057,4514,5316,4190,4692,4056,4370,4765,4457,4020,4361,4428,3728,3607,4441,5254,5357,5970,5595,4752,4933,5800,6290,5683,4790,5009,3980,5513,2844,3542,2422,4084,4707,6745,5764,6857,5582,6881,6387,5923,4075,3939,1595,989,3781,771,3766,3592,5319,5980,4998,4733,4584,6379,5396,5924,7456,6415,7585,6874,7211,7407,6464,6081,7883,6914,6245,6919,1742,5074,4911,5769,7676,6517,6364,6204,5975,5862,7962,6304,7105,7691,8123,7791,7486,8344,8019,6621,4065,4582,4880,4815,4568,2751,3811,3821,4664,4365,4327,5072,4720,4778,5088,3910,4920,5665,5001,5186,4238,5082,4178,4910,4026,5126,3650,4716,5734,5393,4173,4654,5307,4423,5613,4878,4647,4616,3741,4652
POS_D,513,474,490,444,478,397,457,513,458,397,432,416,358,370,462,491,465,486,447,351,397,449,464,452,424,411,288,444,240,300,190,309,935,510,443,552,436,493,535,448,337,336,149,81,301,63,309,297,440,465,406,401,391,494,453,514,568,444,608,533,605,582,503,492,601,521,512,507,142,393,347,399,601,472,404,522,488,455,579,461,525,537,652,611,571,651,656,501,932,988,1121,1074,1015,632,814,787,1014,915,899,1042,1082,1063,1094,792,1090,1202,1092,1083,906,1071,847,1013,824,1107,728,972,1269,1222,805,980,1088,880,1234,1055,897,954,703,913
POS_E,189,158,204,167,170,166,189,193,180,166,158,173,154,154,155,213,152,158,140,111,130,138,168,134,124,126,109,151,75,105,84,101,252,202,187,196,189,166,156,134,157,132,72,34,126,39,109,104,146,179,160,152,148,200,153,175,203,171,203,175,193,210,179,176,214,187,148,171,42,127,108,149,216,168,174,162,155,153,199,165,191,209,232,192,184,204,234,196,222,222,208,265,235,138,182,210,261,244,182,272,232,250,290,189,260,295,255,267,188,256,199,243,211,273,168,217,283,278,195,230,291,227,289,232,239,248,165,253
POS_F,70,62,80,61,62,56,54,79,62,56,64,68,47,48,72,58,65,88,88,58,64,92,88,51,75,86,63,72,47,59,61,55,62,93,107,96,87,77,118,100,80,76,31,16,59,14,56,52,105,93,114,98,102,104,118,123,92,71,89,86,96,107,98,79,100,86,73,74,19,46,57,54,97,89,79,80,84,72,106,79,79,85,100,91,88,116,100,77,64,77,86,82,72,47,58,82,79,57,58,75,85,72,64,62,71,67,70,70,54,65,64,82,52,81,43,68,66,86,52,76,61,52,77,63,63,56,43,40
NEG_A,1,3,1,2,1,2,1,4,3,6,4,11,2,5,1,2,2,1,1,2,1,1,1,1,3,1,3,1,1,2,1,3,17,26,31,17,23,3,2,2,34,24,7,14,22,12,2,15,11,7,13,5,4,10,1,5,2,1,1,5,1,2,3,4,1,2,1,1,1,2,1,2,1,1,3,1,2,2,3,2,4,2,4,3,2,2,3,2,2,2,2,5,3,6,3,2,2,2,1,3,7,4,2,1,3,3,2,8,1,3,2,1,2,2,1,1,2,2,4,5,3,2,4,3,1,1,6,3
NEG_B,3,3,1,5,5,3,1,2,4,2,1,2,6,1,1,2,5,4,1,3,4,4,6,4,4,2,1,1,2,2,1,1,7,7,3,3,7,5,7,3,9,8,3,2,5,3,4,7,5,8,13,12,12,13,3,14,9,4,11,2,2,2,1,6,4,1,4,2,2,1,1,4,7,4,7,7,5,5,5,1,5,5,9,5,5,7,1,9,5,7,3,3,4,2,3,6,14,14,13,8,19,15,16,7,5,4,2,7,2,4,2,1,3,6,1,2,6,8,7,3,4,6,4,4,3,1,4,7
NEG_C,9,1,2,5,4,2,1,9,5,4,5,6,1,3,1,1,10,8,1,3,1,4,4,4,6,4,4,3,3,3,2,5,4,7,9,6,8,6,6,11,6,9,4,1,9,1,2,15,13,9,6,13,13,13,3,21,7,8,7,10,10,12,5,12,8,5,1,3,1,2,1,5,7,10,5,7,2,6,2,2,6,8,13,8,5,8,7,9,11,10,11,12,6,5,10,11,16,19,6,13,23,26,20,20,10,8,7,3,5,5,9,1,7,8,1,2,7,14,4,3,5,5,8,11,2,9,1,2
NEG_D,8,3,1,1,2,4,1,4,1,3,1,3,1,2,2,2,4,2,1,2,1,1,3,3,2,3,2,4,1,1,1,5,5,1,5,4,5,3,5,1,11,3,1,1,8,1,7,17,11,9,8,10,13,10,2,15,5,4,10,3,4,4,5,11,6,1,3,2,2,4,1,1,6,5,6,8,2,3,4,2,7,8,5,6,2,4,4,12,9,6,6,6,3,4,4,5,13,14,15,7,11,15,11,11,1,7,4,8,2,2,4,5,4,6,2,2,3,3,2,4,3,1,3,3,3,4,3,3
