,MGHBC4_5,MGHBC4_cz,MGHBC4_cro,MGHBC4_fep,MGHBC4_atm,MGHBC4_tzp,MGHBC4_etp,MGHBC4_mem,MGHBC15_5,MGHBC15_cz,MGHBC15_cro,MGHBC15_fep,MGHBC15_atm,MGHBC15_tzp,MGHBC15_etp,MGHBC15_mem,MGHBC19_5,MGHBC19_cz,MGHBC19_cro,MGHBC19_fep,MGHBC19_atm,MGHBC19_tzp,MGHBC19_etp,MGHBC19_mem,MGHBC23_5,MGHBC23_cz,MGHBC23_cro,MGHBC23_fep,MGHBC23_atm,MGHBC23_tzp,MGHBC23_etp,MGHBC23_mem,MGHBC25_5,MGHBC25_cz,MGHBC25_cro,MGHBC25_fep,MGHBC25_atm,MGHBC25_tzp,MGHBC25_etp,MGHBC25_mem,MGHBC34_5,MGHBC34_cz,MGHBC34_cro,MGHBC34_fep,MGHBC34_atm,MGHBC34_tzp,MGHBC34_etp,MGHBC34_mem,MGHBC35_5,MGHBC35_cz,MGHBC35_cro,MGHBC35_fep,MGHBC35_atm,MGHBC35_tzp,MGHBC35_etp,MGHBC35_mem,MGHBC29_5,MGHBC29_cz,MGHBC29_cro,MGHBC29_fep,MGHBC29_atm,MGHBC29_tzp,MGHBC29_etp,MGHBC29_mem,MGHBC32_5,MGHBC32_cz,MGHBC32_cro,MGHBC32_fep,MGHBC32_atm,MGHBC32_tzp,MGHBC32_etp,MGHBC32_mem,MGHBC26_5,MGHBC26_cz,MGHBC26_cro,MGHBC26_fep,MGHBC26_atm,MGHBC26_tzp,MGHBC26_etp,MGHBC26_mem,MGHBC47_5,MGHBC47_cz,MGHBC47_cro,MGHBC47_fep,MGHBC47_atm,MGHBC47_tzp,MGHBC47_etp,MGHBC47_mem,MGHBC50_5,MGHBC50_cz,MGHBC50_cro,MGHBC50_fep,MGHBC50_atm,MGHBC50_tzp,MGHBC50_etp,MGHBC50_mem,MGHBC48_5,MGHBC48_cz,MGHBC48_cro,MGHBC48_fep,MGHBC48_atm,MGHBC48_tzp,MGHBC48_etp,MGHBC48_mem,MGHBC61_5,MGHBC61_cz,MGHBC61_cro,MGHBC61_fep,MGHBC61_atm,MGHBC61_tzp,MGHBC61_etp,MGHBC61_mem,MGHBC62_5,MGHBC62_cz,MGHBC62_cro,MGHBC62_fep,MGHBC62_atm,MGHBC62_tzp,MGHBC62_etp,MGHBC62_mem,MGHBC17kp_5,MGHBC17kp_cz,MGHBC17kp_cro,MGHBC17kp_fep,MGHBC17kp_atm,MGHBC17kp_tzp,MGHBC17kp_etp,MGHBC17kp_mem
NEG_E,2,1,4,1,1,2,1,1,21,24,24,33,17,18,1,4,2,1,1,4,2,1,1,3,1,1,1,2,2,1,1,1,62,94,68,112,93,4,9,6,148,120,43,31,79,28,13,36,10,9,12,5,2,7,1,9,1,1,2,1,3,1,1,2,1,1,1,1,1,1,1,1,5,1,2,3,5,1,1,1,4,2,1,1,1,1,1,3,5,2,4,2,4,1,1,2,4,4,5,4,2,1,1,3,5,3,5,1,1,4,4,1,2,4,1,1,3,2,1,3,3,4,2,1,1,1,2,1
NEG_F,5,3,3,7,3,3,1,8,2,2,1,2,1,2,5,1,9,4,3,2,2,2,4,2,7,4,1,1,2,2,3,3,5,3,6,6,11,1,4,4,14,11,5,2,21,2,9,13,16,14,24,22,12,16,5,25,15,10,6,7,4,9,8,11,7,2,1,3,3,3,1,2,8,3,8,6,3,9,5,2,12,9,3,9,8,9,5,9,10,8,6,8,9,4,5,4,5,13,2,3,7,9,9,9,5,6,4,9,4,6,1,7,6,8,1,6,3,2,1,10,6,3,6,7,4,4,2,6
wzi_1,6,6,7,6,4,7,1,6,5,3,1,3,1,2,1,1,8,1,1,2,3,2,2,3,6,5,1,4,3,5,3,4,8,8,8,8,5,3,6,7,11,8,3,5,3,1,16,19,11,14,25,21,10,22,5,14,10,5,6,12,6,5,4,18,9,2,6,5,1,3,1,3,10,7,8,6,3,3,1,3,11,11,11,10,5,10,7,5,9,3,4,10,8,4,3,8,5,10,7,6,12,14,4,18,4,8,6,11,1,6,3,7,4,8,2,1,4,5,4,6,9,3,5,5,5,7,1,7
wzy_1,4,5,3,3,3,4,2,6,10,16,5,8,6,10,1,1,4,4,3,4,1,1,4,2,3,1,1,1,1,5,2,3,24,18,24,20,28,2,7,6,27,31,12,10,22,9,3,13,17,9,17,10,5,25,2,9,5,2,2,4,4,3,2,5,4,4,1,1,1,1,2,1,5,4,3,3,5,3,2,2,7,4,2,5,3,2,3,4,7,2,2,4,3,3,4,2,5,4,6,1,4,1,2,3,3,2,1,6,1,3,2,1,2,5,3,1,2,6,2,1,2,4,3,2,1,3,2,6
wzi_2,12,24,14,14,9,13,5,12,3660,3295,3474,4162,2093,2715,28,483,16,8,5,2,3,6,2,4,10,6,7,8,1,7,4,3,12,11,15,10,12,2,8,5,27,34,15,11,19,7,24,25,34,35,31,42,22,45,10,44,24,12,20,12,18,16,9,22,1724,259,89,200,33,88,21,66,38,33,18,25,17,22,12,10,32,26,18,17,11,10,7,18,43,22,14,22,14,8,10,14,19,27,20,12,24,22,20,40,144,91,51,65,24,71,12,36,12,9,1,8,3,9,4,10,17,6,9,10,11,12,1,8
wzy_2,19,19,8,16,9,21,13,16,30,18,19,26,19,17,31,17,52,48,55,51,31,42,44,43,45,46,39,42,25,40,29,38,31,68,50,55,60,48,63,54,43,34,20,18,44,11,49,49,80,64,61,67,56,87,65,80,45,29,65,40,46,36,57,32,51,42,39,46,6,32,19,27,46,34,44,28,51,42,39,37,43,34,37,35,46,38,35,32,30,19,32,47,32,15,21,17,26,31,22,27,31,31,27,28,23,34,28,28,20,35,12,22,18,24,5,18,28,34,17,30,37,17,22,16,25,27,17,15
CRE2_KPC_0.95,1,6,6,10,3,5,1,10,2,3,2,3,8,2,1,3,6,6,6,4,7,7,9,7,5,5,4,7,1,1,3,7,12,18,14,10,12,4,10,5,14,6,1,2,8,4,9,13,18,20,13,16,11,17,8,24,12,8,10,8,9,9,4,10,11,6,3,9,2,2,2,3,12,5,1,4,9,6,5,4,8,8,11,10,10,6,5,15,17,5,14,14,15,11,7,13,70164,63422,60188,28667,62440,68560,43653,27395,10,9,7,12,3,6,7,7,3,7,2,9,5,9,4,9,8,9,7,8,6,11,5,9
CRE2_NDM_0.95,7,7,5,8,3,5,1,5,4,6,2,3,6,2,1,5,1,2,2,1,1,2,3,3,5,4,4,2,2,5,3,4,4,10,6,11,6,2,5,5,11,11,5,3,8,3,10,14,11,17,10,11,16,23,1,17,11,4,6,8,4,7,3,12,4,5,3,2,4,2,3,2,7,2,4,8,4,3,4,3,8,5,10,13,4,10,10,6,16,7,10,7,8,12,6,10,7,12,11,10,13,7,10,13,5,5,8,7,2,5,2,5,6,6,4,3,4,4,3,5,6,8,10,3,2,10,1,5
CRE2_OXA48_0.95,2,13,6,3,2,1,3,8,1,6,3,10,3,2,1,1,3,1,1,2,4,6,4,3,2,2,4,4,2,6,3,4,8,5,2,6,10,6,5,4,3,16,5,4,15,3,6,17,2,10,10,10,12,10,1,17,9,4,5,5,8,8,9,11,5,7,2,3,1,2,3,1,9,8,3,2,3,5,1,1,6,4,7,4,4,5,6,9,9,10,10,6,9,8,3,7,18,13,12,10,23,19,15,14,4,5,3,4,4,5,4,7,1,4,2,2,4,8,4,3,3,4,3,3,3,2,2,3
CRE2_CTXM15_0.95,3,3,3,1,2,1,1,2,119801,115209,113691,166543,66527,89559,465,8280,1,2,2,1,3,2,1,1,1,1,2,2,3,3,1,2,96986,93461,73645,90148,82019,2770,3595,5916,114405,99331,35579,25085,56865,24283,9791,24379,19,26,13,15,18,23,4,8,4,3,3,1,1,1,1,3,1,1,3,1,1,1,2,1,2,1,3,4,1,2,2,3,6,2,2,1,2,2,4,2,6,4,5,4,3,3,1,3,7,8,5,1,5,4,6,4,2,6,2,5,3,3,4,2,2,3,3,3,2,3,2,3,5,4,4,4,5,5,3,3
CRE2_IMP_1_0.95,2,1,1,4,1,3,1,5,6,5,9,7,1,8,1,1,2,1,3,2,2,1,1,1,2,1,2,1,1,3,4,2,21,28,29,24,22,1,3,3,46,27,14,9,29,11,10,9,8,12,10,10,3,14,3,11,6,1,1,1,1,2,1,3,1,2,1,2,1,1,1,1,3,1,2,1,3,1,3,2,12,1,4,3,3,3,2,3,4,1,1,4,1,1,5,1,1,2,6,4,4,6,4,3,8,5,2,5,1,2,2,1,3,2,2,2,7,4,1,3,9,6,4,7,1,4,2,2
CRE2_IMP_3_8_0.95,13,14,6,16,10,9,13,13,18,20,18,18,16,15,25,17,28,34,37,33,25,33,44,19,38,43,22,24,16,36,26,33,28,61,58,53,72,51,66,41,39,39,16,16,28,7,46,34,59,54,77,86,67,80,86,69,35,23,40,29,30,38,32,28,40,23,31,18,4,17,21,24,44,33,38,29,34,30,32,25,38,20,20,27,15,30,27,29,33,26,17,22,20,16,19,13,15,25,22,28,22,23,22,15,20,19,22,16,17,23,24,12,14,20,7,17,23,18,8,19,22,17,18,17,16,16,10,14
CRE2_IMP_2_4_0.95,5,2,7,4,3,2,1,5,4,2,5,1,4,3,1,4,2,2,3,2,2,1,3,1,2,1,2,1,2,1,3,3,8,4,6,5,6,4,6,2,9,11,2,3,7,1,3,9,7,12,7,8,7,4,3,13,7,6,6,6,4,5,4,6,4,1,4,3,1,2,5,1,8,10,3,4,3,2,2,3,3,6,7,8,5,8,8,9,16,2,7,13,10,8,10,16,18,15,24,12,17,21,9,16,8,5,8,4,1,5,3,3,9,2,4,6,8,6,2,5,5,4,9,4,2,4,2,6
CRE2_IMP_5_0.95,9,12,12,15,7,6,13,19,17,13,12,24,20,16,19,26,25,31,31,21,27,18,29,17,43,37,18,27,20,29,28,33,14,55,52,42,42,32,62,37,44,31,20,14,30,7,31,27,73,54,69,70,59,48,63,61,39,27,45,33,35,24,30,30,37,20,27,24,4,16,19,16,40,25,27,29,25,23,32,23,17,27,22,26,13,19,26,15,22,20,21,23,16,13,15,13,14,11,18,14,12,16,19,15,23,17,13,15,13,20,11,7,12,20,8,11,13,15,12,14,18,11,19,14,14,13,14,17
CRE2_IMP_6_0.95,4,1,2,5,2,2,1,1,4,9,7,9,5,7,1,2,1,2,1,4,3,1,2,1,4,1,1,3,1,3,1,2,25,27,18,20,30,4,7,2,32,31,15,11,29,9,3,13,17,16,11,16,6,25,1,11,4,1,3,1,1,1,3,5,3,3,1,1,2,2,1,1,2,3,3,4,4,3,3,4,7,1,6,2,1,4,1,3,4,3,6,9,4,5,4,5,2,5,5,8,5,2,10,5,2,3,1,5,3,4,2,2,6,1,2,3,7,5,2,2,3,4,4,4,3,2,3,4
CRE2_IMP_7_0.95,5,8,5,4,2,3,1,3,2,1,1,5,1,3,1,3,5,3,1,8,1,2,6,4,6,5,2,1,2,6,1,7,4,6,6,3,5,8,10,7,13,11,1,1,17,5,11,8,13,17,11,17,9,18,6,24,7,7,10,8,9,9,7,11,5,7,5,2,1,3,4,7,11,12,7,5,3,14,1,8,8,12,12,13,4,12,6,18,10,6,16,11,8,9,5,10,17,19,19,10,21,25,14,17,6,3,3,5,2,3,5,7,5,7,5,11,6,6,1,4,4,2,1,14,7,8,1,3
CRE2_VIM_1_0.95,12,13,11,20,7,6,18,15,14,25,17,20,24,12,13,17,24,30,43,30,28,31,37,36,51,54,30,34,19,34,27,29,11,46,59,42,52,39,77,51,50,41,20,8,33,11,46,34,79,63,73,87,79,53,85,72,26,32,50,37,37,35,45,40,34,26,28,20,13,18,12,21,37,38,29,28,23,22,48,31,19,24,36,38,28,27,25,17,20,22,12,17,21,11,12,19,8,20,13,15,24,19,18,14,14,14,14,22,9,16,12,16,10,19,5,11,23,16,10,13,10,8,16,13,11,9,8,8
CRE2_VIM_2_3_0.95,3,2,1,2,1,1,1,1,14,15,14,24,13,8,1,2,4,1,2,2,2,3,1,1,3,3,2,1,1,1,2,3,30,71,60,76,57,2,8,7,91,99,26,30,50,20,19,24,15,12,7,11,8,21,2,7,1,4,4,6,1,4,1,4,1,1,4,1,1,1,1,1,4,4,1,1,1,1,5,4,7,3,7,4,5,4,1,3,3,2,2,5,3,6,3,3,4,3,2,1,9,3,6,2,3,7,1,6,1,4,3,7,3,1,1,2,3,1,3,3,3,1,5,4,2,3,4,3
OXA10_0.95,5,5,2,11,1,2,1,4,2,4,6,5,1,1,1,1,7,5,5,4,5,2,6,4,6,8,2,4,2,4,3,4,8,9,11,13,6,5,8,6,12,13,7,2,10,4,8,17,15,18,17,15,10,18,4,12,14,6,4,12,6,7,3,12,13,5,1,4,1,2,2,4,9,3,9,4,3,4,7,11,16,8,5,11,5,10,12,3,14,10,8,15,10,7,3,12,14,8,11,16,11,8,14,18,10,10,6,24,1,13,4,6,8,11,3,10,5,8,6,9,7,9,9,7,7,5,7,3
KpMero4_C_KPN_00050_0.97,6834,7054,3887,5758,1398,5985,506,4278,4447,3885,4212,5083,2917,4189,90,923,1568,464,224,344,37,448,177,311,1127,702,388,596,40,476,145,387,1577,1546,1396,1638,1591,129,327,380,3352,2905,1178,883,2729,916,1440,2394,2886,4810,2402,3126,673,3950,261,2437,4015,2581,2147,2437,155,2644,519,1739,1781,257,104,281,6,155,38,186,3675,1697,1334,1094,146,1569,260,480,5430,3121,1746,2757,76,2782,1367,2360,4918,1362,585,1226,69,633,332,957,3315,2863,3025,1534,3186,3369,2687,2071,2389,1793,1174,1679,52,1464,144,1154,1512,1330,411,813,63,847,264,684,1964,1095,971,974,156,977,108,399
KpMero4_C_KPN_00098_0.97,8953,6986,5563,5174,2328,7517,398,5356,3886,3777,4067,4433,2646,3808,102,743,1601,467,247,312,96,425,234,376,1306,451,348,340,88,488,117,411,2097,1843,1709,2056,1775,139,257,312,3501,3071,1228,843,2455,796,561,1169,2593,3191,1719,1917,758,3166,125,1692,4234,2365,2087,1967,531,3260,414,1457,2068,326,111,270,29,126,43,189,4423,1229,1507,643,258,1825,183,266,6631,3414,1806,2187,357,2787,890,2537,5314,1279,616,1002,318,593,170,949,3095,2757,2734,1969,2846,3145,2608,2266,2389,1635,1478,1741,240,1600,133,984,1904,1411,359,818,166,827,200,680,2216,807,826,620,470,848,78,287
KpMero4_C_KPN_00100_0.97,45189,38734,35793,37055,25569,47539,3582,35516,30797,27775,31911,35964,21776,24757,378,6276,12422,4684,2587,3078,2430,3480,1433,2497,8658,4805,3407,3798,3097,4425,885,3670,10240,11706,10492,13122,11601,847,1986,3043,31485,28319,11293,7043,24105,6076,10106,17888,28661,39276,32398,31077,32364,40591,1328,30688,35109,15518,19567,13654,16552,22212,3616,12514,13341,3417,1450,2637,435,1294,330,1532,35667,11826,14434,6188,12565,15678,1436,3553,47368,34674,19192,23903,12601,23816,11365,20468,30135,9789,6179,7914,6898,4395,2202,7075,16869,14963,14509,14117,16439,17163,15823,12739,15471,10485,8462,11308,4118,9433,530,5875,10661,9892,2556,5831,2863,5190,1669,4610,15658,8040,7410,6825,8879,7696,455,2590
KpMero4_C_KPN_01276_0.92,5529,4323,3725,3509,2445,5559,338,3156,2457,2077,2380,2556,1666,1832,37,361,967,434,287,306,173,332,163,221,752,497,310,393,172,431,116,267,864,827,803,843,752,167,199,239,2729,2229,933,586,2189,543,906,1407,1878,2585,1455,1534,1218,2513,188,1093,2398,1054,1152,987,734,1413,307,822,1334,425,207,430,56,175,89,217,2441,940,801,643,459,964,203,318,4162,3112,1569,2414,865,2176,989,1607,2921,1188,655,899,715,526,283,658,1803,1424,1516,1298,1627,1569,1314,976,1461,844,708,849,428,843,66,471,941,938,229,592,255,576,155,399,1281,675,698,690,1097,697,86,255
KpMero4_C_KPN_02846_0.95,6188,5203,3432,4210,1637,5108,364,3948,2675,2456,2767,3498,1940,2339,60,505,1509,367,242,223,52,410,175,274,898,466,270,400,56,353,85,305,1523,1424,1368,1553,1527,98,187,277,3275,2844,1194,802,2476,683,1047,1833,2115,3514,1533,2028,763,2890,169,1790,2888,1469,997,1160,137,1533,356,946,1946,310,129,256,17,118,39,200,2360,1397,729,826,86,800,155,264,5680,2972,1687,2223,232,2877,1296,2603,3018,730,394,610,110,444,193,617,2426,2181,2147,1191,2417,2630,2083,1610,1569,1089,645,880,85,879,89,612,1376,1078,308,631,105,596,181,575,1581,770,638,691,258,742,72,270
KpMero4_C_KPN_03317_0.92,4928,3602,3734,3214,2536,5393,274,2974,2088,1908,2037,1975,1296,1670,28,304,813,370,278,330,69,355,83,211,678,419,358,366,143,486,58,321,887,1004,897,1092,955,119,136,306,2807,2549,1062,615,2045,468,694,1320,2417,2808,2164,1852,1743,3621,105,2196,1943,1134,1517,985,775,1651,199,814,940,293,157,264,55,145,24,129,2139,672,936,387,213,988,65,161,3905,2613,2081,1916,844,2487,764,1802,3046,1159,846,924,760,499,153,717,1615,1461,1446,1260,1600,1639,1709,1342,1002,752,847,718,453,708,30,421,1151,947,353,577,257,710,193,519,1320,595,876,523,283,789,39,285
KpMero4_C_KPN_03634_0.92,2539,1613,1193,1255,628,1772,139,1197,2358,2010,2292,2295,1420,1669,71,331,603,216,168,168,55,229,127,151,529,211,206,174,52,263,40,151,632,666,595,679,629,110,125,167,1620,1425,536,342,1050,279,253,588,1925,2114,885,1114,604,2260,119,940,1776,883,873,826,123,1017,197,538,698,185,83,184,20,121,37,91,2352,671,620,368,98,738,157,198,2716,1339,1041,988,178,1283,429,875,2502,582,455,464,152,325,125,399,1343,1158,1065,680,1162,1080,885,645,925,665,496,590,107,485,84,259,609,424,144,286,94,323,92,258,730,280,395,240,165,357,48,113
KpMero4_C_KPN_04666_0.97,5223,5271,4985,4770,2236,6678,394,4404,3551,3250,3356,4198,2236,2738,82,628,1136,378,196,239,75,284,172,248,769,419,278,313,112,376,95,255,1330,1073,905,1046,987,136,235,281,2380,1794,729,455,1510,604,1368,2114,2725,4232,2960,3167,1604,3999,278,2976,2574,1160,1246,1122,341,1322,333,805,1422,326,132,316,25,150,37,169,2044,877,903,526,367,951,192,256,3867,3176,1494,2255,383,1911,895,1706,4139,1169,680,950,401,528,266,763,2676,2314,2153,1922,2233,2331,1976,1796,1877,1221,744,1239,182,982,92,512,1013,1011,259,644,158,657,176,504,1156,594,577,546,632,688,69,241
KpMero4_R01up_KPN_01226_0.97,1632,5536,4770,22358,1114,2046,3887,23212,829,742,748,705,363,1210,483,2504,107,103,107,137,42,88,1541,1194,163,85,160,127,46,136,813,1459,153,163,129,139,139,26,2377,1622,664,478,189,164,496,156,11094,14016,1077,2471,7921,11375,857,1785,699,10767,493,501,379,492,494,470,4391,7385,325,97,93,118,17,84,276,1274,845,429,328,322,112,372,1170,2239,800,670,640,796,231,758,5015,4362,684,261,320,327,453,158,1732,2088,520,413,474,311,506,554,1248,5855,295,380,298,443,131,270,490,1944,246,277,148,217,58,236,1874,2389,288,626,401,1540,209,282,356,1236
