"X","MGHBC15_1","MGHBC15_cip","MGHBC15_levo","MGHBC17kp_1","MGHBC17kp_cip","MGHBC17kp_levo","MGHBC19_1","MGHBC19_cip","MGHBC19_levo","MGHBC23_1","MGHBC23_cip","MGHBC23_levo","MGHBC25_1","MGHBC25_cip","MGHBC25_levo","MGHBC26_1","MGHBC26_cip","MGHBC26_levo","MGHBC29_1","MGHBC29_cip","MGHBC29_levo","MGHBC32_1","MGHBC32_cip","MGHBC32_levo","MGHBC34_1","MGHBC34_cip","MGHBC34_levo","MGHBC35_1","MGHBC35_cip","MGHBC35_levo","MGHBC4_1","MGHBC4_cip","MGHBC4_levo","MGHBC47_1","MGHBC47_cip","MGHBC47_levo","MGHBC48_1","MGHBC48_cip","MGHBC48_levo","MGHBC50_1","MGHBC50_cip","MGHBC50_levo","MGHBC61_1","MGHBC61_cip","MGHBC61_levo","MGHBC62_1","MGHBC62_cip","MGHBC62_levo"
"NEG_E",6,1,"1.00",1,4,"2.00",8,9,"1.00",7,3,"1.00",9,4,"1.00",2,5,"1.00",4,2,"1.00",1,2,"2.00",2,11,"1.00",8,15,"4.00",1,1,"1.00",5,2,"1.00",3,3,"2.00",5,3,"3.00",1,7,"1.00",1,3,"2.00"
"NEG_F",3,3,"5.00",2,7,"2.00",3,11,"2.00",3,5,"2.00",4,4,"2.00",6,5,"1.00",4,2,"1.00",1,1,"2.00",1,6,"2.00",9,10,"1.00",2,1,"1.00",7,21,"1.00",3,26,"1.00",1,5,"5.00",2,4,"1.00",4,5,"4.00"
"KpCip4_C_KPHS_08300_0.95",4,4,"3.00",5,13,"16.00",17,31,"14.00",14,8,"8.00",40,25,"10.00",7,7,"3.00",5,5,"1.00",9,18,"3.00",18,22,"10.00",13,15,"12.00",15,22,"11.00",25,53,"13.00",9,30,"17.00",7,25,"11.00",5,13,"4.00",12,11,"14.00"
"KpCip4_C_KPHS_08670_0.92",13,21,"7.00",30,32,"59.00",48,61,"66.00",41,30,"26.00",98,74,"19.00",21,22,"4.00",10,8,"2.00",24,31,"16.00",52,89,"47.00",68,55,"32.00",88,104,"24.00",86,63,"35.00",30,41,"44.00",26,45,"49.00",8,8,"9.00",46,50,"46.00"
"KpCip4_C_KPHS_15300_0.97",54,50,"22.00",58,28,"38.00",51,43,"35.00",27,20,"25.00",86,61,"33.00",59,44,"18.00",57,12,"14.00",36,31,"22.00",90,117,"47.00",82,89,"55.00",185,159,"43.00",163,128,"70.00",58,83,"60.00",41,30,"22.00",32,27,"33.00",62,36,"38.00"
"KpCip4_C_KPHS_20110_0.95",160,190,"51.00",61,53,"70.00",58,105,"29.00",69,40,"20.00",181,123,"30.00",158,144,"34.00",105,92,"25.00",53,65,"32.00",124,141,"87.00",156,146,"72.00",311,278,"86.00",196,105,"47.00",54,64,"98.00",51,82,"44.00",48,53,"65.00",83,72,"54.00"
"KpCip4_C_KPHS_29220_0.95",6,9,"8.00",14,5,"8.00",12,14,"9.00",9,10,"9.00",48,32,"16.00",15,11,"9.00",21,10,"3.00",1,9,"7.00",25,37,"16.00",16,18,"4.00",51,33,"13.00",54,17,"15.00",13,12,"17.00",17,7,"6.00",15,6,"7.00",28,17,"16.00"
"KpCip4_C_KPHS_33420_0.95",1,1,"2.00",4,6,"4.00",1,9,"2.00",1,5,"1.00",10,8,"2.00",5,8,"2.00",2,5,"1.00",1,2,"2.00",1,4,"2.00",8,9,"9.00",1,2,"2.00",8,19,"1.00",2,31,"2.00",3,5,"1.00",4,7,"2.00",3,3,"3.00"
"KpCip4_C_KPHS_34080_0.95",19,16,"10.00",13,6,"23.00",12,16,"8.00",9,12,"14.00",32,23,"9.00",8,10,"7.00",17,6,"4.00",13,11,"12.00",19,29,"11.00",16,18,"9.00",45,27,"3.00",29,20,"13.00",7,16,"10.00",11,12,"6.00",4,10,"8.00",16,17,"20.00"
"KpCip4_C_KPHS_37030_0.97",172,133,"30.00",64,52,"72.00",57,62,"31.00",59,41,"56.00",101,87,"27.00",117,86,"29.00",133,42,"24.00",36,60,"20.00",133,162,"70.00",161,131,"83.00",375,335,"81.00",219,119,"54.00",71,88,"91.00",81,58,"49.00",40,65,"107.00",110,80,"72.00"
"KpCip4_C_KPHS_42920_0.97",14,11,"1.00",7,14,"5.00",15,16,"8.00",8,12,"1.00",14,19,"4.00",14,9,"3.00",8,2,"1.00",5,7,"6.00",20,23,"7.00",13,16,"4.00",27,24,"9.00",26,23,"8.00",17,15,"12.00",7,11,"6.00",12,7,"13.00",21,9,"10.00"
"KpCip4_C_KPHS_44560_0.95",85,62,"26.00",14,15,"27.00",46,88,"15.00",27,45,"10.00",99,72,"14.00",40,55,"9.00",37,44,"15.00",16,46,"19.00",50,64,"23.00",49,79,"23.00",32,41,"11.00",58,48,"23.00",26,27,"36.00",23,41,"22.00",16,22,"23.00",30,27,"28.00"
"KpCip4_C_KPHS_47740_0.92",99,115,"58.00",35,30,"44.00",43,69,"77.00",32,24,"20.00",84,92,"41.00",96,87,"52.00",74,46,"22.00",30,43,"16.00",69,78,"53.00",60,71,"67.00",135,134,"48.00",132,90,"53.00",65,63,"79.00",49,52,"30.00",33,31,"55.00",49,47,"30.00"
"KpCip4_R01up_KPHS_33810_0.97",107,976,"312.00",79,483,"1070.00",96,340,"413.00",52,311,"371.00",175,160,"47.00",56,398,"208.00",69,240,"113.00",214,731,"307.00",108,680,"534.00",101,1416,"999.00",322,2849,"946.00",182,1197,"769.00",61,59,"80.00",51,678,"582.00",23,304,"478.00",84,823,"771.00"
"KpCip4_R02up_KPHS_02830_0.97",133,451,"98.00",43,91,"183.00",63,135,"158.00",49,113,"124.00",196,163,"54.00",111,292,"136.00",120,138,"36.00",61,260,"96.00",89,174,"64.00",122,163,"102.00",193,402,"114.00",175,331,"196.00",57,68,"96.00",55,159,"176.00",56,159,"273.00",99,227,"215.00"
"KpCip4_R03up_KPHS_41020_0.92",66,1066,"381.00",96,602,"1695.00",98,583,"616.00",48,610,"583.00",215,190,"69.00",80,580,"259.00",76,456,"169.00",332,967,"356.00",160,1230,"702.00",73,1566,"940.00",290,2363,"865.00",226,1537,"743.00",74,61,"98.00",61,1164,"813.00",23,239,"351.00",85,793,"749.00"
"KpCip4_R04dn_KPHS_18380_0.97",357,198,"33.00",95,38,"42.00",352,331,"231.00",334,123,"75.00",503,595,"122.00",462,121,"29.00",366,115,"20.00",65,63,"14.00",1207,1134,"387.00",231,122,"32.00",772,287,"54.00",543,143,"46.00",22,39,"22.00",234,62,"61.00",43,57,"43.00",174,56,"37.00"
"KpCip4_R05up_KPHS_37080_0.97",31,150,"54.00",15,38,"65.00",51,118,"97.00",36,141,"103.00",75,58,"18.00",50,359,"122.00",44,123,"33.00",19,196,"52.00",62,102,"36.00",57,130,"45.00",45,142,"44.00",77,220,"58.00",28,36,"29.00",30,235,"123.00",15,85,"90.00",23,79,"66.00"
"KpCip4_R06up_KPHS_41010_0.95",8,28,"15.00",13,28,"56.00",24,65,"84.00",14,48,"37.00",43,35,"13.00",10,24,"12.00",2,11,"6.00",23,73,"32.00",20,71,"51.00",19,93,"81.00",21,82,"39.00",32,109,"83.00",16,58,"17.00",18,78,"66.00",6,13,"24.00",21,57,"44.00"
"KpCip4_R07up_KPHS_02820_0.97",111,507,"146.00",53,111,"232.00",65,281,"280.00",43,107,"132.00",186,148,"54.00",91,362,"138.00",81,183,"73.00",94,304,"129.00",96,365,"173.00",87,444,"231.00",129,541,"212.00",163,415,"231.00",59,60,"107.00",45,252,"228.00",33,83,"117.00",51,190,"197.00"
"KpCip4_R08up_KPHS_03450_0.92",15,73,"27.00",18,102,"231.00",41,104,"136.00",20,55,"67.00",95,82,"33.00",18,75,"35.00",7,28,"15.00",37,170,"48.00",39,122,"67.00",36,156,"104.00",62,233,"65.00",61,231,"113.00",18,25,"14.00",29,269,"238.00",14,31,"41.00",23,98,"86.00"
"KpCip4_R09up_KPHS_53000_0.97",7,18,"9.00",8,17,"30.00",7,18,"9.00",8,19,"16.00",29,17,"3.00",21,56,"19.00",6,20,"6.00",8,37,"14.00",14,25,"6.00",18,54,"17.00",12,39,"15.00",27,98,"17.00",2,52,"13.00",2,19,"30.00",13,36,"40.00",15,37,"28.00"
"KpCip4_R10up_KPHS_37090_0.97",99,102,"48.00",47,47,"88.00",69,108,"83.00",49,89,"86.00",131,100,"23.00",92,201,"70.00",56,90,"31.00",29,144,"75.00",73,98,"49.00",95,133,"70.00",46,116,"71.00",80,117,"64.00",45,51,"75.00",46,130,"109.00",29,52,"79.00",56,115,"85.00"
"KpCip4_R11dn_KPHS_31980_0.95",811,411,"71.00",529,69,"83.00",409,477,"319.00",439,95,"84.00",1582,1400,"330.00",483,62,"32.00",460,79,"31.00",616,474,"147.00",984,763,"251.00",684,284,"147.00",2318,811,"209.00",2487,360,"151.00",441,517,"634.00",333,45,"60.00",166,54,"69.00",599,199,"208.00"
"KpCip4_R12up_KPHS_40580_0.95",178,604,"281.00",103,160,"332.00",171,337,"343.00",135,269,"284.00",400,316,"84.00",271,499,"205.00",298,301,"130.00",173,385,"154.00",213,555,"348.00",196,816,"494.00",542,1217,"380.00",433,799,"359.00",135,166,"176.00",107,397,"333.00",72,166,"261.00",97,254,"259.00"
