"X","MGHBC15_1","MGHBC15_cip","MGHBC15_levo","MGHBC17kp_1","MGHBC17kp_cip","MGHBC17kp_levo","MGHBC19_1","MGHBC19_cip","MGHBC19_levo","MGHBC23_1","MGHBC23_cip","MGHBC23_levo","MGHBC25_1","MGHBC25_cip","MGHBC25_levo","MGHBC26_1","MGHBC26_cip","MGHBC26_levo","MGHBC29_1","MGHBC29_cip","MGHBC29_levo","MGHBC32_1","MGHBC32_cip","MGHBC32_levo","MGHBC34_1","MGHBC34_cip","MGHBC34_levo","MGHBC35_1","MGHBC35_cip","MGHBC35_levo","MGHBC4_1","MGHBC4_cip","MGHBC4_levo","MGHBC47_1","MGHBC47_cip","MGHBC47_levo","MGHBC48_1","MGHBC48_cip","MGHBC48_levo","MGHBC50_1","MGHBC50_cip","MGHBC50_levo","MGHBC61_1","MGHBC61_cip","MGHBC61_levo","MGHBC62_1","MGHBC62_cip","MGHBC62_levo"
"POS_A",26168,23394,"9887.00",13251,13574,"13602.00",14444,15594,"8896.00",9770,9588,"6261.00",28042,20728,"9955.00",20509,19216,"10290.00",17150,10291,"5421.00",11618,16508,"12024.00",8746,10763,"9053.00",17886,18267,"10078.00",19308,23272,"9096.00",28390,23032,"11424.00",8554,11132,"13678.00",10376,11862,"10314.00",8228,13301,"15272.00",18605,18502,"15623.00"
"POS_B",2930,2650,"3134.00",3964,3895,"4314.00",1853,1971,"2804.00",1219,1232,"1975.00",3388,2519,"3037.00",2628,2501,"3037.00",2197,1180,"1858.00",1500,2043,"3499.00",1006,1308,"2757.00",2146,2148,"3014.00",2266,2604,"2944.00",4016,3196,"3318.00",2672,3232,"4332.00",3186,3565,"3044.00",2893,4065,"4719.00",5718,5696,"4815.00"
"POS_C",1834,1613,"1230.00",1362,1411,"1628.00",1528,1559,"1056.00",996,1034,"768.00",2951,2111,"1089.00",2244,2000,"1151.00",1948,1018,"713.00",1185,1673,"1308.00",871,1121,"1023.00",1734,1802,"1126.00",1468,1728,"1094.00",3335,2650,"1246.00",1023,1258,"1532.00",1231,1344,"1085.00",1117,1557,"1759.00",2007,1927,"1736.00"
"POS_D",189,189,"210.00",288,292,"307.00",113,147,"215.00",84,81,"129.00",254,183,"224.00",167,156,"261.00",144,84,"164.00",91,114,"256.00",94,93,"213.00",176,170,"218.00",115,172,"233.00",239,198,"265.00",218,260,"330.00",252,270,"236.00",187,304,"320.00",398,443,"367.00"
"POS_E",71,50,"38.00",71,77,"56.00",47,40,"43.00",26,31,"26.00",88,58,"43.00",43,44,"67.00",47,25,"31.00",32,49,"51.00",26,34,"43.00",41,47,"42.00",47,66,"43.00",84,70,"50.00",50,52,"65.00",59,57,"61.00",46,71,"91.00",101,75,"72.00"
"POS_F",56,29,"10.00",16,15,"19.00",47,64,"6.00",30,38,"14.00",83,42,"11.00",50,48,"10.00",20,43,"4.00",19,18,"14.00",34,58,"13.00",40,69,"8.00",6,8,"10.00",47,33,"12.00",12,31,"17.00",14,17,"9.00",12,21,"13.00",17,23,"17.00"
"NEG_A",1,4,"1.00",6,4,"4.00",2,2,"2.00",6,6,"1.00",6,6,"1.00",4,4,"1.00",3,1,"1.00",1,2,"2.00",3,4,"1.00",6,10,"2.00",3,1,"1.00",9,3,"1.00",5,8,"2.00",3,5,"2.00",4,6,"1.00",3,3,"3.00"
"NEG_B",1,3,"4.00",9,6,"4.00",4,5,"2.00",2,2,"2.00",5,6,"1.00",3,2,"4.00",2,1,"4.00",1,3,"3.00",3,7,"3.00",5,10,"5.00",1,4,"3.00",6,7,"4.00",3,4,"2.00",4,2,"2.00",6,6,"1.00",3,4,"5.00"
"NEG_C",1,3,"2.00",1,4,"6.00",7,8,"4.00",6,5,"1.00",7,9,"1.00",1,9,"6.00",2,2,"4.00",4,3,"3.00",2,7,"2.00",3,13,"3.00",1,1,"2.00",7,10,"5.00",4,6,"2.00",4,8,"4.00",3,12,"4.00",6,7,"8.00"
"NEG_D",1,2,"1.00",3,4,"1.00",4,3,"1.00",2,4,"2.00",4,6,"1.00",1,3,"1.00",1,1,"1.00",1,3,"2.00",3,5,"1.00",2,7,"1.00",2,1,"2.00",2,2,"2.00",3,5,"1.00",2,3,"4.00",1,2,"1.00",3,4,"4.00"
