"","MGHBC4_5","MGHBC4_cro","MGHBC15_5","MGHBC15_cro","MGHBC19_5","MGHBC19_cro","MGHBC23_5","MGHBC23_cro","MGHBC25_5","MGHBC25_cro","MGHBC34_5","MGHBC34_cro","MGHBC35_5","MGHBC35_cro","MGHBC29_5","MGHBC29_cro","MGHBC32_5","MGHBC32_cro","MGHBC26_5","MGHBC26_cro","MGHBC47_5","MGHBC47_cro","MGHBC50_5","MGHBC50_cro","MGHBC48_5","MGHBC48_cro","MGHBC61_5","MGHBC61_cro","MGHBC62_5","MGHBC62_cro","MGHBC17kp_5","MGHBC17kp_cro"
"wzi_1","6","7","5.00","1.00","8","1","6","1","8","8","11.00","3.00","11.00","25.00","10.00","6.00","9","6","10","8","11.00","11.00","9.00","4.00","5.00","7.00","4.00","6.00","4.00","2.00","9.00","5.00"
"wzy_1","4","3","10.00","5.00","4","3","3","1","24","24","27.00","12.00","17.00","17.00","5.00","2.00","4","1","5","3","7.00","2.00","7.00","2.00","5.00","6.00","3.00","1.00","2.00","3.00","2.00","3.00"
"wzi_2","12","14","3660.00","3474.00","16","5","10","7","12","15","27.00","15.00","34.00","31.00","24.00","20.00","1724","89","38","18","32.00","18.00","43.00","14.00","19.00","20.00","144.00","51.00","12.00","1.00","17.00","9.00"
"wzy_2","19","8","30.00","19.00","52","55","45","39","31","50","43.00","20.00","80.00","61.00","45.00","65.00","51","39","46","44","43.00","37.00","30.00","32.00","26.00","22.00","23.00","28.00","18.00","5.00","37.00","22.00"
"CRE2_KPC_0.95","1","6","2.00","2.00","6","6","5","4","12","14","14.00","1.00","18.00","13.00","12.00","10.00","11","3","12","1","8.00","11.00","17.00","14.00","70164.00","60188.00","10.00","7.00","3.00","2.00","8.00","7.00"
"CRE2_NDM_0.95","7","5","4.00","2.00","1","2","5","4","4","6","11.00","5.00","11.00","10.00","11.00","6.00","4","3","7","4","8.00","10.00","16.00","10.00","7.00","11.00","5.00","8.00","6.00","4.00","6.00","10.00"
"CRE2_OXA48_0.95","2","6","1.00","3.00","3","1","2","4","8","2","3.00","5.00","2.00","10.00","9.00","5.00","5","2","9","3","6.00","7.00","9.00","10.00","18.00","12.00","4.00","3.00","1.00","2.00","3.00","3.00"
"CRE2_CTXM15_0.95","3","3","119801.00","113691.00","1","2","1","2","96986","73645","114405.00","35579.00","19.00","13.00","4.00","3.00","1","3","2","3","6.00","2.00","6.00","5.00","7.00","5.00","2.00","2.00","2.00","3.00","5.00","4.00"
"CRE2_IMP_1_0.95","2","1","6.00","9.00","2","3","2","2","21","29","46.00","14.00","8.00","10.00","6.00","1.00","1","1","3","2","12.00","4.00","4.00","1.00","1.00","6.00","8.00","2.00","3.00","2.00","9.00","4.00"
"CRE2_IMP_3_8_0.95","13","6","18.00","18.00","28","37","38","22","28","58","39.00","16.00","59.00","77.00","35.00","40.00","40","31","44","38","38.00","20.00","33.00","17.00","15.00","22.00","20.00","22.00","14.00","7.00","22.00","18.00"
"CRE2_IMP_2_4_0.95","5","7","4.00","5.00","2","3","2","2","8","6","9.00","2.00","7.00","7.00","7.00","6.00","4","4","8","3","3.00","7.00","16.00","7.00","18.00","24.00","8.00","8.00","9.00","4.00","5.00","9.00"
"CRE2_IMP_5_0.95","9","12","17.00","12.00","25","31","43","18","14","52","44.00","20.00","73.00","69.00","39.00","45.00","37","27","40","27","17.00","22.00","22.00","21.00","14.00","18.00","23.00","13.00","12.00","8.00","18.00","19.00"
"CRE2_IMP_6_0.95","4","2","4.00","7.00","1","1","4","1","25","18","32.00","15.00","17.00","11.00","4.00","3.00","3","1","2","3","7.00","6.00","4.00","6.00","2.00","5.00","2.00","1.00","6.00","2.00","3.00","4.00"
"CRE2_IMP_7_0.95","5","5","2.00","1.00","5","1","6","2","4","6","13.00","1.00","13.00","11.00","7.00","10.00","5","5","11","7","8.00","12.00","10.00","16.00","17.00","19.00","6.00","3.00","5.00","5.00","4.00","1.00"
"CRE2_VIM_1_0.95","12","11","14.00","17.00","24","43","51","30","11","59","50.00","20.00","79.00","73.00","26.00","50.00","34","28","37","29","19.00","36.00","20.00","12.00","8.00","13.00","14.00","14.00","10.00","5.00","10.00","16.00"
"CRE2_VIM_2_3_0.95","3","1","14.00","14.00","4","2","3","2","30","60","91.00","26.00","15.00","7.00","1.00","4.00","1","4","4","1","7.00","7.00","3.00","2.00","4.00","2.00","3.00","1.00","3.00","1.00","3.00","5.00"
"OXA10_0.95","5","2","2.00","6.00","7","5","6","2","8","11","12.00","7.00","15.00","17.00","14.00","4.00","13","1","9","9","16.00","5.00","14.00","8.00","14.00","11.00","10.00","6.00","8.00","3.00","7.00","9.00"
"KpMero4_C_KPN_00050_0.97","6834","3887","4447.00","4212.00","1568","224","1127","388","1577","1396","3352.00","1178.00","2886.00","2402.00","4015.00","2147.00","1781","104","3675","1334","5430.00","1746.00","4918.00","585.00","3315.00","3025.00","2389.00","1174.00","1512.00","411.00","1964.00","971.00"
"KpMero4_C_KPN_00098_0.97","8953","5563","3886.00","4067.00","1601","247","1306","348","2097","1709","3501.00","1228.00","2593.00","1719.00","4234.00","2087.00","2068","111","4423","1507","6631.00","1806.00","5314.00","616.00","3095.00","2734.00","2389.00","1478.00","1904.00","359.00","2216.00","826.00"
"KpMero4_C_KPN_00100_0.97","45189","35793","30797.00","31911.00","12422","2587","8658","3407","10240","10492","31485.00","11293.00","28661.00","32398.00","35109.00","19567.00","13341","1450","35667","14434","47368.00","19192.00","30135.00","6179.00","16869.00","14509.00","15471.00","8462.00","10661.00","2556.00","15658.00","7410.00"
"KpMero4_C_KPN_01276_0.92","5529","3725","2457.00","2380.00","967","287","752","310","864","803","2729.00","933.00","1878.00","1455.00","2398.00","1152.00","1334","207","2441","801","4162.00","1569.00","2921.00","655.00","1803.00","1516.00","1461.00","708.00","941.00","229.00","1281.00","698.00"
"KpMero4_C_KPN_02846_0.95","6188","3432","2675.00","2767.00","1509","242","898","270","1523","1368","3275.00","1194.00","2115.00","1533.00","2888.00","997.00","1946","129","2360","729","5680.00","1687.00","3018.00","394.00","2426.00","2147.00","1569.00","645.00","1376.00","308.00","1581.00","638.00"
"KpMero4_C_KPN_03317_0.92","4928","3734","2088.00","2037.00","813","278","678","358","887","897","2807.00","1062.00","2417.00","2164.00","1943.00","1517.00","940","157","2139","936","3905.00","2081.00","3046.00","846.00","1615.00","1446.00","1002.00","847.00","1151.00","353.00","1320.00","876.00"
"KpMero4_C_KPN_03634_0.92","2539","1193","2358.00","2292.00","603","168","529","206","632","595","1620.00","536.00","1925.00","885.00","1776.00","873.00","698","83","2352","620","2716.00","1041.00","2502.00","455.00","1343.00","1065.00","925.00","496.00","609.00","144.00","730.00","395.00"
"KpMero4_C_KPN_04666_0.97","5223","4985","3551.00","3356.00","1136","196","769","278","1330","905","2380.00","729.00","2725.00","2960.00","2574.00","1246.00","1422","132","2044","903","3867.00","1494.00","4139.00","680.00","2676.00","2153.00","1877.00","744.00","1013.00","259.00","1156.00","577.00"
"KpMero4_R01up_KPN_01226_0.97","1632","4770","829.00","748.00","107","107","163","160","153","129","664.00","189.00","1077.00","7921.00","493.00","379.00","325","93","845","328","800.00","640.00","684.00","320.00","520.00","474.00","295.00","298.00","246.00","148.00","288.00","401.00"
"KpMero4_R02up_KPN_01107_0.97","2405","6012","587.00","464.00","397","256","286","358","814","745","715.00","234.00","1117.00","8876.00","372.00","656.00","979","131","487","650","1061.00","1724.00","1303.00","613.00","811.00","619.00","314.00","670.00","339.00","565.00","266.00","843.00"
"KpMero4_R03up_KPN_02345_0.95","13068","15093","5568.00","4905.00","2419","1077","1340","1604","2109","1697","4791.00","1499.00","3983.00","8879.00","4506.00","7889.00","5160","1227","3132","5915","7967.00","8788.00","5854.00","5033.00","4445.00","3648.00","2870.00","4498.00","1925.00","1565.00","2068.00","3429.00"
"KpMero4_R04up_KPN_02742_0.97","2619","7001","1530.00","1613.00","162","335","168","586","202","159","960.00","341.00","1674.00","15395.00","421.00","905.00","363","102","855","1212","1731.00","2282.00","1055.00","674.00","331.00","356.00","420.00","1166.00","186.00","872.00","424.00","1339.00"
"KpMero4_R05dn_KPN_02241_0.92","9798","2380","176.00","97.00","104","22","152","15","46","62","4822.00","1660.00","4266.00","1044.00","35.00","24.00","53","20","92","36","4482.00","606.00","630.00","49.00","317.00","403.00","25.00","16.00","207.00","52.00","434.00","115.00"
"KpMero4_R06up_KPN_03358_0.92","7328","14000","788.00","654.00","578","267","568","547","992","596","1869.00","597.00","3153.00","10157.00","1240.00","1051.00","1008","108","1283","854","3405.00","2930.00","3694.00","885.00","2419.00","2099.00","434.00","377.00","1948.00","1412.00","1159.00","1701.00"
"KpMero4_R07up_KPN_03934_0.92","20468","11929","5082.00","5276.00","2947","382","1829","460","3180","1931","5137.00","1880.00","6809.00","8005.00","6246.00","1413.00","2923","118","6610","1326","10797.00","3078.00","9396.00","984.00","5164.00","3736.00","4004.00","1212.00","2373.00","530.00","4532.00","1302.00"
"KpMero4_R08dn_KPN_00868_0.92","20392","7859","1391.00","1350.00","30","16","562","20","157","89","7213.00","3086.00","26895.00","20570.00","339.00","82.00","30","17","2502","129","10115.00","278.00","3517.00","71.00","2503.00","2895.00","307.00","136.00","1219.00","68.00","2759.00","156.00"
"KpMero4_R09up_KPN_02342_0.97","2078","4801","826.00","675.00","233","176","209","250","480","283","660.00","212.00","872.00","2855.00","460.00","473.00","1813","212","435","310","1804.00","1993.00","1451.00","794.00","917.00","814.00","395.00","413.00","453.00","451.00","393.00","879.00"
"KpMero4_R10up_KPN_00833_0.97","4052","4669","1027.00","1233.00","371","186","724","400","587","473","852.00","320.00","1281.00","3159.00","3497.00","1895.00","1050","264","1069","1234","2235.00","1989.00","1656.00","678.00","1604.00","1373.00","757.00","1026.00","644.00","341.00","302.00","582.00"
