"","MGHBC4_5","MGHBC4_cro","MGHBC15_5","MGHBC15_cro","MGHBC19_5","MGHBC19_cro","MGHBC23_5","MGHBC23_cro","MGHBC25_5","MGHBC25_cro","MGHBC34_5","MGHBC34_cro","MGHBC35_5","MGHBC35_cro","MGHBC29_5","MGHBC29_cro","MGHBC32_5","MGHBC32_cro","MGHBC26_5","MGHBC26_cro","MGHBC47_5","MGHBC47_cro","MGHBC50_5","MGHBC50_cro","MGHBC48_5","MGHBC48_cro","MGHBC61_5","MGHBC61_cro","MGHBC62_5","MGHBC62_cro","MGHBC17kp_5","MGHBC17kp_cro"
"POS_A","77595","78709","74223.00","70725.00","58272","60669","53377","43723","44155","64029","44910.00","18757.00","58576.00","57193.00","83560.00","82876.00","84833","68903","80613","68393","72878.00","81967.00","44267.00","50480.00","50027.00","44006.00","54153.00","55763.00","39417.00","32970.00","56834.00","62018.00"
"POS_B","9536","10077","8663.00","8301.00","7626","8095","7049","5839","14528","7856","5795.00","2301.00","7634.00","7359.00","11131.00","11052.00","11067","8928","10671","9068","10137.00","11459.00","13106.00","15602.00","14918.00","13864.00","16089.00","17066.00","12883.00","11640.00","17209.00","18879.00"
"POS_C","5057","5316","4457.00","4361.00","5357","5595","4790","3980","4707","5764","4075.00","1595.00","5319.00","4998.00","7456.00","7585.00","7883","6245","7676","6364","7105.00","8123.00","4065.00","4880.00","4664.00","4327.00","4920.00","5001.00","4026.00","3650.00","5307.00","5613.00"
"POS_D","513","490","458.00","432.00","465","447","424","288","935","443","337.00","149.00","440.00","406.00","568.00","608.00","601","512","601","404","525.00","652.00","932.00","1121.00","1014.00","899.00","1090.00","1092.00","824.00","728.00","1088.00","1234.00"
"POS_E","189","204","180.00","158.00","152","140","124","109","252","187","157.00","72.00","146.00","160.00","203.00","203.00","214","148","216","174","191.00","232.00","222.00","208.00","261.00","182.00","260.00","255.00","211.00","168.00","291.00","289.00"
"POS_F","70","80","62.00","64.00","65","88","75","63","62","107","80.00","31.00","105.00","114.00","92.00","89.00","100","73","97","79","79.00","100.00","64.00","86.00","79.00","58.00","71.00","70.00","52.00","43.00","61.00","77.00"
"NEG_A","1","1","3.00","4.00","2","1","3","3","17","31","34.00","7.00","11.00","13.00","2.00","1.00","1","1","1","3","4.00","4.00","2.00","2.00","2.00","1.00","3.00","2.00","2.00","1.00","3.00","4.00"
"NEG_B","3","1","4.00","1.00","5","1","4","1","7","3","9.00","3.00","5.00","13.00","9.00","11.00","4","4","7","7","5.00","9.00","5.00","3.00","14.00","13.00","5.00","2.00","3.00","1.00","4.00","4.00"
"NEG_C","9","2","5.00","5.00","10","1","6","4","4","9","6.00","4.00","13.00","6.00","7.00","7.00","8","1","7","5","6.00","13.00","11.00","11.00","16.00","6.00","10.00","7.00","7.00","1.00","5.00","8.00"
"NEG_D","8","1","1.00","1.00","4","1","2","2","5","5","11.00","1.00","11.00","8.00","5.00","10.00","6","3","6","6","7.00","5.00","9.00","6.00","13.00","15.00","1.00","4.00","4.00","2.00","3.00","3.00"
"NEG_E","2","4","21.00","24.00","2","1","1","1","62","68","148.00","43.00","10.00","12.00","1.00","2.00","1","1","5","2","4.00","1.00","5.00","4.00","4.00","5.00","5.00","5.00","2.00","1.00","3.00","2.00"
"NEG_F","5","3","2.00","1.00","9","3","7","1","5","6","14.00","5.00","16.00","24.00","15.00","6.00","7","1","8","8","12.00","3.00","10.00","6.00","5.00","2.00","5.00","4.00","6.00","1.00","6.00","6.00"
