,MGHBC4_1,MGHBC4_cip,MGHBC15_1,MGHBC15_cip,MGHBC19_1,MGHBC19_cip,MGHBC23_1,MGHBC23_cip,MGHBC25_1,MGHBC25_cip,MGHBC34_1,MGHBC34_cip,MGHBC35_1,MGHBC35_cip,MGHBC29_1,MGHBC29_cip,MGHBC32_1,MGHBC32_cip,MGHBC26_1,MGHBC26_cip,MGHBC47_1,MGHBC47_cip,MGHBC50_1,MGHBC50_cip,MGHBC48_1,MGHBC48_cip,MGHBC61_1,MGHBC61_cip,MGHBC62_1,MGHBC62_cip,MGHBC17kp_1,MGHBC17kp_cip
KpCip4_C_KPHS_20110_0.95,311,278,160,190,58,105,69,40,181,123,124,141,156,146,105,92,53,65,158,144,196,105,51,82,54,64,48,53,83,72,61,53
KpCip4_C_KPHS_29220_0.95,51,33,6,9,12,14,9,10,48,32,25,37,16,18,21,10,1,9,15,11,54,17,17,7,13,12,15,6,28,17,14,5
KpCip4_C_KPHS_33420_0.95,1,2,1,1,1,9,1,5,10,8,1,4,8,9,2,5,1,2,5,8,8,19,3,5,2,31,4,7,3,3,4,6
KpCip4_C_KPHS_34080_0.95,45,27,19,16,12,16,9,12,32,23,19,29,16,18,17,6,13,11,8,10,29,20,11,12,7,16,4,10,16,17,13,6
KpCip4_C_KPHS_37030_0.97,375,335,172,133,57,62,59,41,101,87,133,162,161,131,133,42,36,60,117,86,219,119,81,58,71,88,40,65,110,80,64,52
KpCip4_C_KPHS_42920_0.97,27,24,14,11,15,16,8,12,14,19,20,23,13,16,8,2,5,7,14,9,26,23,7,11,17,15,12,7,21,9,7,14
KpCip4_C_KPHS_44560_0.95,32,41,85,62,46,88,27,45,99,72,50,64,49,79,37,44,16,46,40,55,58,48,23,41,26,27,16,22,30,27,14,15
KpCip4_C_KPHS_47740_0.92,135,134,99,115,43,69,32,24,84,92,69,78,60,71,74,46,30,43,96,87,132,90,49,52,65,63,33,31,49,47,35,30
KpCip4_R01up_KPHS_33810_0.97,322,2849,107,976,96,340,52,311,175,160,108,680,101,1416,69,240,214,731,56,398,182,1197,51,678,61,59,23,304,84,823,79,483
KpCip4_R02up_KPHS_02830_0.97,193,402,133,451,63,135,49,113,196,163,89,174,122,163,120,138,61,260,111,292,175,331,55,159,57,68,56,159,99,227,43,91
KpCip4_R03up_KPHS_41020_0.92,290,2363,66,1066,98,583,48,610,215,190,160,1230,73,1566,76,456,332,967,80,580,226,1537,61,1164,74,61,23,239,85,793,96,602
KpCip4_R04dn_KPHS_18380_0.97,772,287,357,198,352,331,334,123,503,595,1207,1134,231,122,366,115,65,63,462,121,543,143,234,62,22,39,43,57,174,56,95,38
KpCip4_R05up_KPHS_37080_0.97,45,142,31,150,51,118,36,141,75,58,62,102,57,130,44,123,19,196,50,359,77,220,30,235,28,36,15,85,23,79,15,38
KpCip4_R06up_KPHS_41010_0.95,21,82,8,28,24,65,14,48,43,35,20,71,19,93,2,11,23,73,10,24,32,109,18,78,16,58,6,13,21,57,13,28
KpCip4_R07up_KPHS_02820_0.97,129,541,111,507,65,281,43,107,186,148,96,365,87,444,81,183,94,304,91,362,163,415,45,252,59,60,33,83,51,190,53,111
KpCip4_R08up_KPHS_03450_0.92,62,233,15,73,41,104,20,55,95,82,39,122,36,156,7,28,37,170,18,75,61,231,29,269,18,25,14,31,23,98,18,102
KpCip4_R09up_KPHS_53000_0.97,12,39,7,18,7,18,8,19,29,17,14,25,18,54,6,20,8,37,21,56,27,98,2,19,2,52,13,36,15,37,8,17
KpCip4_R10up_KPHS_37090_0.97,46,116,99,102,69,108,49,89,131,100,73,98,95,133,56,90,29,144,92,201,80,117,46,130,45,51,29,52,56,115,47,47
KpCip4_R11dn_KPHS_31980_0.95,2318,811,811,411,409,477,439,95,1582,1400,984,763,684,284,460,79,616,474,483,62,2487,360,333,45,441,517,166,54,599,199,529,69
KpCip4_R12up_KPHS_40580_0.95,542,1217,178,604,171,337,135,269,400,316,213,555,196,816,298,301,173,385,271,499,433,799,107,397,135,166,72,166,97,254,103,160
