,MGHBC4_1,MGHBC4_cip,MGHBC15_1,MGHBC15_cip,MGHBC19_1,MGHBC19_cip,MGHBC23_1,MGHBC23_cip,MGHBC25_1,MGHBC25_cip,MGHBC34_1,MGHBC34_cip,MGHBC35_1,MGHBC35_cip,MGHBC29_1,MGHBC29_cip,MGHBC32_1,MGHBC32_cip,MGHBC26_1,MGHBC26_cip,MGHBC47_1,MGHBC47_cip,MGHBC50_1,MGHBC50_cip,MGHBC48_1,MGHBC48_cip,MGHBC61_1,MGHBC61_cip,MGHBC62_1,MGHBC62_cip,MGHBC17kp_1,MGHBC17kp_cip
POS_A,19308,23272,26168,23394,14444,15594,9770,9588,28042,20728,8746,10763,17886,18267,17150,10291,11618,16508,20509,19216,28390,23032,10376,11862,8554,11132,8228,13301,18605,18502,13251,13574
POS_B,2266,2604,2930,2650,1853,1971,1219,1232,3388,2519,1006,1308,2146,2148,2197,1180,1500,2043,2628,2501,4016,3196,3186,3565,2672,3232,2893,4065,5718,5696,3964,3895
POS_C,1468,1728,1834,1613,1528,1559,996,1034,2951,2111,871,1121,1734,1802,1948,1018,1185,1673,2244,2000,3335,2650,1231,1344,1023,1258,1117,1557,2007,1927,1362,1411
POS_D,115,172,189,189,113,147,84,81,254,183,94,93,176,170,144,84,91,114,167,156,239,198,252,270,218,260,187,304,398,443,288,292
POS_E,47,66,71,50,47,40,26,31,88,58,26,34,41,47,47,25,32,49,43,44,84,70,59,57,50,52,46,71,101,75,71,77
POS_F,6,8,56,29,47,64,30,38,83,42,34,58,40,69,20,43,19,18,50,48,47,33,14,17,12,31,12,21,17,23,16,15
NEG_A,3,1,1,4,2,2,6,6,6,6,3,4,6,10,3,1,1,2,4,4,9,3,3,5,5,8,4,6,3,3,6,4
NEG_B,1,4,1,3,4,5,2,2,5,6,3,7,5,10,2,1,1,3,3,2,6,7,4,2,3,4,6,6,3,4,9,6
NEG_C,1,1,1,3,7,8,6,5,7,9,2,7,3,13,2,2,4,3,1,9,7,10,4,8,4,6,3,12,6,7,1,4
NEG_D,2,1,1,2,4,3,2,4,4,6,3,5,2,7,1,1,1,3,1,3,2,2,2,3,3,5,1,2,3,4,3,4
NEG_E,1,1,6,1,8,9,7,3,9,4,2,11,8,15,4,2,1,2,2,5,5,2,5,3,3,3,1,7,1,3,1,4
NEG_F,2,1,3,3,3,11,3,5,4,4,1,6,9,10,4,2,1,1,6,5,7,21,1,5,3,26,2,4,4,5,2,7
KpCip4_C_KPHS_08300_0.95,15,22,4,4,17,31,14,8,40,25,18,22,13,15,5,5,9,18,7,7,25,53,7,25,9,30,5,13,12,11,5,13
KpCip4_C_KPHS_08670_0.92,88,104,13,21,48,61,41,30,98,74,52,89,68,55,10,8,24,31,21,22,86,63,26,45,30,41,8,8,46,50,30,32
KpCip4_C_KPHS_15300_0.97,185,159,54,50,51,43,27,20,86,61,90,117,82,89,57,12,36,31,59,44,163,128,41,30,58,83,32,27,62,36,58,28
