"","MGHBC6_5","MGHBC6_fep","MGHBC8_5","MGHBC8_fep","MGHBC11_5","MGHBC11_fep","MGHBC12_5","MGHBC12_fep","MGHBC13_5","MGHBC13_fep","MGHBC14_5","MGHBC14_fep","MGHBC16_5","MGHBC16_fep","MGHBC18_5","MGHBC18_fep","MGHBC21_5","MGHBC21_fep","MGHBC27_5","MGHBC27_fep","MGHBC28_5","MGHBC28_fep","MGHBC33_5","MGHBC33_fep","MGHBC38_5","MGHBC38_fep","MGHBC41_5","MGHBC41_fep","MGHBC44_5","MGHBC44_fep","MGHBC51_5","MGHBC51_fep","MGHBC52_5","MGHBC52_fep","MGHBC53_5","MGHBC53_fep","MGHBC55_5","MGHBC55_fep","MGHBC56_5","MGHBC56_fep","MGHBC57_5","MGHBC57_fep","MGHBC58_5","MGHBC58_fep","MGHBC60_5","MGHBC60_fep","MGHBC63_5","MGHBC63_fep","MGHBC64_5","MGHBC64_fep","MGHBC17ec_5","MGHBC17ec_fep","MGHBC5_5","MGHBC5_fep"
"POS_A","54640","67986","70775.00","77164.00","81828","69721","78405.00","16321.00","63748.00","62345.00","83532.00","84772.00","69751.00","75631.00","76893.00","71951.00","40846.00","41377.00","42703.00","36722.00","53342.00","33180.00","48414","47805","84018","87199","93430","41568","74760.00","61519.00","52597.00","47695.00","58163.00","57196.00","52432.00","46939.00","57165.00","57312.00","52905.00","58119.00","55349.00","48733.00","57625.00","53339.00","55594.00","42801.00","54100.00","50056.00","55397.00","51097.00","32903.00","54748.00","34236","2719"
"POS_B","8031","9648","9097.00","9830.00","10064","9009","9671.00","2115.00","8048.00","7769.00","10555.00","10868.00","8800.00","9451.00","10161.00","9476.00","5410.00","5392.00","5538.00","4569.00","6821.00","4082.00","6513","6457","10788","11698","12075","5581","9496.00","8021.00","15760.00","14780.00","17985.00","17762.00","15626.00","14120.00","17651.00","17860.00","16271.00","17875.00","16603.00","14662.00","18035.00","16272.00","16776.00","13349.00","16002.00","14972.00","16188.00","15247.00","10758.00","16278.00","10487","915"
"POS_C","4195","5142","4710.00","5103.00","5052","4350","4697.00","1017.00","3922.00","4017.00","5320.00","5516.00","4338.00","4823.00","7024.00","6505.00","3646.00","3730.00","3935.00","3196.00","4792.00","3047.00","4443","4444","8122","8231","8533","3811","7037.00","5574.00","5051.00","4598.00","5431.00","5525.00","4841.00","4402.00","5481.00","5433.00","5056.00","5332.00","5042.00","4718.00","5463.00","5134.00","5222.00","4013.00","5054.00","4582.00","4924.00","4642.00","3333.00","4921.00","3264","264"
"POS_D","472","524","492.00","525.00","501","452","545.00","126.00","412.00","434.00","571.00","578.00","476.00","462.00","576.00","516.00","292.00","315.00","346.00","248.00","344.00","246.00","339","354","589","611","627","344","525.00","382.00","1082.00","932.00","1170.00","1098.00","1035.00","949.00","1175.00","1155.00","1096.00","1173.00","1088.00","1038.00","1235.00","1044.00","1133.00","870.00","1060.00","936.00","1096.00","956.00","614.00","1053.00","661","65"
"POS_E","150","201","211.00","194.00","201","163","202.00","37.00","167.00","163.00","200.00","202.00","174.00","189.00","239.00","219.00","101.00","109.00","99.00","76.00","125.00","85.00","142","119","224","229","233","114","182.00","156.00","284.00","221.00","297.00","287.00","228.00","216.00","267.00","274.00","257.00","308.00","267.00","230.00","284.00","297.00","276.00","219.00","262.00","233.00","245.00","230.00","154.00","251.00","181","15"
"POS_F","55","78","70.00","55.00","87","67","78.00","11.00","81.00","78.00","74.00","76.00","64.00","66.00","113.00","104.00","49.00","49.00","59.00","47.00","68.00","46.00","77","83","83","98","121","72","86.00","63.00","79.00","66.00","84.00","80.00","79.00","64.00","82.00","75.00","79.00","91.00","86.00","69.00","97.00","89.00","77.00","60.00","66.00","70.00","71.00","65.00","46.00","74.00","47","3"
"NEG_A","2","3","1.00","1.00","1","5","1.00","2.00","1.00","3.00","1.00","1.00","2.00","3.00","24.00","22.00","4.00","4.00","1.00","3.00","6.00","1.00","7","6","5","7","3","10","12.00","17.00","2.00","3.00","4.00","4.00","1.00","1.00","2.00","4.00","12.00","11.00","3.00","3.00","2.00","1.00","2.00","3.00","4.00","3.00","6.00","6.00","3.00","3.00","3","1"
"NEG_B","3","1","3.00","1.00","3","1","2.00","1.00","2.00","1.00","1.00","3.00","1.00","3.00","7.00","5.00","5.00","3.00","6.00","2.00","4.00","1.00","8","6","6","2","12","6","10.00","7.00","4.00","4.00","9.00","6.00","4.00","1.00","6.00","7.00","8.00","10.00","4.00","10.00","5.00","5.00","3.00","8.00","6.00","9.00","5.00","2.00","2.00","3.00","3","1"
"NEG_C","4","4","1.00","4.00","2","3","1.00","1.00","1.00","2.00","1.00","1.00","2.00","4.00","7.00","6.00","4.00","4.00","3.00","2.00","6.00","1.00","9","5","5","2","10","2","11.00","11.00","5.00","7.00","8.00","6.00","6.00","1.00","3.00","5.00","4.00","3.00","7.00","7.00","6.00","2.00","6.00","3.00","4.00","4.00","10.00","7.00","2.00","5.00","4","1"
"NEG_D","3","2","1.00","1.00","2","1","1.00","1.00","1.00","1.00","1.00","3.00","1.00","1.00","6.00","2.00","1.00","3.00","3.00","2.00","2.00","1.00","3","3","4","2","4","6","5.00","4.00","2.00","1.00","2.00","5.00","4.00","3.00","4.00","4.00","5.00","3.00","3.00","7.00","2.00","4.00","3.00","3.00","4.00","3.00","3.00","4.00","2.00","5.00","2","1"
