"","MGHBC6_5","MGHBC6_fep","MGHBC8_5","MGHBC8_fep","MGHBC11_5","MGHBC11_fep","MGHBC12_5","MGHBC12_fep","MGHBC13_5","MGHBC13_fep","MGHBC14_5","MGHBC14_fep","MGHBC16_5","MGHBC16_fep","MGHBC18_5","MGHBC18_fep","MGHBC21_5","MGHBC21_fep","MGHBC27_5","MGHBC27_fep","MGHBC28_5","MGHBC28_fep","MGHBC33_5","MGHBC33_fep","MGHBC38_5","MGHBC38_fep","MGHBC41_5","MGHBC41_fep","MGHBC44_5","MGHBC44_fep","MGHBC51_5","MGHBC51_fep","MGHBC52_5","MGHBC52_fep","MGHBC53_5","MGHBC53_fep","MGHBC55_5","MGHBC55_fep","MGHBC56_5","MGHBC56_fep","MGHBC57_5","MGHBC57_fep","MGHBC58_5","MGHBC58_fep","MGHBC60_5","MGHBC60_fep","MGHBC63_5","MGHBC63_fep","MGHBC64_5","MGHBC64_fep","MGHBC17ec_5","MGHBC17ec_fep","MGHBC5_5","MGHBC5_fep"
"NEG_E","1","7","1.00","1.00","1","4","1.00","1.00","2.00","1.00","2.00","1.00","2.00","3.00","116.00","112.00","1.00","2.00","1.00","2.00","2.00","1.00","2","2","4","1","1","3","8.00","13.00","1.00","2.00","2.00","4.00","1.00","1.00","1.00","5.00","63.00","44.00","1.00","5.00","6.00","4.00","5.00","2.00","2.00","1.00","6.00","1.00","1.00","1.00","2","1"
"NEG_F","1","3","2.00","1.00","1","7","1.00","1.00","1.00","1.00","2.00","1.00","1.00","4.00","9.00","5.00","3.00","3.00","4.00","2.00","4.00","4.00","6","18","6","1","7","14","11.00","13.00","6.00","4.00","4.00","9.00","7.00","4.00","2.00","5.00","2.00","4.00","7.00","8.00","5.00","7.00","4.00","3.00","5.00","3.00","17.00","13.00","1.00","7.00","5","1"
"wzi_1","8","10","5.00","1.00","4","20","1.00","1.00","4.00","3.00","2.00","5.00","7.00","21.00","7.00","11.00","1.00","3.00","4.00","2.00","7.00","1.00","9","21","18","1","21","35","14.00","33.00","9.00","5.00","7.00","11.00","7.00","6.00","9.00","10.00","4.00","3.00","5.00","11.00","7.00","13.00","9.00","3.00","9.00","5.00","17.00","12.00","7.00","5.00","5","1"
"wzy_1","1","4","1.00","1.00","1","6","7.00","2.00","1.00","2.00","1.00","1.00","6.00","5.00","28.00","20.00","2.00","1.00","4.00","2.00","5.00","3.00","3","9","6","1","4","10","12.00","28.00","4.00","2.00","2.00","5.00","1.00","2.00","2.00","2.00","10.00","10.00","2.00","14.00","4.00","3.00","1.00","2.00","1.00","4.00","6.00","7.00","2.00","5.00","1","1"
"wzi_2","5","13","6.00","1.00","4","13","4.00","3.00","4.00","4.00","5.00","4.00","9.00","9.00","13.00","22.00","6.00","4.00","4.00","9.00","5.00","1.00","11","8","13","3","16","21","13.00","10.00","9.00","4.00","5.00","15.00","5.00","6.00","7.00","10.00","8.00","9.00","6.00","10.00","9.00","13.00","7.00","9.00","9.00","13.00","20.00","23.00","8.00","10.00","5","1"
"wzy_2","29","43","18.00","16.00","16","31","24.00","8.00","27.00","45.00","14.00","21.00","23.00","25.00","70.00","54.00","35.00","32.00","40.00","32.00","46.00","25.00","37","47","45","59","59","46","49.00","47.00","34.00","25.00","26.00","31.00","29.00","23.00","26.00","18.00","39.00","29.00","31.00","31.00","30.00","32.00","36.00","20.00","49.00","20.00","36.00","25.00","14.00","30.00","30","1"
"CRE2_KPC_0.95","6","9","3.00","3.00","4","7","1.00","2.00","4.00","6.00","3.00","3.00","7.00","3.00","7.00","15.00","3.00","7.00","4.00","6.00","6.00","2.00","13","7","14","6","20","14","6.00","16.00","7.00","15.00","17.00","12.00","10.00","13.00","9.00","15.00","6.00","4.00","14.00","9.00","18.00","18.00","12.00","5.00","11.00","13.00","11.00","9.00","3.00","7.00","10","1"
"CRE2_NDM_0.95","2","9","1.00","5.00","1","9","2.00","1.00","1.00","3.00","2.00","2.00","4.00","4.00","10.00","7.00","3.00","3.00","5.00","3.00","6.00","1.00","7","12","2","1","9","15","9.00","9.00","6.00","3.00","14.00","8.00","4.00","4.00","5.00","7.00","9.00","9.00","7.00","19.00","5.00","16.00","10.00","4.00","8.00","6.00","8.00","23.00","2.00","8.00","2","1"
"CRE2_OXA48_0.95","3","6","2.00","3.00","1","7","3.00","2.00","1.00","1.00","1.00","2.00","2.00","1.00","6.00","5.00","4.00","4.00","2.00","1.00","1.00","4.00","4","3","2","4","2","2","4.00","3.00","7.00","6.00","7.00","13.00","4.00","1.00","5.00","7.00","8.00","5.00","4.00","6.00","7.00","1.00","2.00","5.00","4.00","1.00","8.00","8.00","3.00","1.00","2","1"
"CRE2_CTXM15_0.95","1","7","1.00","1.00","3","5","1.00","1.00","1.00","1.00","1.00","1.00","1.00","4.00","114533.00","108399.00","1.00","1.00","8.00","2.00","1.00","2.00","3","4","8","2","5","9","4.00","19.00","1.00","5.00","5.00","5.00","5.00","3.00","1.00","2.00","78161.00","72534.00","4.00","4.00","4.00","9.00","3.00","6.00","3.00","3.00","5.00","2.00","2.00","4.00","2","1"
"CRE2_IMP_1_0.95","3","5","1.00","2.00","1","2","1.00","1.00","1.00","2.00","2.00","1.00","3.00","3.00","22.00","29.00","5.00","1.00","2.00","3.00","3.00","1.00","6","5","7","3","9","9","15.00","24.00","1.00","5.00","3.00","11.00","1.00","1.00","2.00","5.00","15.00","14.00","6.00","5.00","2.00","6.00","2.00","3.00","1.00","1.00","9.00","5.00","3.00","3.00","1","1"
"CRE2_IMP_3_8_0.95","18","26","11.00","21.00","18","22","27.00","6.00","24.00","56.00","18.00","28.00","38.00","32.00","64.00","45.00","29.00","31.00","32.00","31.00","38.00","24.00","35","57","32","32","44","42","36.00","30.00","22.00","24.00","20.00","29.00","15.00","17.00","29.00","13.00","15.00","29.00","17.00","22.00","24.00","32.00","23.00","15.00","30.00","22.00","27.00","21.00","3.00","17.00","22","2"
"CRE2_IMP_2_4_0.95","8","5","9.00","1.00","4","8","2.00","1.00","1.00","3.00","1.00","2.00","7.00","8.00","7.00","9.00","5.00","2.00","6.00","1.00","4.00","2.00","4","8","9","6","16","6","12.00","8.00","6.00","4.00","7.00","8.00","11.00","5.00","9.00","5.00","6.00","3.00","7.00","5.00","5.00","6.00","8.00","1.00","11.00","4.00","13.00","6.00","2.00","6.00","6","1"
"CRE2_IMP_5_0.95","18","30","12.00","11.00","15","23","22.00","11.00","26.00","54.00","20.00","23.00","24.00","34.00","45.00","42.00","18.00","12.00","33.00","31.00","39.00","26.00","27","39","26","29","49","26","42.00","10.00","23.00","18.00","14.00","25.00","10.00","13.00","15.00","20.00","12.00","14.00","19.00","19.00","11.00","21.00","28.00","18.00","21.00","19.00","29.00","23.00","13.00","20.00","14","1"
"CRE2_IMP_6_0.95","1","5","2.00","1.00","1","3","1.00","1.00","1.00","1.00","1.00","1.00","2.00","4.00","34.00","34.00","2.00","1.00","3.00","3.00","2.00","4.00","3","9","7","1","7","12","12.00","25.00","4.00","4.00","7.00","8.00","2.00","4.00","3.00","3.00","20.00","14.00","1.00","3.00","7.00","8.00","1.00","1.00","4.00","5.00","5.00","6.00","2.00","7.00","2","1"
"CRE2_IMP_7_0.95","2","4","2.00","2.00","1","4","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","4.00","11.00","4.00","4.00","5.00","2.00","6.00","2.00","2","5","7","1","8","13","9.00","11.00","7.00","10.00","7.00","7.00","6.00","2.00","1.00","5.00","3.00","3.00","5.00","8.00","6.00","4.00","5.00","2.00","3.00","2.00","9.00","6.00","1.00","7.00","3","1"
"CRE2_VIM_1_0.95","17","26","15.00","12.00","13","23","24.00","15.00","31.00","64.00","17.00","17.00","25.00","33.00","53.00","67.00","36.00","30.00","30.00","28.00","33.00","31.00","37","51","40","33","36","39","39.00","35.00","19.00","14.00","18.00","25.00","14.00","15.00","14.00","11.00","12.00","18.00","14.00","20.00","18.00","21.00","19.00","11.00","16.00","12.00","27.00","16.00","14.00","18.00","11","2"
"CRE2_VIM_2_3_0.95","2","5","1.00","3.00","3","7","3.00","1.00","1.00","2.00","1.00","1.00","1.00","4.00","75.00","75.00","4.00","1.00","2.00","6.00","6.00","1.00","6","9","10","3","10","7","10.00","21.00","7.00","4.00","2.00","2.00","1.00","2.00","3.00","5.00","32.00","32.00","1.00","9.00","3.00","4.00","6.00","1.00","4.00","1.00","3.00","3.00","2.00","3.00","3","1"
"OXA10_0.95","6","4","2.00","1.00","3","6","2.00","1.00","2.00","1.00","2.00","4.00","6.00","4.00","6.00","5.00","6.00","5.00","2.00","3.00","7.00","3.00","8","13","6","4","12","12","15.00","11.00","10.00","6.00","9.00","4.00","6.00","5.00","10.00","4.00","7.00","7.00","6.00","12.00","9.00","17.00","12.00","4.00","11.00","5.00","24.00","21.00","3.00","10.00","8","1"
"EcMero2_C_APECO78_00485_0.95_1","849","911","2589.00","1011.00","1744","1766","1584.00","253.00","1012.00","766.00","890.00","519.00","2033.00","1849.00","1276.00","1431.00","504.00","486.00","823.00","390.00","326.00","75.00","637","871","1042","162","1596","809","1669.00","578.00","688.00","160.00","1006.00","651.00","1515.00","613.00","494.00","610.00","690.00","660.00","711.00","577.00","792.00","587.00","703.00","404.00","867.00","416.00","1174.00","516.00","170.00","305.00","652","39"
"EcMero2_C_APECO78_02145_0.92_1","2675","1511","3462.00","762.00","4681","3517","3173.00","295.00","1978.00","1051.00","1574.00","617.00","4871.00","3030.00","3214.00","3569.00","753.00","631.00","1237.00","386.00","609.00","63.00","1853","1122","3180","191","4006","1059","4900.00","631.00","1485.00","194.00","2668.00","938.00","2500.00","667.00","2498.00","1024.00","1554.00","1319.00","1825.00","1178.00","1822.00","784.00","1259.00","484.00","1613.00","361.00","3116.00","914.00","338.00","292.00","1064","62"
"EcMero2_C_APECO78_03920_0.97_1","6276","5413","9024.00","2542.00","11380","12280","8707.00","1256.00","6198.00","3180.00","5238.00","2492.00","11213.00","14021.00","8136.00","9482.00","2826.00","2703.00","3859.00","1502.00","1790.00","174.00","5166","6894","9286","145","14167","4427","11923.00","2355.00","3687.00","221.00","6938.00","2836.00","4172.00","1175.00","3839.00","3675.00","3084.00","2838.00","3445.00","2471.00","4281.00","2896.00","2917.00","1070.00","3078.00","1111.00","6218.00","1972.00","851.00","823.00","2337","169"
"EcMero2_C_APECO78_05715_0.97_1","8137","6073","13304.00","2978.00","19236","16750","10047.00","1356.00","9330.00","5542.00","5889.00","2526.00","18823.00","14674.00","9324.00","13568.00","3316.00","3083.00","5402.00","1766.00","2060.00","238.00","5948","5950","10809","283","17438","5798","25175.00","4625.00","5617.00","374.00","10468.00","4045.00","8583.00","2074.00","8196.00","3271.00","4840.00","4412.00","7246.00","4728.00","6252.00","3608.00","5740.00","1600.00","5743.00","1262.00","11012.00","3144.00","1918.00","1475.00","3549","213"
"EcMero2_C_APECO78_16235_0.95_1","971","564","2286.00","253.00","2428","1453","1649.00","141.00","975.00","383.00","1028.00","356.00","2032.00","1312.00","1073.00","1335.00","513.00","460.00","716.00","182.00","304.00","23.00","658","469","1223","71","2365","478","2592.00","227.00","540.00","64.00","1024.00","365.00","1118.00","244.00","502.00","399.00","662.00","668.00","749.00","382.00","730.00","363.00","648.00","155.00","441.00","120.00","1017.00","298.00","133.00","135.00","400","16"
"EcMero2_C_APECO78_17535_0.95_1","3435","1483","5189.00","666.00","7057","4473","4980.00","310.00","3346.00","1156.00","2299.00","646.00","7483.00","4388.00","3779.00","4969.00","930.00","892.00","1464.00","359.00","893.00","66.00","1760","1187","4101","89","6309","1206","6359.00","750.00","2014.00","106.00","3050.00","822.00","2460.00","342.00","1710.00","863.00","1393.00","1556.00","1956.00","1228.00","2042.00","705.00","1742.00","359.00","1429.00","193.00","3494.00","1015.00","471.00","257.00","1265","45"
"EcMero2_C_APECO78_19825_0.97_1","3651","1961","6238.00","1291.00","8916","6315","5695.00","604.00","3118.00","989.00","2875.00","1150.00","8443.00","5413.00","4826.00","5400.00","1523.00","1233.00","2398.00","586.00","1367.00","66.00","2421","1755","4920","118","7405","1495","7873.00","1093.00","2908.00","163.00","3734.00","1242.00","3290.00","591.00","2327.00","1684.00","2417.00","2272.00","2684.00","1454.00","2725.00","1391.00","2139.00","634.00","2344.00","467.00","4649.00","1337.00","513.00","408.00","1683","66"
"EcMero2_C_APECO78_20780_0.95_1","1420","761","2370.00","630.00","4501","2957","2507.00","332.00","1348.00","644.00","1469.00","618.00","3893.00","1996.00","1936.00","2131.00","459.00","393.00","1122.00","310.00","582.00","75.00","683","545","1691","129","3149","538","2321.00","319.00","1018.00","168.00","1978.00","763.00","2250.00","373.00","700.00","623.00","407.00","455.00","1074.00","518.00","1168.00","661.00","838.00","351.00","1169.00","237.00","1482.00","532.00","196.00","272.00","831","27"
"EcMero2_Rup_APECO78_00325_0.97_1","5243","6247","21169.00","3946.00","17559","43129","7212.00","2296.00","11172.00","5345.00","4686.00","2493.00","21903.00","26925.00","5159.00","6969.00","2170.00","3128.00","2107.00","2014.00","902.00","179.00","2606","4413","5314","488","8677","7290","12805.00","21862.00","3807.00","310.00","7170.00","4119.00","3199.00","2016.00","2219.00","4289.00","3654.00","5313.00","3102.00","8434.00","2866.00","3912.00","2663.00","2184.00","1330.00","876.00","5253.00","5751.00","1748.00","649.00","2668","373"
"EcMero2_Rup_APECO78_04245_0.95_1","2730","6562","2826.00","1812.00","8846","28215","2936.00","1478.00","3927.00","5820.00","1496.00","1873.00","9193.00","16063.00","2777.00","4128.00","467.00","771.00","701.00","1358.00","676.00","163.00","2409","4171","3278","144","6509","7229","7573.00","14809.00","1150.00","294.00","2300.00","2252.00","2252.00","1371.00","1223.00","1247.00","685.00","850.00","2093.00","4034.00","1578.00","1926.00","1041.00","978.00","1328.00","590.00","2388.00","3323.00","448.00","641.00","834","220"
"EcMero2_Rup_APECO78_05395_0.92_1","105","794","182.00","755.00","301","2342","195.00","504.00","152.00","537.00","162.00","488.00","236.00","2143.00","153.00","224.00","91.00","118.00","91.00","278.00","80.00","57.00","118","322","161","92","416","186","375.00","797.00","136.00","113.00","215.00","808.00","98.00","142.00","178.00","876.00","136.00","139.00","156.00","708.00","121.00","897.00","116.00","268.00","141.00","151.00","303.00","670.00","42.00","220.00","101","60"
"EcMero2_Rup_APECO78_05500_0.97_1","543","1002","539.00","1001.00","1540","6207","684.00","371.00","415.00","974.00","525.00","971.00","861.00","2610.00","456.00","516.00","181.00","268.00","275.00","285.00","156.00","61.00","368","578","545","105","811","519","892.00","887.00","315.00","150.00","516.00","542.00","368.00","303.00","481.00","447.00","256.00","261.00","454.00","712.00","394.00","526.00","329.00","410.00","320.00","241.00","663.00","489.00","95.00","209.00","194","42"
"EcMero2_Rup_APECO78_09510_0.97_1","305","2926","1195.00","1888.00","510","5862","461.00","1117.00","1352.00","2237.00","559.00","1185.00","422.00","5245.00","288.00","384.00","437.00","511.00","273.00","898.00","163.00","98.00","163","907","267","137","650","667","465.00","2655.00","575.00","124.00","209.00","1640.00","110.00","184.00","158.00","2306.00","224.00","185.00","209.00","1662.00","164.00","2126.00","216.00","610.00","141.00","225.00","258.00","1540.00","82.00","357.00","174","130"
"EcMero2_Rup_APECO78_09705_0.92_1","868","7354","3450.00","2434.00","1355","13165","3782.00","2175.00","1872.00","4823.00","3596.00","3497.00","676.00","10316.00","1216.00","1577.00","240.00","459.00","371.00","1186.00","288.00","78.00","923","12686","3079","153","3279","5552","1237.00","1377.00","562.00","122.00","909.00","4749.00","870.00","675.00","340.00","5766.00","2936.00","4538.00","441.00","3530.00","2402.00","10338.00","3506.00","2982.00","148.00","96.00","1167.00","4652.00","114.00","641.00","756","188"
"EcMero2_Rup_APECO78_09710_0.92_1","989","10349","4720.00","2928.00","1000","16012","4836.00","2918.00","2395.00","7883.00","5574.00","5329.00","622.00","13634.00","1225.00","1376.00","260.00","442.00","355.00","1252.00","343.00","81.00","939","14421","3473","211","3233","6037","910.00","1503.00","579.00","194.00","915.00","5726.00","851.00","702.00","114.00","6852.00","3039.00","4750.00","340.00","3290.00","2766.00","12258.00","3499.00","3447.00","93.00","61.00","975.00","7443.00","107.00","820.00","971","233"
"EcMero2_Rup_APECO78_12545_0.97_0.95","601","2442","819.00","630.00","2444","19795","742.00","551.00","283.00","2168.00","553.00","490.00","969.00","3488.00","625.00","690.00","166.00","242.00","258.00","259.00","293.00","73.00","457","678","878","94","1616","3889","2060.00","28445.00","418.00","143.00","1408.00","925.00","483.00","297.00","993.00","586.00","496.00","447.00","729.00","5332.00","754.00","1048.00","341.00","302.00","354.00","261.00","1174.00","1967.00","110.00","208.00","250","61"
"EcMero2_Rup_APECO78_21920_0.92_1","209","276","329.00","198.00","700","600","459.00","83.00","242.00","230.00","280.00","238.00","655.00","463.00","413.00","404.00","144.00","146.00","135.00","113.00","204.00","43.00","158","136","361","93","274","153","654.00","281.00","250.00","151.00","463.00","334.00","240.00","157.00","381.00","294.00","270.00","299.00","623.00","310.00","327.00","249.00","312.00","171.00","229.00","166.00","404.00","271.00","105.00","211.00","142","9"
"EcMero2_Rup_APECO78_22510_0.92_1","1646","6921","854.00","3200.00","6822","46035","2568.00","2708.00","969.00","6609.00","1544.00","6015.00","2128.00","11579.00","1688.00","1570.00","462.00","755.00","902.00","2089.00","516.00","138.00","1170","2476","2012","191","1923","2768","2458.00","8132.00","615.00","248.00","1435.00","3114.00","1269.00","1456.00","596.00","1843.00","687.00","448.00","1285.00","2824.00","981.00","3306.00","1013.00","1952.00","699.00","545.00","1629.00","2954.00","184.00","638.00","539","205"
