"X","MGHBC15_1","MGHBC15_levo","MGHBC17kp_1","MGHBC17kp_levo","MGHBC19_1","MGHBC19_levo","MGHBC23_1","MGHBC23_levo","MGHBC25_1","MGHBC25_levo","MGHBC26_1","MGHBC26_levo","MGHBC29_1","MGHBC29_levo","MGHBC32_1","MGHBC32_levo","MGHBC34_1","MGHBC34_levo","MGHBC35_1","MGHBC35_levo","MGHBC4_1","MGHBC4_levo","MGHBC47_1","MGHBC47_levo","MGHBC48_1","MGHBC48_levo","MGHBC50_1","MGHBC50_levo","MGHBC61_1","MGHBC61_levo","MGHBC62_1","MGHBC62_levo"
"KpCip4_R01up_KPHS_33810_0.97",107,"312.00",79,"1070.00",96,"413.00",52,"371.00",175,"47.00",56,"208.00",69,"113.00",214,"307.00",108,"534.00",101,"999.00",322,"946.00",182,"769.00",61,"80.00",51,"582.00",23,"478.00",84,"771.00"
"KpCip4_R02up_KPHS_02830_0.97",133,"98.00",43,"183.00",63,"158.00",49,"124.00",196,"54.00",111,"136.00",120,"36.00",61,"96.00",89,"64.00",122,"102.00",193,"114.00",175,"196.00",57,"96.00",55,"176.00",56,"273.00",99,"215.00"
"KpCip4_R03up_KPHS_41020_0.92",66,"381.00",96,"1695.00",98,"616.00",48,"583.00",215,"69.00",80,"259.00",76,"169.00",332,"356.00",160,"702.00",73,"940.00",290,"865.00",226,"743.00",74,"98.00",61,"813.00",23,"351.00",85,"749.00"
"KpCip4_R04dn_KPHS_18380_0.97",357,"33.00",95,"42.00",352,"231.00",334,"75.00",503,"122.00",462,"29.00",366,"20.00",65,"14.00",1207,"387.00",231,"32.00",772,"54.00",543,"46.00",22,"22.00",234,"61.00",43,"43.00",174,"37.00"
"KpCip4_R05up_KPHS_37080_0.97",31,"54.00",15,"65.00",51,"97.00",36,"103.00",75,"18.00",50,"122.00",44,"33.00",19,"52.00",62,"36.00",57,"45.00",45,"44.00",77,"58.00",28,"29.00",30,"123.00",15,"90.00",23,"66.00"
"KpCip4_R06up_KPHS_41010_0.95",8,"15.00",13,"56.00",24,"84.00",14,"37.00",43,"13.00",10,"12.00",2,"6.00",23,"32.00",20,"51.00",19,"81.00",21,"39.00",32,"83.00",16,"17.00",18,"66.00",6,"24.00",21,"44.00"
"KpCip4_R07up_KPHS_02820_0.97",111,"146.00",53,"232.00",65,"280.00",43,"132.00",186,"54.00",91,"138.00",81,"73.00",94,"129.00",96,"173.00",87,"231.00",129,"212.00",163,"231.00",59,"107.00",45,"228.00",33,"117.00",51,"197.00"
"KpCip4_R08up_KPHS_03450_0.92",15,"27.00",18,"231.00",41,"136.00",20,"67.00",95,"33.00",18,"35.00",7,"15.00",37,"48.00",39,"67.00",36,"104.00",62,"65.00",61,"113.00",18,"14.00",29,"238.00",14,"41.00",23,"86.00"
"KpCip4_R09up_KPHS_53000_0.97",7,"9.00",8,"30.00",7,"9.00",8,"16.00",29,"3.00",21,"19.00",6,"6.00",8,"14.00",14,"6.00",18,"17.00",12,"15.00",27,"17.00",2,"13.00",2,"30.00",13,"40.00",15,"28.00"
"KpCip4_R10up_KPHS_37090_0.97",99,"48.00",47,"88.00",69,"83.00",49,"86.00",131,"23.00",92,"70.00",56,"31.00",29,"75.00",73,"49.00",95,"70.00",46,"71.00",80,"64.00",45,"75.00",46,"109.00",29,"79.00",56,"85.00"
"KpCip4_R11dn_KPHS_31980_0.95",811,"71.00",529,"83.00",409,"319.00",439,"84.00",1582,"330.00",483,"32.00",460,"31.00",616,"147.00",984,"251.00",684,"147.00",2318,"209.00",2487,"151.00",441,"634.00",333,"60.00",166,"69.00",599,"208.00"
"KpCip4_R12up_KPHS_40580_0.95",178,"281.00",103,"332.00",171,"343.00",135,"284.00",400,"84.00",271,"205.00",298,"130.00",173,"154.00",213,"348.00",196,"494.00",542,"380.00",433,"359.00",135,"176.00",107,"333.00",72,"261.00",97,"259.00"
