"X","MGHBC15_1","MGHBC15_levo","MGHBC17kp_1","MGHBC17kp_levo","MGHBC19_1","MGHBC19_levo","MGHBC23_1","MGHBC23_levo","MGHBC25_1","MGHBC25_levo","MGHBC26_1","MGHBC26_levo","MGHBC29_1","MGHBC29_levo","MGHBC32_1","MGHBC32_levo","MGHBC34_1","MGHBC34_levo","MGHBC35_1","MGHBC35_levo","MGHBC4_1","MGHBC4_levo","MGHBC47_1","MGHBC47_levo","MGHBC48_1","MGHBC48_levo","MGHBC50_1","MGHBC50_levo","MGHBC61_1","MGHBC61_levo","MGHBC62_1","MGHBC62_levo"
"POS_A",26168,"9887.00",13251,"13602.00",14444,"8896.00",9770,"6261.00",28042,"9955.00",20509,"10290.00",17150,"5421.00",11618,"12024.00",8746,"9053.00",17886,"10078.00",19308,"9096.00",28390,"11424.00",8554,"13678.00",10376,"10314.00",8228,"15272.00",18605,"15623.00"
"POS_B",2930,"3134.00",3964,"4314.00",1853,"2804.00",1219,"1975.00",3388,"3037.00",2628,"3037.00",2197,"1858.00",1500,"3499.00",1006,"2757.00",2146,"3014.00",2266,"2944.00",4016,"3318.00",2672,"4332.00",3186,"3044.00",2893,"4719.00",5718,"4815.00"
"POS_C",1834,"1230.00",1362,"1628.00",1528,"1056.00",996,"768.00",2951,"1089.00",2244,"1151.00",1948,"713.00",1185,"1308.00",871,"1023.00",1734,"1126.00",1468,"1094.00",3335,"1246.00",1023,"1532.00",1231,"1085.00",1117,"1759.00",2007,"1736.00"
"POS_D",189,"210.00",288,"307.00",113,"215.00",84,"129.00",254,"224.00",167,"261.00",144,"164.00",91,"256.00",94,"213.00",176,"218.00",115,"233.00",239,"265.00",218,"330.00",252,"236.00",187,"320.00",398,"367.00"
"POS_E",71,"38.00",71,"56.00",47,"43.00",26,"26.00",88,"43.00",43,"67.00",47,"31.00",32,"51.00",26,"43.00",41,"42.00",47,"43.00",84,"50.00",50,"65.00",59,"61.00",46,"91.00",101,"72.00"
"POS_F",56,"10.00",16,"19.00",47,"6.00",30,"14.00",83,"11.00",50,"10.00",20,"4.00",19,"14.00",34,"13.00",40,"8.00",6,"10.00",47,"12.00",12,"17.00",14,"9.00",12,"13.00",17,"17.00"
"NEG_A",1,"1.00",6,"4.00",2,"2.00",6,"1.00",6,"1.00",4,"1.00",3,"1.00",1,"2.00",3,"1.00",6,"2.00",3,"1.00",9,"1.00",5,"2.00",3,"2.00",4,"1.00",3,"3.00"
"NEG_B",1,"4.00",9,"4.00",4,"2.00",2,"2.00",5,"1.00",3,"4.00",2,"4.00",1,"3.00",3,"3.00",5,"5.00",1,"3.00",6,"4.00",3,"2.00",4,"2.00",6,"1.00",3,"5.00"
"NEG_C",1,"2.00",1,"6.00",7,"4.00",6,"1.00",7,"1.00",1,"6.00",2,"4.00",4,"3.00",2,"2.00",3,"3.00",1,"2.00",7,"5.00",4,"2.00",4,"4.00",3,"4.00",6,"8.00"
"NEG_D",1,"1.00",3,"1.00",4,"1.00",2,"2.00",4,"1.00",1,"1.00",1,"1.00",1,"2.00",3,"1.00",2,"1.00",2,"2.00",2,"2.00",3,"1.00",2,"4.00",1,"1.00",3,"4.00"
"NEG_E",6,"1.00",1,"2.00",8,"1.00",7,"1.00",9,"1.00",2,"1.00",4,"1.00",1,"2.00",2,"1.00",8,"4.00",1,"1.00",5,"1.00",3,"2.00",5,"3.00",1,"1.00",1,"2.00"
"NEG_F",3,"5.00",2,"2.00",3,"2.00",3,"2.00",4,"2.00",6,"1.00",4,"1.00",1,"2.00",1,"2.00",9,"1.00",2,"1.00",7,"1.00",3,"1.00",1,"5.00",2,"1.00",4,"4.00"
"KpCip4_C_KPHS_08300_0.95",4,"3.00",5,"16.00",17,"14.00",14,"8.00",40,"10.00",7,"3.00",5,"1.00",9,"3.00",18,"10.00",13,"12.00",15,"11.00",25,"13.00",9,"17.00",7,"11.00",5,"4.00",12,"14.00"
"KpCip4_C_KPHS_08670_0.92",13,"7.00",30,"59.00",48,"66.00",41,"26.00",98,"19.00",21,"4.00",10,"2.00",24,"16.00",52,"47.00",68,"32.00",88,"24.00",86,"35.00",30,"44.00",26,"49.00",8,"9.00",46,"46.00"
"KpCip4_C_KPHS_15300_0.97",54,"22.00",58,"38.00",51,"35.00",27,"25.00",86,"33.00",59,"18.00",57,"14.00",36,"22.00",90,"47.00",82,"55.00",185,"43.00",163,"70.00",58,"60.00",41,"22.00",32,"33.00",62,"38.00"
"KpCip4_C_KPHS_20110_0.95",160,"51.00",61,"70.00",58,"29.00",69,"20.00",181,"30.00",158,"34.00",105,"25.00",53,"32.00",124,"87.00",156,"72.00",311,"86.00",196,"47.00",54,"98.00",51,"44.00",48,"65.00",83,"54.00"
"KpCip4_C_KPHS_29220_0.95",6,"8.00",14,"8.00",12,"9.00",9,"9.00",48,"16.00",15,"9.00",21,"3.00",1,"7.00",25,"16.00",16,"4.00",51,"13.00",54,"15.00",13,"17.00",17,"6.00",15,"7.00",28,"16.00"
"KpCip4_C_KPHS_33420_0.95",1,"2.00",4,"4.00",1,"2.00",1,"1.00",10,"2.00",5,"2.00",2,"1.00",1,"2.00",1,"2.00",8,"9.00",1,"2.00",8,"1.00",2,"2.00",3,"1.00",4,"2.00",3,"3.00"
"KpCip4_C_KPHS_34080_0.95",19,"10.00",13,"23.00",12,"8.00",9,"14.00",32,"9.00",8,"7.00",17,"4.00",13,"12.00",19,"11.00",16,"9.00",45,"3.00",29,"13.00",7,"10.00",11,"6.00",4,"8.00",16,"20.00"
"KpCip4_C_KPHS_37030_0.97",172,"30.00",64,"72.00",57,"31.00",59,"56.00",101,"27.00",117,"29.00",133,"24.00",36,"20.00",133,"70.00",161,"83.00",375,"81.00",219,"54.00",71,"91.00",81,"49.00",40,"107.00",110,"72.00"
"KpCip4_C_KPHS_42920_0.97",14,"1.00",7,"5.00",15,"8.00",8,"1.00",14,"4.00",14,"3.00",8,"1.00",5,"6.00",20,"7.00",13,"4.00",27,"9.00",26,"8.00",17,"12.00",7,"6.00",12,"13.00",21,"10.00"
"KpCip4_C_KPHS_44560_0.95",85,"26.00",14,"27.00",46,"15.00",27,"10.00",99,"14.00",40,"9.00",37,"15.00",16,"19.00",50,"23.00",49,"23.00",32,"11.00",58,"23.00",26,"36.00",23,"22.00",16,"23.00",30,"28.00"
"KpCip4_C_KPHS_47740_0.92",99,"58.00",35,"44.00",43,"77.00",32,"20.00",84,"41.00",96,"52.00",74,"22.00",30,"16.00",69,"53.00",60,"67.00",135,"48.00",132,"53.00",65,"79.00",49,"30.00",33,"55.00",49,"30.00"
