"","MGHBC4_5","MGHBC4_mem","MGHBC15_5","MGHBC15_mem","MGHBC19_5","MGHBC19_mem","MGHBC23_5","MGHBC23_mem","MGHBC25_5","MGHBC25_mem","MGHBC34_5","MGHBC34_mem","MGHBC35_5","MGHBC35_mem","MGHBC29_5","MGHBC29_mem","MGHBC32_5","MGHBC32_mem","MGHBC26_5","MGHBC26_mem","MGHBC47_5","MGHBC47_mem","MGHBC50_5","MGHBC50_mem","MGHBC48_5","MGHBC48_mem","MGHBC61_5","MGHBC61_mem","MGHBC62_5","MGHBC62_mem","MGHBC17kp_5","MGHBC17kp_mem"
"POS_A","77595","74736","74223.00","81345.00","58272","57501","53377","43059","44155","62644","44910.00","39213.00","58576.00","65693.00","83560.00","66793.00","84833","60107","80613","67265","72878.00","67973.00","44267.00","41547.00","50027.00","42154.00","54153.00","54287.00","39417.00","50375.00","56834.00","46724.00"
"POS_B","9536","9337","8663.00","9994.00","7626","7873","7049","5870","14528","7969","5795.00","5270.00","7634.00","8673.00","11131.00","8898.00","11067","7864","10671","9066","10137.00","9313.00","13106.00","12712.00","14918.00","12840.00","16089.00","16002.00","12883.00","15039.00","17209.00","14889.00"
"POS_C","5057","4765","4457.00","5254.00","5357","5683","4790","4084","4707","5923","4075.00","3592.00","5319.00","5924.00","7456.00","6081.00","7883","5769","7676","6304","7105.00","6621.00","4065.00","3821.00","4664.00","3910.00","4920.00","4910.00","4026.00","4654.00","5307.00","4652.00"
"POS_D","513","513","458.00","491.00","465","452","424","309","935","448","337.00","297.00","440.00","514.00","568.00","492.00","601","399","601","461","525.00","501.00","932.00","787.00","1014.00","792.00","1090.00","1013.00","824.00","980.00","1088.00","913.00"
"POS_E","189","193","180.00","213.00","152","134","124","101","252","134","157.00","104.00","146.00","175.00","203.00","176.00","214","149","216","165","191.00","196.00","222.00","210.00","261.00","189.00","260.00","243.00","211.00","230.00","291.00","253.00"
"POS_F","70","79","62.00","58.00","65","51","75","55","62","100","80.00","52.00","105.00","123.00","92.00","79.00","100","54","97","79","79.00","77.00","64.00","82.00","79.00","62.00","71.00","82.00","52.00","76.00","61.00","40.00"
"NEG_A","1","4","3.00","2.00","2","1","3","3","17","2","34.00","15.00","11.00","5.00","2.00","4.00","1","2","1","2","4.00","2.00","2.00","2.00","2.00","1.00","3.00","1.00","2.00","5.00","3.00","3.00"
"NEG_B","3","2","4.00","2.00","5","4","4","1","7","3","9.00","7.00","5.00","14.00","9.00","6.00","4","4","7","1","5.00","9.00","5.00","6.00","14.00","7.00","5.00","1.00","3.00","3.00","4.00","7.00"
"NEG_C","9","9","5.00","1.00","10","4","6","5","4","11","6.00","15.00","13.00","21.00","7.00","12.00","8","5","7","2","6.00","9.00","11.00","11.00","16.00","20.00","10.00","1.00","7.00","3.00","5.00","2.00"
"NEG_D","8","4","1.00","2.00","4","3","2","5","5","1","11.00","17.00","11.00","15.00","5.00","11.00","6","1","6","2","7.00","12.00","9.00","5.00","13.00","11.00","1.00","5.00","4.00","4.00","3.00","3.00"
"NEG_E","2","1","21.00","4.00","2","3","1","1","62","6","148.00","36.00","10.00","9.00","1.00","2.00","1","1","5","1","4.00","3.00","5.00","2.00","4.00","3.00","5.00","1.00","2.00","3.00","3.00","1.00"
"NEG_F","5","8","2.00","1.00","9","2","7","3","5","4","14.00","13.00","16.00","25.00","15.00","11.00","7","2","8","2","12.00","9.00","10.00","4.00","5.00","9.00","5.00","7.00","6.00","10.00","6.00","6.00"
"wzi_1","6","6","5.00","1.00","8","3","6","4","8","7","11.00","19.00","11.00","14.00","10.00","18.00","9","3","10","3","11.00","5.00","9.00","8.00","5.00","18.00","4.00","7.00","4.00","6.00","9.00","7.00"
"wzy_1","4","6","10.00","1.00","4","2","3","3","24","6","27.00","13.00","17.00","9.00","5.00","5.00","4","1","5","2","7.00","4.00","7.00","2.00","5.00","3.00","3.00","1.00","2.00","1.00","2.00","6.00"
"wzi_2","12","12","3660.00","483.00","16","4","10","3","12","5","27.00","25.00","34.00","44.00","24.00","22.00","1724","66","38","10","32.00","18.00","43.00","14.00","19.00","40.00","144.00","36.00","12.00","10.00","17.00","8.00"
"wzy_2","19","16","30.00","17.00","52","43","45","38","31","54","43.00","49.00","80.00","80.00","45.00","32.00","51","27","46","37","43.00","32.00","30.00","17.00","26.00","28.00","23.00","22.00","18.00","30.00","37.00","15.00"
"CRE2_KPC_0.95","1","10","2.00","3.00","6","7","5","7","12","5","14.00","13.00","18.00","24.00","12.00","10.00","11","3","12","4","8.00","15.00","17.00","13.00","70164.00","27395.00","10.00","7.00","3.00","9.00","8.00","9.00"
"CRE2_NDM_0.95","7","5","4.00","5.00","1","3","5","4","4","5","11.00","14.00","11.00","17.00","11.00","12.00","4","2","7","3","8.00","6.00","16.00","10.00","7.00","13.00","5.00","5.00","6.00","5.00","6.00","5.00"
"CRE2_OXA48_0.95","2","8","1.00","1.00","3","3","2","4","8","4","3.00","17.00","2.00","17.00","9.00","11.00","5","1","9","1","6.00","9.00","9.00","7.00","18.00","14.00","4.00","7.00","1.00","3.00","3.00","3.00"
"CRE2_CTXM15_0.95","3","2","119801.00","8280.00","1","1","1","2","96986","5916","114405.00","24379.00","19.00","8.00","4.00","3.00","1","1","2","3","6.00","2.00","6.00","3.00","7.00","4.00","2.00","2.00","2.00","3.00","5.00","3.00"
"CRE2_IMP_1_0.95","2","5","6.00","1.00","2","1","2","2","21","3","46.00","9.00","8.00","11.00","6.00","3.00","1","1","3","2","12.00","3.00","4.00","1.00","1.00","3.00","8.00","1.00","3.00","3.00","9.00","2.00"
"CRE2_IMP_3_8_0.95","13","13","18.00","17.00","28","19","38","33","28","41","39.00","34.00","59.00","69.00","35.00","28.00","40","24","44","25","38.00","29.00","33.00","13.00","15.00","15.00","20.00","12.00","14.00","19.00","22.00","14.00"
"CRE2_IMP_2_4_0.95","5","5","4.00","4.00","2","1","2","3","8","2","9.00","9.00","7.00","13.00","7.00","6.00","4","1","8","3","3.00","9.00","16.00","16.00","18.00","16.00","8.00","3.00","9.00","5.00","5.00","6.00"
"CRE2_IMP_5_0.95","9","19","17.00","26.00","25","17","43","33","14","37","44.00","27.00","73.00","61.00","39.00","30.00","37","16","40","23","17.00","15.00","22.00","13.00","14.00","15.00","23.00","7.00","12.00","14.00","18.00","17.00"
"CRE2_IMP_6_0.95","4","1","4.00","2.00","1","1","4","2","25","2","32.00","13.00","17.00","11.00","4.00","5.00","3","1","2","4","7.00","3.00","4.00","5.00","2.00","5.00","2.00","2.00","6.00","2.00","3.00","4.00"
"CRE2_IMP_7_0.95","5","3","2.00","3.00","5","4","6","7","4","7","13.00","8.00","13.00","24.00","7.00","11.00","5","7","11","8","8.00","18.00","10.00","10.00","17.00","17.00","6.00","7.00","5.00","4.00","4.00","3.00"
"CRE2_VIM_1_0.95","12","15","14.00","17.00","24","36","51","29","11","51","50.00","34.00","79.00","72.00","26.00","40.00","34","21","37","31","19.00","17.00","20.00","19.00","8.00","14.00","14.00","16.00","10.00","13.00","10.00","8.00"
"CRE2_VIM_2_3_0.95","3","1","14.00","2.00","4","1","3","3","30","7","91.00","24.00","15.00","7.00","1.00","4.00","1","1","4","4","7.00","3.00","3.00","3.00","4.00","2.00","3.00","7.00","3.00","3.00","3.00","3.00"
"OXA10_0.95","5","4","2.00","1.00","7","4","6","4","8","6","12.00","17.00","15.00","12.00","14.00","12.00","13","4","9","11","16.00","3.00","14.00","12.00","14.00","18.00","10.00","6.00","8.00","9.00","7.00","3.00"
"KpMero4_C_KPN_00050_0.97","6834","4278","4447.00","923.00","1568","311","1127","387","1577","380","3352.00","2394.00","2886.00","2437.00","4015.00","1739.00","1781","186","3675","480","5430.00","2360.00","4918.00","957.00","3315.00","2071.00","2389.00","1154.00","1512.00","684.00","1964.00","399.00"
"KpMero4_C_KPN_00098_0.97","8953","5356","3886.00","743.00","1601","376","1306","411","2097","312","3501.00","1169.00","2593.00","1692.00","4234.00","1457.00","2068","189","4423","266","6631.00","2537.00","5314.00","949.00","3095.00","2266.00","2389.00","984.00","1904.00","680.00","2216.00","287.00"
"KpMero4_C_KPN_00100_0.97","45189","35516","30797.00","6276.00","12422","2497","8658","3670","10240","3043","31485.00","17888.00","28661.00","30688.00","35109.00","12514.00","13341","1532","35667","3553","47368.00","20468.00","30135.00","7075.00","16869.00","12739.00","15471.00","5875.00","10661.00","4610.00","15658.00","2590.00"
"KpMero4_C_KPN_01276_0.92","5529","3156","2457.00","361.00","967","221","752","267","864","239","2729.00","1407.00","1878.00","1093.00","2398.00","822.00","1334","217","2441","318","4162.00","1607.00","2921.00","658.00","1803.00","976.00","1461.00","471.00","941.00","399.00","1281.00","255.00"
"KpMero4_C_KPN_02846_0.95","6188","3948","2675.00","505.00","1509","274","898","305","1523","277","3275.00","1833.00","2115.00","1790.00","2888.00","946.00","1946","200","2360","264","5680.00","2603.00","3018.00","617.00","2426.00","1610.00","1569.00","612.00","1376.00","575.00","1581.00","270.00"
"KpMero4_C_KPN_03317_0.92","4928","2974","2088.00","304.00","813","211","678","321","887","306","2807.00","1320.00","2417.00","2196.00","1943.00","814.00","940","129","2139","161","3905.00","1802.00","3046.00","717.00","1615.00","1342.00","1002.00","421.00","1151.00","519.00","1320.00","285.00"
"KpMero4_C_KPN_03634_0.92","2539","1197","2358.00","331.00","603","151","529","151","632","167","1620.00","588.00","1925.00","940.00","1776.00","538.00","698","91","2352","198","2716.00","875.00","2502.00","399.00","1343.00","645.00","925.00","259.00","609.00","258.00","730.00","113.00"
"KpMero4_C_KPN_04666_0.97","5223","4404","3551.00","628.00","1136","248","769","255","1330","281","2380.00","2114.00","2725.00","2976.00","2574.00","805.00","1422","169","2044","256","3867.00","1706.00","4139.00","763.00","2676.00","1796.00","1877.00","512.00","1013.00","504.00","1156.00","241.00"
"KpMero4_R01up_KPN_01226_0.97","1632","23212","829.00","2504.00","107","1194","163","1459","153","1622","664.00","14016.00","1077.00","10767.00","493.00","7385.00","325","1274","845","2239","800.00","4362.00","684.00","2088.00","520.00","5855.00","295.00","1944.00","246.00","2389.00","288.00","1236.00"
"KpMero4_R02up_KPN_01107_0.97","2405","6905","587.00","571.00","397","498","286","622","814","551","715.00","5465.00","1117.00","5376.00","372.00","2567.00","979","213","487","905","1061.00","1626.00","1303.00","664.00","811.00","2672.00","314.00","539.00","339.00","1120.00","266.00","421.00"
"KpMero4_R03up_KPN_02345_0.95","13068","41041","5568.00","7492.00","2419","2232","1340","3333","2109","2647","4791.00","13840.00","3983.00","15723.00","4506.00","16092.00","5160","1767","3132","3002","7967.00","20219.00","5854.00","9425.00","4445.00","10931.00","2870.00","7226.00","1925.00","5763.00","2068.00","2026.00"
"KpMero4_R04up_KPN_02742_0.97","2619","11939","1530.00","2036.00","162","731","168","1117","202","1058","960.00","10463.00","1674.00","17124.00","421.00","4541.00","363","365","855","2785","1731.00","2113.00","1055.00","811.00","331.00","2557.00","420.00","1313.00","186.00","1710.00","424.00","1162.00"
"KpMero4_R05dn_KPN_02241_0.92","9798","1192","176.00","8.00","104","11","152","14","46","11","4822.00","121.00","4266.00","135.00","35.00","12.00","53","12","92","15","4482.00","172.00","630.00","54.00","317.00","79.00","25.00","14.00","207.00","28.00","434.00","26.00"
"KpMero4_R06up_KPN_03358_0.92","7328","11989","788.00","297.00","578","464","568","798","992","629","1869.00","5270.00","3153.00","6644.00","1240.00","2972.00","1008","189","1283","894","3405.00","1867.00","3694.00","1002.00","2419.00","2072.00","434.00","285.00","1948.00","2328.00","1159.00","983.00"
"KpMero4_R07up_KPN_03934_0.92","20468","6435","5082.00","734.00","2947","482","1829","509","3180","506","5137.00","4283.00","6809.00","3843.00","6246.00","1682.00","2923","318","6610","743","10797.00","2792.00","9396.00","1227.00","5164.00","2127.00","4004.00","734.00","2373.00","759.00","4532.00","529.00"
"KpMero4_R08dn_KPN_00868_0.92","20392","6865","1391.00","53.00","30","12","562","30","157","42","7213.00","184.00","26895.00","7270.00","339.00","51.00","30","9","2502","38","10115.00","468.00","3517.00","63.00","2503.00","1156.00","307.00","61.00","1219.00","106.00","2759.00","50.00"
"KpMero4_R09up_KPN_02342_0.97","2078","3513","826.00","255.00","233","213","209","254","480","294","660.00","2136.00","872.00","1667.00","460.00","615.00","1813","135","435","135","1804.00","1150.00","1451.00","628.00","917.00","634.00","395.00","236.00","453.00","550.00","393.00","347.00"
"KpMero4_R10up_KPN_00833_0.97","4052","25132","1027.00","6833.00","371","1460","724","2662","587","2749","852.00","18525.00","1281.00","12498.00","3497.00","22122.00","1050","1315","1069","5620","2235.00","9834.00","1656.00","3133.00","1604.00","20232.00","757.00","7221.00","644.00","3889.00","302.00","1272.00"
