"","MGHBC6_5","MGHBC6_cz","MGHBC8_5","MGHBC8_cz","MGHBC11_5","MGHBC11_cz","MGHBC12_5","MGHBC12_cz","MGHBC13_5","MGHBC13_cz","MGHBC14_5","MGHBC14_cz","MGHBC16_5","MGHBC16_cz","MGHBC18_5","MGHBC18_cz","MGHBC21_5","MGHBC21_cz","MGHBC27_5","MGHBC27_cz","MGHBC28_5","MGHBC28_cz","MGHBC33_5","MGHBC33_cz","MGHBC38_5","MGHBC38_cz","MGHBC41_5","MGHBC41_cz","MGHBC44_5","MGHBC44_cz","MGHBC51_5","MGHBC51_cz","MGHBC52_5","MGHBC52_cz","MGHBC53_5","MGHBC53_cz","MGHBC55_5","MGHBC55_cz","MGHBC56_5","MGHBC56_cz","MGHBC57_5","MGHBC57_cz","MGHBC58_5","MGHBC58_cz","MGHBC60_5","MGHBC60_cz","MGHBC63_5","MGHBC63_cz","MGHBC64_5","MGHBC64_cz","MGHBC17ec_5","MGHBC17ec_cz","MGHBC5_5","MGHBC5_cz"
"POS_A","54640","30111","70775.00","80747.00","81828","14620","78405.00","85578.00","63748.00","73276.00","83532.00","84849.00","69751.00","70706.00","76893.00","73361.00","40846.00","22956.00","42703.00","66975.00","53342.00","35805.00","48414","28106","84018","74803","93430","75661","74760.00","76968.00","52597.00","25438.00","58163.00","52964.00","52432.00","53114.00","57165.00","38351.00","52905.00","51894.00","55349.00","60972.00","57625.00","53533.00","55594.00","56879.00","54100.00","51473.00","55397.00","54911.00","32903.00","33973.00","34236","42299"
"POS_B","8031","4396","9097.00","10676.00","10064","1935","9671.00","10840.00","8048.00","9384.00","10555.00","10580.00","8800.00","9059.00","10161.00","9811.00","5410.00","2973.00","5538.00","8808.00","6821.00","4631.00","6513","3823","10788","9609","12075","11273","9496.00","10364.00","15760.00","7570.00","17985.00","16564.00","15626.00","16159.00","17651.00","11594.00","16271.00","16344.00","16603.00","18361.00","18035.00","16577.00","16776.00","17287.00","16002.00","15189.00","16188.00","15985.00","10758.00","11568.00","10487","13037"
"POS_C","4195","2009","4710.00","5399.00","5052","940","4697.00","5195.00","3922.00","4986.00","5320.00","5445.00","4338.00","4468.00","7024.00","6832.00","3646.00","2154.00","3935.00","6236.00","4792.00","3355.00","4443","2694","8122","7041","8533","7321","7037.00","7484.00","5051.00","2409.00","5431.00","5017.00","4841.00","5239.00","5481.00","3589.00","5056.00","4980.00","5042.00","5715.00","5463.00","5092.00","5222.00","5332.00","5054.00","4771.00","4924.00","5021.00","3333.00","3551.00","3264","4034"
"POS_D","472","226","492.00","525.00","501","88","545.00","551.00","412.00","532.00","571.00","539.00","476.00","457.00","576.00","535.00","292.00","166.00","346.00","468.00","344.00","289.00","339","224","589","541","627","579","525.00","592.00","1082.00","566.00","1170.00","1028.00","1035.00","1027.00","1175.00","735.00","1096.00","1106.00","1088.00","1149.00","1235.00","1072.00","1133.00","1155.00","1060.00","1038.00","1096.00","1012.00","614.00","705.00","661","883"
"POS_E","150","76","211.00","198.00","201","34","202.00","228.00","167.00","185.00","200.00","231.00","174.00","174.00","239.00","215.00","101.00","65.00","99.00","200.00","125.00","79.00","142","57","224","184","233","230","182.00","168.00","284.00","122.00","297.00","257.00","228.00","236.00","267.00","189.00","257.00","261.00","267.00","308.00","284.00","250.00","276.00","259.00","262.00","236.00","245.00","285.00","154.00","153.00","181","220"
"POS_F","55","43","70.00","80.00","87","19","78.00","85.00","81.00","84.00","74.00","78.00","64.00","88.00","113.00","111.00","49.00","35.00","59.00","92.00","68.00","59.00","77","36","83","79","121","74","86.00","99.00","79.00","46.00","84.00","73.00","79.00","57.00","82.00","50.00","79.00","62.00","86.00","96.00","97.00","86.00","77.00","76.00","66.00","70.00","71.00","61.00","46.00","43.00","47","63"
"NEG_A","2","3","1.00","1.00","1","1","1.00","1.00","1.00","1.00","1.00","1.00","2.00","5.00","24.00","33.00","4.00","1.00","1.00","5.00","6.00","1.00","7","2","5","1","3","7","12.00","4.00","2.00","2.00","4.00","5.00","1.00","2.00","2.00","5.00","12.00","9.00","3.00","5.00","2.00","1.00","2.00","2.00","4.00","1.00","6.00","3.00","3.00","3.00","3","2"
"NEG_B","3","4","3.00","2.00","3","1","2.00","1.00","2.00","4.00","1.00","3.00","1.00","6.00","7.00","8.00","5.00","1.00","6.00","5.00","4.00","3.00","8","4","6","4","12","7","10.00","7.00","4.00","2.00","9.00","7.00","4.00","2.00","6.00","6.00","8.00","5.00","4.00","4.00","5.00","7.00","3.00","1.00","6.00","3.00","5.00","4.00","2.00","5.00","3","7"
"NEG_C","4","5","1.00","2.00","2","1","1.00","5.00","1.00","1.00","1.00","1.00","2.00","2.00","7.00","2.00","4.00","1.00","3.00","4.00","6.00","1.00","9","1","5","5","10","11","11.00","12.00","5.00","1.00","8.00","2.00","6.00","5.00","3.00","7.00","4.00","5.00","7.00","11.00","6.00","7.00","6.00","3.00","4.00","4.00","10.00","7.00","2.00","1.00","4","5"
"NEG_D","3","1","1.00","1.00","2","1","1.00","4.00","1.00","1.00","1.00","1.00","1.00","1.00","6.00","6.00","1.00","1.00","3.00","2.00","2.00","4.00","3","2","4","7","4","7","5.00","1.00","2.00","1.00","2.00","8.00","4.00","2.00","4.00","3.00","5.00","1.00","3.00","1.00","2.00","6.00","3.00","2.00","4.00","2.00","3.00","8.00","2.00","2.00","2","5"
