"","MGHBC6_5","MGHBC6_cz","MGHBC8_5","MGHBC8_cz","MGHBC11_5","MGHBC11_cz","MGHBC12_5","MGHBC12_cz","MGHBC13_5","MGHBC13_cz","MGHBC14_5","MGHBC14_cz","MGHBC16_5","MGHBC16_cz","MGHBC18_5","MGHBC18_cz","MGHBC21_5","MGHBC21_cz","MGHBC27_5","MGHBC27_cz","MGHBC28_5","MGHBC28_cz","MGHBC33_5","MGHBC33_cz","MGHBC38_5","MGHBC38_cz","MGHBC41_5","MGHBC41_cz","MGHBC44_5","MGHBC44_cz","MGHBC51_5","MGHBC51_cz","MGHBC52_5","MGHBC52_cz","MGHBC53_5","MGHBC53_cz","MGHBC55_5","MGHBC55_cz","MGHBC56_5","MGHBC56_cz","MGHBC57_5","MGHBC57_cz","MGHBC58_5","MGHBC58_cz","MGHBC60_5","MGHBC60_cz","MGHBC63_5","MGHBC63_cz","MGHBC64_5","MGHBC64_cz","MGHBC17ec_5","MGHBC17ec_cz","MGHBC5_5","MGHBC5_cz"
"NEG_E","1","4","1.00","1.00","1","1","1.00","1.00","2.00","2.00","2.00","1.00","2.00","1.00","116.00","127.00","1.00","1.00","1.00","4.00","2.00","2.00","2","2","4","6","1","16","8.00","8.00","1.00","3.00","2.00","5.00","1.00","2.00","1.00","3.00","63.00","52.00","1.00","3.00","6.00","3.00","5.00","3.00","2.00","2.00","6.00","6.00","1.00","1.00","2","1"
"NEG_F","1","3","2.00","1.00","1","1","1.00","4.00","1.00","1.00","2.00","1.00","1.00","3.00","9.00","10.00","3.00","1.00","4.00","5.00","4.00","1.00","6","3","6","1","7","18","11.00","13.00","6.00","2.00","4.00","7.00","7.00","1.00","2.00","7.00","2.00","4.00","7.00","7.00","5.00","5.00","4.00","4.00","5.00","1.00","17.00","7.00","1.00","1.00","5","1"
"wzi_1","8","14","5.00","3.00","4","2","1.00","4.00","4.00","5.00","2.00","2.00","7.00","8.00","7.00","7.00","1.00","1.00","4.00","7.00","7.00","3.00","9","4","18","4","21","17","14.00","15.00","9.00","3.00","7.00","7.00","7.00","2.00","9.00","4.00","4.00","3.00","5.00","10.00","7.00","5.00","9.00","3.00","9.00","3.00","17.00","11.00","7.00","6.00","5","6"
"wzy_1","1","2","1.00","2.00","1","1","7.00","1.00","1.00","2.00","1.00","3.00","6.00","4.00","28.00","23.00","2.00","1.00","4.00","2.00","5.00","6.00","3","1","6","2","4","13","12.00","7.00","4.00","1.00","2.00","3.00","1.00","3.00","2.00","8.00","10.00","6.00","2.00","4.00","4.00","6.00","1.00","5.00","1.00","3.00","6.00","4.00","2.00","1.00","1","3"
"wzi_2","5","4","6.00","2.00","4","2","4.00","5.00","4.00","3.00","5.00","1.00","9.00","4.00","13.00","17.00","6.00","6.00","4.00","9.00","5.00","2.00","11","6","13","2","16","15","13.00","15.00","9.00","1.00","5.00","9.00","5.00","1.00","7.00","4.00","8.00","13.00","6.00","17.00","9.00","10.00","7.00","10.00","9.00","5.00","20.00","12.00","8.00","3.00","5","10"
"wzy_2","29","40","18.00","18.00","16","2","24.00","20.00","27.00","26.00","14.00","13.00","23.00","25.00","70.00","52.00","35.00","14.00","40.00","57.00","46.00","38.00","37","14","45","33","59","71","49.00","54.00","34.00","15.00","26.00","29.00","29.00","22.00","26.00","32.00","39.00","21.00","31.00","28.00","30.00","31.00","36.00","33.00","49.00","33.00","36.00","25.00","14.00","19.00","30","38"
"CRE2_KPC_0.95","6","11","3.00","5.00","4","1","1.00","1.00","4.00","1.00","3.00","1.00","7.00","2.00","7.00","9.00","3.00","6.00","4.00","6.00","6.00","4.00","13","6","14","5","20","15","6.00","18.00","7.00","3.00","17.00","12.00","10.00","9.00","9.00","8.00","6.00","13.00","14.00","6.00","18.00","9.00","12.00","8.00","11.00","6.00","11.00","17.00","3.00","5.00","10","13"
"CRE2_NDM_0.95","2","12","1.00","2.00","1","1","2.00","4.00","1.00","3.00","2.00","1.00","4.00","1.00","10.00","6.00","3.00","1.00","5.00","6.00","6.00","1.00","7","6","2","1","9","10","9.00","10.00","6.00","1.00","14.00","4.00","4.00","5.00","5.00","7.00","9.00","3.00","7.00","12.00","5.00","8.00","10.00","10.00","8.00","7.00","8.00","8.00","2.00","4.00","2","5"
"CRE2_OXA48_0.95","3","3","2.00","1.00","1","1","3.00","2.00","1.00","1.00","1.00","1.00","2.00","5.00","6.00","3.00","4.00","1.00","2.00","5.00","1.00","1.00","4","4","2","4","2","5","4.00","7.00","7.00","1.00","7.00","5.00","4.00","6.00","5.00","5.00","8.00","4.00","4.00","10.00","7.00","6.00","2.00","5.00","4.00","1.00","8.00","4.00","3.00","4.00","2","7"
"CRE2_CTXM15_0.95","1","5","1.00","2.00","3","1","1.00","1.00","1.00","1.00","1.00","2.00","1.00","2.00","114533.00","106081.00","1.00","1.00","8.00","5.00","1.00","4.00","3","3","8","1","5","10","4.00","11.00","1.00","7.00","5.00","5.00","5.00","2.00","1.00","1.00","78161.00","73300.00","4.00","4.00","4.00","3.00","3.00","3.00","3.00","4.00","5.00","4.00","2.00","4.00","2","4"
"CRE2_IMP_1_0.95","3","4","1.00","1.00","1","1","1.00","3.00","1.00","1.00","2.00","1.00","3.00","2.00","22.00","32.00","5.00","2.00","2.00","2.00","3.00","2.00","6","1","7","1","9","14","15.00","12.00","1.00","3.00","3.00","4.00","1.00","4.00","2.00","5.00","15.00","10.00","6.00","1.00","2.00","1.00","2.00","1.00","1.00","2.00","9.00","10.00","3.00","1.00","1","8"
"CRE2_IMP_3_8_0.95","18","22","11.00","14.00","18","1","27.00","27.00","24.00","39.00","18.00","24.00","38.00","24.00","64.00","58.00","29.00","16.00","32.00","54.00","38.00","40.00","35","21","32","26","44","44","36.00","30.00","22.00","11.00","20.00","23.00","15.00","12.00","29.00","14.00","15.00","19.00","17.00","17.00","24.00","27.00","23.00","23.00","30.00","23.00","27.00","25.00","3.00","6.00","22","25"
"CRE2_IMP_2_4_0.95","8","2","9.00","1.00","4","1","2.00","2.00","1.00","2.00","1.00","4.00","7.00","2.00","7.00","12.00","5.00","5.00","6.00","3.00","4.00","2.00","4","2","9","1","16","9","12.00","9.00","6.00","1.00","7.00","5.00","11.00","7.00","9.00","5.00","6.00","5.00","7.00","8.00","5.00","9.00","8.00","5.00","11.00","5.00","13.00","8.00","2.00","7.00","6","9"
"CRE2_IMP_5_0.95","18","22","12.00","12.00","15","1","22.00","34.00","26.00","35.00","20.00","19.00","24.00","20.00","45.00","58.00","18.00","16.00","33.00","25.00","39.00","33.00","27","18","26","17","49","35","42.00","38.00","23.00","5.00","14.00","13.00","10.00","19.00","15.00","11.00","12.00","18.00","19.00","17.00","11.00","8.00","28.00","20.00","21.00","24.00","29.00","21.00","13.00","10.00","14","25"
"CRE2_IMP_6_0.95","1","5","2.00","1.00","1","2","1.00","3.00","1.00","1.00","1.00","1.00","2.00","1.00","34.00","36.00","2.00","1.00","3.00","5.00","2.00","2.00","3","1","7","4","7","11","12.00","7.00","4.00","1.00","7.00","7.00","2.00","3.00","3.00","4.00","20.00","21.00","1.00","7.00","7.00","4.00","1.00","1.00","4.00","5.00","5.00","7.00","2.00","1.00","2","6"
"CRE2_IMP_7_0.95","2","4","2.00","1.00","1","1","1.00","1.00","1.00","1.00","1.00","3.00","1.00","2.00","4.00","5.00","4.00","1.00","5.00","5.00","6.00","1.00","2","4","7","1","8","6","9.00","11.00","7.00","3.00","7.00","2.00","6.00","5.00","1.00","2.00","3.00","5.00","5.00","6.00","6.00","2.00","5.00","8.00","3.00","3.00","9.00","11.00","1.00","1.00","3","3"
"CRE2_VIM_1_0.95","17","24","15.00","16.00","13","3","24.00","26.00","31.00","34.00","17.00","21.00","25.00","36.00","53.00","71.00","36.00","21.00","30.00","39.00","33.00","41.00","37","12","40","22","36","23","39.00","30.00","19.00","15.00","18.00","15.00","14.00","19.00","14.00","17.00","12.00","13.00","14.00","17.00","18.00","14.00","19.00","13.00","16.00","11.00","27.00","12.00","14.00","8.00","11","21"
"CRE2_VIM_2_3_0.95","2","4","1.00","1.00","3","1","3.00","3.00","1.00","2.00","1.00","2.00","1.00","3.00","75.00","94.00","4.00","1.00","2.00","4.00","6.00","1.00","6","2","10","3","10","13","10.00","14.00","7.00","1.00","2.00","3.00","1.00","6.00","3.00","3.00","32.00","30.00","1.00","5.00","3.00","6.00","6.00","2.00","4.00","1.00","3.00","2.00","2.00","1.00","3","3"
"OXA10_0.95","6","5","2.00","1.00","3","1","2.00","1.00","2.00","3.00","2.00","3.00","6.00","6.00","6.00","10.00","6.00","1.00","2.00","4.00","7.00","2.00","8","5","6","1","12","13","15.00","10.00","10.00","5.00","9.00","8.00","6.00","6.00","10.00","6.00","7.00","4.00","6.00","11.00","9.00","9.00","12.00","7.00","11.00","13.00","24.00","11.00","3.00","6.00","8","4"
"EcMero2_C_APECO78_00485_0.95_1","849","412","2589.00","1302.00","1744","317","1584.00","1618.00","1012.00","886.00","890.00","631.00","2033.00","1667.00","1276.00","1341.00","504.00","275.00","823.00","604.00","326.00","152.00","637","391","1042","384","1596","1104","1669.00","1467.00","688.00","148.00","1006.00","705.00","1515.00","917.00","494.00","355.00","690.00","632.00","711.00","801.00","792.00","732.00","703.00","528.00","867.00","422.00","1174.00","633.00","170.00","205.00","652","385"
"EcMero2_C_APECO78_02145_0.92_1","2675","693","3462.00","1041.00","4681","580","3173.00","2106.00","1978.00","1541.00","1574.00","885.00","4871.00","3329.00","3214.00","3360.00","753.00","421.00","1237.00","708.00","609.00","132.00","1853","1116","3180","393","4006","1878","4900.00","4691.00","1485.00","177.00","2668.00","949.00","2500.00","1092.00","2498.00","2119.00","1554.00","1322.00","1825.00","1865.00","1822.00","1631.00","1259.00","724.00","1613.00","419.00","3116.00","1215.00","338.00","356.00","1064","597"
"EcMero2_C_APECO78_03920_0.97_1","6276","2569","9024.00","3374.00","11380","2024","8707.00","7396.00","6198.00","4374.00","5238.00","2562.00","11213.00","11594.00","8136.00","8166.00","2826.00","1620.00","3859.00","2132.00","1790.00","327.00","5166","3666","9286","844","14167","8064","11923.00","10727.00","3687.00","242.00","6938.00","2913.00","4172.00","1423.00","3839.00","2940.00","3084.00","2977.00","3445.00","3966.00","4281.00","3925.00","2917.00","1246.00","3078.00","1166.00","6218.00","2438.00","851.00","994.00","2337","1186"
"EcMero2_C_APECO78_05715_0.97_1","8137","2996","13304.00","3667.00","19236","2826","10047.00","9509.00","9330.00","7981.00","5889.00","3783.00","18823.00","14038.00","9324.00","10303.00","3316.00","1923.00","5402.00","3083.00","2060.00","599.00","5948","3864","10809","954","17438","9232","25175.00","23658.00","5617.00","440.00","10468.00","4264.00","8583.00","3076.00","8196.00","6460.00","4840.00","4562.00","7246.00","8813.00","6252.00","5962.00","5740.00","2401.00","5743.00","1351.00","11012.00","4204.00","1918.00","1698.00","3549","1626"
"EcMero2_C_APECO78_16235_0.95_1","971","214","2286.00","390.00","2428","193","1649.00","829.00","975.00","542.00","1028.00","403.00","2032.00","1267.00","1073.00","1144.00","513.00","295.00","716.00","282.00","304.00","63.00","658","405","1223","181","2365","984","2592.00","2448.00","540.00","61.00","1024.00","376.00","1118.00","357.00","502.00","500.00","662.00","638.00","749.00","846.00","730.00","694.00","648.00","189.00","441.00","140.00","1017.00","388.00","133.00","135.00","400","167"
"EcMero2_C_APECO78_17535_0.95_1","3435","808","5189.00","893.00","7057","820","4980.00","2386.00","3346.00","1763.00","2299.00","874.00","7483.00","4255.00","3779.00","3872.00","930.00","545.00","1464.00","760.00","893.00","111.00","1760","1221","4101","261","6309","2363","6359.00","4943.00","2014.00","120.00","3050.00","941.00","2460.00","480.00","1710.00","1046.00","1393.00","1426.00","1956.00","2391.00","2042.00","1985.00","1742.00","437.00","1429.00","219.00","3494.00","1245.00","471.00","432.00","1265","450"
"EcMero2_C_APECO78_19825_0.97_1","3651","865","6238.00","1696.00","8916","940","5695.00","2949.00","3118.00","1482.00","2875.00","1144.00","8443.00","5107.00","4826.00","4822.00","1523.00","843.00","2398.00","869.00","1367.00","125.00","2421","1681","4920","388","7405","2844","7873.00","6426.00","2908.00","184.00","3734.00","1052.00","3290.00","898.00","2327.00","1730.00","2417.00","2297.00","2684.00","3004.00","2725.00","2567.00","2139.00","817.00","2344.00","520.00","4649.00","1659.00","513.00","510.00","1683","565"
"EcMero2_C_APECO78_20780_0.95_1","1420","372","2370.00","771.00","4501","375","2507.00","1856.00","1348.00","769.00","1469.00","765.00","3893.00","2004.00","1936.00","1843.00","459.00","235.00","1122.00","549.00","582.00","125.00","683","493","1691","272","3149","1099","2321.00","2051.00","1018.00","125.00","1978.00","677.00","2250.00","530.00","700.00","500.00","407.00","454.00","1074.00","1137.00","1168.00","1030.00","838.00","524.00","1169.00","236.00","1482.00","658.00","196.00","213.00","831","410"
"EcMero2_Rup_APECO78_00325_0.97_1","5243","3024","21169.00","5868.00","17559","6359","7212.00","15201.00","11172.00","12343.00","4686.00","3982.00","21903.00","22256.00","5159.00","5154.00","2170.00","946.00","2107.00","2575.00","902.00","307.00","2606","2020","5314","1441","8677","13187","12805.00","13016.00","3807.00","505.00","7170.00","3670.00","3199.00","2710.00","2219.00","1954.00","3654.00","4344.00","3102.00","6457.00","2866.00","2792.00","2663.00","4115.00","1330.00","589.00","5253.00","7600.00","1748.00","1462.00","2668","2194"
"EcMero2_Rup_APECO78_04245_0.95_1","2730","2529","2826.00","2112.00","8846","4215","2936.00","7627.00","3927.00","9368.00","1496.00","2457.00","9193.00","14051.00","2777.00","3238.00","467.00","252.00","701.00","1704.00","676.00","363.00","2409","1784","3278","1024","6509","9032","7573.00","6258.00","1150.00","332.00","2300.00","1868.00","2252.00","1316.00","1223.00","935.00","685.00","748.00","2093.00","3102.00","1578.00","1329.00","1041.00","1217.00","1328.00","454.00","2388.00","3312.00","448.00","665.00","834","1598"
"EcMero2_Rup_APECO78_05395_0.92_1","105","289","182.00","458.00","301","182","195.00","989.00","152.00","610.00","162.00","352.00","236.00","945.00","153.00","178.00","91.00","36.00","91.00","284.00","80.00","78.00","118","90","161","224","416","341","375.00","556.00","136.00","60.00","215.00","555.00","98.00","165.00","178.00","135.00","136.00","133.00","156.00","298.00","121.00","142.00","116.00","221.00","141.00","119.00","303.00","656.00","42.00","72.00","101","378"
"EcMero2_Rup_APECO78_05500_0.97_1","543","415","539.00","1408.00","1540","960","684.00","1993.00","415.00","1140.00","525.00","1047.00","861.00","1618.00","456.00","454.00","181.00","97.00","275.00","389.00","156.00","103.00","368","275","545","297","811","936","892.00","856.00","315.00","99.00","516.00","476.00","368.00","380.00","481.00","388.00","256.00","237.00","454.00","588.00","394.00","387.00","329.00","467.00","320.00","231.00","663.00","768.00","95.00","140.00","194","251"
"EcMero2_Rup_APECO78_09510_0.97_1","305","960","1195.00","1323.00","510","539","461.00","2397.00","1352.00","2460.00","559.00","748.00","422.00","3140.00","288.00","261.00","437.00","233.00","273.00","756.00","163.00","124.00","163","109","267","351","650","865","465.00","607.00","575.00","93.00","209.00","1070.00","110.00","251.00","158.00","128.00","224.00","191.00","209.00","441.00","164.00","135.00","216.00","437.00","141.00","173.00","258.00","1032.00","82.00","259.00","174","760"
"EcMero2_Rup_APECO78_09705_0.92_1","868","2462","3450.00","1737.00","1355","1766","3782.00","5947.00","1872.00","5944.00","3596.00","2630.00","676.00","5839.00","1216.00","919.00","240.00","119.00","371.00","1293.00","288.00","244.00","923","921","3079","853","3279","9781","1237.00","1706.00","562.00","110.00","909.00","3360.00","870.00","938.00","340.00","257.00","2936.00","4051.00","441.00","1027.00","2402.00","2206.00","3506.00","3163.00","148.00","112.00","1167.00","2589.00","114.00","385.00","756","1608"
"EcMero2_Rup_APECO78_09710_0.92_1","989","3221","4720.00","2450.00","1000","1942","4836.00","8214.00","2395.00","9097.00","5574.00","4254.00","622.00","7448.00","1225.00","826.00","260.00","126.00","355.00","1534.00","343.00","324.00","939","873","3473","1405","3233","11302","910.00","1102.00","579.00","141.00","915.00","4241.00","851.00","848.00","114.00","85.00","3039.00","4299.00","340.00","838.00","2766.00","2436.00","3499.00","3678.00","93.00","63.00","975.00","3979.00","107.00","441.00","971","2077"
"EcMero2_Rup_APECO78_12545_0.97_0.95","601","2176","819.00","514.00","2444","6131","742.00","2638.00","283.00","5475.00","553.00","504.00","969.00","11311.00","625.00","830.00","166.00","89.00","258.00","743.00","293.00","210.00","457","640","878","353","1616","16647","2060.00","4498.00","418.00","106.00","1408.00","1226.00","483.00","338.00","993.00","1258.00","496.00","467.00","729.00","2071.00","754.00","569.00","341.00","655.00","354.00","217.00","1174.00","4767.00","110.00","182.00","250","2580"
"EcMero2_Rup_APECO78_21920_0.92_1","209","132","329.00","281.00","700","76","459.00","477.00","242.00","233.00","280.00","249.00","655.00","548.00","413.00","360.00","144.00","82.00","135.00","187.00","204.00","70.00","158","112","361","249","274","278","654.00","509.00","250.00","89.00","463.00","283.00","240.00","166.00","381.00","427.00","270.00","200.00","623.00","505.00","327.00","286.00","312.00","230.00","229.00","171.00","404.00","306.00","105.00","93.00","142","215"
"EcMero2_Rup_APECO78_22510_0.92_1","1646","2422","854.00","3890.00","6822","7054","2568.00","16127.00","969.00","6990.00","1544.00","7771.00","2128.00","7305.00","1688.00","1824.00","462.00","237.00","902.00","2407.00","516.00","260.00","1170","941","2012","1515","1923","3873","2458.00","2574.00","615.00","213.00","1435.00","2588.00","1269.00","1606.00","596.00","478.00","687.00","509.00","1285.00","1630.00","981.00","960.00","1013.00","2403.00","699.00","383.00","1629.00","3576.00","184.00","541.00","539","1283"
