"","MGHBC6_5","MGHBC6_etp","MGHBC8_5","MGHBC8_etp","MGHBC11_5","MGHBC11_etp","MGHBC12_5","MGHBC12_etp","MGHBC13_5","MGHBC13_etp","MGHBC14_5","MGHBC14_etp","MGHBC16_5","MGHBC16_etp","MGHBC18_5","MGHBC18_etp","MGHBC21_5","MGHBC21_etp","MGHBC27_5","MGHBC27_etp","MGHBC28_5","MGHBC28_etp","MGHBC33_5","MGHBC33_etp","MGHBC38_5","MGHBC38_etp","MGHBC41_5","MGHBC41_etp","MGHBC44_5","MGHBC44_etp","MGHBC51_5","MGHBC51_etp","MGHBC52_5","MGHBC52_etp","MGHBC53_5","MGHBC53_etp","MGHBC55_5","MGHBC55_etp","MGHBC56_5","MGHBC56_etp","MGHBC57_5","MGHBC57_etp","MGHBC58_5","MGHBC58_etp","MGHBC60_5","MGHBC60_etp","MGHBC63_5","MGHBC63_etp","MGHBC64_5","MGHBC64_etp","MGHBC17ec_5","MGHBC17ec_etp","MGHBC5_5","MGHBC5_etp"
"NEG_E","1","3","1.00","1.00","1","1","1.00","2.00","2.00","1.00","2.00","1.00","2.00","2.00","116.00","3.00","1.00","1.00","1.00","1.00","2.00","1.00","2","6","4","2","1","19","8.00","9.00","1.00","1.00","2.00","2.00","1.00","2.00","1.00","3.00","63.00","1.00","1.00","2.00","6.00","3.00","5.00","1.00","2.00","1.00","6.00","3.00","1.00","1.00","2","2"
"NEG_F","1","1","2.00","4.00","1","1","1.00","1.00","1.00","1.00","2.00","3.00","1.00","1.00","9.00","2.00","3.00","1.00","4.00","1.00","4.00","3.00","6","6","6","4","7","10","11.00","3.00","6.00","2.00","4.00","2.00","7.00","1.00","2.00","1.00","2.00","3.00","7.00","1.00","5.00","3.00","4.00","3.00","5.00","3.00","17.00","2.00","1.00","3.00","5","2"
"wzi_1","8","1","5.00","1.00","4","2","1.00","2.00","4.00","1.00","2.00","1.00","7.00","2.00","7.00","2.00","1.00","2.00","4.00","8.00","7.00","2.00","9","3","18","6","21","19","14.00","4.00","9.00","5.00","7.00","3.00","7.00","4.00","9.00","2.00","4.00","2.00","5.00","1.00","7.00","4.00","9.00","3.00","9.00","3.00","17.00","3.00","7.00","2.00","5","4"
"wzy_1","1","4","1.00","2.00","1","1","7.00","1.00","1.00","5.00","1.00","3.00","6.00","2.00","28.00","2.00","2.00","2.00","4.00","2.00","5.00","3.00","3","5","6","1","4","19","12.00","8.00","4.00","1.00","2.00","7.00","1.00","1.00","2.00","1.00","10.00","1.00","2.00","2.00","4.00","3.00","1.00","2.00","1.00","4.00","6.00","2.00","2.00","1.00","1","2"
"wzi_2","5","1","6.00","2.00","4","2","4.00","3.00","4.00","4.00","5.00","1.00","9.00","1.00","13.00","4.00","6.00","1.00","4.00","2.00","5.00","1.00","11","6","13","1","16","11","13.00","10.00","9.00","2.00","5.00","2.00","5.00","2.00","7.00","6.00","8.00","5.00","6.00","2.00","9.00","4.00","7.00","6.00","9.00","4.00","20.00","2.00","8.00","1.00","5","3"
"wzy_2","29","38","18.00","15.00","16","24","24.00","16.00","27.00","57.00","14.00","28.00","23.00","26.00","70.00","78.00","35.00","34.00","40.00","32.00","46.00","19.00","37","46","45","50","59","42","49.00","46.00","34.00","22.00","26.00","23.00","29.00","23.00","26.00","32.00","39.00","18.00","31.00","22.00","30.00","28.00","36.00","29.00","49.00","19.00","36.00","29.00","14.00","12.00","30","46"
"CRE2_KPC_0.95","6","4","3.00","1.00","4","1","1.00","1.00","4.00","2.00","3.00","1.00","7.00","4.00","7.00","8.00","3.00","3.00","4.00","5.00","6.00","2.00","13","3","14","4","20","11","6.00","6.00","7.00","5.00","17.00","11.00","10.00","8.00","9.00","7.00","6.00","4.00","14.00","7.00","18.00","8.00","12.00","3.00","11.00","4.00","11.00","11.00","3.00","3.00","10","5"
"CRE2_NDM_0.95","2","2","1.00","1.00","1","1","2.00","1.00","1.00","1.00","2.00","1.00","4.00","1.00","10.00","2.00","3.00","1.00","5.00","1.00","6.00","2.00","7","6","2","3","9","2","9.00","4.00","6.00","3.00","14.00","6.00","4.00","3.00","5.00","5.00","9.00","5.00","7.00","5.00","5.00","5.00","10.00","4.00","8.00","3.00","8.00","3.00","2.00","4.00","2","7"
"CRE2_OXA48_0.95","3","1","2.00","1.00","1","3","3.00","3.00","1.00","3.00","1.00","1.00","2.00","1.00","6.00","3.00","4.00","2.00","2.00","6.00","1.00","2.00","4","3","2","4","2","2","4.00","1.00","7.00","5.00","7.00","3.00","4.00","3.00","5.00","3.00","8.00","1.00","4.00","2.00","7.00","2.00","2.00","1.00","4.00","3.00","8.00","3.00","3.00","2.00","2","5"
"CRE2_CTXM15_0.95","1","4","1.00","2.00","3","1","1.00","1.00","1.00","1.00","1.00","1.00","1.00","2.00","114533.00","411.00","1.00","1.00","8.00","5.00","1.00","1.00","3","6","8","1","5","11","4.00","7.00","1.00","1.00","5.00","3.00","5.00","1.00","1.00","4.00","78161.00","288.00","4.00","1.00","4.00","3.00","3.00","2.00","3.00","4.00","5.00","1.00","2.00","1.00","2","4"
"CRE2_IMP_1_0.95","3","5","1.00","1.00","1","1","1.00","1.00","1.00","2.00","2.00","1.00","3.00","1.00","22.00","1.00","5.00","1.00","2.00","1.00","3.00","1.00","6","2","7","4","9","19","15.00","8.00","1.00","1.00","3.00","3.00","1.00","4.00","2.00","2.00","15.00","6.00","6.00","6.00","2.00","5.00","2.00","1.00","1.00","1.00","9.00","5.00","3.00","1.00","1","2"
"CRE2_IMP_3_8_0.95","18","20","11.00","19.00","18","23","27.00","27.00","24.00","53.00","18.00","36.00","38.00","30.00","64.00","49.00","29.00","24.00","32.00","31.00","38.00","15.00","35","30","32","37","44","18","36.00","25.00","22.00","24.00","20.00","17.00","15.00","21.00","29.00","24.00","15.00","15.00","17.00","15.00","24.00","16.00","23.00","22.00","30.00","13.00","27.00","20.00","3.00","13.00","22","25"
"CRE2_IMP_2_4_0.95","8","5","9.00","1.00","4","1","2.00","1.00","1.00","1.00","1.00","1.00","7.00","1.00","7.00","3.00","5.00","7.00","6.00","2.00","4.00","1.00","4","5","9","4","16","5","12.00","6.00","6.00","6.00","7.00","3.00","11.00","7.00","9.00","3.00","6.00","2.00","7.00","10.00","5.00","5.00","8.00","5.00","11.00","3.00","13.00","4.00","2.00","2.00","6","10"
"CRE2_IMP_5_0.95","18","15","12.00","13.00","15","22","22.00","25.00","26.00","64.00","20.00","41.00","24.00","27.00","45.00","54.00","18.00","23.00","33.00","17.00","39.00","16.00","27","39","26","34","49","29","42.00","20.00","23.00","14.00","14.00","15.00","10.00","8.00","15.00","20.00","12.00","21.00","19.00","21.00","11.00","11.00","28.00","18.00","21.00","12.00","29.00","23.00","13.00","9.00","14","25"
"CRE2_IMP_6_0.95","1","4","2.00","1.00","1","1","1.00","2.00","1.00","1.00","1.00","1.00","2.00","1.00","34.00","1.00","2.00","3.00","3.00","6.00","2.00","1.00","3","5","7","3","7","18","12.00","7.00","4.00","4.00","7.00","3.00","2.00","2.00","3.00","5.00","20.00","8.00","1.00","1.00","7.00","3.00","1.00","4.00","4.00","1.00","5.00","5.00","2.00","5.00","2","4"
"CRE2_IMP_7_0.95","2","6","2.00","1.00","1","2","1.00","2.00","1.00","1.00","1.00","2.00","1.00","1.00","4.00","3.00","4.00","3.00","5.00","7.00","6.00","1.00","2","4","7","6","8","10","9.00","8.00","7.00","4.00","7.00","5.00","6.00","8.00","1.00","2.00","3.00","3.00","5.00","5.00","6.00","2.00","5.00","7.00","3.00","7.00","9.00","5.00","1.00","5.00","3","5"
"CRE2_VIM_1_0.95","17","30","15.00","13.00","13","29","24.00","27.00","31.00","66.00","17.00","38.00","25.00","30.00","53.00","71.00","36.00","28.00","30.00","24.00","33.00","21.00","37","34","40","30","36","37","39.00","27.00","19.00","17.00","18.00","13.00","14.00","13.00","14.00","10.00","12.00","10.00","14.00","8.00","18.00","15.00","19.00","16.00","16.00","11.00","27.00","18.00","14.00","7.00","11","30"
"CRE2_VIM_2_3_0.95","2","4","1.00","2.00","3","2","3.00","1.00","1.00","2.00","1.00","2.00","1.00","2.00","75.00","7.00","4.00","1.00","2.00","3.00","6.00","4.00","6","2","10","1","10","23","10.00","11.00","7.00","2.00","2.00","1.00","1.00","1.00","3.00","2.00","32.00","1.00","1.00","2.00","3.00","1.00","6.00","1.00","4.00","1.00","3.00","2.00","2.00","1.00","3","3"
"OXA10_0.95","6","3","2.00","3.00","3","1","2.00","3.00","2.00","2.00","2.00","3.00","6.00","1.00","6.00","7.00","6.00","2.00","2.00","5.00","7.00","3.00","8","4","6","3","12","14","15.00","5.00","10.00","6.00","9.00","4.00","6.00","4.00","10.00","1.00","7.00","1.00","6.00","6.00","9.00","9.00","12.00","9.00","11.00","7.00","24.00","6.00","3.00","3.00","8","5"
"EcMero2_C_APECO78_00485_0.95_1","849","182","2589.00","203.00","1744","94","1584.00","181.00","1012.00","190.00","890.00","158.00","2033.00","210.00","1276.00","219.00","504.00","79.00","823.00","160.00","326.00","56.00","637","185","1042","135","1596","534","1669.00","315.00","688.00","155.00","1006.00","208.00","1515.00","177.00","494.00","155.00","690.00","163.00","711.00","215.00","792.00","163.00","703.00","138.00","867.00","157.00","1174.00","237.00","170.00","80.00","652","144"
"EcMero2_C_APECO78_02145_0.92_1","2675","213","3462.00","207.00","4681","97","3173.00","271.00","1978.00","186.00","1574.00","139.00","4871.00","275.00","3214.00","230.00","753.00","86.00","1237.00","149.00","609.00","37.00","1853","197","3180","154","4006","509","4900.00","358.00","1485.00","136.00","2668.00","225.00","2500.00","168.00","2498.00","158.00","1554.00","176.00","1825.00","231.00","1822.00","138.00","1259.00","149.00","1613.00","158.00","3116.00","225.00","338.00","70.00","1064","170"
"EcMero2_C_APECO78_03920_0.97_1","6276","152","9024.00","179.00","11380","106","8707.00","343.00","6198.00","141.00","5238.00","145.00","11213.00","354.00","8136.00","309.00","2826.00","89.00","3859.00","248.00","1790.00","55.00","5166","242","9286","119","14167","1465","11923.00","993.00","3687.00","112.00","6938.00","157.00","4172.00","91.00","3839.00","102.00","3084.00","113.00","3445.00","155.00","4281.00","115.00","2917.00","84.00","3078.00","119.00","6218.00","144.00","851.00","40.00","2337","247"
"EcMero2_C_APECO78_05715_0.97_1","8137","254","13304.00","373.00","19236","190","10047.00","759.00","9330.00","376.00","5889.00","205.00","18823.00","666.00","9324.00","424.00","3316.00","124.00","5402.00","444.00","2060.00","146.00","5948","653","10809","288","17438","4044","25175.00","2375.00","5617.00","194.00","10468.00","269.00","8583.00","154.00","8196.00","165.00","4840.00","194.00","7246.00","240.00","6252.00","273.00","5740.00","174.00","5743.00","317.00","11012.00","250.00","1918.00","114.00","3549","626"
"EcMero2_C_APECO78_16235_0.95_1","971","78","2286.00","107.00","2428","39","1649.00","92.00","975.00","66.00","1028.00","62.00","2032.00","96.00","1073.00","93.00","513.00","41.00","716.00","55.00","304.00","27.00","658","79","1223","68","2365","284","2592.00","125.00","540.00","59.00","1024.00","95.00","1118.00","64.00","502.00","54.00","662.00","69.00","749.00","76.00","730.00","61.00","648.00","67.00","441.00","66.00","1017.00","91.00","133.00","30.00","400","64"
"EcMero2_C_APECO78_17535_0.95_1","3435","133","5189.00","117.00","7057","69","4980.00","183.00","3346.00","120.00","2299.00","98.00","7483.00","176.00","3779.00","159.00","930.00","57.00","1464.00","104.00","893.00","30.00","1760","145","4101","76","6309","583","6359.00","400.00","2014.00","84.00","3050.00","138.00","2460.00","100.00","1710.00","96.00","1393.00","99.00","1956.00","128.00","2042.00","87.00","1742.00","101.00","1429.00","94.00","3494.00","139.00","471.00","43.00","1265","130"
"EcMero2_C_APECO78_19825_0.97_1","3651","93","6238.00","141.00","8916","53","5695.00","175.00","3118.00","118.00","2875.00","85.00","8443.00","192.00","4826.00","180.00","1523.00","52.00","2398.00","107.00","1367.00","38.00","2421","147","4920","93","7405","632","7873.00","466.00","2908.00","103.00","3734.00","147.00","3290.00","91.00","2327.00","102.00","2417.00","103.00","2684.00","146.00","2725.00","122.00","2139.00","90.00","2344.00","97.00","4649.00","175.00","513.00","38.00","1683","137"
"EcMero2_C_APECO78_20780_0.95_1","1420","209","2370.00","211.00","4501","114","2507.00","240.00","1348.00","205.00","1469.00","153.00","3893.00","213.00","1936.00","172.00","459.00","81.00","1122.00","99.00","582.00","45.00","683","174","1691","117","3149","287","2321.00","230.00","1018.00","132.00","1978.00","218.00","2250.00","145.00","700.00","157.00","407.00","143.00","1074.00","210.00","1168.00","166.00","838.00","154.00","1169.00","138.00","1482.00","202.00","196.00","56.00","831","139"
"EcMero2_Rup_APECO78_00325_0.97_1","5243","351","21169.00","906.00","17559","520","7212.00","2048.00","11172.00","558.00","4686.00","259.00","21903.00","2025.00","5159.00","532.00","2170.00","83.00","2107.00","862.00","902.00","130.00","2606","1192","5314","512","8677","10344","12805.00","5537.00","3807.00","212.00","7170.00","373.00","3199.00","160.00","2219.00","143.00","3654.00","334.00","3102.00","535.00","2866.00","675.00","2663.00","193.00","1330.00","466.00","5253.00","335.00","1748.00","65.00","2668","976"
"EcMero2_Rup_APECO78_04245_0.95_1","2730","266","2826.00","476.00","8846","412","2936.00","1226.00","3927.00","462.00","1496.00","209.00","9193.00","1027.00","2777.00","485.00","467.00","94.00","701.00","628.00","676.00","112.00","2409","1069","3278","329","6509","10459","7573.00","4130.00","1150.00","127.00","2300.00","318.00","2252.00","156.00","1223.00","154.00","685.00","231.00","2093.00","497.00","1578.00","409.00","1041.00","165.00","1328.00","251.00","2388.00","266.00","448.00","90.00","834","569"
"EcMero2_Rup_APECO78_05395_0.92_1","105","121","182.00","183.00","301","133","195.00","319.00","152.00","239.00","162.00","139.00","236.00","312.00","153.00","155.00","91.00","76.00","91.00","98.00","80.00","48.00","118","266","161","81","416","1921","375.00","605.00","136.00","80.00","215.00","177.00","98.00","97.00","178.00","86.00","136.00","118.00","156.00","202.00","121.00","156.00","116.00","124.00","141.00","95.00","303.00","188.00","42.00","44.00","101","140"
"EcMero2_Rup_APECO78_05500_0.97_1","543","205","539.00","218.00","1540","165","684.00","271.00","415.00","221.00","525.00","165.00","861.00","212.00","456.00","181.00","181.00","48.00","275.00","128.00","156.00","46.00","368","121","545","113","811","732","892.00","372.00","315.00","91.00","516.00","166.00","368.00","138.00","481.00","143.00","256.00","123.00","454.00","182.00","394.00","133.00","329.00","102.00","320.00","117.00","663.00","175.00","95.00","53.00","194","127"
"EcMero2_Rup_APECO78_09510_0.97_1","305","314","1195.00","349.00","510","238","461.00","826.00","1352.00","520.00","559.00","227.00","422.00","803.00","288.00","305.00","437.00","79.00","273.00","305.00","163.00","74.00","163","560","267","121","650","8949","465.00","2256.00","575.00","96.00","209.00","167.00","110.00","93.00","158.00","79.00","224.00","130.00","209.00","328.00","164.00","364.00","216.00","105.00","141.00","146.00","258.00","225.00","82.00","53.00","174","349"
"EcMero2_Rup_APECO78_09705_0.92_1","868","186","3450.00","311.00","1355","123","3782.00","787.00","1872.00","399.00","3596.00","235.00","676.00","421.00","1216.00","363.00","240.00","39.00","371.00","523.00","288.00","73.00","923","658","3079","281","3279","2099","1237.00","1499.00","562.00","89.00","909.00","194.00","870.00","92.00","340.00","78.00","2936.00","112.00","441.00","120.00","2402.00","263.00","3506.00","182.00","148.00","52.00","1167.00","132.00","114.00","36.00","756","869"
"EcMero2_Rup_APECO78_09710_0.92_1","989","1244","4720.00","1265.00","1000","338","4836.00","2909.00","2395.00","2151.00","5574.00","2051.00","622.00","2132.00","1225.00","2748.00","260.00","270.00","355.00","1144.00","343.00","165.00","939","1419","3473","1306","3233","3729","910.00","2624.00","579.00","287.00","915.00","576.00","851.00","313.00","114.00","155.00","3039.00","90.00","340.00","130.00","2766.00","1060.00","3499.00","630.00","93.00","55.00","975.00","616.00","107.00","163.00","971","2058"
"EcMero2_Rup_APECO78_12545_0.97_0.95","601","1409","819.00","1435.00","2444","1361","742.00","6798.00","283.00","1376.00","553.00","623.00","969.00","5289.00","625.00","1244.00","166.00","136.00","258.00","2473.00","293.00","535.00","457","2595","878","470","1616","40741","2060.00","11121.00","418.00","257.00","1408.00","656.00","483.00","221.00","993.00","192.00","496.00","572.00","729.00","2500.00","754.00","2271.00","341.00","465.00","354.00","1342.00","1174.00","606.00","110.00","147.00","250","2722"
"EcMero2_Rup_APECO78_21920_0.92_1","209","168","329.00","233.00","700","95","459.00","247.00","242.00","162.00","280.00","140.00","655.00","216.00","413.00","190.00","144.00","68.00","135.00","154.00","204.00","27.00","158","140","361","98","274","323","654.00","216.00","250.00","107.00","463.00","209.00","240.00","152.00","381.00","170.00","270.00","189.00","623.00","231.00","327.00","159.00","312.00","142.00","229.00","130.00","404.00","258.00","105.00","65.00","142","152"
"EcMero2_Rup_APECO78_22510_0.92_1","1646","341","854.00","725.00","6822","520","2568.00","1334.00","969.00","361.00","1544.00","386.00","2128.00","824.00","1688.00","664.00","462.00","97.00","902.00","486.00","516.00","128.00","1170","392","2012","655","1923","5977","2458.00","5832.00","615.00","182.00","1435.00","276.00","1269.00","183.00","596.00","152.00","687.00","224.00","1285.00","370.00","981.00","331.00","1013.00","183.00","699.00","460.00","1629.00","303.00","184.00","72.00","539","346"
