"","MGHBC6_5","MGHBC6_etp","MGHBC8_5","MGHBC8_etp","MGHBC11_5","MGHBC11_etp","MGHBC12_5","MGHBC12_etp","MGHBC13_5","MGHBC13_etp","MGHBC14_5","MGHBC14_etp","MGHBC16_5","MGHBC16_etp","MGHBC18_5","MGHBC18_etp","MGHBC21_5","MGHBC21_etp","MGHBC27_5","MGHBC27_etp","MGHBC28_5","MGHBC28_etp","MGHBC33_5","MGHBC33_etp","MGHBC38_5","MGHBC38_etp","MGHBC41_5","MGHBC41_etp","MGHBC44_5","MGHBC44_etp","MGHBC51_5","MGHBC51_etp","MGHBC52_5","MGHBC52_etp","MGHBC53_5","MGHBC53_etp","MGHBC55_5","MGHBC55_etp","MGHBC56_5","MGHBC56_etp","MGHBC57_5","MGHBC57_etp","MGHBC58_5","MGHBC58_etp","MGHBC60_5","MGHBC60_etp","MGHBC63_5","MGHBC63_etp","MGHBC64_5","MGHBC64_etp","MGHBC17ec_5","MGHBC17ec_etp","MGHBC5_5","MGHBC5_etp"
"POS_A","54640","73976","70775.00","83543.00","81828","80756","78405.00","90847.00","63748.00","81124.00","83532.00","84311.00","69751.00","73430.00","76893.00","70476.00","40846.00","37626.00","42703.00","53995.00","53342.00","22195.00","48414","52413","84018","80608","93430","73039","74760.00","70081.00","52597.00","52010.00","58163.00","62783.00","52432.00","50973.00","57165.00","55043.00","52905.00","51026.00","55349.00","55868.00","57625.00","48671.00","55594.00","52388.00","54100.00","46619.00","55397.00","58551.00","32903.00","31532.00","34236","33045"
"POS_B","8031","10829","9097.00","10881.00","10064","9913","9671.00","11345.00","8048.00","10328.00","10555.00","10621.00","8800.00","9150.00","10161.00","9393.00","5410.00","4959.00","5538.00","6846.00","6821.00","2879.00","6513","7116","10788","10852","12075","9678","9496.00","9379.00","15760.00","15627.00","17985.00","18751.00","15626.00","15075.00","17651.00","16884.00","16271.00","15806.00","16603.00","16946.00","18035.00","15011.00","16776.00","15454.00","16002.00","13945.00","16188.00","17331.00","10758.00","10139.00","10487","10284"
"POS_C","4195","5710","4710.00","5391.00","5052","5029","4697.00","5701.00","3922.00","5239.00","5320.00","5342.00","4338.00","4578.00","7024.00","6370.00","3646.00","3458.00","3935.00","5020.00","4792.00","2100.00","4443","4929","8122","7553","8533","6838","7037.00","6688.00","5051.00","4728.00","5431.00","5707.00","4841.00","4778.00","5481.00","5205.00","5056.00","4928.00","5042.00","5054.00","5463.00","4671.00","5222.00","4977.00","5054.00","4234.00","4924.00","5171.00","3333.00","3125.00","3264","3127"
"POS_D","472","556","492.00","579.00","501","531","545.00","576.00","412.00","548.00","571.00","573.00","476.00","474.00","576.00","533.00","292.00","280.00","346.00","405.00","344.00","157.00","339","378","589","552","627","536","525.00","490.00","1082.00","1103.00","1170.00","1254.00","1035.00","1084.00","1175.00","1109.00","1096.00","1052.00","1088.00","1024.00","1235.00","984.00","1133.00","1041.00","1060.00","909.00","1096.00","1146.00","614.00","651.00","661","715"
"POS_E","150","218","211.00","201.00","201","202","202.00","233.00","167.00","208.00","200.00","195.00","174.00","187.00","239.00","167.00","101.00","99.00","99.00","118.00","125.00","54.00","142","118","224","214","233","203","182.00","175.00","284.00","248.00","297.00","315.00","228.00","227.00","267.00","250.00","257.00","277.00","267.00","249.00","284.00","218.00","276.00","231.00","262.00","217.00","245.00","296.00","154.00","148.00","181","164"
"POS_F","55","73","70.00","72.00","87","79","78.00","77.00","81.00","94.00","74.00","69.00","64.00","80.00","113.00","137.00","49.00","49.00","59.00","83.00","68.00","35.00","77","75","83","86","121","86","86.00","68.00","79.00","79.00","84.00","92.00","79.00","71.00","82.00","90.00","79.00","69.00","86.00","66.00","97.00","72.00","77.00","70.00","66.00","58.00","71.00","85.00","46.00","35.00","47","58"
"NEG_A","2","1","1.00","3.00","1","1","1.00","3.00","1.00","2.00","1.00","2.00","2.00","1.00","24.00","2.00","4.00","1.00","1.00","2.00","6.00","1.00","7","3","5","2","3","16","12.00","9.00","2.00","1.00","4.00","3.00","1.00","2.00","2.00","2.00","12.00","1.00","3.00","4.00","2.00","4.00","2.00","1.00","4.00","5.00","6.00","1.00","3.00","2.00","3","5"
"NEG_B","3","1","3.00","2.00","3","1","2.00","4.00","2.00","1.00","1.00","1.00","1.00","1.00","7.00","5.00","5.00","1.00","6.00","2.00","4.00","4.00","8","2","6","1","12","5","10.00","4.00","4.00","4.00","9.00","4.00","4.00","4.00","6.00","6.00","8.00","3.00","4.00","2.00","5.00","6.00","3.00","4.00","6.00","3.00","5.00","4.00","2.00","2.00","3","2"
"NEG_C","4","2","1.00","1.00","2","2","1.00","1.00","1.00","1.00","1.00","1.00","2.00","1.00","7.00","3.00","4.00","4.00","3.00","3.00","6.00","1.00","9","3","5","3","10","7","11.00","6.00","5.00","6.00","8.00","2.00","6.00","3.00","3.00","2.00","4.00","1.00","7.00","5.00","6.00","4.00","6.00","5.00","4.00","4.00","10.00","6.00","2.00","2.00","4","5"
"NEG_D","3","3","1.00","1.00","2","1","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","6.00","2.00","1.00","1.00","3.00","3.00","2.00","1.00","3","1","4","1","4","3","5.00","5.00","2.00","3.00","2.00","4.00","4.00","2.00","4.00","3.00","5.00","1.00","3.00","1.00","2.00","2.00","3.00","3.00","4.00","2.00","3.00","1.00","2.00","3.00","2","4"
