"","MGHBC6_1","MGHBC6_cip","MGHBC8_1","MGHBC8_cip","MGHBC11_1","MGHBC11_cip","MGHBC12_1","MGHBC12_cip","MGHBC13_1","MGHBC13_cip","MGHBC14_1","MGHBC14_cip","MGHBC16_1","MGHBC16_cip","MGHBC18_1","MGHBC18_cip","MGHBC21_1","MGHBC21_cip","MGHBC27_1","MGHBC27_cip","MGHBC28_1","MGHBC28_cip","MGHBC33_1","MGHBC33_cip","MGHBC38_1","MGHBC38_cip","MGHBC41_1","MGHBC41_cip","MGHBC44_1","MGHBC44_cip","MGHBC51_1","MGHBC51_cip","MGHBC52_1","MGHBC52_cip","MGHBC53_1","MGHBC53_cip","MGHBC55_1","MGHBC55_cip","MGHBC56_1","MGHBC56_cip","MGHBC57_1","MGHBC57_cip","MGHBC58_1","MGHBC58_cip","MGHBC60_1","MGHBC60_cip","MGHBC63_1","MGHBC63_cip","MGHBC64_1","MGHBC64_cip","MGHBC17ec_1","MGHBC17ec_cip","MGHBC5_1","MGHBC5_cip"
"POS_A","15025","15204","21826.00","21610.00","26932","26944","33134.00","30603.00","24180.00","17996.00","39109.00","35197.00","19724.00","21097.00","19788.00","22109.00","14820.00","7364.00","22492.00","29620.00","22686.00","15243.00","14455","11596","22938","34678","18823","16975","20444.00","20821.00","9844.00","10996.00","16191.00","15957.00","16745.00","14561.00","11197.00","11519.00","11677.00","12703.00","11749.00","10985.00","12413.00","13448.00","10954.00","11612.00","12059.00","11644.00","11508.00","11709.00","11638.00","7977.00","21971","19260"
"POS_B","2108","2054","2651.00","2502.00","3441","2922","4041.00","3581.00","2821.00","2033.00","4886.00","4316.00","2153.00","2306.00","2658.00","2867.00","1854.00","965.00","2821.00","3645.00","2909.00","2051.00","1787","1394","2955","4311","2368","2144","2583.00","2450.00","2886.00","3140.00","4708.00","4691.00","5117.00","4302.00","3280.00","3383.00","3692.00","3956.00","3652.00","3496.00","3684.00","3869.00","3213.00","3376.00","3545.00","3381.00","3383.00","3297.00","3252.00","2398.00","6189","5381"
"POS_C","1329","1262","1603.00","1517.00","2039","1707","2491.00","2144.00","1755.00","1329.00","2975.00","2610.00","1333.00","1396.00","2193.00","2355.00","1488.00","762.00","2423.00","2996.00","2359.00","1684.00","1463","1238","2602","3496","2023","1868","2113.00","2112.00","1083.00","1166.00","1737.00","1720.00","1745.00","1600.00","1204.00","1252.00","1406.00","1435.00","1353.00","1339.00","1412.00","1442.00","1159.00","1271.00","1229.00","1202.00","1241.00","1336.00","1242.00","904.00","2448","1907"
"POS_D","117","124","134.00","164.00","221","206","222.00","237.00","201.00","195.00","241.00","216.00","145.00","156.00","150.00","179.00","120.00","60.00","206.00","253.00","178.00","131.00","118","113","179","269","139","120","158.00","190.00","215.00","246.00","398.00","347.00","341.00","349.00","264.00","274.00","267.00","296.00","325.00","303.00","288.00","313.00","245.00","288.00","300.00","244.00","220.00","262.00","233.00","173.00","499","446"
"POS_E","47","44","51.00","55.00","64","67","74.00","84.00","65.00","41.00","99.00","69.00","42.00","55.00","56.00","66.00","45.00","24.00","78.00","77.00","53.00","31.00","44","27","59","78","52","48","51.00","82.00","56.00","55.00","88.00","82.00","73.00","81.00","49.00","62.00","58.00","65.00","68.00","59.00","71.00","83.00","64.00","79.00","57.00","42.00","55.00","68.00","58.00","41.00","105","99"
"POS_F","16","23","14.00","21.00","38","67","21.00","37.00","65.00","98.00","23.00","26.00","33.00","29.00","69.00","95.00","25.00","16.00","74.00","76.00","27.00","26.00","42","40","29","36","27","52","37.00","54.00","13.00","20.00","21.00","21.00","29.00","12.00","8.00","12.00","12.00","14.00","14.00","24.00","15.00","11.00","9.00","23.00","22.00","19.00","21.00","25.00","11.00","7.00","27","24"
"NEG_A","1","1","1.00","1.00","6","8","3.00","1.00","1.00","1.00","1.00","3.00","2.00","3.00","4.00","7.00","9.00","3.00","15.00","13.00","5.00","3.00","7","2","7","3","2","9","3.00","16.00","2.00","5.00","8.00","10.00","2.00","4.00","1.00","4.00","1.00","7.00","4.00","9.00","1.00","1.00","7.00","2.00","4.00","2.00","1.00","8.00","5.00","3.00","3","4"
"NEG_B","7","5","5.00","4.00","8","6","3.00","2.00","7.00","4.00","1.00","2.00","6.00","4.00","5.00","7.00","9.00","8.00","10.00","10.00","5.00","5.00","15","5","6","1","9","8","9.00","1.00","4.00","9.00","7.00","8.00","6.00","10.00","5.00","3.00","3.00","5.00","5.00","5.00","7.00","9.00","3.00","4.00","3.00","3.00","6.00","7.00","5.00","9.00","4","9"
"NEG_C","2","5","5.00","2.00","2","6","3.00","3.00","3.00","1.00","1.00","3.00","1.00","3.00","9.00","7.00","7.00","5.00","6.00","10.00","5.00","7.00","5","2","9","1","4","8","6.00","25.00","6.00","5.00","6.00","12.00","6.00","6.00","2.00","8.00","7.00","5.00","5.00","3.00","6.00","8.00","4.00","3.00","5.00","5.00","4.00","16.00","3.00","7.00","10","8"
"NEG_D","2","2","2.00","1.00","1","2","1.00","1.00","1.00","1.00","2.00","1.00","1.00","1.00","7.00","4.00","2.00","2.00","1.00","5.00","3.00","1.00","1","3","3","1","2","3","3.00","7.00","3.00","2.00","2.00","2.00","6.00","1.00","2.00","1.00","5.00","3.00","2.00","3.00","5.00","1.00","3.00","3.00","2.00","5.00","4.00","7.00","2.00","3.00","4","1"
"NEG_E","2","3","1.00","1.00","1","6","3.00","1.00","3.00","1.00","1.00","2.00","2.00","4.00","13.00","5.00","8.00","1.00","14.00","9.00","3.00","7.00","18","6","3","6","3","8","2.00","13.00","3.00","4.00","3.00","9.00","3.00","12.00","1.00","4.00","1.00","4.00","4.00","5.00","2.00","2.00","5.00","4.00","1.00","4.00","4.00","11.00","5.00","7.00","1","2"
"NEG_F","1","5","2.00","3.00","1","12","4.00","2.00","5.00","1.00","1.00","3.00","3.00","1.00","8.00","9.00","7.00","6.00","10.00","29.00","10.00","5.00","8","9","8","5","7","11","9.00","38.00","3.00","9.00","5.00","12.00","5.00","9.00","2.00","5.00","2.00","7.00","1.00","4.00","3.00","3.00","7.00","6.00","3.00","6.00","5.00","40.00","2.00","7.00","2","6"
