"","MGHBC6_1","MGHBC6_cip","MGHBC8_1","MGHBC8_cip","MGHBC11_1","MGHBC11_cip","MGHBC12_1","MGHBC12_cip","MGHBC13_1","MGHBC13_cip","MGHBC14_1","MGHBC14_cip","MGHBC16_1","MGHBC16_cip","MGHBC18_1","MGHBC18_cip","MGHBC21_1","MGHBC21_cip","MGHBC27_1","MGHBC27_cip","MGHBC28_1","MGHBC28_cip","MGHBC33_1","MGHBC33_cip","MGHBC38_1","MGHBC38_cip","MGHBC41_1","MGHBC41_cip","MGHBC44_1","MGHBC44_cip","MGHBC51_1","MGHBC51_cip","MGHBC52_1","MGHBC52_cip","MGHBC53_1","MGHBC53_cip","MGHBC55_1","MGHBC55_cip","MGHBC56_1","MGHBC56_cip","MGHBC57_1","MGHBC57_cip","MGHBC58_1","MGHBC58_cip","MGHBC60_1","MGHBC60_cip","MGHBC63_1","MGHBC63_cip","MGHBC64_1","MGHBC64_cip","MGHBC17ec_1","MGHBC17ec_cip","MGHBC5_1","MGHBC5_cip"
"EcCip3_C_b0176_0.97","19","34","203.00","50.00","133","357","381.00","292.00","132.00","44.00","225.00","226.00","112.00","168.00","165.00","179.00","66.00","33.00","233.00","195.00","116.00","55.00","43","32","201","217","85","93","131.00","300.00","101.00","97.00","82.00","104.00","127.00","82.00","60.00","49.00","48.00","56.00","62.00","46.00","80.00","85.00","116.00","92.00","93.00","52.00","81.00","152.00","13.00","29.00","16","12"
"EcCip3_C_b0761_0.92","7","13","112.00","46.00","47","84","167.00","125.00","60.00","22.00","74.00","69.00","42.00","65.00","51.00","59.00","28.00","15.00","87.00","66.00","31.00","20.00","34","21","62","54","72","53","56.00","98.00","29.00","31.00","71.00","55.00","62.00","47.00","39.00","22.00","39.00","21.00","36.00","49.00","30.00","61.00","60.00","57.00","21.00","24.00","44.00","51.00","21.00","19.00","17","15"
"EcCip3_C_b1280_0.95","11","27","206.00","61.00","125","158","293.00","214.00","110.00","48.00","113.00","109.00","75.00","96.00","71.00","105.00","61.00","31.00","135.00","132.00","55.00","30.00","36","28","113","95","66","64","108.00","179.00","57.00","48.00","91.00","88.00","135.00","83.00","75.00","45.00","87.00","53.00","61.00","79.00","100.00","67.00","105.00","76.00","100.00","47.00","95.00","150.00","24.00","27.00","25","14"
"EcCip3_C_b1827_0.95","107","163","511.00","145.00","819","4374","1267.00","1051.00","476.00","139.00","408.00","403.00","448.00","605.00","643.00","622.00","181.00","52.00","613.00","445.00","233.00","79.00","222","81","847","513","282","182","543.00","2404.00","127.00","155.00","210.00","314.00","246.00","103.00","132.00","48.00","173.00","129.00","152.00","102.00","150.00","175.00","215.00","158.00","184.00","64.00","287.00","265.00","31.00","30.00","75","95"
"EcCip3_C_b2065_0.92","7","27","144.00","55.00","81","346","260.00","166.00","113.00","51.00","156.00","154.00","72.00","103.00","123.00","132.00","64.00","20.00","151.00","106.00","67.00","36.00","59","39","175","126","100","81","114.00","253.00","44.00","71.00","81.00","77.00","123.00","79.00","46.00","41.00","70.00","52.00","70.00","54.00","67.00","67.00","77.00","95.00","99.00","55.00","63.00","65.00","15.00","13.00","16","7"
"EcCip3_C_b2515_0.95","74","192","957.00","355.00","1298","1193","2130.00","1661.00","909.00","104.00","1475.00","1438.00","382.00","653.00","720.00","718.00","409.00","141.00","1155.00","1095.00","441.00","161.00","358","59","1042","1151","515","358","862.00","893.00","313.00","357.00","463.00","308.00","486.00","381.00","313.00","103.00","325.00","232.00","280.00","210.00","379.00","379.00","449.00","423.00","331.00","138.00","650.00","785.00","58.00","48.00","115","77"
"EcCip3_C_b2516_0.97","66","173","669.00","246.00","954","2102","1617.00","1172.00","474.00","115.00","780.00","808.00","484.00","736.00","570.00","555.00","218.00","85.00","643.00","573.00","250.00","85.00","224","39","723","601","288","211","530.00","832.00","112.00","165.00","239.00","270.00","271.00","160.00","158.00","79.00","175.00","133.00","160.00","101.00","175.00","154.00","249.00","239.00","197.00","94.00","357.00","329.00","30.00","24.00","68","50"
"EcCip3_C_b2829_0.97","21","34","114.00","49.00","86","75","286.00","226.00","145.00","26.00","112.00","107.00","108.00","156.00","160.00","159.00","74.00","15.00","225.00","198.00","97.00","25.00","69","22","173","197","79","70","122.00","128.00","63.00","88.00","99.00","74.00","152.00","116.00","90.00","65.00","84.00","60.00","71.00","81.00","107.00","122.00","162.00","142.00","99.00","60.00","121.00","117.00","29.00","31.00","16","10"
"EcCip3_C_b2830_0.97","133","335","1215.00","284.00","1334","2813","2435.00","1888.00","996.00","161.00","969.00","941.00","718.00","1037.00","1100.00","950.00","508.00","146.00","1406.00","1216.00","601.00","136.00","403","97","1419","1621","746","619","1037.00","1455.00","337.00","364.00","384.00","477.00","648.00","287.00","270.00","115.00","327.00","251.00","249.00","201.00","357.00","312.00","486.00","495.00","313.00","138.00","479.00","473.00","52.00","47.00","135","78"
"EcCip3_C_b3252_0.97","21","48","149.00","33.00","153","200","255.00","205.00","161.00","176.00","70.00","66.00","118.00","154.00","157.00","190.00","76.00","22.00","108.00","125.00","69.00","45.00","96","75","150","117","73","81","79.00","130.00","45.00","54.00","71.00","76.00","80.00","59.00","60.00","36.00","71.00","69.00","70.00","66.00","73.00","65.00","92.00","120.00","90.00","50.00","98.00","84.00","18.00","19.00","33","24"
"EcCip3_Rdn_b3771_0.92","19","31","62.00","33.00","71","75","116.00","95.00","97.00","46.00","77.00","55.00","77.00","76.00","81.00","96.00","44.00","23.00","89.00","97.00","47.00","32.00","55","32","113","119","57","65","91.00","103.00","48.00","53.00","73.00","73.00","116.00","122.00","60.00","65.00","68.00","68.00","70.00","84.00","81.00","81.00","83.00","87.00","112.00","74.00","102.00","76.00","21.00","17.00","19","12"
"EcCip3_Rup_b0958_0.97","45","327","172.00","485.00","270","33202","220.00","210.00","347.00","1056.00","201.00","207.00","195.00","234.00","244.00","277.00","125.00","845.00","280.00","3024.00","116.00","419.00","110","430","244","11498","135","3529","146.00","9413.00","91.00","84.00","114.00","3970.00","159.00","355.00","76.00","415.00","151.00","593.00","72.00","1306.00","79.00","75.00","98.00","423.00","121.00","529.00","169.00","581.00","30.00","25.00","30","718"
"EcCip3_Rup_b1061_0.95","87","1205","678.00","2037.00","547","53092","821.00","677.00","827.00","1219.00","1280.00","1289.00","323.00","511.00","547.00","552.00","351.00","1762.00","670.00","11218.00","585.00","1764.00","183","498","728","22572","346","6866","311.00","17686.00","315.00","360.00","228.00","7381.00","280.00","718.00","143.00","876.00","229.00","1279.00","102.00","1782.00","170.00","184.00","292.00","1317.00","302.00","1434.00","250.00","1045.00","33.00","49.00","59","2193"
"EcCip3_Rup_b1183_0.92","11","115","42.00","115.00","100","7058","85.00","69.00","73.00","56.00","64.00","74.00","43.00","67.00","125.00","118.00","50.00","270.00","108.00","1106.00","62.00","130.00","58","64","124","3430","47","614","116.00","3532.00","43.00","40.00","47.00","629.00","81.00","77.00","52.00","105.00","51.00","163.00","39.00","202.00","57.00","54.00","60.00","166.00","47.00","37.00","103.00","383.00","21.00","10.00","18","113"
"EcCip3_Rup_b1848_0.92","86","1108","1064.00","2363.00","1227","86460","967.00","821.00","1141.00","1856.00","825.00","788.00","549.00","767.00","618.00","655.00","354.00","1816.00","649.00","8933.00","459.00","485.00","395","1186","803","19034","421","8992","837.00","42480.00","289.00","444.00","194.00","6529.00","417.00","734.00","153.00","1024.00","196.00","836.00","115.00","1815.00","210.00","182.00","258.00","1098.00","336.00","1318.00","430.00","1930.00","32.00","46.00","31","1915"
"EcCip3_Rup_b2616_0.95","12","188","74.00","244.00","98","1768","106.00","92.00","80.00","99.00","123.00","113.00","72.00","101.00","134.00","112.00","54.00","141.00","112.00","1879.00","65.00","162.00","86","104","150","4197","121","2133","106.00","2438.00","29.00","52.00","63.00","379.00","75.00","152.00","44.00","216.00","42.00","197.00","42.00","416.00","57.00","51.00","72.00","272.00","57.00","228.00","66.00","366.00","25.00","16.00","7","69"
"EcCip3_Rup_b2699_0.97","130","1673","1089.00","5770.00","1038","88376","1740.00","1339.00","1266.00","9638.00","1626.00","1583.00","609.00","907.00","1026.00","1061.00","611.00","5849.00","1186.00","27129.00","1083.00","4811.00","480","5009","1342","52876","603","19972","742.00","58313.00","470.00","561.00","554.00","22015.00","557.00","2674.00","334.00","3043.00","717.00","2873.00","244.00","4732.00","340.00","426.00","589.00","2755.00","546.00","6616.00","587.00","3425.00","67.00","270.00","149","3994"
"EcCip3_Rup_b3645_0.92_0.95","8","16","178.00","301.00","333","7709","302.00","269.00","229.00","330.00","146.00","162.00","76.00","82.00","77.00","70.00","119.00","150.00","243.00","1994.00","65.00","47.00","117","271","716","458","79","88","264.00","5913.00","54.00","58.00","137.00","1029.00","179.00","217.00","58.00","58.00","110.00","299.00","112.00","760.00","138.00","112.00","147.00","431.00","163.00","91.00","212.00","652.00","28.00","34.00","46","153"
"EcCip3_Rup_b3832_0.92","25","129","96.00","121.00","132","725","404.00","285.00","111.00","68.00","163.00","139.00","120.00","127.00","125.00","89.00","64.00","61.00","260.00","853.00","124.00","91.00","65","52","259","2351","78","365","128.00","581.00","66.00","79.00","97.00","311.00","113.00","185.00","47.00","100.00","71.00","113.00","75.00","191.00","95.00","98.00","106.00","267.00","76.00","99.00","107.00","226.00","29.00","28.00","39","82"
"EcCip3_Rup_b4043_0.97","266","2905","2104.00","3536.00","3153","57564","2924.00","2375.00","1678.00","3390.00","1668.00","1653.00","1426.00","2059.00","2126.00","2079.00","942.00","2380.00","2211.00","13815.00","1306.00","1641.00","895","2202","2655","21215","965","5895","2260.00","25953.00","503.00","629.00","508.00","6093.00","603.00","1389.00","292.00","1133.00","566.00","1629.00","330.00","1620.00","459.00","421.00","594.00","2709.00","430.00","1046.00","863.00","3460.00","56.00","150.00","168","836"
