"X","MGHBC11_1","MGHBC11_levo","MGHBC12_1","MGHBC12_levo","MGHBC13_1","MGHBC13_levo","MGHBC14_1","MGHBC14_levo","MGHBC16_1","MGHBC16_levo","MGHBC17ec_1","MGHBC17ec_levo","MGHBC18_1","MGHBC18_levo","MGHBC21_1","MGHBC21_levo","MGHBC27_1","MGHBC27_levo","MGHBC28_1","MGHBC28_levo","MGHBC33_1","MGHBC33_levo","MGHBC38_1","MGHBC38_levo","MGHBC41_1","MGHBC41_levo","MGHBC44_1","MGHBC44_levo","MGHBC5_1","MGHBC5_levo","MGHBC51_1","MGHBC51_levo","MGHBC52_1","MGHBC52_levo","MGHBC53_1","MGHBC53_levo","MGHBC55_1","MGHBC55_levo","MGHBC56_1","MGHBC56_levo","MGHBC57_1","MGHBC57_levo","MGHBC58_1","MGHBC58_levo","MGHBC6_1","MGHBC6_levo","MGHBC60_1","MGHBC60_levo","MGHBC63_1","MGHBC63_levo","MGHBC64_1","MGHBC64_levo","MGHBC8_1","MGHBC8_levo"
"POS_A",26932,"11938",33134,"12413",24180,"12171",39109,"9747",19724,"12466",11638,"10889.00",19788,"10938",14820,"14128",22492,"10842",22686,"11379",14455,"14773",22938,"12814",18823,"13435",20444,"13471",21971,"14596",9844,"12614",16191,"13519",16745,"15248",11197,"14820",11677,"11993",11749,"10375",12413,"13846",15025,"12934",10954,"11431",12059,"10829.00",11508,"9661.00",21826,"14718"
"POS_B",3441,"3554",4041,"3683",2821,"3516",4886,"2972",2153,"3610",3252,"3383.00",2658,"3150",1854,"4123",2821,"3164",2909,"3309",1787,"4451",2955,"3832",2368,"3763",2583,"3747",6189,"4338",2886,"3563",4708,"4090",5117,"4510",3280,"4278",3692,"3498",3652,"3361",3684,"3965",2108,"3767",3213,"3278",3545,"3440.00",3383,"3040.00",2651,"4282"
"POS_C",2039,"1263",2491,"1319",1755,"1238",2975,"1144",1333,"1365",1242,"1269.00",2193,"1123",1488,"1573",2423,"1176",2359,"1170",1463,"1688",2602,"1419",2023,"1386",2113,"1381",2448,"1662",1083,"1329",1737,"1462",1745,"1663",1204,"1508",1406,"1233",1353,"1205",1412,"1423",1329,"1430",1159,"1210",1229,"1280.00",1241,"1172.00",1603,"1522"
"POS_D",221,"261",222,"274",201,"267",241,"216",145,"275",233,"270.00",150,"238",120,"291",206,"240",178,"224",118,"290",179,"280",139,"303",158,"298",499,"343",215,"290",398,"289",341,"325",264,"294",267,"270",325,"231",288,"293",117,"274",245,"255",300,"267.00",220,"223.00",134,"324"
"POS_E",64,"56",74,"51",65,"54",99,"44",42,"50",58,"54.00",56,"51",45,"74",78,"63",53,"42",44,"69",59,"65",52,"64",51,"67",105,"62",56,"63",88,"68",73,"64",49,"60",58,"53",68,"53",71,"73",47,"67",64,"66",57,"76.00",55,"50.00",51,"56"
"POS_F",38,"21",21,"18",65,"11",23,"17",33,"21",11,"7.00",69,"15",25,"18",74,"14",27,"13",42,"23",29,"16",27,"12",37,"22",27,"18",13,"10",21,"16",29,"15",8,"12",12,"14",14,"10",15,"17",16,"16",9,"13",22,"14.00",21,"9.00",14,"25"
"NEG_A",6,"5",3,"2",1,"1",1,"3",2,"1",5,"1.00",4,"2",9,"4",15,"3",5,"1",7,"1",7,"2",2,"3",3,"3",3,"2",2,"1",8,"3",2,"1",1,"2",1,"2",4,"1",1,"3",1,"4",7,"3",4,"1.00",1,"4.00",1,"2"
"NEG_B",8,"6",3,"5",7,"7",1,"6",6,"3",5,"1.00",5,"7",9,"10",10,"7",5,"8",15,"4",6,"2",9,"2",9,"7",4,"4",4,"5",7,"3",6,"1",5,"4",3,"2",5,"5",7,"3",7,"7",3,"4",3,"4.00",6,"5.00",5,"9"
"NEG_C",2,"6",3,"2",3,"4",1,"1",1,"6",3,"4.00",9,"5",7,"4",6,"8",5,"3",5,"2",9,"5",4,"4",6,"6",10,"5",6,"2",6,"4",6,"5",2,"8",7,"3",5,"3",6,"5",2,"12",4,"4",5,"1.00",4,"2.00",5,"3"
"NEG_D",1,"4",1,"1",1,"1",2,"1",1,"2",2,"1.00",7,"5",2,"2",1,"1",3,"2",1,"3",3,"3",2,"1",3,"5",4,"4",3,"1",2,"1",6,"1",2,"2",5,"4",2,"2",5,"2",2,"3",3,"1",2,"1.00",4,"1.00",2,"1"
"NEG_E",1,"6",3,"5",3,"2",1,"1",2,"1",5,"1.00",13,"2",8,"6",14,"5",3,"1",18,"3",3,"1",3,"3",2,"3",1,"3",3,"3",3,"1",3,"2",1,"2",1,"2",4,"1",2,"2",2,"5",5,"2",1,"2.00",4,"1.00",1,"2"
"NEG_F",1,"7",4,"1",5,"6",1,"4",3,"3",2,"2.00",8,"1",7,"7",10,"2",10,"1",8,"5",8,"2",7,"2",9,"5",2,"6",3,"2",5,"4",5,"4",2,"1",2,"1",1,"1",3,"3",1,"5",7,"2",3,"5.00",5,"1.00",2,"6"
"EcCip3_C_b0176_0.97",133,"31",381,"23",132,"15",225,"19",112,"30",13,"16.00",165,"27",66,"19",233,"17",116,"17",43,"8",201,"13",85,"8",131,"31",16,"32",101,"15",82,"10",127,"6",60,"7",48,"5",62,"5",80,"9",19,"36",116,"12",93,"5.00",81,"19.00",203,"17"
"EcCip3_C_b0761_0.92",47,"17",167,"15",60,"11",74,"16",42,"16",21,"7.00",51,"8",28,"11",87,"11",31,"10",34,"7",62,"5",72,"8",56,"9",17,"17",29,"5",71,"7",62,"4",39,"1",39,"7",36,"6",30,"1",7,"11",60,"2",21,"1.00",44,"13.00",112,"9"
"EcCip3_C_b1280_0.95",125,"38",293,"11",110,"20",113,"26",75,"26",24,"6.00",71,"12",61,"21",135,"19",55,"25",36,"4",113,"8",66,"13",108,"27",25,"28",57,"7",91,"18",135,"12",75,"8",87,"9",61,"10",100,"8",11,"39",105,"6",100,"8.00",95,"25.00",206,"17"
"EcCip3_C_b1827_0.95",819,"201",1267,"48",476,"23",408,"35",448,"73",31,"19.00",643,"55",181,"36",613,"36",233,"35",222,"26",847,"32",282,"37",543,"237",75,"61",127,"22",210,"64",246,"36",132,"30",173,"30",152,"19",150,"36",107,"105",215,"29",184,"19.00",287,"64.00",511,"40"
"EcCip3_C_b2065_0.92",81,"30",260,"14",113,"11",156,"8",72,"13",15,"7.00",123,"21",64,"21",151,"19",67,"14",59,"5",175,"7",100,"15",114,"26",16,"10",44,"8",81,"13",123,"8",46,"8",70,"5",70,"9",67,"9",7,"18",77,"5",99,"5.00",63,"12.00",144,"17"
"EcCip3_C_b2515_0.95",1298,"83",2130,"117",909,"30",1475,"107",382,"105",58,"33.00",720,"93",409,"71",1155,"85",441,"49",358,"9",1042,"71",515,"55",862,"120",115,"85",313,"66",463,"57",486,"54",313,"11",325,"43",280,"27",379,"81",74,"150",449,"48",331,"35.00",650,"155.00",957,"64"
"EcCip3_C_b2516_0.97",954,"73",1617,"47",474,"25",780,"52",484,"59",30,"17.00",570,"48",218,"53",643,"31",250,"22",224,"9",723,"31",288,"46",530,"85",68,"59",112,"21",239,"38",271,"27",158,"13",175,"20",160,"16",175,"36",66,"101",249,"24",197,"19.00",357,"89.00",669,"34"
"EcCip3_C_b2829_0.97",86,"36",286,"36",145,"21",112,"25",108,"35",29,"8.00",160,"31",74,"30",225,"26",97,"23",69,"6",173,"18",79,"4",122,"20",16,"43",63,"8",99,"10",152,"15",90,"6",84,"15",71,"10",107,"25",21,"61",162,"9",99,"6.00",121,"29.00",114,"26"
"EcCip3_C_b2830_0.97",1334,"140",2435,"104",996,"32",969,"66",718,"110",52,"51.00",1100,"111",508,"63",1406,"65",601,"33",403,"20",1419,"87",746,"92",1037,"149",135,"85",337,"82",384,"68",648,"43",270,"27",327,"59",249,"35",357,"79",133,"243",486,"62",313,"42.00",479,"143.00",1215,"27"
"EcCip3_C_b3252_0.97",153,"22",255,"31",161,"14",70,"36",118,"23",18,"10.00",157,"29",76,"32",108,"19",69,"14",96,"20",150,"19",73,"16",79,"17",33,"27",45,"16",71,"13",80,"10",60,"8",71,"19",70,"8",73,"20",21,"36",92,"19",90,"14.00",98,"29.00",149,"20"
"EcCip3_Rdn_b3771_0.92",71,"26",116,"20",97,"18",77,"14",77,"26",21,"7.00",81,"19",44,"34",89,"21",47,"30",55,"17",113,"20",57,"21",91,"31",19,"25",48,"9",73,"30",116,"35",60,"16",68,"8",70,"10",81,"10",19,"35",83,"14",112,"15.00",102,"28.00",62,"22"
"EcCip3_Rup_b0958_0.97",270,"1165",220,"22",347,"101",201,"31",195,"33",30,"36.00",244,"23",125,"301",280,"104",116,"54",110,"116",244,"511",135,"522",146,"990",30,"330",91,"9",114,"564",159,"67",76,"116",151,"131",72,"216",79,"22",45,"244",98,"73",121,"132.00",169,"219.00",172,"53"
"EcCip3_Rup_b1061_0.95",547,"2397",821,"48",827,"132",1280,"78",323,"72",33,"85.00",547,"67",351,"732",670,"525",585,"207",183,"162",728,"1248",346,"1047",311,"1394",59,"1542",315,"92",228,"983",280,"119",143,"231",229,"302",102,"294",170,"19",87,"983",292,"229",302,"289.00",250,"394.00",678,"216"
"EcCip3_Rup_b1183_0.92",100,"287",85,"15",73,"17",64,"16",43,"24",21,"16.00",125,"25",50,"102",108,"50",62,"22",58,"12",124,"178",47,"69",116,"292",18,"71",43,"7",47,"118",81,"14",52,"16",51,"40",39,"26",57,"7",11,"94",60,"22",47,"8.00",103,"111.00",42,"24"
