"","MGHBC4_5","MGHBC4_atm","MGHBC15_5","MGHBC15_atm","MGHBC19_5","MGHBC19_atm","MGHBC23_5","MGHBC23_atm","MGHBC25_5","MGHBC25_atm","MGHBC34_5","MGHBC34_atm","MGHBC35_5","MGHBC35_atm","MGHBC29_5","MGHBC29_atm","MGHBC32_5","MGHBC32_atm","MGHBC26_5","MGHBC26_atm","MGHBC47_5","MGHBC47_atm","MGHBC50_5","MGHBC50_atm","MGHBC48_5","MGHBC48_atm","MGHBC61_5","MGHBC61_atm","MGHBC62_5","MGHBC62_atm","MGHBC17kp_5","MGHBC17kp_atm"
"KpMero4_C_KPN_02846_0.95","6188","1637","2675.00","1940.00","1509","52","898","56","1523","1527","3275.00","2476.00","2115.00","763.00","2888.00","137.00","1946","17","2360","86","5680.00","232.00","3018.00","110.00","2426.00","2417.00","1569.00","85.00","1376.00","105.00","1581.00","258.00"
"KpMero4_C_KPN_03317_0.92","4928","2536","2088.00","1296.00","813","69","678","143","887","955","2807.00","2045.00","2417.00","1743.00","1943.00","775.00","940","55","2139","213","3905.00","844.00","3046.00","760.00","1615.00","1600.00","1002.00","453.00","1151.00","257.00","1320.00","283.00"
"KpMero4_C_KPN_03634_0.92","2539","628","2358.00","1420.00","603","55","529","52","632","629","1620.00","1050.00","1925.00","604.00","1776.00","123.00","698","20","2352","98","2716.00","178.00","2502.00","152.00","1343.00","1162.00","925.00","107.00","609.00","94.00","730.00","165.00"
"KpMero4_C_KPN_04666_0.97","5223","2236","3551.00","2236.00","1136","75","769","112","1330","987","2380.00","1510.00","2725.00","1604.00","2574.00","341.00","1422","25","2044","367","3867.00","383.00","4139.00","401.00","2676.00","2233.00","1877.00","182.00","1013.00","158.00","1156.00","632.00"
"KpMero4_R01up_KPN_01226_0.97","1632","1114","829.00","363.00","107","42","163","46","153","139","664.00","496.00","1077.00","857.00","493.00","494.00","325","17","845","112","800.00","231.00","684.00","453.00","520.00","506.00","295.00","131.00","246.00","58.00","288.00","209.00"
"KpMero4_R02up_KPN_01107_0.97","2405","1474","587.00","355.00","397","28","286","75","814","879","715.00","464.00","1117.00","727.00","372.00","268.00","979","8","487","428","1061.00","386.00","1303.00","485.00","811.00","646.00","314.00","211.00","339.00","103.00","266.00","536.00"
"KpMero4_R03up_KPN_02345_0.95","13068","14946","5568.00","4292.00","2419","536","1340","823","2109","1955","4791.00","5795.00","3983.00","9293.00","4506.00","4349.00","5160","223","3132","3142","7967.00","2748.00","5854.00","4294.00","4445.00","3938.00","2870.00","2434.00","1925.00","851.00","2068.00","2313.00"
"KpMero4_R04up_KPN_02742_0.97","2619","1740","1530.00","1100.00","162","39","168","61","202","154","960.00","1087.00","1674.00","1402.00","421.00","253.00","363","12","855","847","1731.00","327.00","1055.00","235.00","331.00","327.00","420.00","262.00","186.00","140.00","424.00","340.00"
"KpMero4_R05dn_KPN_02241_0.92","9798","5419","176.00","74.00","104","22","152","30","46","77","4822.00","2721.00","4266.00","2874.00","35.00","28.00","53","4","92","21","4482.00","633.00","630.00","118.00","317.00","563.00","25.00","19.00","207.00","42.00","434.00","45.00"
"KpMero4_R06up_KPN_03358_0.92","7328","3339","788.00","374.00","578","46","568","99","992","526","1869.00","1129.00","3153.00","1813.00","1240.00","294.00","1008","14","1283","606","3405.00","415.00","3694.00","512.00","2419.00","2088.00","434.00","68.00","1948.00","349.00","1159.00","372.00"
"KpMero4_R07up_KPN_03934_0.92","20468","6299","5082.00","3671.00","2947","121","1829","148","3180","2381","5137.00","4651.00","6809.00","2700.00","6246.00","632.00","2923","38","6610","1190","10797.00","599.00","9396.00","648.00","5164.00","3980.00","4004.00","293.00","2373.00","207.00","4532.00","847.00"
"KpMero4_R08dn_KPN_00868_0.92","20392","6267","1391.00","808.00","30","10","562","21","157","105","7213.00","5998.00","26895.00","10032.00","339.00","76.00","30","3","2502","97","10115.00","106.00","3517.00","82.00","2503.00","3711.00","307.00","109.00","1219.00","49.00","2759.00","84.00"
"KpMero4_R09up_KPN_02342_0.97","2078","1718","826.00","458.00","233","33","209","53","480","257","660.00","444.00","872.00","704.00","460.00","158.00","1813","25","435","118","1804.00","367.00","1451.00","478.00","917.00","892.00","395.00","130.00","453.00","118.00","393.00","253.00"
"KpMero4_R10up_KPN_00833_0.97","4052","4634","1027.00","948.00","371","147","724","443","587","494","852.00","1370.00","1281.00","2046.00","3497.00","1215.00","1050","85","1069","595","2235.00","1901.00","1656.00","1336.00","1604.00","1884.00","757.00","537.00","644.00","264.00","302.00","536.00"
