"","MGHBC6_5","MGHBC6_mem","MGHBC8_5","MGHBC8_mem","MGHBC11_5","MGHBC11_mem","MGHBC12_5","MGHBC12_mem","MGHBC13_5","MGHBC13_mem","MGHBC14_5","MGHBC14_mem","MGHBC16_5","MGHBC16_mem","MGHBC18_5","MGHBC18_mem","MGHBC21_5","MGHBC21_mem","MGHBC27_5","MGHBC27_mem","MGHBC28_5","MGHBC28_mem","MGHBC33_5","MGHBC33_mem","MGHBC38_5","MGHBC38_mem","MGHBC41_5","MGHBC41_mem","MGHBC44_5","MGHBC44_mem","MGHBC51_5","MGHBC51_mem","MGHBC52_5","MGHBC52_mem","MGHBC53_5","MGHBC53_mem","MGHBC55_5","MGHBC55_mem","MGHBC56_5","MGHBC56_mem","MGHBC57_5","MGHBC57_mem","MGHBC58_5","MGHBC58_mem","MGHBC60_5","MGHBC60_mem","MGHBC63_5","MGHBC63_mem","MGHBC64_5","MGHBC64_mem","MGHBC17ec_5","MGHBC17ec_mem","MGHBC5_5","MGHBC5_mem"
"EcMero2_C_APECO78_20780_0.95_1","1420","195","2370.00","124.00","4501","347","2507.00","210.00","1348.00","204.00","1469.00","111.00","3893.00","263.00","1936.00","171.00","459.00","128.00","1122.00","151.00","582.00","35.00","683","196","1691","112","3149","314","2321.00","48.00","1018.00","84.00","1978.00","274.00","2250.00","146.00","700.00","117.00","407.00","103.00","1074.00","328.00","1168.00","159.00","838.00","137.00","1169.00","124.00","1482.00","171.00","196.00","136.00","831","229"
"EcMero2_Rup_APECO78_00325_0.97_1","5243","1274","21169.00","455.00","17559","9803","7212.00","2181.00","11172.00","1283.00","4686.00","250.00","21903.00","4749.00","5159.00","795.00","2170.00","228.00","2107.00","1143.00","902.00","140.00","2606","3384","5314","554","8677","18120","12805.00","803.00","3807.00","206.00","7170.00","3494.00","3199.00","991.00","2219.00","250.00","3654.00","231.00","3102.00","9748.00","2866.00","1033.00","2663.00","355.00","1330.00","958.00","5253.00","705.00","1748.00","199.00","2668","2339"
"EcMero2_Rup_APECO78_04245_0.95_1","2730","842","2826.00","301.00","8846","6984","2936.00","1362.00","3927.00","936.00","1496.00","223.00","9193.00","2549.00","2777.00","585.00","467.00","170.00","701.00","1006.00","676.00","123.00","2409","2947","3278","365","6509","19272","7573.00","737.00","1150.00","111.00","2300.00","1985.00","2252.00","469.00","1223.00","172.00","685.00","177.00","2093.00","4380.00","1578.00","549.00","1041.00","230.00","1328.00","431.00","2388.00","457.00","448.00","149.00","834","1437"
"EcMero2_Rup_APECO78_05395_0.92_1","105","178","182.00","89.00","301","756","195.00","324.00","152.00","293.00","162.00","102.00","236.00","359.00","153.00","188.00","91.00","88.00","91.00","138.00","80.00","34.00","118","571","161","100","416","2598","375.00","104.00","136.00","83.00","215.00","221.00","98.00","115.00","178.00","90.00","136.00","96.00","156.00","617.00","121.00","202.00","116.00","114.00","141.00","95.00","303.00","209.00","42.00","86.00","101","254"
"EcMero2_Rup_APECO78_05500_0.97_1","543","291","539.00","139.00","1540","809","684.00","235.00","415.00","236.00","525.00","114.00","861.00","377.00","456.00","139.00","181.00","112.00","275.00","114.00","156.00","30.00","368","199","545","93","811","1294","892.00","88.00","315.00","71.00","516.00","233.00","368.00","135.00","481.00","105.00","256.00","97.00","454.00","487.00","394.00","149.00","329.00","100.00","320.00","120.00","663.00","131.00","95.00","132.00","194","183"
"EcMero2_Rup_APECO78_09510_0.97_1","305","603","1195.00","173.00","510","1731","461.00","867.00","1352.00","886.00","559.00","168.00","422.00","1092.00","288.00","443.00","437.00","167.00","273.00","421.00","163.00","83.00","163","1345","267","138","650","12432","465.00","341.00","575.00","87.00","209.00","488.00","110.00","164.00","158.00","135.00","224.00","112.00","209.00","1585.00","164.00","496.00","216.00","151.00","141.00","172.00","258.00","284.00","82.00","97.00","174","633"
"EcMero2_Rup_APECO78_09705_0.92_1","868","446","3450.00","176.00","1355","1935","3782.00","793.00","1872.00","716.00","3596.00","249.00","676.00","835.00","1216.00","485.00","240.00","49.00","371.00","640.00","288.00","71.00","923","1644","3079","311","3279","4017","1237.00","220.00","562.00","89.00","909.00","881.00","870.00","484.00","340.00","99.00","2936.00","86.00","441.00","2094.00","2402.00","421.00","3506.00","246.00","148.00","48.00","1167.00","245.00","114.00","115.00","756","1723"
"EcMero2_Rup_APECO78_09710_0.92_1","989","1874","4720.00","698.00","1000","3768","4836.00","2745.00","2395.00","2513.00","5574.00","1710.00","622.00","2800.00","1225.00","2420.00","260.00","349.00","355.00","1035.00","343.00","145.00","939","2111","3473","1244","3233","5480","910.00","535.00","579.00","186.00","915.00","1553.00","851.00","1098.00","114.00","219.00","3039.00","107.00","340.00","2244.00","2766.00","1000.00","3499.00","736.00","93.00","57.00","975.00","1282.00","107.00","314.00","971","3398"
"EcMero2_Rup_APECO78_12545_0.97_0.95","601","2542","819.00","792.00","2444","26456","742.00","7927.00","283.00","2342.00","553.00","571.00","969.00","8182.00","625.00","2045.00","166.00","317.00","258.00","3297.00","293.00","527.00","457","6696","878","710","1616","70904","2060.00","1818.00","418.00","340.00","1408.00","3892.00","483.00","524.00","993.00","373.00","496.00","433.00","729.00","10840.00","754.00","3314.00","341.00","778.00","354.00","2433.00","1174.00","1187.00","110.00","371.00","250","5432"
"EcMero2_Rup_APECO78_21920_0.92_1","209","193","329.00","111.00","700","269","459.00","248.00","242.00","199.00","280.00","105.00","655.00","224.00","413.00","186.00","144.00","96.00","135.00","105.00","204.00","40.00","158","184","361","86","274","266","654.00","43.00","250.00","97.00","463.00","240.00","240.00","145.00","381.00","140.00","270.00","117.00","623.00","280.00","327.00","203.00","312.00","155.00","229.00","127.00","404.00","184.00","105.00","127.00","142","203"
"EcMero2_Rup_APECO78_22510_0.92_1","1646","814","854.00","388.00","6822","9175","2568.00","1178.00","969.00","514.00","1544.00","334.00","2128.00","1485.00","1688.00","612.00","462.00","195.00","902.00","524.00","516.00","130.00","1170","981","2012","597","1923","9345","2458.00","910.00","615.00","177.00","1435.00","799.00","1269.00","402.00","596.00","169.00","687.00","165.00","1285.00","2061.00","981.00","367.00","1013.00","254.00","699.00","781.00","1629.00","535.00","184.00","215.00","539","578"
