"","MGHBC6_5","MGHBC6_mem","MGHBC8_5","MGHBC8_mem","MGHBC11_5","MGHBC11_mem","MGHBC12_5","MGHBC12_mem","MGHBC13_5","MGHBC13_mem","MGHBC14_5","MGHBC14_mem","MGHBC16_5","MGHBC16_mem","MGHBC18_5","MGHBC18_mem","MGHBC21_5","MGHBC21_mem","MGHBC27_5","MGHBC27_mem","MGHBC28_5","MGHBC28_mem","MGHBC33_5","MGHBC33_mem","MGHBC38_5","MGHBC38_mem","MGHBC41_5","MGHBC41_mem","MGHBC44_5","MGHBC44_mem","MGHBC51_5","MGHBC51_mem","MGHBC52_5","MGHBC52_mem","MGHBC53_5","MGHBC53_mem","MGHBC55_5","MGHBC55_mem","MGHBC56_5","MGHBC56_mem","MGHBC57_5","MGHBC57_mem","MGHBC58_5","MGHBC58_mem","MGHBC60_5","MGHBC60_mem","MGHBC63_5","MGHBC63_mem","MGHBC64_5","MGHBC64_mem","MGHBC17ec_5","MGHBC17ec_mem","MGHBC5_5","MGHBC5_mem"
"POS_A","54640","76210","70775.00","40072.00","81828","95770","78405.00","74257.00","63748.00","83728.00","83532.00","66003.00","69751.00","72242.00","76893.00","71916.00","40846.00","61113.00","42703.00","61392.00","53342.00","16765.00","48414","54191","84018","70423","93430","71700","74760.00","14239.00","52597.00","40172.00","58163.00","50711.00","52432.00","39607.00","57165.00","47034.00","52905.00","43853.00","55349.00","48344.00","57625.00","49745.00","55594.00","53501.00","54100.00","41105.00","55397.00","50003.00","32903.00","45129.00","34236","53059"
"POS_B","8031","11156","9097.00","5231.00","10064","11969","9671.00","9496.00","8048.00","10689.00","10555.00","8289.00","8800.00","9176.00","10161.00","9851.00","5410.00","8427.00","5538.00","7759.00","6821.00","2166.00","6513","7113","10788","9426","12075","9466","9496.00","1879.00","15760.00","12339.00","17985.00","16131.00","15626.00","12389.00","17651.00","14699.00","16271.00","14338.00","16603.00","14600.00","18035.00","15481.00","16776.00","15944.00","16002.00","12479.00","16188.00","14668.00","10758.00","13156.00","10487","16571"
"POS_C","4195","5785","4710.00","2713.00","5052","5956","4697.00","4584.00","3922.00","5498.00","5320.00","4182.00","4338.00","4657.00","7024.00","6977.00","3646.00","5857.00","3935.00","5273.00","4792.00","1514.00","4443","5138","8122","6669","8533","6643","7037.00","1394.00","5051.00","3789.00","5431.00","4907.00","4841.00","3770.00","5481.00","4402.00","5056.00","4347.00","5042.00","4468.00","5463.00","4761.00","5222.00","4875.00","5054.00","3801.00","4924.00","4560.00","3333.00","4085.00","3264","5263"
"POS_D","472","556","492.00","269.00","501","604","545.00","476.00","412.00","562.00","571.00","449.00","476.00","474.00","576.00","549.00","292.00","457.00","346.00","446.00","344.00","127.00","339","394","589","511","627","484","525.00","129.00","1082.00","754.00","1170.00","1031.00","1035.00","831.00","1175.00","956.00","1096.00","978.00","1088.00","880.00","1235.00","1029.00","1133.00","1006.00","1060.00","790.00","1096.00","931.00","614.00","901.00","661","1098"
"POS_E","150","235","211.00","113.00","201","263","202.00","195.00","167.00","231.00","200.00","162.00","174.00","170.00","239.00","175.00","101.00","171.00","99.00","141.00","125.00","48.00","142","130","224","165","233","202","182.00","42.00","284.00","202.00","297.00","231.00","228.00","189.00","267.00","192.00","257.00","225.00","267.00","225.00","284.00","248.00","276.00","243.00","262.00","190.00","245.00","228.00","154.00","207.00","181","253"
"POS_F","55","91","70.00","40.00","87","79","78.00","88.00","81.00","100.00","74.00","58.00","64.00","64.00","113.00","109.00","49.00","82.00","59.00","70.00","68.00","24.00","77","91","83","70","121","81","86.00","19.00","79.00","53.00","84.00","83.00","79.00","58.00","82.00","70.00","79.00","55.00","86.00","60.00","97.00","80.00","77.00","62.00","66.00","59.00","71.00","66.00","46.00","70.00","47","86"
"NEG_A","2","1","1.00","1.00","1","1","1.00","2.00","1.00","1.00","1.00","1.00","2.00","1.00","24.00","2.00","4.00","2.00","1.00","4.00","6.00","3.00","7","6","5","3","3","29","12.00","2.00","2.00","1.00","4.00","2.00","1.00","1.00","2.00","1.00","12.00","2.00","3.00","4.00","2.00","6.00","2.00","1.00","4.00","6.00","6.00","1.00","3.00","4.00","3","5"
"NEG_B","3","3","3.00","2.00","3","3","2.00","1.00","2.00","1.00","1.00","1.00","1.00","2.00","7.00","4.00","5.00","1.00","6.00","4.00","4.00","1.00","8","2","6","1","12","5","10.00","1.00","4.00","4.00","9.00","5.00","4.00","7.00","6.00","3.00","8.00","1.00","4.00","4.00","5.00","4.00","3.00","2.00","6.00","3.00","5.00","4.00","2.00","3.00","3","4"
"NEG_C","4","1","1.00","2.00","2","4","1.00","2.00","1.00","2.00","1.00","1.00","2.00","1.00","7.00","4.00","4.00","7.00","3.00","2.00","6.00","1.00","9","4","5","4","10","5","11.00","1.00","5.00","5.00","8.00","3.00","6.00","2.00","3.00","6.00","4.00","3.00","7.00","6.00","6.00","2.00","6.00","5.00","4.00","6.00","10.00","1.00","2.00","3.00","4","3"
"NEG_D","3","3","1.00","1.00","2","4","1.00","5.00","1.00","1.00","1.00","2.00","1.00","1.00","6.00","1.00","1.00","2.00","3.00","2.00","2.00","1.00","3","3","4","3","4","5","5.00","2.00","2.00","1.00","2.00","3.00","4.00","1.00","4.00","1.00","5.00","2.00","3.00","5.00","2.00","4.00","3.00","7.00","4.00","4.00","3.00","5.00","2.00","1.00","2","6"
"NEG_E","1","4","1.00","1.00","1","1","1.00","5.00","2.00","1.00","2.00","1.00","2.00","1.00","116.00","2.00","1.00","1.00","1.00","4.00","2.00","3.00","2","3","4","1","1","21","8.00","1.00","1.00","1.00","2.00","6.00","1.00","2.00","1.00","5.00","63.00","1.00","1.00","4.00","6.00","1.00","5.00","2.00","2.00","2.00","6.00","3.00","1.00","1.00","2","4"
"NEG_F","1","1","2.00","1.00","1","1","1.00","1.00","1.00","2.00","2.00","1.00","1.00","1.00","9.00","7.00","3.00","5.00","4.00","1.00","4.00","3.00","6","4","6","5","7","9","11.00","2.00","6.00","1.00","4.00","5.00","7.00","3.00","2.00","3.00","2.00","2.00","7.00","5.00","5.00","3.00","4.00","1.00","5.00","5.00","17.00","3.00","1.00","2.00","5","5"
"wzi_1","8","2","5.00","1.00","4","5","1.00","1.00","4.00","2.00","2.00","1.00","7.00","1.00","7.00","4.00","1.00","7.00","4.00","5.00","7.00","3.00","9","7","18","5","21","31","14.00","2.00","9.00","1.00","7.00","8.00","7.00","1.00","9.00","1.00","4.00","1.00","5.00","8.00","7.00","6.00","9.00","2.00","9.00","2.00","17.00","5.00","7.00","4.00","5","7"
"wzy_1","1","3","1.00","1.00","1","3","7.00","2.00","1.00","2.00","1.00","1.00","6.00","1.00","28.00","4.00","2.00","4.00","4.00","5.00","5.00","4.00","3","4","6","1","4","30","12.00","2.00","4.00","4.00","2.00","8.00","1.00","1.00","2.00","3.00","10.00","3.00","2.00","1.00","4.00","5.00","1.00","2.00","1.00","4.00","6.00","4.00","2.00","6.00","1","8"
"wzi_2","5","1","6.00","3.00","4","1","4.00","3.00","4.00","2.00","5.00","1.00","9.00","5.00","13.00","3.00","6.00","5.00","4.00","8.00","5.00","2.00","11","2","13","4","16","9","13.00","2.00","9.00","4.00","5.00","5.00","5.00","2.00","7.00","5.00","8.00","4.00","6.00","5.00","9.00","4.00","7.00","2.00","9.00","6.00","20.00","6.00","8.00","6.00","5","6"
"wzy_2","29","29","18.00","14.00","16","21","24.00","21.00","27.00","34.00","14.00","11.00","23.00","26.00","70.00","45.00","35.00","45.00","40.00","46.00","46.00","19.00","37","43","45","30","59","49","49.00","11.00","34.00","12.00","26.00","26.00","29.00","19.00","26.00","35.00","39.00","14.00","31.00","24.00","30.00","29.00","36.00","17.00","49.00","29.00","36.00","33.00","14.00","19.00","30","56"
"CRE2_KPC_0.95","6","6","3.00","1.00","4","1","1.00","4.00","4.00","3.00","3.00","1.00","7.00","3.00","7.00","6.00","3.00","2.00","4.00","6.00","6.00","1.00","13","2","14","2","20","9","6.00","1.00","7.00","4.00","17.00","9.00","10.00","4.00","9.00","4.00","6.00","3.00","14.00","1.00","18.00","7.00","12.00","7.00","11.00","4.00","11.00","10.00","3.00","7.00","10","11"
"CRE2_NDM_0.95","2","2","1.00","1.00","1","1","2.00","5.00","1.00","2.00","2.00","1.00","4.00","1.00","10.00","1.00","3.00","4.00","5.00","1.00","6.00","2.00","7","2","2","1","9","4","9.00","2.00","6.00","1.00","14.00","3.00","4.00","1.00","5.00","1.00","9.00","4.00","7.00","2.00","5.00","2.00","10.00","2.00","8.00","1.00","8.00","6.00","2.00","3.00","2","7"
"CRE2_OXA48_0.95","3","3","2.00","1.00","1","1","3.00","1.00","1.00","1.00","1.00","1.00","2.00","1.00","6.00","1.00","4.00","5.00","2.00","4.00","1.00","1.00","4","1","2","2","2","6","4.00","1.00","7.00","1.00","7.00","3.00","4.00","4.00","5.00","8.00","8.00","3.00","4.00","5.00","7.00","2.00","2.00","4.00","4.00","2.00","8.00","5.00","3.00","3.00","2","4"
"CRE2_CTXM15_0.95","1","5","1.00","3.00","3","1","1.00","3.00","1.00","1.00","1.00","1.00","1.00","1.00","114533.00","488.00","1.00","1.00","8.00","2.00","1.00","1.00","3","1","8","1","5","38","4.00","1.00","1.00","4.00","5.00","4.00","5.00","1.00","1.00","4.00","78161.00","273.00","4.00","7.00","4.00","2.00","3.00","2.00","3.00","8.00","5.00","3.00","2.00","1.00","2","5"
"CRE2_IMP_1_0.95","3","2","1.00","1.00","1","1","1.00","2.00","1.00","1.00","2.00","1.00","3.00","4.00","22.00","2.00","5.00","1.00","2.00","2.00","3.00","3.00","6","7","7","1","9","26","15.00","6.00","1.00","1.00","3.00","4.00","1.00","2.00","2.00","2.00","15.00","3.00","6.00","7.00","2.00","1.00","2.00","1.00","1.00","1.00","9.00","1.00","3.00","1.00","1","7"
"CRE2_IMP_3_8_0.95","18","19","11.00","12.00","18","13","27.00","30.00","24.00","50.00","18.00","17.00","38.00","19.00","64.00","48.00","29.00","23.00","32.00","28.00","38.00","17.00","35","38","32","18","44","29","36.00","9.00","22.00","19.00","20.00","15.00","15.00","12.00","29.00","19.00","15.00","14.00","17.00","18.00","24.00","22.00","23.00","9.00","30.00","17.00","27.00","18.00","3.00","19.00","22","37"
"CRE2_IMP_2_4_0.95","8","4","9.00","1.00","4","1","2.00","3.00","1.00","3.00","1.00","2.00","7.00","1.00","7.00","2.00","5.00","1.00","6.00","1.00","4.00","1.00","4","5","9","4","16","10","12.00","1.00","6.00","7.00","7.00","8.00","11.00","6.00","9.00","4.00","6.00","3.00","7.00","5.00","5.00","8.00","8.00","6.00","11.00","4.00","13.00","1.00","2.00","2.00","6","6"
"CRE2_IMP_5_0.95","18","15","12.00","13.00","15","14","22.00","28.00","26.00","46.00","20.00","14.00","24.00","18.00","45.00","41.00","18.00","22.00","33.00","34.00","39.00","8.00","27","27","26","20","49","18","42.00","14.00","23.00","14.00","14.00","13.00","10.00","14.00","15.00","14.00","12.00","9.00","19.00","11.00","11.00","17.00","28.00","15.00","21.00","10.00","29.00","21.00","13.00","15.00","14","31"
"CRE2_IMP_6_0.95","1","3","2.00","2.00","1","1","1.00","2.00","1.00","1.00","1.00","1.00","2.00","2.00","34.00","4.00","2.00","1.00","3.00","3.00","2.00","1.00","3","6","7","1","7","32","12.00","2.00","4.00","2.00","7.00","5.00","2.00","2.00","3.00","3.00","20.00","2.00","1.00","7.00","7.00","5.00","1.00","1.00","4.00","6.00","5.00","4.00","2.00","2.00","2","5"
"CRE2_IMP_7_0.95","2","3","2.00","3.00","1","1","1.00","2.00","1.00","1.00","1.00","1.00","1.00","6.00","4.00","2.00","4.00","6.00","5.00","4.00","6.00","3.00","2","3","7","2","8","7","9.00","2.00","7.00","4.00","7.00","2.00","6.00","3.00","1.00","2.00","3.00","1.00","5.00","6.00","6.00","5.00","5.00","3.00","3.00","2.00","9.00","6.00","1.00","5.00","3","8"
"CRE2_VIM_1_0.95","17","30","15.00","18.00","13","15","24.00","28.00","31.00","48.00","17.00","14.00","25.00","31.00","53.00","62.00","36.00","23.00","30.00","42.00","33.00","18.00","37","44","40","28","36","27","39.00","4.00","19.00","10.00","18.00","13.00","14.00","8.00","14.00","12.00","12.00","13.00","14.00","10.00","18.00","15.00","19.00","8.00","16.00","17.00","27.00","14.00","14.00","10.00","11","22"
"CRE2_VIM_2_3_0.95","2","4","1.00","4.00","3","1","3.00","1.00","1.00","2.00","1.00","1.00","1.00","2.00","75.00","4.00","4.00","3.00","2.00","4.00","6.00","5.00","6","12","10","1","10","30","10.00","3.00","7.00","1.00","2.00","4.00","1.00","2.00","3.00","4.00","32.00","1.00","1.00","3.00","3.00","9.00","6.00","3.00","4.00","4.00","3.00","1.00","2.00","1.00","3","7"
"OXA10_0.95","6","3","2.00","1.00","3","2","2.00","2.00","2.00","2.00","2.00","1.00","6.00","4.00","6.00","6.00","6.00","7.00","2.00","4.00","7.00","2.00","8","4","6","6","12","5","15.00","1.00","10.00","2.00","9.00","5.00","6.00","1.00","10.00","3.00","7.00","2.00","6.00","6.00","9.00","5.00","12.00","2.00","11.00","1.00","24.00","6.00","3.00","4.00","8","11"
"EcMero2_C_APECO78_00485_0.95_1","849","211","2589.00","120.00","1744","309","1584.00","176.00","1012.00","184.00","890.00","115.00","2033.00","264.00","1276.00","217.00","504.00","147.00","823.00","163.00","326.00","49.00","637","240","1042","105","1596","623","1669.00","59.00","688.00","116.00","1006.00","268.00","1515.00","139.00","494.00","154.00","690.00","140.00","711.00","309.00","792.00","175.00","703.00","150.00","867.00","155.00","1174.00","205.00","170.00","139.00","652","225"
"EcMero2_C_APECO78_02145_0.92_1","2675","237","3462.00","115.00","4681","448","3173.00","218.00","1978.00","212.00","1574.00","95.00","4871.00","387.00","3214.00","195.00","753.00","123.00","1237.00","177.00","609.00","31.00","1853","286","3180","144","4006","631","4900.00","78.00","1485.00","103.00","2668.00","315.00","2500.00","190.00","2498.00","135.00","1554.00","137.00","1825.00","473.00","1822.00","189.00","1259.00","142.00","1613.00","169.00","3116.00","169.00","338.00","117.00","1064","311"
"EcMero2_C_APECO78_03920_0.97_1","6276","298","9024.00","93.00","11380","1237","8707.00","326.00","6198.00","229.00","5238.00","113.00","11213.00","709.00","8136.00","303.00","2826.00","132.00","3859.00","314.00","1790.00","60.00","5166","655","9286","134","14167","2849","11923.00","189.00","3687.00","86.00","6938.00","562.00","4172.00","174.00","3839.00","95.00","3084.00","62.00","3445.00","1042.00","4281.00","137.00","2917.00","112.00","3078.00","160.00","6218.00","162.00","851.00","102.00","2337","531"
"EcMero2_C_APECO78_05715_0.97_1","8137","448","13304.00","207.00","19236","2342","10047.00","799.00","9330.00","564.00","5889.00","203.00","18823.00","1206.00","9324.00","433.00","3316.00","215.00","5402.00","608.00","2060.00","116.00","5948","1267","10809","252","17438","6042","25175.00","524.00","5617.00","192.00","10468.00","1009.00","8583.00","352.00","8196.00","199.00","4840.00","155.00","7246.00","2017.00","6252.00","308.00","5740.00","213.00","5743.00","469.00","11012.00","275.00","1918.00","409.00","3549","1307"
"EcMero2_C_APECO78_16235_0.95_1","971","101","2286.00","60.00","2428","141","1649.00","84.00","975.00","73.00","1028.00","42.00","2032.00","101.00","1073.00","65.00","513.00","60.00","716.00","64.00","304.00","18.00","658","111","1223","57","2365","346","2592.00","27.00","540.00","41.00","1024.00","152.00","1118.00","84.00","502.00","62.00","662.00","52.00","749.00","176.00","730.00","73.00","648.00","66.00","441.00","59.00","1017.00","83.00","133.00","65.00","400","91"
"EcMero2_C_APECO78_17535_0.95_1","3435","162","5189.00","78.00","7057","448","4980.00","147.00","3346.00","163.00","2299.00","72.00","7483.00","259.00","3779.00","136.00","930.00","78.00","1464.00","140.00","893.00","33.00","1760","224","4101","65","6309","823","6359.00","77.00","2014.00","72.00","3050.00","269.00","2460.00","96.00","1710.00","99.00","1393.00","69.00","1956.00","604.00","2042.00","103.00","1742.00","86.00","1429.00","91.00","3494.00","138.00","471.00","82.00","1265","207"
"EcMero2_C_APECO78_19825_0.97_1","3651","148","6238.00","66.00","8916","507","5695.00","133.00","3118.00","153.00","2875.00","60.00","8443.00","290.00","4826.00","146.00","1523.00","80.00","2398.00","118.00","1367.00","28.00","2421","254","4920","90","7405","1009","7873.00","101.00","2908.00","64.00","3734.00","304.00","3290.00","122.00","2327.00","124.00","2417.00","79.00","2684.00","670.00","2725.00","116.00","2139.00","88.00","2344.00","117.00","4649.00","172.00","513.00","79.00","1683","241"
