,MGHBC4_5,MGHBC4_tzp,MGHBC15_5,MGHBC15_tzp,MGHBC19_5,MGHBC19_tzp,MGHBC23_5,MGHBC23_tzp,MGHBC25_5,MGHBC25_tzp,MGHBC34_5,MGHBC34_tzp,MGHBC35_5,MGHBC35_tzp,MGHBC29_5,MGHBC29_tzp,MGHBC32_5,MGHBC32_tzp,MGHBC26_5,MGHBC26_tzp,MGHBC47_5,MGHBC47_tzp,MGHBC50_5,MGHBC50_tzp,MGHBC48_5,MGHBC48_tzp,MGHBC61_5,MGHBC61_tzp,MGHBC62_5,MGHBC62_tzp,MGHBC17kp_5,MGHBC17kp_tzp
POS_A,77595,63583,74223,57780,58272,60888,53377,38708,44155,76452,44910,8674,58576,69548,83560,77613,84833,52929,80613,61611,72878,88058,44267,28156,50027,51313,54153,55998,39417,59195,56834,49915
POS_B,9536,7899,8663,6810,7626,8278,7049,5143,14528,9065,5795,1135,7634,8956,11131,10737,11067,6980,10671,8188,10137,12154,13106,8787,14918,15264,16089,16534,12883,18035,17209,14939
POS_C,5057,4056,4457,3607,5357,5800,4790,3542,4707,6881,4075,771,5319,6379,7456,7407,7883,5074,7676,5862,7105,8344,4065,2751,4664,4778,4920,5082,4026,5393,5307,4616
POS_D,513,397,458,370,465,449,424,300,935,493,337,63,440,494,568,582,601,393,601,455,525,651,932,632,1014,1063,1090,1071,824,1222,1088,954
POS_E,189,166,180,154,152,138,124,105,252,166,157,39,146,200,203,210,214,127,216,153,191,204,222,138,261,250,260,256,211,278,291,248
POS_F,70,56,62,48,65,92,75,59,62,77,80,14,105,104,92,107,100,46,97,72,79,116,64,47,79,72,71,65,52,86,61,56
NEG_A,1,2,3,5,2,1,3,2,17,3,34,12,11,10,2,2,1,2,1,2,4,2,2,6,2,4,3,3,2,2,3,1
NEG_B,3,3,4,1,5,4,4,2,7,5,9,3,5,13,9,2,4,1,7,5,5,7,5,2,14,15,5,4,3,8,4,1
NEG_C,9,2,5,3,10,4,6,3,4,6,6,1,13,13,7,12,8,2,7,6,6,8,11,5,16,26,10,5,7,14,5,9
NEG_D,8,4,1,2,4,1,2,1,5,3,11,1,11,10,5,4,6,4,6,3,7,4,9,4,13,15,1,2,4,3,3,4
NEG_E,2,2,21,18,2,1,1,1,62,4,148,28,10,7,1,1,1,1,5,1,4,1,5,1,4,1,5,4,2,2,3,1
NEG_F,5,3,2,2,9,2,7,2,5,1,14,2,16,16,15,9,7,3,8,9,12,9,10,4,5,9,5,6,6,2,6,4
wzi_1,6,7,5,2,8,2,6,5,8,3,11,1,11,22,10,5,9,3,10,3,11,10,9,4,5,14,4,6,4,5,9,7
wzy_1,4,4,10,10,4,1,3,5,24,2,27,9,17,25,5,3,4,1,5,3,7,2,7,3,5,1,3,3,2,6,2,3
wzi_2,12,13,3660,2715,16,6,10,7,12,2,27,7,34,45,24,16,1724,88,38,22,32,10,43,8,19,22,144,71,12,9,17,12
wzy_2,19,21,30,17,52,42,45,40,31,48,43,11,80,87,45,36,51,32,46,42,43,38,30,15,26,31,23,35,18,34,37,27
CRE2_KPC_0.95,1,5,2,2,6,7,5,1,12,4,14,4,18,17,12,9,11,2,12,6,8,6,17,11,70164,68560,10,6,3,9,8,11
CRE2_NDM_0.95,7,5,4,2,1,2,5,5,4,2,11,3,11,23,11,7,4,2,7,3,8,10,16,12,7,7,5,5,6,4,6,10
CRE2_OXA48_0.95,2,1,1,2,3,6,2,6,8,6,3,3,2,10,9,8,5,2,9,5,6,5,9,8,18,19,4,5,1,8,3,2
CRE2_CTXM15_0.95,3,1,119801,89559,1,2,1,3,96986,2770,114405,24283,19,23,4,1,1,1,2,2,6,2,6,3,7,4,2,3,2,3,5,5
