"","MGHBC6_5","MGHBC6_tzp","MGHBC8_5","MGHBC8_tzp","MGHBC11_5","MGHBC11_tzp","MGHBC12_5","MGHBC12_tzp","MGHBC13_5","MGHBC13_tzp","MGHBC14_5","MGHBC14_tzp","MGHBC16_5","MGHBC16_tzp","MGHBC18_5","MGHBC18_tzp","MGHBC21_5","MGHBC21_tzp","MGHBC27_5","MGHBC27_tzp","MGHBC28_5","MGHBC28_tzp","MGHBC33_5","MGHBC33_tzp","MGHBC38_5","MGHBC38_tzp","MGHBC41_5","MGHBC41_tzp","MGHBC44_5","MGHBC44_tzp","MGHBC51_5","MGHBC51_tzp","MGHBC52_5","MGHBC52_tzp","MGHBC53_5","MGHBC53_tzp","MGHBC55_5","MGHBC55_tzp","MGHBC56_5","MGHBC56_tzp","MGHBC57_5","MGHBC57_tzp","MGHBC58_5","MGHBC58_tzp","MGHBC60_5","MGHBC60_tzp","MGHBC63_5","MGHBC63_tzp","MGHBC64_5","MGHBC64_tzp","MGHBC17ec_5","MGHBC17ec_tzp","MGHBC5_5","MGHBC5_tzp"
"POS_A","54640","73223","70775.00","84640.00","81828","42201","78405.00","82262.00","63748.00","82990.00","83532.00","78778.00","69751.00","73069.00","76893.00","66669.00","40846.00","50972.00","42703.00","51733.00","53342.00","58686.00","48414","18865","84018","77916","93430","67754","74760.00","63242.00","52597.00","53189.00","58163.00","61934.00","52432.00","50382.00","57165.00","52796.00","52905.00","47507.00","55349.00","60022.00","57625.00","49119.00","55594.00","48016.00","54100.00","48182.00","55397.00","57923.00","32903.00","35170.00","34236","40559"
"POS_B","8031","10126","9097.00","11066.00","10064","5333","9671.00","10122.00","8048.00","10387.00","10555.00","9728.00","8800.00","9235.00","10161.00","8641.00","5410.00","6691.00","5538.00","6477.00","6821.00","7307.00","6513","2536","10788","10402","12075","8820","9496.00","8131.00","15760.00","16072.00","17985.00","18921.00","15626.00","15349.00","17651.00","16233.00","16271.00","14760.00","16603.00","18344.00","18035.00","15142.00","16776.00","14639.00","16002.00","14537.00","16188.00","16788.00","10758.00","11701.00","10487","12384"
"POS_C","4195","5277","4710.00","5627.00","5052","2683","4697.00","4906.00","3922.00","5322.00","5320.00","5046.00","4338.00","4628.00","7024.00","5981.00","3646.00","4762.00","3935.00","4659.00","4792.00","5422.00","4443","1752","8122","7330","8533","6176","7037.00","5596.00","5051.00","4973.00","5431.00","5877.00","4841.00","4877.00","5481.00","4993.00","5056.00","4496.00","5042.00","5763.00","5463.00","4599.00","5222.00","4371.00","5054.00","4415.00","4924.00","5192.00","3333.00","3688.00","3264","3924"
"POS_D","472","526","492.00","603.00","501","272","545.00","522.00","412.00","563.00","571.00","514.00","476.00","482.00","576.00","465.00","292.00","368.00","346.00","313.00","344.00","418.00","339","139","589","561","627","483","525.00","465.00","1082.00","1155.00","1170.00","1239.00","1035.00","991.00","1175.00","1106.00","1096.00","982.00","1088.00","1232.00","1235.00","972.00","1133.00","1005.00","1060.00","945.00","1096.00","1162.00","614.00","737.00","661","915"
"POS_E","150","218","211.00","234.00","201","91","202.00","180.00","167.00","211.00","200.00","213.00","174.00","209.00","239.00","189.00","101.00","108.00","99.00","135.00","125.00","128.00","142","47","224","188","233","165","182.00","181.00","284.00","266.00","297.00","268.00","228.00","245.00","267.00","238.00","257.00","217.00","267.00","256.00","284.00","220.00","276.00","234.00","262.00","215.00","245.00","263.00","154.00","167.00","181","212"
"POS_F","55","68","70.00","77.00","87","27","78.00","77.00","81.00","130.00","74.00","70.00","64.00","91.00","113.00","114.00","49.00","59.00","59.00","62.00","68.00","61.00","77","32","83","91","121","94","86.00","77.00","79.00","69.00","84.00","69.00","79.00","79.00","82.00","75.00","79.00","78.00","86.00","90.00","97.00","61.00","77.00","66.00","66.00","61.00","71.00","77.00","46.00","53.00","47","71"
"NEG_A","2","4","1.00","1.00","1","1","1.00","2.00","1.00","1.00","1.00","2.00","2.00","2.00","24.00","20.00","4.00","1.00","1.00","3.00","6.00","2.00","7","1","5","2","3","7","12.00","11.00","2.00","2.00","4.00","5.00","1.00","2.00","2.00","3.00","12.00","6.00","3.00","2.00","2.00","1.00","2.00","5.00","4.00","2.00","6.00","3.00","3.00","2.00","3","3"
"NEG_B","3","7","3.00","2.00","3","1","2.00","2.00","2.00","2.00","1.00","2.00","1.00","3.00","7.00","6.00","5.00","5.00","6.00","1.00","4.00","4.00","8","1","6","7","12","3","10.00","6.00","4.00","6.00","9.00","5.00","4.00","2.00","6.00","7.00","8.00","5.00","4.00","2.00","5.00","4.00","3.00","4.00","6.00","9.00","5.00","5.00","2.00","3.00","3","8"
"NEG_C","4","1","1.00","1.00","2","1","1.00","2.00","1.00","2.00","1.00","3.00","2.00","1.00","7.00","11.00","4.00","1.00","3.00","4.00","6.00","2.00","9","2","5","4","10","2","11.00","10.00","5.00","6.00","8.00","10.00","6.00","3.00","3.00","9.00","4.00","4.00","7.00","4.00","6.00","5.00","6.00","3.00","4.00","2.00","10.00","4.00","2.00","5.00","4","6"
"NEG_D","3","9","1.00","1.00","2","1","1.00","2.00","1.00","1.00","1.00","1.00","1.00","1.00","6.00","9.00","1.00","1.00","3.00","2.00","2.00","2.00","3","3","4","6","4","3","5.00","2.00","2.00","6.00","2.00","9.00","4.00","4.00","4.00","7.00","5.00","1.00","3.00","1.00","2.00","2.00","3.00","2.00","4.00","2.00","3.00","3.00","2.00","3.00","2","5"
