"","MGHBC6_5","MGHBC6_tzp","MGHBC8_5","MGHBC8_tzp","MGHBC11_5","MGHBC11_tzp","MGHBC12_5","MGHBC12_tzp","MGHBC13_5","MGHBC13_tzp","MGHBC14_5","MGHBC14_tzp","MGHBC16_5","MGHBC16_tzp","MGHBC18_5","MGHBC18_tzp","MGHBC21_5","MGHBC21_tzp","MGHBC27_5","MGHBC27_tzp","MGHBC28_5","MGHBC28_tzp","MGHBC33_5","MGHBC33_tzp","MGHBC38_5","MGHBC38_tzp","MGHBC41_5","MGHBC41_tzp","MGHBC44_5","MGHBC44_tzp","MGHBC51_5","MGHBC51_tzp","MGHBC52_5","MGHBC52_tzp","MGHBC53_5","MGHBC53_tzp","MGHBC55_5","MGHBC55_tzp","MGHBC56_5","MGHBC56_tzp","MGHBC57_5","MGHBC57_tzp","MGHBC58_5","MGHBC58_tzp","MGHBC60_5","MGHBC60_tzp","MGHBC63_5","MGHBC63_tzp","MGHBC64_5","MGHBC64_tzp","MGHBC17ec_5","MGHBC17ec_tzp","MGHBC5_5","MGHBC5_tzp"
"NEG_E","1","3","1.00","1.00","1","1","1.00","2.00","2.00","1.00","2.00","1.00","2.00","1.00","116.00","63.00","1.00","1.00","1.00","5.00","2.00","3.00","2","2","4","3","1","4","8.00","5.00","1.00","1.00","2.00","4.00","1.00","1.00","1.00","3.00","63.00","21.00","1.00","5.00","6.00","4.00","5.00","1.00","2.00","3.00","6.00","2.00","1.00","1.00","2","2"
"NEG_F","1","4","2.00","3.00","1","2","1.00","4.00","1.00","6.00","2.00","1.00","1.00","5.00","9.00","12.00","3.00","8.00","4.00","3.00","4.00","5.00","6","1","6","5","7","11","11.00","13.00","6.00","5.00","4.00","11.00","7.00","3.00","2.00","6.00","2.00","1.00","7.00","5.00","5.00","7.00","4.00","10.00","5.00","4.00","17.00","9.00","1.00","1.00","5","12"
"wzi_1","8","16","5.00","1.00","4","1","1.00","6.00","4.00","4.00","2.00","1.00","7.00","12.00","7.00","23.00","1.00","1.00","4.00","8.00","7.00","4.00","9","5","18","12","21","11","14.00","23.00","9.00","3.00","7.00","7.00","7.00","4.00","9.00","15.00","4.00","4.00","5.00","14.00","7.00","11.00","9.00","5.00","9.00","3.00","17.00","10.00","7.00","1.00","5","15"
"wzy_1","1","6","1.00","1.00","1","2","7.00","1.00","1.00","2.00","1.00","1.00","6.00","1.00","28.00","18.00","2.00","4.00","4.00","2.00","5.00","4.00","3","1","6","3","4","3","12.00","9.00","4.00","4.00","2.00","9.00","1.00","1.00","2.00","3.00","10.00","10.00","2.00","3.00","4.00","7.00","1.00","1.00","1.00","3.00","6.00","5.00","2.00","1.00","1","8"
"wzi_2","5","6","6.00","3.00","4","3","4.00","4.00","4.00","7.00","5.00","1.00","9.00","6.00","13.00","28.00","6.00","4.00","4.00","6.00","5.00","5.00","11","3","13","6","16","12","13.00","16.00","9.00","4.00","5.00","16.00","5.00","2.00","7.00","13.00","8.00","7.00","6.00","9.00","9.00","5.00","7.00","10.00","9.00","5.00","20.00","13.00","8.00","5.00","5","20"
"wzy_2","29","44","18.00","20.00","16","10","24.00","22.00","27.00","52.00","14.00","24.00","23.00","30.00","70.00","63.00","35.00","37.00","40.00","25.00","46.00","53.00","37","23","45","57","59","55","49.00","37.00","34.00","24.00","26.00","31.00","29.00","30.00","26.00","30.00","39.00","24.00","31.00","20.00","30.00","26.00","36.00","26.00","49.00","28.00","36.00","34.00","14.00","14.00","30","39"
"CRE2_KPC_0.95","6","10","3.00","3.00","4","3","1.00","2.00","4.00","4.00","3.00","4.00","7.00","7.00","7.00","15.00","3.00","4.00","4.00","3.00","6.00","5.00","13","1","14","7","20","7","6.00","16.00","7.00","7.00","17.00","16.00","10.00","8.00","9.00","9.00","6.00","12.00","14.00","10.00","18.00","5.00","12.00","8.00","11.00","8.00","11.00","11.00","3.00","3.00","10","13"
"CRE2_NDM_0.95","2","7","1.00","1.00","1","1","2.00","3.00","1.00","1.00","2.00","1.00","4.00","2.00","10.00","11.00","3.00","1.00","5.00","2.00","6.00","3.00","7","1","2","4","9","3","9.00","4.00","6.00","3.00","14.00","9.00","4.00","2.00","5.00","11.00","9.00","7.00","7.00","8.00","5.00","9.00","10.00","5.00","8.00","3.00","8.00","13.00","2.00","4.00","2","16"
"CRE2_OXA48_0.95","3","7","2.00","1.00","1","3","3.00","4.00","1.00","1.00","1.00","1.00","2.00","4.00","6.00","7.00","4.00","5.00","2.00","4.00","1.00","3.00","4","1","2","5","2","5","4.00","2.00","7.00","7.00","7.00","5.00","4.00","9.00","5.00","7.00","8.00","1.00","4.00","5.00","7.00","4.00","2.00","5.00","4.00","5.00","8.00","6.00","3.00","3.00","2","7"
"CRE2_CTXM15_0.95","1","11","1.00","1.00","3","2","1.00","1.00","1.00","1.00","1.00","1.00","1.00","3.00","114533.00","50261.00","1.00","1.00","8.00","2.00","1.00","1.00","3","1","8","2","5","6","4.00","11.00","1.00","3.00","5.00","6.00","5.00","3.00","1.00","4.00","78161.00","26030.00","4.00","3.00","4.00","4.00","3.00","2.00","3.00","2.00","5.00","4.00","2.00","1.00","2","5"
"CRE2_IMP_1_0.95","3","4","1.00","2.00","1","1","1.00","5.00","1.00","4.00","2.00","1.00","3.00","2.00","22.00","18.00","5.00","2.00","2.00","5.00","3.00","2.00","6","1","7","1","9","3","15.00","12.00","1.00","2.00","3.00","11.00","1.00","2.00","2.00","1.00","15.00","8.00","6.00","5.00","2.00","5.00","2.00","5.00","1.00","4.00","9.00","5.00","3.00","1.00","1","6"
"CRE2_IMP_3_8_0.95","18","39","11.00","9.00","18","9","27.00","24.00","24.00","75.00","18.00","29.00","38.00","25.00","64.00","65.00","29.00","27.00","32.00","22.00","38.00","35.00","35","22","32","26","44","35","36.00","32.00","22.00","12.00","20.00","31.00","15.00","20.00","29.00","21.00","15.00","22.00","17.00","25.00","24.00","23.00","23.00","16.00","30.00","22.00","27.00","20.00","3.00","10.00","22","27"
"CRE2_IMP_2_4_0.95","8","10","9.00","1.00","4","1","2.00","3.00","1.00","1.00","1.00","4.00","7.00","3.00","7.00","5.00","5.00","3.00","6.00","2.00","4.00","1.00","4","1","9","4","16","5","12.00","14.00","6.00","4.00","7.00","6.00","11.00","2.00","9.00","4.00","6.00","2.00","7.00","14.00","5.00","4.00","8.00","9.00","11.00","3.00","13.00","10.00","2.00","3.00","6","11"
"CRE2_IMP_5_0.95","18","19","12.00","10.00","15","7","22.00","31.00","26.00","70.00","20.00","26.00","24.00","24.00","45.00","36.00","18.00","28.00","33.00","24.00","39.00","38.00","27","12","26","28","49","29","42.00","28.00","23.00","22.00","14.00","17.00","10.00","17.00","15.00","19.00","12.00","12.00","19.00","19.00","11.00","22.00","28.00","19.00","21.00","23.00","29.00","18.00","13.00","6.00","14","35"
"CRE2_IMP_6_0.95","1","12","2.00","1.00","1","2","1.00","3.00","1.00","2.00","1.00","1.00","2.00","2.00","34.00","19.00","2.00","1.00","3.00","3.00","2.00","1.00","3","1","7","5","7","5","12.00","13.00","4.00","2.00","7.00","6.00","2.00","4.00","3.00","6.00","20.00","7.00","1.00","4.00","7.00","5.00","1.00","3.00","4.00","3.00","5.00","6.00","2.00","1.00","2","8"
"CRE2_IMP_7_0.95","2","6","2.00","1.00","1","1","1.00","2.00","1.00","2.00","1.00","2.00","1.00","2.00","4.00","8.00","4.00","5.00","5.00","4.00","6.00","4.00","2","1","7","3","8","6","9.00","8.00","7.00","4.00","7.00","11.00","6.00","5.00","1.00","5.00","3.00","3.00","5.00","9.00","6.00","5.00","5.00","2.00","3.00","3.00","9.00","8.00","1.00","3.00","3","9"
"CRE2_VIM_1_0.95","17","23","15.00","15.00","13","6","24.00","33.00","31.00","78.00","17.00","34.00","25.00","37.00","53.00","95.00","36.00","26.00","30.00","25.00","33.00","52.00","37","26","40","34","36","32","39.00","26.00","19.00","13.00","18.00","19.00","14.00","8.00","14.00","18.00","12.00","11.00","14.00","14.00","18.00","9.00","19.00","21.00","16.00","13.00","27.00","22.00","14.00","7.00","11","20"
"CRE2_VIM_2_3_0.95","2","4","1.00","1.00","3","2","3.00","2.00","1.00","3.00","1.00","1.00","1.00","2.00","75.00","47.00","4.00","2.00","2.00","3.00","6.00","3.00","6","3","10","5","10","6","10.00","22.00","7.00","3.00","2.00","5.00","1.00","1.00","3.00","5.00","32.00","3.00","1.00","3.00","3.00","5.00","6.00","1.00","4.00","1.00","3.00","4.00","2.00","1.00","3","9"
"OXA10_0.95","6","7","2.00","1.00","3","1","2.00","2.00","2.00","1.00","2.00","1.00","6.00","4.00","6.00","9.00","6.00","2.00","2.00","6.00","7.00","6.00","8","2","6","7","12","9","15.00","8.00","10.00","7.00","9.00","10.00","6.00","3.00","10.00","13.00","7.00","3.00","6.00","3.00","9.00","7.00","12.00","11.00","11.00","7.00","24.00","16.00","3.00","3.00","8","20"
"EcMero2_C_APECO78_00485_0.95_1","849","993","2589.00","1159.00","1744","697","1584.00","1008.00","1012.00","1094.00","890.00","442.00","2033.00","1773.00","1276.00","1087.00","504.00","324.00","823.00","445.00","326.00","194.00","637","298","1042","549","1596","1199","1669.00","1165.00","688.00","201.00","1006.00","697.00","1515.00","754.00","494.00","539.00","690.00","514.00","711.00","759.00","792.00","561.00","703.00","409.00","867.00","333.00","1174.00","879.00","170.00","145.00","652","566"
"EcMero2_C_APECO78_02145_0.92_1","2675","1601","3462.00","760.00","4681","1209","3173.00","1764.00","1978.00","1281.00","1574.00","494.00","4871.00","3181.00","3214.00","2195.00","753.00","259.00","1237.00","456.00","609.00","140.00","1853","507","3180","1151","4006","1557","4900.00","3577.00","1485.00","204.00","2668.00","1279.00","2500.00","659.00","2498.00","1094.00","1554.00","733.00","1825.00","1813.00","1822.00","1020.00","1259.00","551.00","1613.00","260.00","3116.00","2279.00","338.00","165.00","1064","1227"
"EcMero2_C_APECO78_03920_0.97_1","6276","6098","9024.00","2658.00","11380","4485","8707.00","4940.00","6198.00","4130.00","5238.00","1730.00","11213.00","11765.00","8136.00","7313.00","2826.00","909.00","3859.00","1615.00","1790.00","439.00","5166","2540","9286","3431","14167","6781","11923.00","9401.00","3687.00","385.00","6938.00","3037.00","4172.00","1117.00","3839.00","2323.00","3084.00","1564.00","3445.00","3729.00","4281.00","2397.00","2917.00","1160.00","3078.00","886.00","6218.00","5461.00","851.00","531.00","2337","3538"
"EcMero2_C_APECO78_05715_0.97_1","8137","6405","13304.00","3277.00","19236","5238","10047.00","6206.00","9330.00","6125.00","5889.00","1857.00","18823.00","13150.00","9324.00","6351.00","3316.00","1013.00","5402.00","1860.00","2060.00","541.00","5948","2411","10809","3967","17438","9287","25175.00","22656.00","5617.00","521.00","10468.00","4949.00","8583.00","2207.00","8196.00","2776.00","4840.00","2340.00","7246.00","7937.00","6252.00","4813.00","5740.00","1676.00","5743.00","1071.00","11012.00","9453.00","1918.00","1120.00","3549","4301"
"EcMero2_C_APECO78_16235_0.95_1","971","710","2286.00","307.00","2428","506","1649.00","693.00","975.00","489.00","1028.00","283.00","2032.00","1282.00","1073.00","685.00","513.00","84.00","716.00","189.00","304.00","64.00","658","183","1223","452","2365","856","2592.00","2061.00","540.00","71.00","1024.00","543.00","1118.00","263.00","502.00","287.00","662.00","323.00","749.00","637.00","730.00","353.00","648.00","181.00","441.00","89.00","1017.00","899.00","133.00","67.00","400","375"
"EcMero2_C_APECO78_17535_0.95_1","3435","2016","5189.00","743.00","7057","1950","4980.00","1755.00","3346.00","1802.00","2299.00","526.00","7483.00","4910.00","3779.00","2092.00","930.00","221.00","1464.00","528.00","893.00","126.00","1760","626","4101","1009","6309","2097","6359.00","4332.00","2014.00","132.00","3050.00","1184.00","2460.00","344.00","1710.00","775.00","1393.00","536.00","1956.00","2058.00","2042.00","952.00","1742.00","445.00","1429.00","166.00","3494.00","2875.00","471.00","190.00","1265","1436"
"EcMero2_C_APECO78_19825_0.97_1","3651","2491","6238.00","1514.00","8916","2355","5695.00","2788.00","3118.00","1714.00","2875.00","972.00","8443.00","5383.00","4826.00","3357.00","1523.00","289.00","2398.00","892.00","1367.00","192.00","2421","714","4920","1675","7405","2833","7873.00","5006.00","2908.00","251.00","3734.00","1767.00","3290.00","647.00","2327.00","1396.00","2417.00","1079.00","2684.00","2387.00","2725.00","1479.00","2139.00","841.00","2344.00","522.00","4649.00","3510.00","513.00","254.00","1683","1508"
"EcMero2_C_APECO78_20780_0.95_1","1420","1175","2370.00","562.00","4501","935","2507.00","1834.00","1348.00","841.00","1469.00","541.00","3893.00","2003.00","1936.00","1235.00","459.00","138.00","1122.00","394.00","582.00","166.00","683","233","1691","815","3149","1013","2321.00","1510.00","1018.00","152.00","1978.00","1091.00","2250.00","343.00","700.00","610.00","407.00","369.00","1074.00","844.00","1168.00","790.00","838.00","449.00","1169.00","214.00","1482.00","1089.00","196.00","159.00","831","680"
"EcMero2_Rup_APECO78_00325_0.97_1","5243","7286","21169.00","5553.00","17559","17881","7212.00","12218.00","11172.00","12223.00","4686.00","3470.00","21903.00","38160.00","5159.00","11539.00","2170.00","2822.00","2107.00","3348.00","902.00","869.00","2606","2376","5314","6710","8677","8589","12805.00","21560.00","3807.00","737.00","7170.00","6729.00","3199.00","1648.00","2219.00","5245.00","3654.00","4167.00","3102.00","9825.00","2866.00","4563.00","2663.00","2697.00","1330.00","531.00","5253.00","11353.00","1748.00","985.00","2668","8922"
"EcMero2_Rup_APECO78_04245_0.95_1","2730","4809","2826.00","1236.00","8846","6416","2936.00","4734.00","3927.00","5310.00","1496.00","1284.00","9193.00","12150.00","2777.00","5251.00","467.00","508.00","701.00","1056.00","676.00","383.00","2409","1502","3278","2917","6509","7069","7573.00","9794.00","1150.00","357.00","2300.00","1882.00","2252.00","1201.00","1223.00","999.00","685.00","858.00","2093.00","3343.00","1578.00","1708.00","1041.00","825.00","1328.00","311.00","2388.00","3745.00","448.00","373.00","834","3345"
"EcMero2_Rup_APECO78_05395_0.92_1","105","927","182.00","409.00","301","488","195.00","813.00","152.00","743.00","162.00","269.00","236.00","1126.00","153.00","945.00","91.00","188.00","91.00","329.00","80.00","122.00","118","96","161","273","416","285","375.00","907.00","136.00","107.00","215.00","606.00","98.00","103.00","178.00","498.00","136.00","390.00","156.00","305.00","121.00","534.00","116.00","261.00","141.00","128.00","303.00","452.00","42.00","114.00","101","624"
"EcMero2_Rup_APECO78_05500_0.97_1","543","1355","539.00","2913.00","1540","2840","684.00","1954.00","415.00","2766.00","525.00","1228.00","861.00","3723.00","456.00","1414.00","181.00","416.00","275.00","647.00","156.00","150.00","368","267","545","910","811","601","892.00","880.00","315.00","117.00","516.00","574.00","368.00","465.00","481.00","775.00","256.00","449.00","454.00","708.00","394.00","417.00","329.00","470.00","320.00","192.00","663.00","795.00","95.00","165.00","194","1004"
"EcMero2_Rup_APECO78_09510_0.97_1","305","2304","1195.00","1208.00","510","1232","461.00","2210.00","1352.00","3155.00","559.00","728.00","422.00","2736.00","288.00","3250.00","437.00","625.00","273.00","955.00","163.00","294.00","163","266","267","792","650","740","465.00","1144.00","575.00","170.00","209.00","1637.00","110.00","136.00","158.00","1550.00","224.00","952.00","209.00","549.00","164.00","1088.00","216.00","412.00","141.00","190.00","258.00","801.00","82.00","219.00","174","1482"
"EcMero2_Rup_APECO78_09705_0.92_1","868","3790","3450.00","2592.00","1355","2038","3782.00","7250.00","1872.00","4490.00","3596.00","2795.00","676.00","4225.00","1216.00","6716.00","240.00","338.00","371.00","1695.00","288.00","311.00","923","872","3079","3953","3279","3883","1237.00","1595.00","562.00","265.00","909.00","5045.00","870.00","430.00","340.00","3929.00","2936.00","2227.00","441.00","1035.00","2402.00","6179.00","3506.00","2996.00","148.00","110.00","1167.00","2233.00","114.00","275.00","756","3874"
"EcMero2_Rup_APECO78_09710_0.92_1","989","5241","4720.00","3128.00","1000","2443","4836.00","9421.00","2395.00","6140.00","5574.00","4249.00","622.00","5231.00","1225.00","8100.00","260.00","318.00","355.00","1742.00","343.00","337.00","939","865","3473","4751","3233","4028","910.00","1386.00","579.00","354.00","915.00","6053.00","851.00","381.00","114.00","4642.00","3039.00","2435.00","340.00","752.00","2766.00","7203.00","3499.00","3279.00","93.00","55.00","975.00","2295.00","107.00","368.00","971","4753"
"EcMero2_Rup_APECO78_12545_0.97_0.95","601","1283","819.00","984.00","2444","3367","742.00","2726.00","283.00","4149.00","553.00","524.00","969.00","2734.00","625.00","1879.00","166.00","148.00","258.00","492.00","293.00","190.00","457","361","878","916","1616","3770","2060.00","4367.00","418.00","190.00","1408.00","1744.00","483.00","326.00","993.00","921.00","496.00","394.00","729.00","1500.00","754.00","1327.00","341.00","455.00","354.00","171.00","1174.00","2817.00","110.00","136.00","250","4122"
"EcMero2_Rup_APECO78_21920_0.92_1","209","293","329.00","176.00","700","146","459.00","319.00","242.00","286.00","280.00","172.00","655.00","427.00","413.00","339.00","144.00","91.00","135.00","85.00","204.00","80.00","158","46","361","240","274","211","654.00","436.00","250.00","118.00","463.00","370.00","240.00","163.00","381.00","255.00","270.00","251.00","623.00","539.00","327.00","295.00","312.00","183.00","229.00","155.00","404.00","326.00","105.00","90.00","142","167"
"EcMero2_Rup_APECO78_22510_0.92_1","1646","10197","854.00","7698.00","6822","18132","2568.00","13900.00","969.00","15143.00","1544.00","6865.00","2128.00","16023.00","1688.00","9563.00","462.00","2083.00","902.00","4705.00","516.00","448.00","1170","994","2012","7364","1923","3057","2458.00","3138.00","615.00","364.00","1435.00","2474.00","1269.00","2964.00","596.00","3723.00","687.00","1918.00","1285.00","1846.00","981.00","2388.00","1013.00","2591.00","699.00","565.00","1629.00","2348.00","184.00","962.00","539","4055"
