"","MGHBC4_5","MGHBC4_etp","MGHBC15_5","MGHBC15_etp","MGHBC19_5","MGHBC19_etp","MGHBC23_5","MGHBC23_etp","MGHBC25_5","MGHBC25_etp","MGHBC34_5","MGHBC34_etp","MGHBC35_5","MGHBC35_etp","MGHBC29_5","MGHBC29_etp","MGHBC32_5","MGHBC32_etp","MGHBC26_5","MGHBC26_etp","MGHBC47_5","MGHBC47_etp","MGHBC50_5","MGHBC50_etp","MGHBC48_5","MGHBC48_etp","MGHBC61_5","MGHBC61_etp","MGHBC62_5","MGHBC62_etp","MGHBC17kp_5","MGHBC17kp_etp"
"POS_A","77595","68789","74223.00","68414.00","58272","68289","53377","27221","44155","69969","44910.00","39235.00","58576.00","58905.00","83560.00","71207.00","84833","43358","80613","84786","72878.00","82437.00","44267.00","39015.00","50027.00","54120.00","54153.00","45777.00","39417.00","39953.00","56834.00","35081.00"
"POS_B","9536","8719","8663.00","8184.00","7626","8991","7049","3591","14528","8671","5795.00","5193.00","7634.00","7809.00","11131.00","9551.00","11067","6342","10671","11335","10137.00","11506.00","13106.00","12202.00","14918.00","16729.00","16089.00","13953.00","12883.00","13247.00","17209.00","11871.00"
"POS_C","5057","4370","4457.00","4441.00","5357","6290","4790","2422","4707","6387","4075.00","3766.00","5319.00","5396.00","7456.00","6464.00","7883","4911","7676","7962","7105.00","8019.00","4065.00","3811.00","4664.00","5088.00","4920.00","4178.00","4026.00","4173.00","5307.00","3741.00"
"POS_D","513","457","458.00","462.00","465","464","424","190","935","535","337.00","309.00","440.00","453.00","568.00","503.00","601","347","601","579","525.00","656.00","932.00","814.00","1014.00","1094.00","1090.00","847.00","824.00","805.00","1088.00","703.00"
"POS_E","189","189","180.00","155.00","152","168","124","84","252","156","157.00","109.00","146.00","153.00","203.00","179.00","214","108","216","199","191.00","234.00","222.00","182.00","261.00","290.00","260.00","199.00","211.00","195.00","291.00","165.00"
"POS_F","70","54","62.00","72.00","65","88","75","61","62","118","80.00","56.00","105.00","118.00","92.00","98.00","100","57","97","106","79.00","100.00","64.00","58.00","79.00","64.00","71.00","64.00","52.00","52.00","61.00","43.00"
"NEG_A","1","1","3.00","1.00","2","1","3","1","17","2","34.00","2.00","11.00","1.00","2.00","3.00","1","1","1","3","4.00","3.00","2.00","3.00","2.00","2.00","3.00","2.00","2.00","4.00","3.00","6.00"
"NEG_B","3","1","4.00","1.00","5","6","4","1","7","7","9.00","4.00","5.00","3.00","9.00","1.00","4","1","7","5","5.00","1.00","5.00","3.00","14.00","16.00","5.00","2.00","3.00","7.00","4.00","4.00"
"NEG_C","9","1","5.00","1.00","10","4","6","2","4","6","6.00","2.00","13.00","3.00","7.00","5.00","8","1","7","2","6.00","7.00","11.00","10.00","16.00","20.00","10.00","9.00","7.00","4.00","5.00","1.00"
"NEG_D","8","1","1.00","2.00","4","3","2","1","5","5","11.00","7.00","11.00","2.00","5.00","5.00","6","1","6","4","7.00","4.00","9.00","4.00","13.00","11.00","1.00","4.00","4.00","2.00","3.00","3.00"
"NEG_E","2","1","21.00","1.00","2","1","1","1","62","9","148.00","13.00","10.00","1.00","1.00","1.00","1","1","5","1","4.00","1.00","5.00","1.00","4.00","1.00","5.00","4.00","2.00","1.00","3.00","2.00"
"NEG_F","5","1","2.00","5.00","9","4","7","3","5","4","14.00","9.00","16.00","5.00","15.00","8.00","7","1","8","5","12.00","5.00","10.00","5.00","5.00","9.00","5.00","1.00","6.00","1.00","6.00","2.00"
"wzi_1","6","1","5.00","1.00","8","2","6","3","8","6","11.00","16.00","11.00","5.00","10.00","4.00","9","1","10","1","11.00","7.00","9.00","3.00","5.00","4.00","4.00","3.00","4.00","4.00","9.00","1.00"
"wzy_1","4","2","10.00","1.00","4","4","3","2","24","7","27.00","3.00","17.00","2.00","5.00","2.00","4","2","5","2","7.00","3.00","7.00","4.00","5.00","2.00","3.00","2.00","2.00","2.00","2.00","2.00"
"wzi_2","12","5","3660.00","28.00","16","2","10","4","12","8","27.00","24.00","34.00","10.00","24.00","9.00","1724","21","38","12","32.00","7.00","43.00","10.00","19.00","20.00","144.00","12.00","12.00","4.00","17.00","1.00"
"wzy_2","19","13","30.00","31.00","52","44","45","29","31","63","43.00","49.00","80.00","65.00","45.00","57.00","51","19","46","39","43.00","35.00","30.00","21.00","26.00","27.00","23.00","12.00","18.00","17.00","37.00","17.00"
