"","MGHBC4_5","MGHBC4_etp","MGHBC15_5","MGHBC15_etp","MGHBC19_5","MGHBC19_etp","MGHBC23_5","MGHBC23_etp","MGHBC25_5","MGHBC25_etp","MGHBC34_5","MGHBC34_etp","MGHBC35_5","MGHBC35_etp","MGHBC29_5","MGHBC29_etp","MGHBC32_5","MGHBC32_etp","MGHBC26_5","MGHBC26_etp","MGHBC47_5","MGHBC47_etp","MGHBC50_5","MGHBC50_etp","MGHBC48_5","MGHBC48_etp","MGHBC61_5","MGHBC61_etp","MGHBC62_5","MGHBC62_etp","MGHBC17kp_5","MGHBC17kp_etp"
"CRE2_KPC_0.95","1","1","2.00","1.00","6","9","5","3","12","10","14.00","9.00","18.00","8.00","12.00","4.00","11","2","12","5","8.00","5.00","17.00","7.00","70164.00","43653.00","10.00","7.00","3.00","4.00","8.00","5.00"
"CRE2_NDM_0.95","7","1","4.00","1.00","1","3","5","3","4","5","11.00","10.00","11.00","1.00","11.00","3.00","4","3","7","4","8.00","10.00","16.00","6.00","7.00","10.00","5.00","2.00","6.00","3.00","6.00","1.00"
"CRE2_OXA48_0.95","2","3","1.00","1.00","3","4","2","3","8","5","3.00","6.00","2.00","1.00","9.00","9.00","5","3","9","1","6.00","6.00","9.00","3.00","18.00","15.00","4.00","4.00","1.00","4.00","3.00","2.00"
"CRE2_CTXM15_0.95","3","1","119801.00","465.00","1","1","1","1","96986","3595","114405.00","9791.00","19.00","4.00","4.00","1.00","1","2","2","2","6.00","4.00","6.00","1.00","7.00","6.00","2.00","4.00","2.00","2.00","5.00","3.00"
"CRE2_IMP_1_0.95","2","1","6.00","1.00","2","1","2","4","21","3","46.00","10.00","8.00","3.00","6.00","1.00","1","1","3","3","12.00","2.00","4.00","5.00","1.00","4.00","8.00","2.00","3.00","1.00","9.00","2.00"
"CRE2_IMP_3_8_0.95","13","13","18.00","25.00","28","44","38","26","28","66","39.00","46.00","59.00","86.00","35.00","32.00","40","21","44","32","38.00","27.00","33.00","19.00","15.00","22.00","20.00","24.00","14.00","8.00","22.00","10.00"
"CRE2_IMP_2_4_0.95","5","1","4.00","1.00","2","3","2","3","8","6","9.00","3.00","7.00","3.00","7.00","4.00","4","5","8","2","3.00","8.00","16.00","10.00","18.00","9.00","8.00","3.00","9.00","2.00","5.00","2.00"
"CRE2_IMP_5_0.95","9","13","17.00","19.00","25","29","43","28","14","62","44.00","31.00","73.00","63.00","39.00","30.00","37","19","40","32","17.00","26.00","22.00","15.00","14.00","19.00","23.00","11.00","12.00","12.00","18.00","14.00"
"CRE2_IMP_6_0.95","4","1","4.00","1.00","1","2","4","1","25","7","32.00","3.00","17.00","1.00","4.00","3.00","3","1","2","3","7.00","1.00","4.00","4.00","2.00","10.00","2.00","2.00","6.00","2.00","3.00","3.00"
"CRE2_IMP_7_0.95","5","1","2.00","1.00","5","6","6","1","4","10","13.00","11.00","13.00","6.00","7.00","7.00","5","4","11","1","8.00","6.00","10.00","5.00","17.00","14.00","6.00","5.00","5.00","1.00","4.00","1.00"
"CRE2_VIM_1_0.95","12","18","14.00","13.00","24","37","51","27","11","77","50.00","46.00","79.00","85.00","26.00","45.00","34","12","37","48","19.00","25.00","20.00","12.00","8.00","18.00","14.00","12.00","10.00","10.00","10.00","8.00"
"CRE2_VIM_2_3_0.95","3","1","14.00","1.00","4","1","3","2","30","8","91.00","19.00","15.00","2.00","1.00","1.00","1","1","4","5","7.00","1.00","3.00","3.00","4.00","6.00","3.00","3.00","3.00","3.00","3.00","4.00"
"OXA10_0.95","5","1","2.00","1.00","7","6","6","3","8","8","12.00","8.00","15.00","4.00","14.00","3.00","13","2","9","7","16.00","12.00","14.00","3.00","14.00","14.00","10.00","4.00","8.00","6.00","7.00","7.00"
"KpMero4_C_KPN_00050_0.97","6834","506","4447.00","90.00","1568","177","1127","145","1577","327","3352.00","1440.00","2886.00","261.00","4015.00","519.00","1781","38","3675","260","5430.00","1367.00","4918.00","332.00","3315.00","2687.00","2389.00","144.00","1512.00","264.00","1964.00","108.00"
"KpMero4_C_KPN_00098_0.97","8953","398","3886.00","102.00","1601","234","1306","117","2097","257","3501.00","561.00","2593.00","125.00","4234.00","414.00","2068","43","4423","183","6631.00","890.00","5314.00","170.00","3095.00","2608.00","2389.00","133.00","1904.00","200.00","2216.00","78.00"
"KpMero4_C_KPN_00100_0.97","45189","3582","30797.00","378.00","12422","1433","8658","885","10240","1986","31485.00","10106.00","28661.00","1328.00","35109.00","3616.00","13341","330","35667","1436","47368.00","11365.00","30135.00","2202.00","16869.00","15823.00","15471.00","530.00","10661.00","1669.00","15658.00","455.00"
"KpMero4_C_KPN_01276_0.92","5529","338","2457.00","37.00","967","163","752","116","864","199","2729.00","906.00","1878.00","188.00","2398.00","307.00","1334","89","2441","203","4162.00","989.00","2921.00","283.00","1803.00","1314.00","1461.00","66.00","941.00","155.00","1281.00","86.00"
"KpMero4_C_KPN_02846_0.95","6188","364","2675.00","60.00","1509","175","898","85","1523","187","3275.00","1047.00","2115.00","169.00","2888.00","356.00","1946","39","2360","155","5680.00","1296.00","3018.00","193.00","2426.00","2083.00","1569.00","89.00","1376.00","181.00","1581.00","72.00"
"KpMero4_C_KPN_03317_0.92","4928","274","2088.00","28.00","813","83","678","58","887","136","2807.00","694.00","2417.00","105.00","1943.00","199.00","940","24","2139","65","3905.00","764.00","3046.00","153.00","1615.00","1709.00","1002.00","30.00","1151.00","193.00","1320.00","39.00"
"KpMero4_C_KPN_03634_0.92","2539","139","2358.00","71.00","603","127","529","40","632","125","1620.00","253.00","1925.00","119.00","1776.00","197.00","698","37","2352","157","2716.00","429.00","2502.00","125.00","1343.00","885.00","925.00","84.00","609.00","92.00","730.00","48.00"
"KpMero4_C_KPN_04666_0.97","5223","394","3551.00","82.00","1136","172","769","95","1330","235","2380.00","1368.00","2725.00","278.00","2574.00","333.00","1422","37","2044","192","3867.00","895.00","4139.00","266.00","2676.00","1976.00","1877.00","92.00","1013.00","176.00","1156.00","69.00"
"KpMero4_R01up_KPN_01226_0.97","1632","3887","829.00","483.00","107","1541","163","813","153","2377","664.00","11094.00","1077.00","699.00","493.00","4391.00","325","276","845","1170","800.00","5015.00","684.00","1732.00","520.00","1248.00","295.00","490.00","246.00","1874.00","288.00","356.00"
"KpMero4_R02up_KPN_01107_0.97","2405","1481","587.00","200.00","397","786","286","353","814","1053","715.00","4359.00","1117.00","392.00","372.00","1376.00","979","81","487","654","1061.00","2629.00","1303.00","908.00","811.00","1080.00","314.00","190.00","339.00","916.00","266.00","134.00"
"KpMero4_R03up_KPN_02345_0.95","13068","4185","5568.00","396.00","2419","1176","1340","623","2109","1659","4791.00","7642.00","3983.00","726.00","4506.00","4206.00","5160","302","3132","1178","7967.00","10407.00","5854.00","2459.00","4445.00","7117.00","2870.00","375.00","1925.00","1494.00","2068.00","309.00"
"KpMero4_R04up_KPN_02742_0.97","2619","5641","1530.00","584.00","162","1162","168","704","202","1801","960.00","8912.00","1674.00","2249.00","421.00","3058.00","363","184","855","2034","1731.00","5483.00","1055.00","2049.00","331.00","1002.00","420.00","679.00","186.00","1671.00","424.00","414.00"
"KpMero4_R05dn_KPN_02241_0.92","9798","22","176.00","4.00","104","2","152","5","46","7","4822.00","28.00","4266.00","22.00","35.00","9.00","53","5","92","16","4482.00","59.00","630.00","11.00","317.00","289.00","25.00","13.00","207.00","6.00","434.00","9.00"
"KpMero4_R06up_KPN_03358_0.92","7328","2236","788.00","56.00","578","649","568","412","992","947","1869.00","3842.00","3153.00","738.00","1240.00","1531.00","1008","91","1283","470","3405.00","3045.00","3694.00","1690.00","2419.00","2006.00","434.00","125.00","1948.00","2054.00","1159.00","291.00"
"KpMero4_R07up_KPN_03934_0.92","20468","1225","5082.00","164.00","2947","504","1829","226","3180","612","5137.00","3959.00","6809.00","424.00","6246.00","977.00","2923","69","6610","503","10797.00","2243.00","9396.00","857.00","5164.00","3193.00","4004.00","232.00","2373.00","551.00","4532.00","218.00"
"KpMero4_R08dn_KPN_00868_0.92","20392","37","1391.00","17.00","30","9","562","5","157","13","7213.00","70.00","26895.00","47.00","339.00","14.00","30","3","2502","26","10115.00","99.00","3517.00","22.00","2503.00","2437.00","307.00","38.00","1219.00","21.00","2759.00","15.00"
"KpMero4_R09up_KPN_02342_0.97","2078","1118","826.00","61.00","233","220","209","112","480","379","660.00","1862.00","872.00","276.00","460.00","355.00","1813","54","435","86","1804.00","1657.00","1451.00","655.00","917.00","1047.00","395.00","62.00","453.00","374.00","393.00","127.00"
"KpMero4_R10up_KPN_00833_0.97","4052","7053","1027.00","1205.00","371","1897","724","1542","587","3954","852.00","16790.00","1281.00","1180.00","3497.00","10467.00","1050","564","1069","3906","2235.00","12158.00","1656.00","2653.00","1604.00","4753.00","757.00","1092.00","644.00","2485.00","302.00","548.00"
