"","MGHBC4_3","MGHBC4_gent","MGHBC15_3","MGHBC15_gent","MGHBC19_3","MGHBC19_gent","MGHBC23_3","MGHBC23_gent","MGHBC25_3","MGHBC25_gent","MGHBC34_3","MGHBC34_gent","MGHBC35_3","MGHBC35_gent","MGHBC29_3","MGHBC29_gent","MGHBC32_3","MGHBC32_gent","MGHBC26_3","MGHBC26_gent","MGHBC47_3","MGHBC47_gent","MGHBC50_3","MGHBC50_gent","MGHBC48_3","MGHBC48_gent","MGHBC61_3","MGHBC61_gent","MGHBC62_3","MGHBC62_gent","MGHBC17kp_3","MGHBC17kp_gent"
"POS_A","18645","21931","21341.00","15300.00","12221","18254","9770","15516","26731","26998","2841.00","1634.00","17214.00","18078.00","12941.00","11508.00","17832","17538","20889","23341","21149.00","18376.00","13055.00","11812.00","9446.00","8369.00","15822.00","13532.00","21673.00","15321.00","15042.00","12120.00"
"POS_B","2099","2361","2345.00","1721.00","1456","2238","1211","1864","3247","3326","342.00","225.00","1978.00","2086.00","1558.00","1436.00","2222","2033","2701","2800","2895.00","2615.00","3903.00","3529.00","2716.00","2441.00","4462.00","3852.00","6476.00","4693.00","4355.00","3551.00"
"POS_C","1257","1506","1414.00","1004.00","1291","1951","1084","1598","2732","2745","320.00","167.00","1682.00","1927.00","1454.00","1202.00","1794","1688","2243","2374","2420.00","2223.00","1455.00","1454.00","1022.00","950.00","1673.00","1385.00","2205.00","1679.00","1589.00","1377.00"
"POS_D","111","148","141.00","115.00","92","152","69","139","213","224","20.00","25.00","172.00","187.00","114.00","119.00","129","140","170","172","178.00","151.00","316.00","305.00","220.00","191.00","359.00","287.00","485.00","372.00","355.00","269.00"
"POS_E","43","49","48.00","40.00","37","47","23","44","78","82","5.00","5.00","43.00","36.00","35.00","25.00","43","41","53","61","64.00","55.00","62.00","69.00","32.00","43.00","76.00","65.00","117.00","97.00","55.00","64.00"
"POS_F","10","8","21.00","20.00","29","33","27","29","67","61","18.00","14.00","83.00","62.00","30.00","31.00","28","25","51","50","27.00","25.00","13.00","19.00","12.00","14.00","18.00","16.00","28.00","21.00","14.00","13.00"
"NEG_A","2","1","1.00","1.00","2","3","3","5","4","2","1.00","4.00","4.00","5.00","1.00","5.00","4","2","6","1","5.00","2.00","3.00","8.00","5.00","4.00","7.00","2.00","2.00","4.00","5.00","2.00"
"NEG_B","4","2","1.00","2.00","2","3","6","3","5","6","1.00","1.00","7.00","7.00","5.00","1.00","5","3","4","6","3.00","3.00","5.00","3.00","1.00","2.00","5.00","5.00","5.00","6.00","4.00","5.00"
"NEG_C","1","1","1.00","1.00","3","7","2","6","6","8","1.00","2.00","9.00","10.00","2.00","7.00","5","2","5","5","5.00","4.00","4.00","7.00","4.00","5.00","5.00","2.00","6.00","3.00","3.00","4.00"
"NEG_D","3","1","1.00","1.00","3","2","4","3","9","4","1.00","1.00","1.00","3.00","1.00","4.00","1","2","2","2","2.00","1.00","2.00","3.00","1.00","2.00","4.00","1.00","3.00","2.00","3.00","3.00"
"NEG_E","1","2","3.00","1.00","1","10","4","6","3","7","1.00","2.00","5.00","8.00","2.00","2.00","1","5","5","4","4.00","3.00","3.00","4.00","2.00","7.00","2.00","1.00","5.00","1.00","2.00","2.00"
"NEG_F","3","31","2.00","13.00","4","44","8","33","15","13","2.00","27.00","15.00","164.00","11.00","48.00","2","20","10","54","16.00","110.00","14.00","68.00","6.00","23.00","5.00","20.00","10.00","27.00","5.00","12.00"
"KpGent2_C_KP1_0027_0.97","81","134","30.00","52.00","25","38","38","38","76","105","16.00","31.00","55.00","198.00","40.00","67.00","53","29","76","104","96.00","152.00","48.00","97.00","44.00","58.00","27.00","31.00","49.00","50.00","32.00","40.00"
"KpGent2_C_KP1_0117_0.95","53","90","20.00","23.00","13","12","25","14","36","50","15.00","17.00","27.00","44.00","27.00","24.00","16","21","51","42","37.00","41.00","24.00","23.00","19.00","20.00","25.00","14.00","49.00","32.00","19.00","20.00"
"KpGent2_C_KP1_0191_0.92","93","132","9.00","35.00","34","39","54","44","90","110","25.00","15.00","51.00","201.00","31.00","51.00","50","41","42","56","85.00","151.00","50.00","131.00","36.00","61.00","19.00","26.00","49.00","61.00","48.00","68.00"
"KpGent2_C_KP1_0490_0.97","36","32","39.00","27.00","45","41","43","15","83","88","27.00","11.00","83.00","61.00","51.00","32.00","35","24","65","52","54.00","26.00","29.00","23.00","34.00","27.00","31.00","13.00","47.00","27.00","21.00","20.00"
"KpGent2_C_KP1_0974_0.97","65","67","40.00","79.00","16","14","32","14","50","65","16.00","14.00","16.00","32.00","52.00","37.00","16","27","131","193","48.00","49.00","41.00","28.00","15.00","17.00","38.00","26.00","34.00","28.00","40.00","20.00"
"KpGent2_C_KP1_1702_0.97","1867","1128","925.00","419.00","960","214","1578","212","3185","4703","794.00","262.00","1054.00","784.00","1278.00","597.00","1169","236","1453","652","1821.00","824.00","1206.00","416.00","632.00","458.00","543.00","97.00","901.00","319.00","792.00","429.00"
"KpGent2_C_KP1_4377_0.97","59","57","11.00","14.00","12","6","15","8","37","48","9.00","9.00","24.00","21.00","9.00","4.00","24","2","18","24","30.00","22.00","12.00","16.00","27.00","13.00","16.00","5.00","33.00","22.00","17.00","11.00"
"KpGent2_C_KP1_4445_0.97","26","29","11.00","8.00","4","14","15","14","20","21","8.00","3.00","18.00","14.00","7.00","7.00","16","14","19","11","29.00","15.00","20.00","12.00","11.00","10.00","13.00","11.00","17.00","17.00","16.00","13.00"
"KpGent2_Rdn_KP1_3311_0.97","184","139","61.00","40.00","218","20","282","24","581","320","45.00","18.00","120.00","46.00","58.00","16.00","164","11","81","46","232.00","72.00","54.00","37.00","83.00","29.00","63.00","20.00","112.00","21.00","77.00","42.00"
"KpGent2_Rdn_KP1_3910_0.95","128","37","88.00","29.00","44","37","57","21","97","124","57.00","19.00","131.00","60.00","81.00","39.00","42","17","97","33","120.00","22.00","78.00","20.00","73.00","18.00","53.00","9.00","95.00","19.00","61.00","12.00"
