"","MGHBC6_3","MGHBC6_gent","MGHBC8_3","MGHBC8_gent","MGHBC11_3","MGHBC11_gent","MGHBC12_3","MGHBC12_gent","MGHBC13_3","MGHBC13_gent","MGHBC14_3","MGHBC14_gent","MGHBC16_3","MGHBC16_gent","MGHBC18_3","MGHBC18_gent","MGHBC21_3","MGHBC21_gent","MGHBC27_3","MGHBC27_gent","MGHBC28_3","MGHBC28_gent","MGHBC33_3","MGHBC33_gent","MGHBC38_3","MGHBC38_gent","MGHBC41_3","MGHBC41_gent","MGHBC44_3","MGHBC44_gent","MGHBC51_3","MGHBC51_gent","MGHBC52_3","MGHBC52_gent","MGHBC53_3","MGHBC53_gent","MGHBC55_3","MGHBC55_gent","MGHBC56_3","MGHBC56_gent","MGHBC57_3","MGHBC57_gent","MGHBC58_3","MGHBC58_gent","MGHBC60_3","MGHBC60_gent","MGHBC63_3","MGHBC63_gent","MGHBC64_3","MGHBC64_gent","MGHBC17ec_3","MGHBC17ec_gent","MGHBC5_3","MGHBC5_gent"
"EcGent4_C_b2830_0.97","59","55","214.00","153.00","240","90","192.00","336.00","191.00","142.00","157.00","151.00","146.00","183.00","236.00","230.00","51.00","45.00","235.00","177.00","100.00","136.00","44","17","573","410","199","273","262.00","356.00","111.00","73.00","105.00","99.00","179.00","190.00","126.00","114.00","118.00","72.00","98.00","119.00","129.00","62.00","146.00","140.00","134.00","61.00","157.00","168.00","64.00","45.00","260","55"
"EcGent4_C_b2910_0.97","32","24","122.00","101.00","76","24","99.00","237.00","56.00","43.00","87.00","91.00","50.00","74.00","116.00","121.00","32.00","15.00","94.00","46.00","42.00","105.00","17","6","227","154","91","133","145.00","198.00","118.00","63.00","48.00","54.00","90.00","102.00","58.00","48.00","60.00","42.00","47.00","82.00","72.00","27.00","79.00","121.00","67.00","24.00","70.00","62.00","23.00","21.00","122","25"
"EcGent4_C_b3040_0.97_0.95","22","15","40.00","63.00","56","24","19.00","59.00","20.00","20.00","18.00","18.00","54.00","72.00","101.00","99.00","8.00","8.00","70.00","60.00","15.00","24.00","8","10","133","119","9","13","90.00","124.00","21.00","23.00","54.00","57.00","41.00","31.00","44.00","30.00","37.00","21.00","53.00","55.00","22.00","16.00","38.00","45.00","39.00","25.00","76.00","119.00","17.00","30.00","65","7"
"EcGent4_C_b4041_0.95","20","9","50.00","31.00","48","14","30.00","65.00","36.00","18.00","41.00","33.00","47.00","33.00","45.00","38.00","4.00","7.00","44.00","16.00","19.00","17.00","3","2","78","47","19","23","52.00","73.00","25.00","12.00","48.00","25.00","26.00","28.00","24.00","29.00","34.00","13.00","28.00","22.00","32.00","13.00","42.00","33.00","41.00","16.00","41.00","36.00","29.00","21.00","69","9"
"EcGent4_C_b4175_0.97","66","36","178.00","134.00","148","38","122.00","305.00","123.00","75.00","146.00","155.00","116.00","137.00","215.00","198.00","40.00","35.00","140.00","117.00","68.00","119.00","24","12","436","295","94","154","173.00","236.00","93.00","188.00","126.00","77.00","135.00","80.00","145.00","122.00","130.00","64.00","73.00","102.00","110.00","42.00","180.00","139.00","140.00","93.00","136.00","144.00","72.00","67.00","278","58"
"EcGent4_C_b4220_0.97","18","13","63.00","27.00","77","24","47.00","61.00","26.00","16.00","28.00","34.00","46.00","36.00","95.00","69.00","15.00","17.00","60.00","41.00","18.00","17.00","16","7","155","80","56","87","89.00","95.00","53.00","17.00","46.00","44.00","53.00","48.00","57.00","31.00","38.00","17.00","39.00","32.00","36.00","14.00","46.00","27.00","48.00","24.00","66.00","74.00","19.00","20.00","71","8"
"EcGent4_C_b4255_0.97_0.95","125","160","521.00","509.00","483","140","400.00","1088.00","325.00","401.00","358.00","344.00","266.00","382.00","523.00","519.00","97.00","87.00","368.00","518.00","134.00","228.00","86","75","1077","1248","337","435","463.00","534.00","278.00","172.00","189.00","167.00","357.00","390.00","230.00","225.00","398.00","274.00","215.00","268.00","199.00","151.00","372.00","548.00","288.00","196.00","309.00","329.00","89.00","110.00","631","108"
"EcGent4_Rup_b0019_0.97_0.95","6","50","11.00","126.00","20","6","13.00","324.00","16.00","50.00","14.00","9.00","15.00","21.00","13.00","18.00","4.00","38.00","11.00","104.00","15.00","145.00","5","10","49","230","22","24","27.00","50.00","13.00","133.00","38.00","19.00","21.00","52.00","11.00","16.00","35.00","75.00","21.00","46.00","13.00","45.00","14.00","159.00","15.00","37.00","30.00","32.00","11.00","27.00","29","44"
"EcGent4_Rup_b0631_0.97","37","491","213.00","2131.00","175","53","148.00","4500.00","114.00","754.00","166.00","132.00","93.00","934.00","198.00","188.00","53.00","440.00","193.00","1837.00","83.00","732.00","38","186","228","2965","94","505","185.00","716.00","82.00","632.00","131.00","55.00","81.00","1006.00","82.00","84.00","154.00","519.00","66.00","938.00","64.00","358.00","117.00","1064.00","163.00","1350.00","77.00","136.00","47.00","331.00","283","458"
"EcGent4_Rup_b1305_0.92","21","217","29.00","625.00","72","24","22.00","969.00","15.00","306.00","24.00","21.00","30.00","156.00","51.00","52.00","8.00","180.00","25.00","406.00","17.00","152.00","19","144","103","1861","44","159","74.00","137.00","17.00","93.00","42.00","28.00","43.00","210.00","30.00","19.00","63.00","301.00","47.00","347.00","12.00","156.00","21.00","277.00","32.00","782.00","91.00","110.00","15.00","159.00","57","326"
"EcGent4_Rup_b1306_0.92","8","138","34.00","366.00","42","13","14.00","971.00","10.00","138.00","21.00","20.00","21.00","113.00","35.00","31.00","6.00","96.00","27.00","558.00","8.00","101.00","18","94","118","2407","37","120","63.00","103.00","12.00","129.00","34.00","23.00","35.00","152.00","20.00","24.00","41.00","169.00","22.00","175.00","18.00","222.00","27.00","378.00","41.00","591.00","54.00","45.00","15.00","87.00","31","150"
"EcGent4_Rup_b3400_0.95","29","88","73.00","425.00","112","24","79.00","1457.00","97.00","188.00","83.00","88.00","50.00","134.00","118.00","97.00","13.00","127.00","87.00","456.00","49.00","418.00","26","38","90","639","41","83","81.00","129.00","42.00","228.00","16.00","9.00","38.00","1193.00","32.00","36.00","49.00","84.00","27.00","154.00","26.00","58.00","61.00","343.00","39.00","461.00","40.00","42.00","27.00","76.00","116","219"
"EcGent4_Rup_b3401_0.92","9","17","18.00","113.00","10","1","17.00","247.00","8.00","34.00","15.00","23.00","11.00","28.00","29.00","39.00","7.00","20.00","20.00","123.00","11.00","106.00","9","6","41","180","15","15","31.00","46.00","17.00","99.00","9.00","16.00","14.00","138.00","11.00","12.00","17.00","29.00","6.00","29.00","15.00","12.00","23.00","58.00","20.00","127.00","10.00","21.00","11.00","15.00","27","40"
"EcGent4_Rup_b3932_0.92","28","394","186.00","2018.00","63","30","98.00","3682.00","122.00","667.00","169.00","159.00","55.00","853.00","172.00","176.00","36.00","360.00","146.00","1372.00","87.00","1535.00","21","124","283","3463","50","444","133.00","649.00","102.00","1020.00","231.00","84.00","129.00","1558.00","119.00","88.00","170.00","548.00","91.00","1071.00","77.00","325.00","252.00","1299.00","227.00","1064.00","129.00","220.00","75.00","458.00","510","563"
"EcGent4_Rup_b4062_0.92","20","139","20.00","682.00","99","31","27.00","1773.00","40.00","475.00","34.00","33.00","45.00","239.00","70.00","57.00","16.00","233.00","44.00","1336.00","27.00","705.00","10","110","70","1433","53","138","56.00","109.00","22.00","229.00","27.00","36.00","22.00","290.00","12.00","11.00","55.00","204.00","16.00","148.00","29.00","216.00","30.00","574.00","27.00","202.00","41.00","47.00","18.00","193.00","27","97"
"EcGent4_Rup_b4242_0.92","5","71","15.00","147.00","14","3","8.00","385.00","4.00","80.00","21.00","16.00","9.00","86.00","19.00","26.00","4.00","39.00","6.00","123.00","8.00","99.00","6","33","25","321","11","50","30.00","37.00","19.00","125.00","23.00","10.00","23.00","72.00","11.00","8.00","29.00","109.00","15.00","85.00","20.00","46.00","20.00","155.00","21.00","108.00","21.00","21.00","14.00","37.00","22","81"
"EcGent4_Rup_b4550_0.92","29","1674","173.00","4165.00","61","42","72.00","4485.00","78.00","1586.00","77.00","65.00","76.00","3484.00","172.00","137.00","38.00","324.00","96.00","1800.00","60.00","537.00","21","494","223","6228","84","685","128.00","603.00","36.00","285.00","68.00","38.00","91.00","2888.00","48.00","49.00","93.00","966.00","25.00","1466.00","48.00","534.00","92.00","1316.00","87.00","558.00","57.00","190.00","26.00","425.00","236","649"
"EcGent4_Rup_b3686e_0.92","23","2503","91.00","25444.00","117","257","48.00","32375.00","64.00","4254.00","107.00","120.00","39.00","7077.00","147.00","133.00","31.00","3023.00","101.00","18881.00","71.00","9637.00","39","1420","142","40789","86","3119","111.00","5381.00","47.00","2571.00","124.00","86.00","58.00","8477.00","42.00","33.00","121.00","4158.00","46.00","10743.00","49.00","6093.00","149.00","8389.00","240.00","24928.00","66.00","376.00","60.00","3247.00","305","4419"
"EcGent4_Rup_b3687e_0.97","12","2433","176.00","14189.00","78","181","88.00","19482.00","61.00","4674.00","126.00","90.00","71.00","7624.00","174.00","105.00","33.00","3028.00","109.00","16413.00","65.00","6690.00","12","871","229","14120","41","2312","200.00","4592.00","30.00","2500.00","121.00","48.00","86.00","7574.00","50.00","41.00","148.00","3583.00","63.00","5533.00","16.00","2271.00","157.00","3956.00","278.00","7686.00","88.00","394.00","22.00","2650.00","372","2091"
