"","MGHBC6_3","MGHBC6_gent","MGHBC8_3","MGHBC8_gent","MGHBC11_3","MGHBC11_gent","MGHBC12_3","MGHBC12_gent","MGHBC13_3","MGHBC13_gent","MGHBC14_3","MGHBC14_gent","MGHBC16_3","MGHBC16_gent","MGHBC18_3","MGHBC18_gent","MGHBC21_3","MGHBC21_gent","MGHBC27_3","MGHBC27_gent","MGHBC28_3","MGHBC28_gent","MGHBC33_3","MGHBC33_gent","MGHBC38_3","MGHBC38_gent","MGHBC41_3","MGHBC41_gent","MGHBC44_3","MGHBC44_gent","MGHBC51_3","MGHBC51_gent","MGHBC52_3","MGHBC52_gent","MGHBC53_3","MGHBC53_gent","MGHBC55_3","MGHBC55_gent","MGHBC56_3","MGHBC56_gent","MGHBC57_3","MGHBC57_gent","MGHBC58_3","MGHBC58_gent","MGHBC60_3","MGHBC60_gent","MGHBC63_3","MGHBC63_gent","MGHBC64_3","MGHBC64_gent","MGHBC17ec_3","MGHBC17ec_gent","MGHBC5_3","MGHBC5_gent"
"POS_A","12714","14508","27499.00","21742.00","34749","11915","15987.00","29607.00","22162.00","23122.00","32619.00","32590.00","21082.00","21103.00","25083.00","25547.00","5988.00","7726.00","16119.00","16848.00","15861.00","20090.00","6236","3285","22342","23590","14548","18731","18580.00","19659.00","10292.00","8914.00","13581.00","11727.00","14551.00","26796.00","12051.00","9030.00","13164.00","12197.00","12347.00","10389.00","13003.00","12696.00","11831.00","14120.00","11155.00","8842.00","10125.00","12228.00","13372.00","10361.00","15432","5314"
"POS_B","1743","1895","3164.00","2456.00","3795","1324","1863.00","3666.00","2511.00","2724.00","4056.00","3895.00","2258.00","2337.00","3318.00","3320.00","749.00","915.00","1935.00","2033.00","2066.00","2549.00","757","394","3042","3145","1964","2401","2265.00","2540.00","2945.00","2616.00","4109.00","3411.00","4304.00","3970.00","3567.00","2689.00","3980.00","3647.00","3608.00","3072.00","3980.00","3676.00","3381.00","3881.00","3203.00","2482.00","3019.00","3354.00","3790.00","3201.00","4282","1567"
"POS_C","1025","1245","1925.00","1600.00","2219","796","1065.00","2136.00","1613.00","1582.00","2454.00","2295.00","1405.00","1434.00","2826.00","2905.00","585.00","759.00","1653.00","1664.00","1644.00","2207.00","599","365","2427","2514","1654","1935","1951.00","1998.00","1140.00","938.00","1458.00","1224.00","1591.00","3178.00","1247.00","975.00","1439.00","1401.00","1374.00","1154.00","1391.00","1326.00","1311.00","1422.00","1198.00","849.00","1095.00","1326.00","1291.00","1273.00","1472","551"
"POS_D","94","101","174.00","189.00","255","80","119.00","180.00","199.00","182.00","213.00","227.00","139.00","138.00","234.00","221.00","39.00","73.00","139.00","131.00","114.00","187.00","41","29","198","213","118","146","159.00","185.00","255.00","215.00","281.00","244.00","331.00","224.00","284.00","233.00","310.00","286.00","271.00","241.00","298.00","290.00","277.00","330.00","223.00","244.00","246.00","272.00","264.00","225.00","328","128"
"POS_E","36","29","65.00","63.00","87","27","28.00","76.00","52.00","62.00","82.00","79.00","54.00","52.00","83.00","84.00","31.00","17.00","39.00","54.00","45.00","50.00","17","13","62","87","40","48","52.00","68.00","44.00","40.00","67.00","59.00","71.00","100.00","48.00","48.00","71.00","73.00","66.00","48.00","73.00","57.00","64.00","85.00","54.00","47.00","52.00","79.00","62.00","54.00","70","26"
"POS_F","25","21","32.00","16.00","65","13","38.00","39.00","33.00","62.00","29.00","28.00","26.00","29.00","51.00","70.00","14.00","19.00","57.00","60.00","32.00","66.00","26","9","35","54","40","51","30.00","31.00","8.00","8.00","18.00","15.00","14.00","38.00","12.00","13.00","9.00","15.00","10.00","19.00","9.00","22.00","10.00","25.00","11.00","23.00","13.00","28.00","15.00","20.00","15","15"
"NEG_A","2","4","1.00","1.00","1","1","1.00","1.00","1.00","1.00","1.00","2.00","2.00","1.00","10.00","11.00","5.00","5.00","3.00","9.00","5.00","1.00","1","1","2","10","2","6","2.00","9.00","2.00","1.00","4.00","3.00","5.00","3.00","3.00","1.00","1.00","3.00","2.00","5.00","1.00","1.00","2.00","4.00","3.00","4.00","2.00","7.00","4.00","4.00","3","1"
"NEG_B","4","3","3.00","1.00","1","1","3.00","3.00","2.00","1.00","1.00","1.00","1.00","1.00","1.00","3.00","2.00","3.00","4.00","2.00","1.00","4.00","1","1","5","8","4","2","2.00","7.00","3.00","4.00","9.00","5.00","4.00","11.00","6.00","1.00","1.00","2.00","4.00","3.00","5.00","7.00","5.00","5.00","2.00","6.00","2.00","4.00","2.00","7.00","6","3"
"NEG_C","1","4","1.00","2.00","3","1","1.00","4.00","1.00","2.00","1.00","1.00","1.00","1.00","3.00","3.00","3.00","2.00","5.00","5.00","9.00","10.00","2","2","5","8","3","5","5.00","5.00","6.00","3.00","6.00","3.00","5.00","10.00","2.00","5.00","3.00","6.00","5.00","4.00","4.00","1.00","8.00","5.00","1.00","6.00","4.00","15.00","9.00","9.00","4","2"
"NEG_D","2","1","4.00","1.00","1","1","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","2.00","4.00","1.00","2.00","4.00","5.00","1.00","3.00","2","2","2","6","1","4","2.00","3.00","1.00","1.00","4.00","3.00","2.00","5.00","2.00","3.00","2.00","1.00","3.00","2.00","2.00","1.00","2.00","6.00","3.00","3.00","1.00","1.00","5.00","3.00","3","1"
"NEG_E","2","1","1.00","6.00","1","1","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","4.00","12.00","3.00","2.00","6.00","11.00","6.00","8.00","1","2","2","11","5","4","5.00","2.00","1.00","4.00","3.00","6.00","4.00","7.00","2.00","1.00","4.00","2.00","3.00","2.00","3.00","2.00","1.00","2.00","2.00","6.00","1.00","5.00","1.00","3.00","1","4"
"NEG_F","1","4","1.00","1.00","2","1","1.00","2.00","1.00","1.00","1.00","1.00","1.00","1.00","9.00","13.00","4.00","6.00","5.00","4.00","5.00","7.00","4","2","6","9","5","6","5.00","9.00","2.00","1.00","2.00","3.00","1.00","21.00","4.00","4.00","3.00","6.00","4.00","4.00","2.00","6.00","6.00","7.00","9.00","3.00","15.00","36.00","6.00","20.00","3","2"
"EcGent4_C_b1272_0.92","9","5","42.00","28.00","30","9","42.00","70.00","7.00","4.00","21.00","23.00","14.00","24.00","30.00","28.00","4.00","9.00","26.00","26.00","12.00","19.00","8","4","83","70","12","24","35.00","59.00","23.00","14.00","21.00","21.00","25.00","34.00","22.00","19.00","11.00","9.00","25.00","19.00","19.00","8.00","33.00","34.00","20.00","10.00","28.00","66.00","13.00","20.00","46","6"
"EcGent4_C_b1719_0.97","39","62","148.00","179.00","197","60","144.00","295.00","108.00","117.00","79.00","98.00","72.00","167.00","192.00","162.00","32.00","22.00","80.00","150.00","36.00","84.00","25","23","1005","633","174","334","218.00","364.00","68.00","114.00","81.00","95.00","137.00","45.00","70.00","68.00","133.00","92.00","124.00","168.00","92.00","44.00","157.00","127.00","99.00","52.00","144.00","161.00","58.00","46.00","222","62"
"EcGent4_C_b2821_0.95","8","5","18.00","9.00","15","4","9.00","15.00","3.00","10.00","4.00","8.00","13.00","10.00","15.00","20.00","8.00","6.00","9.00","13.00","6.00","21.00","10","4","21","20","16","15","27.00","25.00","12.00","8.00","13.00","11.00","21.00","14.00","10.00","12.00","9.00","6.00","9.00","19.00","16.00","7.00","14.00","17.00","28.00","18.00","42.00","98.00","14.00","20.00","19","3"
