"","MGHBC6_5","MGHBC6_atm","MGHBC8_5","MGHBC8_atm","MGHBC11_5","MGHBC11_atm","MGHBC12_5","MGHBC12_atm","MGHBC13_5","MGHBC13_atm","MGHBC14_5","MGHBC14_atm","MGHBC16_5","MGHBC16_atm","MGHBC18_5","MGHBC18_atm","MGHBC21_5","MGHBC21_atm","MGHBC27_5","MGHBC27_atm","MGHBC28_5","MGHBC28_atm","MGHBC33_5","MGHBC33_atm","MGHBC38_5","MGHBC38_atm","MGHBC41_5","MGHBC41_atm","MGHBC44_5","MGHBC44_atm","MGHBC51_5","MGHBC51_atm","MGHBC52_5","MGHBC52_atm","MGHBC53_5","MGHBC53_atm","MGHBC55_5","MGHBC55_atm","MGHBC56_5","MGHBC56_atm","MGHBC57_5","MGHBC57_atm","MGHBC58_5","MGHBC58_atm","MGHBC60_5","MGHBC60_atm","MGHBC63_5","MGHBC63_atm","MGHBC64_5","MGHBC64_atm","MGHBC17ec_5","MGHBC17ec_atm","MGHBC5_5","MGHBC5_atm"
"NEG_E","1","4","1.00","2.00","1","2","1.00","1.00","2.00","1.00","2.00","1.00","2.00","2.00","116.00","104.00","1.00","1.00","1.00","2.00","2.00","1.00","2","4","4","2","1","1","8.00","4.00","1.00","1.00","2.00","4.00","1.00","2.00","1.00","4.00","63.00","44.00","1.00","4.00","6.00","1.00","5.00","1.00","2.00","1.00","6.00","3.00","1.00","2.00","2","1"
"NEG_F","1","2","2.00","2.00","1","6","1.00","1.00","1.00","1.00","2.00","1.00","1.00","3.00","9.00","4.00","3.00","3.00","4.00","2.00","4.00","1.00","6","6","6","3","7","8","11.00","6.00","6.00","1.00","4.00","4.00","7.00","3.00","2.00","4.00","2.00","3.00","7.00","4.00","5.00","3.00","4.00","3.00","5.00","3.00","17.00","7.00","1.00","3.00","5","2"
"wzi_1","8","7","5.00","1.00","4","12","1.00","4.00","4.00","3.00","2.00","1.00","7.00","8.00","7.00","8.00","1.00","2.00","4.00","5.00","7.00","2.00","9","5","18","8","21","22","14.00","12.00","9.00","2.00","7.00","9.00","7.00","7.00","9.00","6.00","4.00","3.00","5.00","4.00","7.00","4.00","9.00","4.00","9.00","2.00","17.00","9.00","7.00","7.00","5","4"
"wzy_1","1","4","1.00","1.00","1","2","7.00","5.00","1.00","1.00","1.00","1.00","6.00","1.00","28.00","30.00","2.00","1.00","4.00","1.00","5.00","1.00","3","3","6","3","4","4","12.00","2.00","4.00","1.00","2.00","5.00","1.00","5.00","2.00","2.00","10.00","9.00","2.00","6.00","4.00","3.00","1.00","2.00","1.00","2.00","6.00","7.00","2.00","3.00","1","3"
"wzi_2","5","10","6.00","5.00","4","10","4.00","3.00","4.00","4.00","5.00","3.00","9.00","2.00","13.00","11.00","6.00","4.00","4.00","1.00","5.00","1.00","11","7","13","7","16","10","13.00","8.00","9.00","3.00","5.00","3.00","5.00","7.00","7.00","8.00","8.00","6.00","6.00","12.00","9.00","3.00","7.00","5.00","9.00","6.00","20.00","7.00","8.00","7.00","5","6"
"wzy_2","29","39","18.00","11.00","16","19","24.00","31.00","27.00","40.00","14.00","23.00","23.00","31.00","70.00","67.00","35.00","22.00","40.00","42.00","46.00","7.00","37","49","45","47","59","48","49.00","51.00","34.00","14.00","26.00","32.00","29.00","22.00","26.00","37.00","39.00","32.00","31.00","34.00","30.00","12.00","36.00","26.00","49.00","31.00","36.00","41.00","14.00","17.00","30","25"
"CRE2_KPC_0.95","6","6","3.00","4.00","4","4","1.00","2.00","4.00","2.00","3.00","1.00","7.00","3.00","7.00","5.00","3.00","6.00","4.00","7.00","6.00","1.00","13","15","14","5","20","5","6.00","10.00","7.00","7.00","17.00","13.00","10.00","7.00","9.00","9.00","6.00","6.00","14.00","7.00","18.00","5.00","12.00","7.00","11.00","9.00","11.00","15.00","3.00","6.00","10","5"
"CRE2_NDM_0.95","2","4","1.00","1.00","1","1","2.00","2.00","1.00","1.00","2.00","4.00","4.00","3.00","10.00","8.00","3.00","2.00","5.00","4.00","6.00","1.00","7","8","2","5","9","7","9.00","5.00","6.00","1.00","14.00","10.00","4.00","8.00","5.00","4.00","9.00","6.00","7.00","7.00","5.00","3.00","10.00","2.00","8.00","2.00","8.00","10.00","2.00","2.00","2","5"
"CRE2_OXA48_0.95","3","2","2.00","2.00","1","1","3.00","1.00","1.00","1.00","1.00","2.00","2.00","2.00","6.00","10.00","4.00","3.00","2.00","3.00","1.00","1.00","4","2","2","5","2","4","4.00","7.00","7.00","6.00","7.00","5.00","4.00","3.00","5.00","3.00","8.00","1.00","4.00","6.00","7.00","1.00","2.00","5.00","4.00","1.00","8.00","1.00","3.00","4.00","2","4"
"CRE2_CTXM15_0.95","1","2","1.00","1.00","3","2","1.00","1.00","1.00","2.00","1.00","2.00","1.00","1.00","114533.00","89489.00","1.00","1.00","8.00","3.00","1.00","2.00","3","4","8","4","5","1","4.00","6.00","1.00","2.00","5.00","2.00","5.00","4.00","1.00","3.00","78161.00","69416.00","4.00","1.00","4.00","3.00","3.00","4.00","3.00","2.00","5.00","5.00","2.00","4.00","2","2"
"CRE2_IMP_1_0.95","3","4","1.00","1.00","1","1","1.00","2.00","1.00","2.00","2.00","1.00","3.00","1.00","22.00","43.00","5.00","1.00","2.00","1.00","3.00","1.00","6","6","7","1","9","3","15.00","3.00","1.00","1.00","3.00","3.00","1.00","2.00","2.00","5.00","15.00","12.00","6.00","3.00","2.00","2.00","2.00","1.00","1.00","1.00","9.00","2.00","3.00","2.00","1","3"
"CRE2_IMP_3_8_0.95","18","30","11.00","12.00","18","26","27.00","26.00","24.00","34.00","18.00","26.00","38.00","33.00","64.00","49.00","29.00","14.00","32.00","33.00","38.00","8.00","35","53","32","24","44","39","36.00","36.00","22.00","17.00","20.00","24.00","15.00","13.00","29.00","19.00","15.00","25.00","17.00","22.00","24.00","8.00","23.00","17.00","30.00","10.00","27.00","19.00","3.00","10.00","22","18"
"CRE2_IMP_2_4_0.95","8","8","9.00","1.00","4","8","2.00","4.00","1.00","1.00","1.00","1.00","7.00","5.00","7.00","9.00","5.00","2.00","6.00","3.00","4.00","1.00","4","5","9","1","16","4","12.00","5.00","6.00","7.00","7.00","7.00","11.00","4.00","9.00","7.00","6.00","14.00","7.00","8.00","5.00","4.00","8.00","7.00","11.00","2.00","13.00","6.00","2.00","5.00","6","6"
"CRE2_IMP_5_0.95","18","17","12.00","13.00","15","14","22.00","28.00","26.00","45.00","20.00","17.00","24.00","26.00","45.00","49.00","18.00","10.00","33.00","18.00","39.00","7.00","27","45","26","20","49","40","42.00","29.00","23.00","7.00","14.00","22.00","10.00","16.00","15.00","11.00","12.00","11.00","19.00","20.00","11.00","5.00","28.00","18.00","21.00","15.00","29.00","15.00","13.00","7.00","14","14"
"CRE2_IMP_6_0.95","1","4","2.00","1.00","1","3","1.00","1.00","1.00","2.00","1.00","1.00","2.00","2.00","34.00","31.00","2.00","3.00","3.00","3.00","2.00","1.00","3","1","7","4","7","4","12.00","4.00","4.00","1.00","7.00","9.00","2.00","1.00","3.00","5.00","20.00","13.00","1.00","4.00","7.00","1.00","1.00","6.00","4.00","1.00","5.00","2.00","2.00","4.00","2","3"
"CRE2_IMP_7_0.95","2","5","2.00","2.00","1","4","1.00","1.00","1.00","3.00","1.00","2.00","1.00","1.00","4.00","6.00","4.00","4.00","5.00","10.00","6.00","1.00","2","7","7","2","8","3","9.00","4.00","7.00","4.00","7.00","7.00","6.00","4.00","1.00","5.00","3.00","7.00","5.00","2.00","6.00","3.00","5.00","4.00","3.00","3.00","9.00","6.00","1.00","5.00","3","9"
"CRE2_VIM_1_0.95","17","21","15.00","15.00","13","22","24.00","20.00","31.00","52.00","17.00","24.00","25.00","30.00","53.00","56.00","36.00","10.00","30.00","29.00","33.00","9.00","37","55","40","49","36","43","39.00","34.00","19.00","19.00","18.00","23.00","14.00","13.00","14.00","15.00","12.00","9.00","14.00","10.00","18.00","7.00","19.00","16.00","16.00","17.00","27.00","19.00","14.00","12.00","11","19"
"CRE2_VIM_2_3_0.95","2","5","1.00","3.00","3","2","3.00","3.00","1.00","3.00","1.00","1.00","1.00","4.00","75.00","83.00","4.00","1.00","2.00","3.00","6.00","1.00","6","8","10","5","10","8","10.00","7.00","7.00","1.00","2.00","2.00","1.00","2.00","3.00","4.00","32.00","26.00","1.00","6.00","3.00","1.00","6.00","3.00","4.00","4.00","3.00","4.00","2.00","3.00","3","3"
"OXA10_0.95","6","7","2.00","2.00","3","3","2.00","2.00","2.00","3.00","2.00","1.00","6.00","1.00","6.00","8.00","6.00","1.00","2.00","3.00","7.00","1.00","8","9","6","11","12","9","15.00","15.00","10.00","6.00","9.00","8.00","6.00","5.00","10.00","4.00","7.00","2.00","6.00","7.00","9.00","4.00","12.00","2.00","11.00","6.00","24.00","15.00","3.00","5.00","8","8"
"EcMero2_C_APECO78_00485_0.95_1","849","759","2589.00","881.00","1744","1383","1584.00","160.00","1012.00","817.00","890.00","355.00","2033.00","1222.00","1276.00","1215.00","504.00","261.00","823.00","450.00","326.00","39.00","637","833","1042","387","1596","963","1669.00","950.00","688.00","141.00","1006.00","757.00","1515.00","435.00","494.00","468.00","690.00","610.00","711.00","569.00","792.00","249.00","703.00","277.00","867.00","223.00","1174.00","559.00","170.00","156.00","652","308"
"EcMero2_C_APECO78_02145_0.92_1","2675","1156","3462.00","940.00","4681","2648","3173.00","258.00","1978.00","953.00","1574.00","414.00","4871.00","2318.00","3214.00","3220.00","753.00","423.00","1237.00","482.00","609.00","47.00","1853","624","3180","487","4006","1074","4900.00","2372.00","1485.00","145.00","2668.00","1290.00","2500.00","426.00","2498.00","798.00","1554.00","1224.00","1825.00","1273.00","1822.00","650.00","1259.00","325.00","1613.00","191.00","3116.00","1126.00","338.00","191.00","1064","445"
"EcMero2_C_APECO78_03920_0.97_1","6276","3717","9024.00","1945.00","11380","9137","8707.00","554.00","6198.00","3561.00","5238.00","1582.00","11213.00","6501.00","8136.00","7797.00","2826.00","1412.00","3859.00","1929.00","1790.00","83.00","5166","5330","9286","2377","14167","5151","11923.00","4843.00","3687.00","214.00","6938.00","3048.00","4172.00","681.00","3839.00","2167.00","3084.00","2614.00","3445.00","2686.00","4281.00","1352.00","2917.00","731.00","3078.00","431.00","6218.00","2201.00","851.00","383.00","2337","1045"
"EcMero2_C_APECO78_05715_0.97_1","8137","3325","13304.00","2627.00","19236","10644","10047.00","413.00","9330.00","3375.00","5889.00","1525.00","18823.00","7098.00","9324.00","12381.00","3316.00","2411.00","5402.00","2013.00","2060.00","107.00","5948","5354","10809","1652","17438","9046","25175.00","8790.00","5617.00","246.00","10468.00","4502.00","8583.00","1447.00","8196.00","2321.00","4840.00","4688.00","7246.00","6903.00","6252.00","3056.00","5740.00","897.00","5743.00","698.00","11012.00","3711.00","1918.00","725.00","3549","1342"
"EcMero2_C_APECO78_16235_0.95_1","971","141","2286.00","102.00","2428","462","1649.00","43.00","975.00","85.00","1028.00","225.00","2032.00","316.00","1073.00","1047.00","513.00","208.00","716.00","66.00","304.00","8.00","658","146","1223","88","2365","347","2592.00","163.00","540.00","41.00","1024.00","468.00","1118.00","81.00","502.00","280.00","662.00","655.00","749.00","304.00","730.00","50.00","648.00","56.00","441.00","61.00","1017.00","154.00","133.00","60.00","400","43"
"EcMero2_C_APECO78_17535_0.95_1","3435","1118","5189.00","550.00","7057","3721","4980.00","185.00","3346.00","1194.00","2299.00","460.00","7483.00","2426.00","3779.00","4047.00","930.00","528.00","1464.00","484.00","893.00","26.00","1760","845","4101","306","6309","1362","6359.00","2220.00","2014.00","96.00","3050.00","1070.00","2460.00","290.00","1710.00","681.00","1393.00","1432.00","1956.00","1502.00","2042.00","654.00","1742.00","257.00","1429.00","140.00","3494.00","1019.00","471.00","156.00","1265","206"
"EcMero2_C_APECO78_19825_0.97_1","3651","1472","6238.00","993.00","8916","5147","5695.00","239.00","3118.00","1128.00","2875.00","825.00","8443.00","2988.00","4826.00","4331.00","1523.00","691.00","2398.00","600.00","1367.00","41.00","2421","1061","4920","568","7405","1692","7873.00","2495.00","2908.00","151.00","3734.00","1818.00","3290.00","352.00","2327.00","1101.00","2417.00","2067.00","2684.00","1651.00","2725.00","598.00","2139.00","318.00","2344.00","232.00","4649.00","1254.00","513.00","172.00","1683","463"
"EcMero2_C_APECO78_20780_0.95_1","1420","243","2370.00","236.00","4501","1028","2507.00","155.00","1348.00","222.00","1469.00","395.00","3893.00","544.00","1936.00","1800.00","459.00","221.00","1122.00","148.00","582.00","27.00","683","295","1691","166","3149","473","2321.00","404.00","1018.00","67.00","1978.00","1050.00","2250.00","175.00","700.00","480.00","407.00","359.00","1074.00","468.00","1168.00","130.00","838.00","142.00","1169.00","106.00","1482.00","289.00","196.00","100.00","831","116"
"EcMero2_Rup_APECO78_00325_0.97_1","5243","3623","21169.00","5917.00","17559","29867","7212.00","1383.00","11172.00","4713.00","4686.00","2081.00","21903.00","18966.00","5159.00","8286.00","2170.00","2552.00","2107.00","2322.00","902.00","136.00","2606","5702","5314","4748","8677","4024","12805.00","6504.00","3807.00","779.00","7170.00","5900.00","3199.00","1182.00","2219.00","3128.00","3654.00","7767.00","3102.00","6160.00","2866.00","2707.00","2663.00","1256.00","1330.00","874.00","5253.00","5203.00","1748.00","497.00","2668","1641"
"EcMero2_Rup_APECO78_04245_0.95_1","2730","3568","2826.00","2400.00","8846","10567","2936.00","911.00","3927.00","5143.00","1496.00","804.00","9193.00","7342.00","2777.00","4148.00","467.00","862.00","701.00","1691.00","676.00","85.00","2409","2187","3278","2546","6509","5640","7573.00","3071.00","1150.00","339.00","2300.00","1511.00","2252.00","949.00","1223.00","690.00","685.00","1098.00","2093.00","1811.00","1578.00","623.00","1041.00","831.00","1328.00","529.00","2388.00","1662.00","448.00","454.00","834","1011"
"EcMero2_Rup_APECO78_05395_0.92_1","105","183","182.00","214.00","301","787","195.00","132.00","152.00","234.00","162.00","189.00","236.00","281.00","153.00","182.00","91.00","52.00","91.00","197.00","80.00","24.00","118","453","161","131","416","181","375.00","278.00","136.00","67.00","215.00","508.00","98.00","92.00","178.00","339.00","136.00","118.00","156.00","164.00","121.00","74.00","116.00","106.00","141.00","90.00","303.00","214.00","42.00","71.00","101","84"
"EcMero2_Rup_APECO78_05500_0.97_1","543","1441","539.00","1549.00","1540","5310","684.00","649.00","415.00","1701.00","525.00","914.00","861.00","1615.00","456.00","467.00","181.00","148.00","275.00","592.00","156.00","34.00","368","1130","545","1617","811","726","892.00","714.00","315.00","95.00","516.00","557.00","368.00","308.00","481.00","471.00","256.00","215.00","454.00","573.00","394.00","614.00","329.00","643.00","320.00","257.00","663.00","453.00","95.00","256.00","194","348"
"EcMero2_Rup_APECO78_09510_0.97_1","305","805","1195.00","518.00","510","2283","461.00","160.00","1352.00","765.00","559.00","544.00","422.00","782.00","288.00","266.00","437.00","288.00","273.00","717.00","163.00","38.00","163","3043","267","353","650","458","465.00","589.00","575.00","101.00","209.00","1434.00","110.00","96.00","158.00","902.00","224.00","193.00","209.00","276.00","164.00","151.00","216.00","206.00","141.00","138.00","258.00","352.00","82.00","129.00","174","189"
"EcMero2_Rup_APECO78_09705_0.92_1","868","705","3450.00","638.00","1355","2772","3782.00","250.00","1872.00","819.00","3596.00","2038.00","676.00","1020.00","1216.00","709.00","240.00","174.00","371.00","556.00","288.00","17.00","923","1522","3079","583","3279","1333","1237.00","600.00","562.00","113.00","909.00","5203.00","870.00","131.00","340.00","3060.00","2936.00","3330.00","441.00","459.00","2402.00","714.00","3506.00","563.00","148.00","77.00","1167.00","716.00","114.00","96.00","756","236"
"EcMero2_Rup_APECO78_09710_0.92_1","989","579","4720.00","920.00","1000","3280","4836.00","354.00","2395.00","860.00","5574.00","3153.00","622.00","1269.00","1225.00","545.00","260.00","205.00","355.00","559.00","343.00","19.00","939","1584","3473","605","3233","1163","910.00","655.00","579.00","126.00","915.00","6025.00","851.00","90.00","114.00","3647.00","3039.00","3515.00","340.00","399.00","2766.00","781.00","3499.00","709.00","93.00","53.00","975.00","860.00","107.00","99.00","971","172"
"EcMero2_Rup_APECO78_12545_0.97_0.95","601","586","819.00","376.00","2444","3104","742.00","321.00","283.00","259.00","553.00","363.00","969.00","739.00","625.00","730.00","166.00","132.00","258.00","236.00","293.00","20.00","457","456","878","284","1616","454","2060.00","621.00","418.00","89.00","1408.00","895.00","483.00","259.00","993.00","425.00","496.00","390.00","729.00","379.00","754.00","354.00","341.00","217.00","354.00","148.00","1174.00","412.00","110.00","121.00","250","163"
"EcMero2_Rup_APECO78_21920_0.92_1","209","154","329.00","170.00","700","254","459.00","97.00","242.00","155.00","280.00","140.00","655.00","221.00","413.00","418.00","144.00","84.00","135.00","75.00","204.00","10.00","158","117","361","81","274","150","654.00","129.00","250.00","70.00","463.00","291.00","240.00","123.00","381.00","238.00","270.00","285.00","623.00","310.00","327.00","77.00","312.00","139.00","229.00","109.00","404.00","232.00","105.00","98.00","142","90"
"EcMero2_Rup_APECO78_22510_0.92_1","1646","5404","854.00","7001.00","6822","30518","2568.00","3065.00","969.00","4786.00","1544.00","5107.00","2128.00","6019.00","1688.00","988.00","462.00","632.00","902.00","2167.00","516.00","89.00","1170","3302","2012","7405","1923","3362","2458.00","3546.00","615.00","314.00","1435.00","2908.00","1269.00","2257.00","596.00","2012.00","687.00","479.00","1285.00","1472.00","981.00","4355.00","1013.00","2305.00","699.00","1036.00","1629.00","2292.00","184.00","609.00","539","1174"
