"","MGHBC6_5","MGHBC6_atm","MGHBC8_5","MGHBC8_atm","MGHBC11_5","MGHBC11_atm","MGHBC12_5","MGHBC12_atm","MGHBC13_5","MGHBC13_atm","MGHBC14_5","MGHBC14_atm","MGHBC16_5","MGHBC16_atm","MGHBC18_5","MGHBC18_atm","MGHBC21_5","MGHBC21_atm","MGHBC27_5","MGHBC27_atm","MGHBC28_5","MGHBC28_atm","MGHBC33_5","MGHBC33_atm","MGHBC38_5","MGHBC38_atm","MGHBC41_5","MGHBC41_atm","MGHBC44_5","MGHBC44_atm","MGHBC51_5","MGHBC51_atm","MGHBC52_5","MGHBC52_atm","MGHBC53_5","MGHBC53_atm","MGHBC55_5","MGHBC55_atm","MGHBC56_5","MGHBC56_atm","MGHBC57_5","MGHBC57_atm","MGHBC58_5","MGHBC58_atm","MGHBC60_5","MGHBC60_atm","MGHBC63_5","MGHBC63_atm","MGHBC64_5","MGHBC64_atm","MGHBC17ec_5","MGHBC17ec_atm","MGHBC5_5","MGHBC5_atm"
"POS_A","54640","74360","70775.00","80811.00","81828","99825","78405.00","66259.00","63748.00","77070.00","83532.00","67553.00","69751.00","68396.00","76893.00","62016.00","40846.00","25762.00","42703.00","57600.00","53342.00","10650.00","48414","63781","84018","87448","93430","73273","74760.00","56831.00","52597.00","31758.00","58163.00","60565.00","52432.00","50243.00","57165.00","45229.00","52905.00","53212.00","55349.00","51936.00","57625.00","31729.00","55594.00","48155.00","54100.00","38559.00","55397.00","54100.00","32903.00","43758.00","34236","32485"
"POS_B","8031","10523","9097.00","10480.00","10064","12264","9671.00","8206.00","8048.00","9457.00","10555.00","8784.00","8800.00","8525.00","10161.00","8162.00","5410.00","3415.00","5538.00","7351.00","6821.00","1322.00","6513","8275","10788","11324","12075","9750","9496.00","7657.00","15760.00","9761.00","17985.00","18599.00","15626.00","14879.00","17651.00","13585.00","16271.00","16580.00","16603.00","15886.00","18035.00","11267.00","16776.00","14609.00","16002.00","11478.00","16188.00","15782.00","10758.00","13924.00","10487","9841"
"POS_C","4195","5570","4710.00","5306.00","5052","6052","4697.00","4173.00","3922.00","4970.00","5320.00","4402.00","4338.00","4223.00","7024.00","5643.00","3646.00","2371.00","3935.00","5261.00","4792.00","1007.00","4443","5967","8122","8279","8533","6924","7037.00","5211.00","5051.00","3035.00","5431.00","5790.00","4841.00","4888.00","5481.00","4114.00","5056.00","5114.00","5042.00","4947.00","5463.00","3680.00","5222.00","4550.00","5054.00","3511.00","4924.00","4973.00","3333.00","4247.00","3264","3161"
"POS_D","472","516","492.00","535.00","501","641","545.00","458.00","412.00","528.00","571.00","471.00","476.00","437.00","576.00","413.00","292.00","193.00","346.00","391.00","344.00","79.00","339","456","589","631","627","553","525.00","429.00","1082.00","654.00","1170.00","1292.00","1035.00","1037.00","1175.00","866.00","1096.00","1067.00","1088.00","1010.00","1235.00","703.00","1133.00","945.00","1060.00","799.00","1096.00","1027.00","614.00","867.00","661","680"
"POS_E","150","170","211.00","209.00","201","237","202.00","163.00","167.00","221.00","200.00","149.00","174.00","177.00","239.00","164.00","101.00","62.00","99.00","149.00","125.00","36.00","142","159","224","198","233","182","182.00","155.00","284.00","140.00","297.00","260.00","228.00","233.00","267.00","204.00","257.00","277.00","267.00","265.00","284.00","155.00","276.00","228.00","262.00","184.00","245.00","231.00","154.00","191.00","181","155"
"POS_F","55","69","70.00","69.00","87","69","78.00","79.00","81.00","88.00","74.00","58.00","64.00","67.00","113.00","105.00","49.00","33.00","59.00","54.00","68.00","12.00","77","69","83","85","121","77","86.00","82.00","79.00","51.00","84.00","86.00","79.00","59.00","82.00","63.00","79.00","70.00","86.00","54.00","97.00","35.00","77.00","48.00","66.00","58.00","71.00","77.00","46.00","58.00","47","50"
"NEG_A","2","3","1.00","1.00","1","6","1.00","1.00","1.00","3.00","1.00","1.00","2.00","3.00","24.00","24.00","4.00","1.00","1.00","5.00","6.00","1.00","7","2","5","1","3","3","12.00","7.00","2.00","3.00","4.00","7.00","1.00","3.00","2.00","4.00","12.00","13.00","3.00","2.00","2.00","1.00","2.00","2.00","4.00","2.00","6.00","1.00","3.00","4.00","3","1"
"NEG_B","3","3","3.00","2.00","3","4","2.00","2.00","2.00","1.00","1.00","1.00","1.00","1.00","7.00","5.00","5.00","2.00","6.00","1.00","4.00","1.00","8","4","6","4","12","4","10.00","4.00","4.00","1.00","9.00","3.00","4.00","5.00","6.00","1.00","8.00","7.00","4.00","8.00","5.00","2.00","3.00","6.00","6.00","7.00","5.00","4.00","2.00","1.00","3","2"
"NEG_C","4","6","1.00","1.00","2","1","1.00","1.00","1.00","1.00","1.00","1.00","2.00","1.00","7.00","9.00","4.00","1.00","3.00","6.00","6.00","1.00","9","4","5","4","10","8","11.00","8.00","5.00","6.00","8.00","12.00","6.00","4.00","3.00","3.00","4.00","5.00","7.00","1.00","6.00","3.00","6.00","7.00","4.00","4.00","10.00","4.00","2.00","3.00","4","7"
"NEG_D","3","4","1.00","1.00","2","1","1.00","2.00","1.00","1.00","1.00","1.00","1.00","1.00","6.00","4.00","1.00","2.00","3.00","3.00","2.00","1.00","3","1","4","2","4","1","5.00","5.00","2.00","3.00","2.00","3.00","4.00","2.00","4.00","5.00","5.00","4.00","3.00","1.00","2.00","1.00","3.00","5.00","4.00","2.00","3.00","8.00","2.00","3.00","2","2"
