"","MGHBC4_5","MGHBC4_fep","MGHBC15_5","MGHBC15_fep","MGHBC19_5","MGHBC19_fep","MGHBC23_5","MGHBC23_fep","MGHBC25_5","MGHBC25_fep","MGHBC34_5","MGHBC34_fep","MGHBC35_5","MGHBC35_fep","MGHBC29_5","MGHBC29_fep","MGHBC32_5","MGHBC32_fep","MGHBC26_5","MGHBC26_fep","MGHBC47_5","MGHBC47_fep","MGHBC50_5","MGHBC50_fep","MGHBC48_5","MGHBC48_fep","MGHBC61_5","MGHBC61_fep","MGHBC62_5","MGHBC62_fep","MGHBC17kp_5","MGHBC17kp_fep"
"POS_A","77595","67302","74223.00","70651.00","58272","49544","53377","58841","44155","75355","44910.00","10923.00","58576.00","55255.00","83560.00","74207.00","84833","75438","80613","66755","72878.00","80860.00","44267.00","51592.00","50027.00","52622.00","54153.00","57568.00","39417.00","49510.00","56834.00","53861.00"
"POS_B","9536","8469","8663.00","8225.00","7626","6830","7049","7868","14528","9446","5795.00","1477.00","7634.00","6956.00","11131.00","10095.00","11067","9677","10671","9069","10137.00","11073.00","13106.00","15760.00","14918.00","16296.00","16089.00","17213.00","12883.00","15210.00","17209.00","16104.00"
"POS_C","5057","4190","4457.00","4428.00","5357","4752","4790","5513","4707","6857","4075.00","989.00","5319.00","4733.00","7456.00","6874.00","7883","6919","7676","6204","7105.00","7791.00","4065.00","4815.00","4664.00","5072.00","4920.00","5186.00","4026.00","4716.00","5307.00","4878.00"
"POS_D","513","444","458.00","416.00","465","351","424","444","935","552","337.00","81.00","440.00","401.00","568.00","533.00","601","507","601","522","525.00","611.00","932.00","1074.00","1014.00","1042.00","1090.00","1083.00","824.00","972.00","1088.00","1055.00"
"POS_E","189","167","180.00","173.00","152","111","124","151","252","196","157.00","34.00","146.00","152.00","203.00","175.00","214","171","216","162","191.00","192.00","222.00","265.00","261.00","272.00","260.00","267.00","211.00","217.00","291.00","232.00"
"POS_F","70","61","62.00","68.00","65","58","75","72","62","96","80.00","16.00","105.00","98.00","92.00","86.00","100","74","97","80","79.00","91.00","64.00","82.00","79.00","75.00","71.00","70.00","52.00","68.00","61.00","63.00"
"NEG_A","1","2","3.00","11.00","2","2","3","1","17","17","34.00","14.00","11.00","5.00","2.00","5.00","1","1","1","1","4.00","3.00","2.00","5.00","2.00","3.00","3.00","8.00","2.00","1.00","3.00","3.00"
"NEG_B","3","5","4.00","2.00","5","3","4","1","7","3","9.00","2.00","5.00","12.00","9.00","2.00","4","2","7","7","5.00","5.00","5.00","3.00","14.00","8.00","5.00","7.00","3.00","2.00","4.00","4.00"
"NEG_C","9","5","5.00","6.00","10","3","6","3","4","6","6.00","1.00","13.00","13.00","7.00","10.00","8","3","7","7","6.00","8.00","11.00","12.00","16.00","13.00","10.00","3.00","7.00","2.00","5.00","11.00"
"NEG_D","8","1","1.00","3.00","4","2","2","4","5","4","11.00","1.00","11.00","10.00","5.00","3.00","6","2","6","8","7.00","6.00","9.00","6.00","13.00","7.00","1.00","8.00","4.00","2.00","3.00","3.00"
