"","MGHBC4_5","MGHBC4_cz","MGHBC15_5","MGHBC15_cz","MGHBC19_5","MGHBC19_cz","MGHBC23_5","MGHBC23_cz","MGHBC25_5","MGHBC25_cz","MGHBC34_5","MGHBC34_cz","MGHBC35_5","MGHBC35_cz","MGHBC29_5","MGHBC29_cz","MGHBC32_5","MGHBC32_cz","MGHBC26_5","MGHBC26_cz","MGHBC47_5","MGHBC47_cz","MGHBC50_5","MGHBC50_cz","MGHBC48_5","MGHBC48_cz","MGHBC61_5","MGHBC61_cz","MGHBC62_5","MGHBC62_cz","MGHBC17kp_5","MGHBC17kp_cz"
"POS_A","77595","68902","74223.00","62839.00","58272","63448","53377","52841","44155","73919","44910.00","43466.00","58576.00","63826.00","83560.00","68028.00","84833","71582","80613","70165","72878.00","81380.00","44267.00","48121.00","50027.00","45128.00","54153.00","60518.00","39417.00","54713.00","56834.00","44412.00"
"POS_B","9536","8632","8663.00","7540.00","7626","8664","7049","7046","14528","9336","5795.00","5774.00","7634.00","8149.00","11131.00","9206.00","11067","9423","10671","9413","10137.00","11186.00","13106.00","14813.00","14918.00","13755.00","16089.00","18075.00","12883.00","17219.00","17209.00","13998.00"
"POS_C","5057","4514","4457.00","4020.00","5357","5970","4790","5009","4707","6745","4075.00","3939.00","5319.00","5980.00","7456.00","6415.00","7883","6914","7676","6517","7105.00","7691.00","4065.00","4582.00","4664.00","4365.00","4920.00","5665.00","4026.00","5126.00","5307.00","4423.00"
"POS_D","513","474","458.00","397.00","465","486","424","411","935","510","337.00","336.00","440.00","465.00","568.00","444.00","601","521","601","472","525.00","537.00","932.00","988.00","1014.00","915.00","1090.00","1202.00","824.00","1107.00","1088.00","880.00"
"POS_E","189","158","180.00","166.00","152","158","124","126","252","202","157.00","132.00","146.00","179.00","203.00","171.00","214","187","216","168","191.00","209.00","222.00","222.00","261.00","244.00","260.00","295.00","211.00","273.00","291.00","227.00"
"POS_F","70","62","62.00","56.00","65","88","75","86","62","93","80.00","76.00","105.00","93.00","92.00","71.00","100","86","97","89","79.00","85.00","64.00","77.00","79.00","57.00","71.00","67.00","52.00","81.00","61.00","52.00"
"NEG_A","1","3","3.00","6.00","2","1","3","1","17","26","34.00","24.00","11.00","7.00","2.00","1.00","1","2","1","1","4.00","2.00","2.00","2.00","2.00","2.00","3.00","3.00","2.00","2.00","3.00","2.00"
"NEG_B","3","3","4.00","2.00","5","4","4","2","7","7","9.00","8.00","5.00","8.00","9.00","4.00","4","1","7","4","5.00","5.00","5.00","7.00","14.00","14.00","5.00","4.00","3.00","6.00","4.00","6.00"
"NEG_C","9","1","5.00","4.00","10","8","6","4","4","7","6.00","9.00","13.00","9.00","7.00","8.00","8","5","7","10","6.00","8.00","11.00","10.00","16.00","19.00","10.00","8.00","7.00","8.00","5.00","5.00"
"NEG_D","8","3","1.00","3.00","4","2","2","3","5","1","11.00","3.00","11.00","9.00","5.00","4.00","6","1","6","5","7.00","8.00","9.00","6.00","13.00","14.00","1.00","7.00","4.00","6.00","3.00","1.00"
"NEG_E","2","1","21.00","24.00","2","1","1","1","62","94","148.00","120.00","10.00","9.00","1.00","1.00","1","1","5","1","4.00","2.00","5.00","2.00","4.00","4.00","5.00","3.00","2.00","4.00","3.00","4.00"
"NEG_F","5","3","2.00","2.00","9","4","7","4","5","3","14.00","11.00","16.00","14.00","15.00","10.00","7","2","8","3","12.00","9.00","10.00","8.00","5.00","13.00","5.00","6.00","6.00","8.00","6.00","3.00"
"wzi_1","6","6","5.00","3.00","8","1","6","5","8","8","11.00","8.00","11.00","14.00","10.00","5.00","9","2","10","7","11.00","11.00","9.00","3.00","5.00","10.00","4.00","8.00","4.00","8.00","9.00","3.00"
"wzy_1","4","5","10.00","16.00","4","4","3","1","24","18","27.00","31.00","17.00","9.00","5.00","2.00","4","4","5","4","7.00","4.00","7.00","2.00","5.00","4.00","3.00","2.00","2.00","5.00","2.00","4.00"
"wzi_2","12","24","3660.00","3295.00","16","8","10","6","12","11","27.00","34.00","34.00","35.00","24.00","12.00","1724","259","38","33","32.00","26.00","43.00","22.00","19.00","27.00","144.00","91.00","12.00","9.00","17.00","6.00"
"wzy_2","19","19","30.00","18.00","52","48","45","46","31","68","43.00","34.00","80.00","64.00","45.00","29.00","51","42","46","34","43.00","34.00","30.00","19.00","26.00","31.00","23.00","34.00","18.00","24.00","37.00","17.00"
"CRE2_KPC_0.95","1","6","2.00","3.00","6","6","5","5","12","18","14.00","6.00","18.00","20.00","12.00","8.00","11","6","12","5","8.00","8.00","17.00","5.00","70164.00","63422.00","10.00","9.00","3.00","7.00","8.00","9.00"
"CRE2_NDM_0.95","7","7","4.00","6.00","1","2","5","4","4","10","11.00","11.00","11.00","17.00","11.00","4.00","4","5","7","2","8.00","5.00","16.00","7.00","7.00","12.00","5.00","5.00","6.00","6.00","6.00","8.00"
"CRE2_OXA48_0.95","2","13","1.00","6.00","3","1","2","2","8","5","3.00","16.00","2.00","10.00","9.00","4.00","5","7","9","8","6.00","4.00","9.00","10.00","18.00","13.00","4.00","5.00","1.00","4.00","3.00","4.00"
"CRE2_CTXM15_0.95","3","3","119801.00","115209.00","1","2","1","1","96986","93461","114405.00","99331.00","19.00","26.00","4.00","3.00","1","1","2","1","6.00","2.00","6.00","4.00","7.00","8.00","2.00","6.00","2.00","3.00","5.00","4.00"
"CRE2_IMP_1_0.95","2","1","6.00","5.00","2","1","2","1","21","28","46.00","27.00","8.00","12.00","6.00","1.00","1","2","3","1","12.00","1.00","4.00","1.00","1.00","2.00","8.00","5.00","3.00","2.00","9.00","6.00"
"CRE2_IMP_3_8_0.95","13","14","18.00","20.00","28","34","38","43","28","61","39.00","39.00","59.00","54.00","35.00","23.00","40","23","44","33","38.00","20.00","33.00","26.00","15.00","25.00","20.00","19.00","14.00","20.00","22.00","17.00"
"CRE2_IMP_2_4_0.95","5","2","4.00","2.00","2","2","2","1","8","4","9.00","11.00","7.00","12.00","7.00","6.00","4","1","8","10","3.00","6.00","16.00","2.00","18.00","15.00","8.00","5.00","9.00","2.00","5.00","4.00"
"CRE2_IMP_5_0.95","9","12","17.00","13.00","25","31","43","37","14","55","44.00","31.00","73.00","54.00","39.00","27.00","37","20","40","25","17.00","27.00","22.00","20.00","14.00","11.00","23.00","17.00","12.00","20.00","18.00","11.00"
"CRE2_IMP_6_0.95","4","1","4.00","9.00","1","2","4","1","25","27","32.00","31.00","17.00","16.00","4.00","1.00","3","3","2","3","7.00","1.00","4.00","3.00","2.00","5.00","2.00","3.00","6.00","1.00","3.00","4.00"
"CRE2_IMP_7_0.95","5","8","2.00","1.00","5","3","6","5","4","6","13.00","11.00","13.00","17.00","7.00","7.00","5","7","11","12","8.00","12.00","10.00","6.00","17.00","19.00","6.00","3.00","5.00","7.00","4.00","2.00"
"CRE2_VIM_1_0.95","12","13","14.00","25.00","24","30","51","54","11","46","50.00","41.00","79.00","63.00","26.00","32.00","34","26","37","38","19.00","24.00","20.00","22.00","8.00","20.00","14.00","14.00","10.00","19.00","10.00","8.00"
"CRE2_VIM_2_3_0.95","3","2","14.00","15.00","4","1","3","3","30","71","91.00","99.00","15.00","12.00","1.00","4.00","1","1","4","4","7.00","3.00","3.00","2.00","4.00","3.00","3.00","7.00","3.00","1.00","3.00","1.00"
"OXA10_0.95","5","5","2.00","4.00","7","5","6","8","8","9","12.00","13.00","15.00","18.00","14.00","6.00","13","5","9","3","16.00","8.00","14.00","10.00","14.00","8.00","10.00","10.00","8.00","11.00","7.00","9.00"
"KpMero4_C_KPN_00050_0.97","6834","7054","4447.00","3885.00","1568","464","1127","702","1577","1546","3352.00","2905.00","2886.00","4810.00","4015.00","2581.00","1781","257","3675","1697","5430.00","3121.00","4918.00","1362.00","3315.00","2863.00","2389.00","1793.00","1512.00","1330.00","1964.00","1095.00"
"KpMero4_C_KPN_00098_0.97","8953","6986","3886.00","3777.00","1601","467","1306","451","2097","1843","3501.00","3071.00","2593.00","3191.00","4234.00","2365.00","2068","326","4423","1229","6631.00","3414.00","5314.00","1279.00","3095.00","2757.00","2389.00","1635.00","1904.00","1411.00","2216.00","807.00"
"KpMero4_C_KPN_00100_0.97","45189","38734","30797.00","27775.00","12422","4684","8658","4805","10240","11706","31485.00","28319.00","28661.00","39276.00","35109.00","15518.00","13341","3417","35667","11826","47368.00","34674.00","30135.00","9789.00","16869.00","14963.00","15471.00","10485.00","10661.00","9892.00","15658.00","8040.00"
"KpMero4_C_KPN_01276_0.92","5529","4323","2457.00","2077.00","967","434","752","497","864","827","2729.00","2229.00","1878.00","2585.00","2398.00","1054.00","1334","425","2441","940","4162.00","3112.00","2921.00","1188.00","1803.00","1424.00","1461.00","844.00","941.00","938.00","1281.00","675.00"
"KpMero4_C_KPN_02846_0.95","6188","5203","2675.00","2456.00","1509","367","898","466","1523","1424","3275.00","2844.00","2115.00","3514.00","2888.00","1469.00","1946","310","2360","1397","5680.00","2972.00","3018.00","730.00","2426.00","2181.00","1569.00","1089.00","1376.00","1078.00","1581.00","770.00"
"KpMero4_C_KPN_03317_0.92","4928","3602","2088.00","1908.00","813","370","678","419","887","1004","2807.00","2549.00","2417.00","2808.00","1943.00","1134.00","940","293","2139","672","3905.00","2613.00","3046.00","1159.00","1615.00","1461.00","1002.00","752.00","1151.00","947.00","1320.00","595.00"
"KpMero4_C_KPN_03634_0.92","2539","1613","2358.00","2010.00","603","216","529","211","632","666","1620.00","1425.00","1925.00","2114.00","1776.00","883.00","698","185","2352","671","2716.00","1339.00","2502.00","582.00","1343.00","1158.00","925.00","665.00","609.00","424.00","730.00","280.00"
"KpMero4_C_KPN_04666_0.97","5223","5271","3551.00","3250.00","1136","378","769","419","1330","1073","2380.00","1794.00","2725.00","4232.00","2574.00","1160.00","1422","326","2044","877","3867.00","3176.00","4139.00","1169.00","2676.00","2314.00","1877.00","1221.00","1013.00","1011.00","1156.00","594.00"
"KpMero4_R01up_KPN_01226_0.97","1632","5536","829.00","742.00","107","103","163","85","153","163","664.00","478.00","1077.00","2471.00","493.00","501.00","325","97","845","429","800.00","670.00","684.00","261.00","520.00","413.00","295.00","380.00","246.00","277.00","288.00","626.00"
