"","MGHBC4_atm","MGHBC15_atm","MGHBC19_atm","MGHBC23_atm","MGHBC25_atm","MGHBC34_atm","MGHBC35_atm","MGHBC29_atm","MGHBC32_atm","MGHBC26_atm","MGHBC47_atm","MGHBC50_atm","MGHBC48_atm","MGHBC61_atm","MGHBC62_atm","MGHBC17kp_atm"
"KpMero4_R01up_KPN_01226_0.97",0.994467376675342,-0.598037194581018,1.90011419362172,1.2678931686888,NA,0.0318974789771233,0.764185103666801,2.90369287874575,1.46033881125395,0.556429392069585,1.79564304441108,3.00876146623676,0.0592980662294258,1.88875569569238,0.763666826301281,1.39645574105702
"KpMero4_R02up_KPN_01107_0.97",0.838528526216346,-0.13021255973945,-0.1091457325249,1.16743588464809,0.183008538398988,-0.176102338483802,0.470395198039141,2.39838175524537,-1.43984795359156,3.31997616808203,2.13716434009539,2.17105184878647,-0.231130001301994,2.49683670251496,1.17075470461606,2.8826400873
"KpMero4_R03up_KPN_02345_0.95",1.73865110222626,0.221433948550083,1.61500812366436,2.40948519904683,-0.0356974127579248,0.734242648913929,2.32172505632717,2.84055202971631,1.31287235811789,3.50445808206616,2.06644534266805,3.15660933554672,-0.0670097987838869,2.83043968595043,1.74914529481059,2.01872683907547
"KpMero4_R04up_KPN_02742_0.97",0.95509445517497,0.120820430760753,1.72221265549079,1.64466399768855,-0.336187926011023,0.642839748700887,0.8397664357527,2.15812231003806,0.722853191210281,3.48995167177931,1.18507107369183,1.41618371256692,0.075730947582228,2.38766622766713,2.51132848002355,1.54064516668973
"KpMero4_R05dn_KPN_02241_0.92",0.690151774316039,NA,0.907273985194585,0.723242011339744,NA,-0.369431798269545,0.525588381372732,NA,NA,NA,0.771441879141971,1.14158310691915,0.949522034037243,NA,0.50843316848967,-1.19974360430365
"KpMero4_R06up_KPN_03358_0.92",0.410369351090473,-0.481260635276461,0.0964872858580449,0.57552427229749,-0.857635309697519,-0.273922549133674,0.295219030075343,0.802333125850486,-0.505643421980359,2.41619508942557,0.554214628991489,0.741332672442008,-0.106222508336754,0.348700746614942,0.435709545041548,0.211500118440772
"KpMero4_R07up_KPN_03934_0.92",-0.155850666027083,0.127669034547042,-0.8344664851799,-0.530397340798171,-0.34408913327885,0.315276524680444,-0.240839610811799,-0.422124912482613,-0.477381968585954,1.02265039965695,-0.578478471623181,-0.264453489788644,-0.268410931200658,-0.717185054476391,-0.615295821870067,-0.566924389991224
"KpMero4_R08dn_KPN_00868_0.92",-0.15783376789047,-0.187608608846616,NA,-1.74888468014592,NA,0.192252349267744,-0.326630549018025,0.520992939816875,NA,-1.22939144634282,-3.03330204156641,-1.90673844435119,0.678084967565453,1.55868705877971,-1.83022952872273,-3.22488761773125
"KpMero4_R09up_KPN_02342_0.97",1.27127311162846,-0.255586257573283,0.927309794816336,1.11257723525602,-0.863701448266676,-0.123521279377223,0.784644827674031,1.33413078730491,-0.428600941897353,1.60096185441279,1.29387972404013,1.9938069514153,0.063482634153562,1.45029184581572,0.951680140290045,1.22109370302115
"KpMero4_R10up_KPN_00833_0.97",1.73918766266923,0.482296580040851,2.46052914747337,2.40540526934125,-0.1854624752993,1.15531379385247,1.77762054376871,1.36365580629966,2.20486605788535,2.65421459962838,3.37071656919147,3.29483508235884,0.340228148820137,2.57367062273519,1.63084069503728,2.69676143066314
