"","MGHBC6_mem","MGHBC8_mem","MGHBC11_mem","MGHBC12_mem","MGHBC13_mem","MGHBC14_mem","MGHBC16_mem","MGHBC18_mem","MGHBC21_mem","MGHBC27_mem","MGHBC28_mem","MGHBC33_mem","MGHBC38_mem","MGHBC41_mem","MGHBC44_mem","MGHBC51_mem","MGHBC52_mem","MGHBC53_mem","MGHBC55_mem","MGHBC56_mem","MGHBC57_mem","MGHBC58_mem","MGHBC60_mem","MGHBC63_mem","MGHBC64_mem","MGHBC17ec_mem","MGHBC5_mem"
"EcMero2_Rup_APECO78_00325_0.97_1",1.62518625953503,-0.0136339749337917,2.67292938765585,2.51605808671198,0.59495517405843,0.324432580942751,1.86034893594533,1.47103635083663,-0.0375057075503075,2.39148926675673,1.68966937916455,2.88245761519828,1.7012642399386,3.55568141658659,1.93325026739811,0.10941157758984,2.06614840171983,2.51787017246487,0.684977662838356,-0.0520835069292255,3.44223674550128,2.28970261959609,0.830652933874333,3.08379445131672,1.30222518703831,-1.38957841898203,1.8706342964942
"EcMero2_Rup_APECO78_04245_0.95_1",1.96881609462135,2.29381075502544,3.17286435605148,3.13281592669271,1.64810399040249,1.80674045087716,2.21499015175427,1.92227472962796,1.75600512007796,3.79923462228684,1.91877190792101,2.79643686126976,1.7927884374927,4.05981477151354,2.56779095736885,0.933053126345135,2.89191965952037,1.94126611649899,0.999317876207503,1.98589197902449,2.8558946849948,2.23562485588668,1.55544660561603,1.92472473276879,1.81371832285281,0.155480148696458,2.8477101321603
"EcMero2_Rup_APECO78_05395_0.92_1",3.11547231353276,3.14952080372936,3.89947894164077,3.97268790522327,3.93452319826186,3.47776933555383,3.40635876043928,3.37114052870148,2.96648950481991,2.97771099851324,3.09679440535895,4.25032958699155,3.20619001659977,4.80560780255668,3.53100701855639,3.26470456015626,2.71076413787977,2.95057419334716,2.84727093924479,3.37844670958883,3.52063054126382,3.81628027766427,3.28784770208096,2.73902800060054,3.67973650890132,2.82265568889002,3.13183756894932
"EcMero2_Rup_APECO78_05500_0.97_1",2.76557758247863,3.56512979668282,2.58240407925702,2.6903116420071,2.89993909278925,2.34411265714439,2.87235372012083,2.45480770792121,2.52288980717314,1.98907547739477,1.96248175361279,1.61488420655222,2.3824119400338,3.16807569266865,2.57818410259545,2.1512543406432,1.94931403749621,2.75100048964791,1.62451681777012,2.54674956345781,1.89107933545601,2.3397702588351,1.9997910366393,2.10632947585468,1.85050098540161,2.2391433012172,1.96606898127494
"EcMero2_Rup_APECO78_09510_0.97_1",4.65892457454848,2.73268942393853,5.09742813928311,5.15404369914302,3.10795278751193,2.81773300351254,5.01452007330264,4.62383674269542,1.82630527730676,3.90887207936456,3.42314330086629,5.49192453754582,3.68393156050703,6.76532733462588,5.25977786809906,1.57754950854743,3.86661106254679,3.47335326126634,3.53576599131854,2.95602319154257,4.74085800739631,5.12856797293594,3.22578883837923,3.62940350942604,4.12728877060575,2.0013951648072,3.94256701924048
"EcMero2_Rup_APECO78_09705_0.92_1",2.70537997697828,1.22684398134009,4.02809830868466,1.98537688388192,2.33022220978708,0.700698234453812,4.37172318991882,2.84847760415405,0.857152941543841,4.06887197678829,2.3539708497823,3.34335003863461,1.65009140591199,2.78523519293339,3.43986101894112,1.64447272511724,3.06119261951365,3.36356665568358,2.04199808053739,-1.18274542384504,4.04869454598559,1.2421823336945,-0.101577197888029,1.67693187950863,1.94479822568094,1.76775160849604,3.25261218918211
"EcMero2_Rup_APECO78_09710_0.92_1",4.59202756077361,2.77075029851887,5.42948195522378,3.42487685812266,3.78797382070303,2.85394282319702,6.23912693091459,5.1652971229551,3.66207933279267,4.82880479525004,3.1474339587537,3.67983400098159,3.48729946249163,3.25473886909954,5.17515890568958,2.68531830243109,3.8720476693303,4.5820724702738,4.2454103375455,-0.9106655067697,4.52869495012764,2.29399692600349,1.49496018211969,1.94995037391505,4.60711151097177,3.33098792174563,3.87175030984946
"EcMero2_Rup_APECO78_12545_0.97_0.95",5.75329771507503,5.48255135979284,6.95127953642812,7.66190216450073,6.77280461205683,4.60567181406677,7.14581339283557,5.90499030341141,4.18009558775907,6.96852113503037,5.25278005578678,6.39672948906173,4.66570050498751,7.95460771735306,5.75550393379811,4.03780326994325,4.57471518748882,4.33364719936396,2.43038385299151,3.75701871725994,5.69199940867354,5.90715881505996,4.94829031535292,6.3563071606767,4.22575149737314,3.53285005426059,6.52151801979916
"EcMero2_Rup_APECO78_21920_0.92_1",3.2333409125931,3.47276582708871,2.12403335856508,3.34545109494353,3.3731154255196,3.13393753158565,2.5133953853229,3.03115695149322,2.62998478990659,2.57469897493824,2.00351726208358,2.59607106556557,2.86668572899167,1.46493512750552,1.97038065764071,2.95289724631152,2.15078516728664,3.29242298235779,2.38834617490827,2.74371291842765,0.621212428097955,3.06788641196311,2.72629536053767,2.68254302841282,3.07597038825574,2.0349504532801,2.57898625351424
"EcMero2_Rup_APECO78_22510_0.92_1",2.65076096535098,4.38995669242242,3.94156485755076,3.11635543679861,2.80179426403553,2.34653793660852,3.54680208467996,2.70954682413211,1.97335849187427,2.48952124531159,2.39236443712219,2.25190621929325,3.21320172198186,4.77762361944813,4.49986483622375,2.52522493505027,2.25778311165122,2.54713301349758,2.01478621390636,1.87916454927994,2.47241699622874,2.33760856991149,1.74003759654085,3.72003290454385,2.5964933814781,1.98545362093818,2.15988742918079
