"","MGHBC4_cip","MGHBC15_cip","MGHBC19_cip","MGHBC23_cip","MGHBC25_cip","MGHBC34_cip","MGHBC35_cip","MGHBC29_cip","MGHBC32_cip","MGHBC26_cip","MGHBC47_cip","MGHBC50_cip","MGHBC48_cip","MGHBC61_cip","MGHBC62_cip","MGHBC17kp_cip"
"KpCip4_R01up_KPHS_33810_0.97",3.24074563799913,3.35969862279056,1.34551530786636,3.03227899945166,0.340238362930997,2.42023471629475,3.91342123578201,2.79898325261463,1.24281975773728,3.04833183149642,3.366881086978,3.58611565587522,-0.296295035570359,3.8414861980508,3.69529130991068,3.02132153653396
"KpCip4_R02up_KPHS_02830_0.97",1.15440963791043,1.92170378956747,0.617567057426645,1.63072641596881,0.199223703986276,0.697609909717317,0.419646925266233,1.17108793943532,1.57956794370735,1.57064269210204,1.54691561490048,1.34737920116814,0.045056720614189,1.48039082611409,1.57085706761346,1.48654566713357
"KpCip4_R03up_KPHS_41020_0.92",3.12258962980388,4.20300230262975,2.10359443757001,4.14019307214965,0.290551825040521,2.70430214318618,4.56036241003204,3.58453918782222,1.01040384811448,3.0595216669308,3.4076578272237,4.0958340872128,-0.534140327458228,3.48627858441877,3.62365612115231,3.04837840834203
"KpCip4_R04dn_KPHS_18380_0.97",-1.34329647692738,-0.716341204127574,-0.621040468205273,-1.12619201943508,0.71913905696141,-0.347285677659617,-0.986078652134505,-0.725801515220606,-0.600828943483028,-1.81958007623678,-1.37645608744138,-2.23087305712865,0.609131550618685,0.29680161250419,-1.37181589291067,-1.1062392162364
"KpCip4_R05up_KPHS_37080_0.97",1.78571663936988,2.49813650765718,0.74539734461252,2.457259228327,0.0672441402981924,0.424489728309132,1.24466092441882,2.50837861037167,2.93317243955,3.07044093971131,2.19174506071054,2.87388032569328,0.0536324365518136,2.65289733074328,2.27677157451086,1.90433002547379
"KpCip4_R06up_KPHS_41010_0.95",2.14659401516445,1.88827818431952,1.07777175550062,2.52681441904488,0.124504031511885,1.61297075149988,2.63991835415073,1.70242218814744,1.18171680295154,1.59288954143756,2.57506934823424,2.08233810459621,1.87638745190316,1.0666500074584,1.927919995429,1.66675439684638
"KpCip4_R07up_KPHS_02820_0.97",2.17170845362967,2.35711926657278,1.66297577209091,1.75702210890199,0.132443943183501,1.6841287930509,2.44437478417741,2.16507120858352,1.1704536245447,2.18013857935583,1.98620864941697,2.335843822759,-0.216839049606266,1.30580256963004,2.31372188237674,1.46086444280783
"KpCip4_R08up_KPHS_03450_0.92",2.02868062835444,2.59917482391476,0.902893661636215,2.04395300565276,0.246848093369422,1.40170268290706,2.28515359097227,3.18241512926706,1.70472857339129,2.37447784952057,2.63294445684882,3.12703976803989,0.0675191250365744,1.11010484628829,2.60384297267418,3.11625556467888
"KpCip4_R09up_KPHS_53000_0.97",1.94828051228641,1.16391262693294,1.10367546432449,2.36217823720925,-0.578659062665874,0.400510865374692,1.82231411784812,2.66394804033281,1.88006110309044,1.65977551693006,2.7177016134946,1.72571672163637,3.21083627382948,1.51010395598527,1.83748652898534,1.84455308691941
"KpCip4_R10up_KPHS_37090_0.97",1.45757948477316,0.181636342960105,0.136529527173061,1.27130908049807,0.0636307793881398,0.118545797192327,0.483215630805847,1.6834398723484,1.83002042059085,1.29990204355404,1.17550684316238,1.32296514024596,-0.075564468525821,0.765692575804298,1.42331838498492,0.315794007846336
