"","MGHBC11_levo","MGHBC12_levo","MGHBC13_levo","MGHBC14_levo","MGHBC16_levo","MGHBC17ec_levo","MGHBC18_levo","MGHBC21_levo","MGHBC27_levo","MGHBC28_levo","MGHBC33_levo","MGHBC38_levo","MGHBC41_levo","MGHBC44_levo","MGHBC5_levo","MGHBC51_levo","MGHBC52_levo","MGHBC53_levo","MGHBC55_levo","MGHBC56_levo","MGHBC57_levo","MGHBC58_levo","MGHBC6_levo","MGHBC60_levo","MGHBC63_levo","MGHBC64_levo","MGHBC8_levo"
"EcCip3_Rdn_b3771_0.92",0.842168432642875,1.55400737128198,1.35486213220704,0.283550207457046,0.52548773256607,-1.14995819175697,0.752036296660612,1.73936764429854,1.49351543930482,2.18986279756653,1.65086539832501,1.42192353187955,1.33392270133046,0.737095982668534,0.746199715036206,-0.391496397074547,1.27560657353899,1.69277721763508,0.710417446538518,-0.833192895972247,0.16945181574283,-1.25143815439207,0.027029821386954,0.262277326986611,0.129714314885422,0.141302106993981,2.15715747135645
"EcCip3_Rup_b0958_0.97",4.69960070413657,0.771195043945058,2.2288091536819,0.207585094016243,-0.465546759300303,0.933201305390242,-0.601826767983685,3.44030226657844,2.30919181452377,1.69343035720557,3.52903991198781,5.12939370188529,4.83178879570196,5.25618709951449,3.90906132395595,-1.36697407794048,4.95367679470712,2.20681612492082,3.49427189344186,2.48263735073062,4.89741877169554,0.227102287192929,1.69886977278808,2.64265331411564,3.37095442184311,2.46719910408429,2.08059303502296
"EcCip3_Rup_b1061_0.95",4.7168948372119,0.0870848072699114,1.36605271116549,-1.05958597585471,-0.00836759239438378,2.05683419240892,-0.0803062299707713,3.19448522869349,3.40696354846633,1.29914064697011,3.23701189176004,4.8207617806894,4.45156986214465,4.63228834324951,5.06625296230313,0.550682948537111,4.72424687198087,2.22298480640681,3.57641275485839,3.09107077703682,4.82205694854356,-1.1670459671017,2.74477826130404,2.70481937627143,3.17416230161012,2.74515594652741,2.19430482264614
"EcCip3_Rup_b1183_0.92",4.11902091464889,1.52484494663666,1.67883582738299,0.789317482911463,1.27552323319864,0.276306562945132,0.550402435490962,3.28212327832873,2.63910477484242,1.24820741300262,0.922287589651522,4.60679167227845,3.48460635273112,3.82376733784881,2.51950715626613,-0.73411688711501,4.05002422687311,0.751850894841948,0.925207624918674,2.33824264350311,2.68026961684009,-1.51992699031797,2.58541172300479,1.535552186572,0.278002348831805,2.20859694456576,2.90092676545867
"EcCip3_Rup_b1848_0.92",3.88266112054889,-0.149802985358893,1.04930086725364,-0.950740340955381,-0.461896161902086,1.86218977895361,-0.281687561781442,3.25739771068428,3.17642360967711,0.323610417418312,3.46111592223956,4.49830347620023,4.76726433010592,4.97560342831437,5.51850992456755,0.227013823098022,4.93786118475468,1.9306088674187,4.04150238283104,3.27000982547052,5.3575877771786,-0.12095505831991,2.44628749692277,2.96115187541532,3.30539172172477,3.04626207102239,1.42898056204071
"EcCip3_Rup_b2616_0.95",1.92787712412286,1.68747953631245,1.99527077198497,-0.0616527399575747,0.196871881500849,-0.805662283841149,-0.346766618413883,1.11593099576275,2.41447685437883,1.38210350353394,1.49260331440828,3.63896955949459,3.28286773885276,2.98612807609044,3.6064743229831,-0.45068478432971,2.29789482011358,0.441112195427833,1.65234619087225,2.94806748005429,3.5066466672835,-1.64701968005361,2.58022527628946,1.64155008316727,2.5097934681705,2.62249194127775,2.36164433046985
"EcCip3_Rup_b2699_0.97",4.90841162783296,-0.173758207024122,3.77544343808772,-0.841524133446717,-0.0629365608661541,3.59717476183217,-0.249709996812964,4.60693457342169,4.09949990957322,2.27361226470394,5.35244909785423,5.38278265525304,5.41582182241562,5.86008423920562,4.57521940138388,0.36010004142391,5.25131044321233,3.20932048331471,4.22549857913258,2.97115987700687,5.28601779461826,0.119456789643567,2.77079777037967,2.84765339669127,4.9320313245815,3.3397634223563,3.25957242980722
"EcCip3_Rup_b3645_0.92_0.95",2.93696099143953,1.25842221073281,1.25066324675386,0.328686924936137,0.663628404690486,-0.831988110438287,1.71878527212487,1.93062789316152,2.4470025430049,1.24675165063906,2.84100362065683,-0.60467769889157,0.143108288962483,3.77559455373269,1.60992245148835,-0.573974448859943,3.17615152690967,0.954666485803998,0.0489943247543795,2.47773113386837,3.76812895350456,-0.334533770155535,1.27757328303755,2.22474600316332,-0.314404964050515,2.36053833577674,2.00071327075429
"EcCip3_Rup_b3832_0.92",0.672492002604606,0.53560963110982,1.65346910722456,-0.47125262942433,0.38271247929299,0.946410202715265,0.408383430618534,1.39156543837618,1.32522022277817,0.25683341801822,2.01914912890411,3.21602085331711,2.40722683330819,1.60049485985552,0.83192958906209,1.00597801997135,2.02792550450364,1.97545675320568,1.18599982721218,1.87206661862493,2.44691200179056,-0.392910580344953,1.51600571563827,2.3496003518836,1.54760940858909,1.70359169121182,1.65428679787555
"EcCip3_Rup_b4043_0.97",1.84977392703632,-0.37702442259553,1.05436313147517,-1.26204654054778,-0.97721049229716,2.66312854173723,-0.660946350426802,2.01115065829434,1.36952224151606,-0.0792046578520236,2.22336797022432,2.22033907456394,2.16349397687818,2.04509838220938,2.31261181938558,-0.0676056085670032,3.44483809964652,1.84182809616353,2.69675323247609,2.24915652330558,2.77966211432959,-0.451804269398522,1.82283548515955,2.6733339453601,2.37744527140767,2.29441935089651,0.747473745722383
