"","MGHBC4_cz","MGHBC15_cz","MGHBC19_cz","MGHBC23_cz","MGHBC25_cz","MGHBC34_cz","MGHBC35_cz","MGHBC29_cz","MGHBC32_cz","MGHBC26_cz","MGHBC47_cz","MGHBC50_cz","MGHBC48_cz","MGHBC61_cz","MGHBC62_cz","MGHBC17kp_cz"
"KpMero4_R01up_KPN_01226_0.97",2.04480990679336,-0.00613702788540378,0.961586089704839,-0.00803246437365159,0.03326393491651,-0.254151999233916,0.746458216071509,1.00044309384719,0.43114151718095,0.443278714813777,0.424345059561104,0.369328363306768,-0.143984511658695,0.914377609708782,0.40519173739112,2.22627544515415
"KpMero4_R02up_KPN_01107_0.97",1.0876663405326,-0.0413916002952888,1.29171557575457,0.73456587399875,-0.299419750749135,-0.073187865461268,0.380373902392493,1.14771867009591,0.193330549186547,0.888805696521655,1.66948430734632,1.06756734860589,-0.279924258021902,1.50662924284128,1.63949533297244,1.67743953326645
"KpMero4_R03up_KPN_02345_0.95",1.11158842514944,-0.186423540982957,1.27658450927477,1.47066472434742,-0.10934984564741,-0.212656524256616,1.27055328128427,1.92562188827219,0.791614008251334,2.70815431945454,1.5780536937918,1.90726003185277,-0.0440164178368275,1.31491260337423,1.83052858102519,1.4484070673552
"KpMero4_R04up_KPN_02742_0.97",0.822095614227861,0.17267842836735,2.44421292532467,1.97929698394306,0.137156095237394,0.0422450189919614,0.645788175777171,1.42268474624168,1.33024153047023,1.47070674920995,1.0072207254623,1.22014839181591,-0.176036969634201,1.62627295685347,2.9661201287826,1.30291071270905
"KpMero4_R05dn_KPN_02241_0.92",-1.71532116320999,NA,NA,-0.412880098521286,NA,0.0976513710465159,-2.17111538417588,NA,NA,NA,-2.59864999184926,-0.423496740621241,-0.111702327882078,NA,-0.19415233294293,-1.16925038762466
"KpMero4_R06up_KPN_03358_0.92",0.994178193954256,-0.200182679947628,0.955655252240044,0.750573406667791,-0.468441381138244,0.0128648819618761,0.138350675089325,0.804636624336866,0.481383727257294,0.86198527636764,1.09792038175035,0.232123638299468,-0.121025440411169,0.76827640760142,1.00718329455758,1.24764327918463
"KpMero4_R07up_KPN_03934_0.92",-0.558043288693326,0.0287041762405436,-0.775671475923677,-0.878636034293056,-0.436282059997303,0.0700301580151685,-0.389819981305626,-1.40938476596948,-0.577791117769047,-0.956921573699728,-0.346502504198583,-0.575068913692538,-0.0507785263686964,-0.509958184361535,-0.199635633664056,-0.925561849877715
"KpMero4_R08dn_KPN_00868_0.92",-1.12445141407234,-0.193997468237762,NA,-2.33041793832931,NA,0.221849862542232,-0.862583600104644,NA,NA,-2.5331187467514,-4.07926285569519,-2.91842587017129,-0.619270580714708,0.0449012098517178,-3.00531454099473,-0.911561361989035
"KpMero4_R09up_KPN_02342_0.97",1.09159289102488,-0.095743070450916,1.71198316783422,0.985953697261769,-0.561623289509883,0.118707003159936,0.473662321466309,0.791398668660322,-0.00968869209619891,0.722474005976272,1.28094992338248,1.28985980026613,-0.11956743068778,0.794888960447917,1.36539857987975,1.55227607638281
"KpMero4_R10up_KPN_00833_0.97",0.746140304222516,0.105913181304798,1.5573810297666,0.651712251433011,-0.0940030753272456,0.203403468519959,0.547294733705033,0.406615627390778,0.849131240076602,2.5163097520095,0.989773397636354,1.14525992370182,-0.0325660561800992,1.19815399977453,0.709656100437014,2.13814847075638
