"","MGHBC4_gent","MGHBC15_gent","MGHBC19_gent","MGHBC23_gent","MGHBC25_gent","MGHBC34_gent","MGHBC35_gent","MGHBC29_gent","MGHBC32_gent","MGHBC26_gent","MGHBC47_gent","MGHBC50_gent","MGHBC48_gent","MGHBC61_gent","MGHBC62_gent","MGHBC17kp_gent"
"KpGent2_Rdn_KP1_3311_0.97",-0.583493843570915,-0.695493857158913,-3.39268665839093,-2.73940352815391,-1.23955814272828,-0.91024015800867,-2.21537671947538,-1.97293587053804,-3.88033609565019,-0.906058081466082,-1.48515991021011,-0.580860867285767,-1.72969648484568,-1.04968578734154,-2.18202583231778,-0.7189878959778
"KpGent2_Rdn_KP1_3910_0.95",-2.0028048899918,-1.7155203208871,0.0685427634076825,-0.595140096681909,0.00467428504538745,-1.17070062017864,-1.9087418874478,-0.94217209709082,-1.0370021317718,-1.7079739925282,-2.35035019771709,-2.23400851723818,-2.37457768002117,-2.16699505545218,-2.10638553964549,-2.50583216491293
"KpGent2_Rdn_KP1_3919_0.92",-1.07312681885596,-1.8961565624054,-2.35598335008687,-2.22674715133602,-0.435438148923963,-1.56628575679131,-2.01336579813695,-2.32745230277135,-2.92410287940479,-3.39905591040744,-2.07589596457079,-3.94880647413789,-1.74716303767574,-2.81558760054754,-3.08669143534255,-1.50862537980461
"KpGent2_Rup_KP1_0325_0.92",3.20918463312634,5.36854666378902,4.2438249750195,6.36191442069662,-0.194909974131204,3.75564233809605,3.88471540585583,5.20861893904485,5.44721938119498,5.53630776811062,6.11236154058521,6.4082476819199,5.83894371057354,5.88013403162751,4.57822485461278,4.51828771544971
"KpGent2_Rup_KP1_0837_0.95",2.441045554528,5.99242011412974,6.42402641690009,6.85980964925354,0.394147574381249,3.36646282493033,5.17154930145002,6.34730814827314,4.54677902865165,6.87397244388294,4.60717074484724,7.13535605305195,5.06540157594996,6.31252986198361,4.93395786045961,4.55381078151447
"KpGent2_Rup_KP1_0838_0.92",2.58985789590171,6.61394363389177,7.28759726421788,6.74072783982302,-0.178407735184894,2.29921320762028,6.80262702842869,5.45684424550659,2.50116007190848,6.88165896838986,3.87438361757245,6.19323173870823,4.38900733177552,7.23258111400226,3.94916923517662,4.54940739512454
"KpGent2_Rup_KP1_2658_0.92",2.15571542013086,1.77219663784013,3.77992615204736,4.13193429578334,-0.453401712634317,1.05169180115781,0.761594727753164,1.70165483868591,4.80367199145754,1.8942407542095,4.32978272139617,4.73277801939701,3.27749901655852,4.15673686338297,3.23708988445095,1.44654981485433
"KpGent2_Rup_KP1_3472_0.95",2.23341538519994,4.01877032730861,4.75693661714482,4.16825725185019,0.357433502867314,2.90149320455951,2.43496739264324,2.64523828648806,3.46661777628518,2.84551051611606,2.39079400137955,2.94500387464067,3.23195823264834,2.9852102785005,2.60847602027173,2.20010773160525
"KpGent2_Rup_KP1_5467_0.97",4.10119814575628,6.75697629160538,5.70355105126388,5.85747783636467,-0.321617315919221,5.16518085697041,5.06289665884324,3.9099874665636,3.44018217419312,5.17559331972155,5.71345842725683,5.1178296848211,4.80564338527984,4.766327062526,3.18733869768879,3.61629211572768
"KpGent2_Rup_KP1_5468_0.95",2.97186526761305,5.46288979123864,5.91258204146999,4.96193588974763,-0.500239641538394,4.32944861770613,4.51591540620357,3.25629243629945,4.13489978355088,4.4076279412847,4.95888712758666,6.01010622002788,5.62210254941378,3.89355756361849,3.5130742146118,3.28595868633671
