"","MGHBC4_tzp","MGHBC15_tzp","MGHBC19_tzp","MGHBC23_tzp","MGHBC25_tzp","MGHBC34_tzp","MGHBC35_tzp","MGHBC29_tzp","MGHBC32_tzp","MGHBC26_tzp","MGHBC47_tzp","MGHBC50_tzp","MGHBC48_tzp","MGHBC61_tzp","MGHBC62_tzp","MGHBC17kp_tzp"
"KpMero4_R01up_KPN_01226_0.97",0.412478569577858,0.828230971080438,0.898265789203499,0.794163383312902,0.517712063055269,0.16837388088819,0.29768539555883,0.601162692227209,1.3426606920543,0.120480465532968,0.908814100724258,0.70390537529937,0.149128384841243,0.625516935348274,0.841367476015742,0.963236237556238
"KpMero4_R02up_KPN_01107_0.97",0.22687209731171,0.184530066097232,0.623148561424783,1.0596909667002,-0.439893465582415,0.38838398348486,0.0449635875577151,0.803129437727497,0.263452133130373,1.03257886817056,1.25671618983029,0.588150037103736,-0.289046742078906,1.37658715599449,1.53099226200389,1.49960136518846
"KpMero4_R03up_KPN_02345_0.95",0.771780635629739,1.22118811085333,0.873654654816856,1.65897354906504,0.487777040972546,0.501105057936213,0.723319067079541,1.71406043488147,0.861990706170978,2.37638799382074,1.64326646637547,1.97468953696585,-0.0892364323833154,1.19264334217443,2.01994022812752,1.62394539994563
"KpMero4_R04up_KPN_02742_0.97",0.36165498794171,0.433167472007716,2.1980072203337,1.85821989811804,1.7707739961685,0.730621640900518,0.711648471209681,1.1269875511349,0.971776274782408,0.912429446689593,0.775151316341762,1.16054497292662,0.0580193462911766,1.27747724975405,2.75343659418392,1.30964878128048
"KpMero4_R05dn_KPN_02241_0.92",-1.24893395537776,NA,NA,-0.412880098521286,NA,-1.13323099638677,-0.863769003669213,NA,NA,NA,-2.39377747761126,-0.42349674062124,0.608813524664145,NA,0.273195371573088,-1.19974360430365
"KpMero4_R06up_KPN_03358_0.92",0.387644332103413,0.310370807338967,0.200739485627312,0.643629189749017,-0.527255371287477,0.396575980181791,0.0146875352545298,0.0497459317948693,0.145564604558385,0.341460070862565,0.435120157353877,-0.242713996375632,-0.197118025638164,0.345481946041931,0.644081575422778,0.67685299700876
"KpMero4_R07up_KPN_03934_0.92",-0.454012233716709,-0.592347814982549,-0.740225373000635,-0.830257068530759,-1.45708865617564,0.268541168001181,-0.271976267189166,-1.30728508327568,-1.11426234026037,-1.13466168326187,-0.6526119299146,-0.864088987033473,-0.321657878184029,-0.438747227010156,-0.578987713097337,-0.799238706864085
"KpMero4_R08dn_KPN_00868_0.92",-0.725702305723517,-1.09917688634018,NA,-2.33041793832931,NA,-0.532483272927997,0.157417117461928,NA,NA,-2.76106174301453,-4.07926285569519,-2.91842587017129,0.101120605202497,0.759705872192585,-2.68842676344627,-2.18686711689276
"KpMero4_R09up_KPN_02342_0.97",1.01073907699307,0.160703942149952,1.66988175365561,1.0749063364799,-0.523107238330683,1.05262102498663,0.434073995090236,0.827698856154724,-0.126585199386936,0.568208814510501,1.05381411436481,1.39500174960392,-0.18480095052522,0.701488954573466,1.39689441977428,1.65166870044464
"KpMero4_R10up_KPN_00833_0.97",0.567501609255335,1.22554576729452,1.15561040915904,0.554700399378206,0.037042488647098,0.334310679241276,0.449725774236305,0.143686340000018,0.895941046968939,1.55758035370987,0.990162215092556,1.02078811531268,0.307432471912075,0.993827238727282,0.809726533719427,1.51592944887796
