,tag,Strain,time,drug,value,S_I_R,MIC,exp,S_I_R2,n_strains,use,subset_of_strains_used,num_of_mic_used,comment
23,EcMero2_Rup_APECO78_05395_0.92_1,RB420,120m,amp,-0.708439164,R,512,EcAmp,R,6,,,,
24,EcMero2_Rup_APECO78_05395_0.92_1,RB559,NA,amp,-0.338490248,R,512,EcAmp,R,6,,,,
25,EcMero2_Rup_APECO78_05500_0.97_1,RB001,120m,amp,1.195540825,S,8,EcAmp,S,2,,,,
26,EcMero2_Rup_APECO78_05500_0.97_1,RB081,NA,amp,1.545353107,S,8,EcAmp,S,2,,,,
27,EcMero2_Rup_APECO78_05500_0.97_1,RB808,120m,amp,-0.001630219,R,512,EcAmp,R,6,,,,
28,EcMero2_Rup_APECO78_05500_0.97_1,RB115,120m,amp,0.057658944,R,512,EcAmp,R,6,,,,
29,EcMero2_Rup_APECO78_05500_0.97_1,RB054,120m,amp,0.099675457,R,512,EcAmp,R,6,,,,
30,EcMero2_Rup_APECO78_05500_0.97_1,RB602,120m,amp,0.034344496,R,512,EcAmp,R,6,,,,
31,EcMero2_Rup_APECO78_05500_0.97_1,RB420,120m,amp,-0.279495273,R,512,EcAmp,R,6,,,,
32,EcMero2_Rup_APECO78_05500_0.97_1,RB559,NA,amp,-0.734847557,R,512,EcAmp,R,6,,,,
33,EcMero2_Rup_APECO78_09510_0.97_1,RB001,120m,amp,0.862255817,S,8,EcAmp,S,2,,,,
34,EcMero2_Rup_APECO78_09510_0.97_1,RB081,NA,amp,1.796829115,S,8,EcAmp,S,2,,,,
35,EcMero2_Rup_APECO78_09510_0.97_1,RB808,120m,amp,-0.748345304,R,512,EcAmp,R,6,,,,
36,EcMero2_Rup_APECO78_09510_0.97_1,RB115,120m,amp,-0.185995676,R,512,EcAmp,R,6,,,,
37,EcMero2_Rup_APECO78_09510_0.97_1,RB054,120m,amp,0.063286736,R,512,EcAmp,R,6,,,,
38,EcMero2_Rup_APECO78_09510_0.97_1,RB602,120m,amp,-0.35690873,R,512,EcAmp,R,6,,,,
39,EcMero2_Rup_APECO78_09510_0.97_1,RB420,120m,amp,-0.223286317,R,512,EcAmp,R,6,,,,
40,EcMero2_Rup_APECO78_09510_0.97_1,RB559,NA,amp,-0.577634652,R,512,EcAmp,R,6,,,,
41,EcMero2_Rup_APECO78_09705_0.92_1,RB001,120m,amp,0.459368084,S,8,EcAmp,S,2,,,,
42,EcMero2_Rup_APECO78_09705_0.92_1,RB081,NA,amp,0.240914135,S,8,EcAmp,S,2,,,,
43,EcMero2_Rup_APECO78_09705_0.92_1,RB808,120m,amp,-0.156778316,R,512,EcAmp,R,6,,,,
44,EcMero2_Rup_APECO78_09705_0.92_1,RB115,120m,amp,0.06680583,R,512,EcAmp,R,6,,,,
45,EcMero2_Rup_APECO78_09705_0.92_1,RB054,120m,amp,-0.044338621,R,512,EcAmp,R,6,,,,
46,EcMero2_Rup_APECO78_09705_0.92_1,RB602,120m,amp,-0.137659453,R,512,EcAmp,R,6,,,,
47,EcMero2_Rup_APECO78_09705_0.92_1,RB420,120m,amp,-0.142099455,R,512,EcAmp,R,6,,,,
48,EcMero2_Rup_APECO78_09705_0.92_1,RB559,NA,amp,-0.200666618,R,512,EcAmp,R,6,,,,
49,EcMero2_Rup_APECO78_09710_0.92_1,RB001,120m,amp,0.710792879,S,8,EcAmp,S,2,,,,
50,EcMero2_Rup_APECO78_09710_0.92_1,RB081,NA,amp,0.378573444,S,8,EcAmp,S,2,,,,
51,EcMero2_Rup_APECO78_09710_0.92_1,RB808,120m,amp,0.173074323,R,512,EcAmp,R,6,,,,
52,EcMero2_Rup_APECO78_09710_0.92_1,RB115,120m,amp,0.275757316,R,512,EcAmp,R,6,,,,
53,EcMero2_Rup_APECO78_09710_0.92_1,RB054,120m,amp,0.323847493,R,512,EcAmp,R,6,,,,
54,EcMero2_Rup_APECO78_09710_0.92_1,RB602,120m,amp,0.079384922,R,512,EcAmp,R,6,,,,
55,EcMero2_Rup_APECO78_09710_0.92_1,RB420,120m,amp,0.016723705,R,512,EcAmp,R,6,,,,
56,EcMero2_Rup_APECO78_09710_0.92_1,RB559,NA,amp,0.114504524,R,512,EcAmp,R,6,,,,
57,EcMero2_Rup_APECO78_12545_0.97_0.95,RB001,120m,amp,1.604505266,S,8,EcAmp,S,2,,,,
58,EcMero2_Rup_APECO78_12545_0.97_0.95,RB081,NA,amp,0.65873262,S,8,EcAmp,S,2,,,,
59,EcMero2_Rup_APECO78_12545_0.97_0.95,RB808,120m,amp,-0.178835657,R,512,EcAmp,R,6,,,,
60,EcMero2_Rup_APECO78_12545_0.97_0.95,RB115,120m,amp,-0.279864068,R,512,EcAmp,R,6,,,,
61,EcMero2_Rup_APECO78_12545_0.97_0.95,RB054,120m,amp,0.072499653,R,512,EcAmp,R,6,,,,
62,EcMero2_Rup_APECO78_12545_0.97_0.95,RB602,120m,amp,-0.195425616,R,512,EcAmp,R,6,,,,
63,EcMero2_Rup_APECO78_12545_0.97_0.95,RB420,120m,amp,-0.2977872,R,512,EcAmp,R,6,,,,
64,EcMero2_Rup_APECO78_12545_0.97_0.95,RB559,NA,amp,-0.234255961,R,512,EcAmp,R,6,,,,
65,EcMero2_Rup_APECO78_21920_0.92_1,RB001,120m,amp,1.143394274,S,8,EcAmp,S,2,,,,
66,EcMero2_Rup_APECO78_21920_0.92_1,RB081,NA,amp,0.279831669,S,8,EcAmp,S,2,,,,
67,EcMero2_Rup_APECO78_21920_0.92_1,RB808,120m,amp,0.019737531,R,512,EcAmp,R,6,,,,
68,EcMero2_Rup_APECO78_21920_0.92_1,RB115,120m,amp,-0.237598762,R,512,EcAmp,R,6,,,,
69,EcMero2_Rup_APECO78_21920_0.92_1,RB054,120m,amp,0.423205397,R,512,EcAmp,R,6,,,,
70,EcMero2_Rup_APECO78_21920_0.92_1,RB602,120m,amp,-0.139718385,R,512,EcAmp,R,6,,,,
71,EcMero2_Rup_APECO78_21920_0.92_1,RB420,120m,amp,-0.184955186,R,512,EcAmp,R,6,,,,
72,EcMero2_Rup_APECO78_21920_0.92_1,RB559,NA,amp,-0.222154366,R,512,EcAmp,R,6,,,,
73,EcMero2_Rup_APECO78_22510_0.92_1,RB001,120m,amp,2.057786164,S,8,EcAmp,S,2,,,,
74,EcMero2_Rup_APECO78_22510_0.92_1,RB081,NA,amp,2.221910816,S,8,EcAmp,S,2,,,,
75,EcMero2_Rup_APECO78_22510_0.92_1,RB808,120m,amp,-0.308723297,R,512,EcAmp,R,6,,,,
76,EcMero2_Rup_APECO78_22510_0.92_1,RB115,120m,amp,-0.310828222,R,512,EcAmp,R,6,,,,
77,EcMero2_Rup_APECO78_22510_0.92_1,RB054,120m,amp,0.077346791,R,512,EcAmp,R,6,,,,
78,EcMero2_Rup_APECO78_22510_0.92_1,RB602,120m,amp,-0.292196977,R,512,EcAmp,R,6,,,,
79,EcMero2_Rup_APECO78_22510_0.92_1,RB420,120m,amp,-0.272997275,R,512,EcAmp,R,6,,,,
80,EcMero2_Rup_APECO78_22510_0.92_1,RB559,NA,amp,-0.297250171,R,512,EcAmp,R,6,,,,
81,EcMero2_Rup_APECO78_00325_0.97_1,RB001,120m,aztr,0.349847325,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
82,EcMero2_Rup_APECO78_00325_0.97_1,RB081,NA,aztr,0.806548822,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
83,EcMero2_Rup_APECO78_00325_0.97_1,RB808,120m,aztr,0.945906208,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
84,EcMero2_Rup_APECO78_00325_0.97_1,RB115,120m,aztr,0.334082365,S,4,EcAztr,S,1,,,,
85,EcMero2_Rup_APECO78_00325_0.97_1,RB054,120m,aztr,0.001230845,R,128,EcAztr,R,2,,,,
86,EcMero2_Rup_APECO78_00325_0.97_1,RB602,120m,aztr,-0.074072427,R,128,EcAztr,R,2,,,,
87,EcMero2_Rup_APECO78_00325_0.97_1,RB420,120m,aztr,-0.328351919,R,256,EcAztr,R,2,use,"420, 559",used 2/2,
88,EcMero2_Rup_APECO78_00325_0.97_1,RB559,NA,aztr,-0.631085148,R,256,EcAztr,R,2,use,"420, 559",used 2/2,
89,EcMero2_Rup_APECO78_04245_0.95_1,RB001,120m,aztr,0.731491416,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
90,EcMero2_Rup_APECO78_04245_0.95_1,RB081,NA,aztr,0.481888496,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
91,EcMero2_Rup_APECO78_04245_0.95_1,RB808,120m,aztr,0.525171315,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
92,EcMero2_Rup_APECO78_04245_0.95_1,RB115,120m,aztr,0.308619286,S,4,EcAztr,S,1,,,,
93,EcMero2_Rup_APECO78_04245_0.95_1,RB054,120m,aztr,0.147429979,R,128,EcAztr,R,2,,,,
94,EcMero2_Rup_APECO78_04245_0.95_1,RB602,120m,aztr,-0.261202765,R,128,EcAztr,R,2,,,,
95,EcMero2_Rup_APECO78_04245_0.95_1,RB420,120m,aztr,-0.43890045,R,256,EcAztr,R,2,use,"420, 559",used 2/2,
96,EcMero2_Rup_APECO78_04245_0.95_1,RB559,NA,aztr,-0.638368739,R,256,EcAztr,R,2,use,"420, 559",used 2/2,
97,EcMero2_Rup_APECO78_05395_0.92_1,RB001,120m,aztr,1.658558455,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
98,EcMero2_Rup_APECO78_05395_0.92_1,RB081,NA,aztr,3.648441883,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
99,EcMero2_Rup_APECO78_05395_0.92_1,RB808,120m,aztr,1.129859657,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
100,EcMero2_Rup_APECO78_05395_0.92_1,RB115,120m,aztr,0.236899834,S,4,EcAztr,S,1,,,,
101,EcMero2_Rup_APECO78_05395_0.92_1,RB054,120m,aztr,-0.223929513,R,128,EcAztr,R,2,,,,
102,EcMero2_Rup_APECO78_05395_0.92_1,RB602,120m,aztr,-0.047846133,R,128,EcAztr,R,2,,,,
103,EcMero2_Rup_APECO78_05395_0.92_1,RB420,120m,aztr,-0.518111026,R,256,EcAztr,R,2,use,"420, 559",used 2/2,
104,EcMero2_Rup_APECO78_05395_0.92_1,RB559,NA,aztr,0.437651041,R,256,EcAztr,R,2,use,"420, 559",used 2/2,
105,EcMero2_Rup_APECO78_05500_0.97_1,RB001,120m,aztr,1.499431878,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
106,EcMero2_Rup_APECO78_05500_0.97_1,RB081,NA,aztr,1.755898508,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
107,EcMero2_Rup_APECO78_05500_0.97_1,RB808,120m,aztr,1.656720355,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
108,EcMero2_Rup_APECO78_05500_0.97_1,RB115,120m,aztr,0.973526744,S,4,EcAztr,S,1,,,,
109,EcMero2_Rup_APECO78_05500_0.97_1,RB054,120m,aztr,-0.02279214,R,128,EcAztr,R,2,,,,
110,EcMero2_Rup_APECO78_05500_0.97_1,RB602,120m,aztr,0.418657838,R,128,EcAztr,R,2,,,,
111,EcMero2_Rup_APECO78_05500_0.97_1,RB420,120m,aztr,-0.024643151,R,256,EcAztr,R,2,use,"420, 559",used 2/2,
112,EcMero2_Rup_APECO78_05500_0.97_1,RB559,NA,aztr,-0.112539521,R,256,EcAztr,R,2,use,"420, 559",used 2/2,
113,EcMero2_Rup_APECO78_09510_0.97_1,RB001,120m,aztr,1.179845738,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
114,EcMero2_Rup_APECO78_09510_0.97_1,RB081,NA,aztr,3.916082659,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
115,EcMero2_Rup_APECO78_09510_0.97_1,RB808,120m,aztr,0.577815,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
116,EcMero2_Rup_APECO78_09510_0.97_1,RB115,120m,aztr,0.518792713,S,4,EcAztr,S,1,,,,
117,EcMero2_Rup_APECO78_09510_0.97_1,RB054,120m,aztr,0.138981695,R,128,EcAztr,R,2,,,,
118,EcMero2_Rup_APECO78_09510_0.97_1,RB602,120m,aztr,0.147963758,R,128,EcAztr,R,2,,,,
119,EcMero2_Rup_APECO78_09510_0.97_1,RB420,120m,aztr,0.29219586,R,256,EcAztr,R,2,use,"420, 559",used 2/2,
120,EcMero2_Rup_APECO78_09510_0.97_1,RB559,NA,aztr,-0.281681786,R,256,EcAztr,R,2,use,"420, 559",used 2/2,
121,EcMero2_Rup_APECO78_09705_0.92_1,RB001,120m,aztr,0.674082727,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
122,EcMero2_Rup_APECO78_09705_0.92_1,RB081,NA,aztr,1.283242073,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
123,EcMero2_Rup_APECO78_09705_0.92_1,RB808,120m,aztr,1.611779836,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
124,EcMero2_Rup_APECO78_09705_0.92_1,RB115,120m,aztr,0.664504617,S,4,EcAztr,S,1,,,,
125,EcMero2_Rup_APECO78_09705_0.92_1,RB054,120m,aztr,0.971612687,R,128,EcAztr,R,2,,,,
126,EcMero2_Rup_APECO78_09705_0.92_1,RB602,120m,aztr,0.031488145,R,128,EcAztr,R,2,,,,
127,EcMero2_Rup_APECO78_09705_0.92_1,RB420,120m,aztr,0.023663745,R,256,EcAztr,R,2,use,"420, 559",used 2/2,
128,EcMero2_Rup_APECO78_09705_0.92_1,RB559,NA,aztr,-0.055403489,R,256,EcAztr,R,2,use,"420, 559",used 2/2,
129,EcMero2_Rup_APECO78_09710_0.92_1,RB001,120m,aztr,0.571647434,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
130,EcMero2_Rup_APECO78_09710_0.92_1,RB081,NA,aztr,1.49721513,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
131,EcMero2_Rup_APECO78_09710_0.92_1,RB808,120m,aztr,1.604730669,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
132,EcMero2_Rup_APECO78_09710_0.92_1,RB115,120m,aztr,0.58152286,S,4,EcAztr,S,1,,,,
133,EcMero2_Rup_APECO78_09710_0.92_1,RB054,120m,aztr,1.008710332,R,128,EcAztr,R,2,,,,
134,EcMero2_Rup_APECO78_09710_0.92_1,RB602,120m,aztr,0.081041694,R,128,EcAztr,R,2,,,,
135,EcMero2_Rup_APECO78_09710_0.92_1,RB420,120m,aztr,-0.0084438,R,256,EcAztr,R,2,use,"420, 559",used 2/2,
136,EcMero2_Rup_APECO78_09710_0.92_1,RB559,NA,aztr,0.142742142,R,256,EcAztr,R,2,use,"420, 559",used 2/2,
137,EcMero2_Rup_APECO78_12545_0.97_0.95,RB001,120m,aztr,0.777337794,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
138,EcMero2_Rup_APECO78_12545_0.97_0.95,RB081,NA,aztr,1.248883254,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
139,EcMero2_Rup_APECO78_12545_0.97_0.95,RB808,120m,aztr,0.740582196,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
140,EcMero2_Rup_APECO78_12545_0.97_0.95,RB115,120m,aztr,0.464422897,S,4,EcAztr,S,1,,,,
141,EcMero2_Rup_APECO78_12545_0.97_0.95,RB054,120m,aztr,0.336217542,R,128,EcAztr,R,2,,,,
142,EcMero2_Rup_APECO78_12545_0.97_0.95,RB602,120m,aztr,0.127385485,R,128,EcAztr,R,2,,,,
143,EcMero2_Rup_APECO78_12545_0.97_0.95,RB420,120m,aztr,-0.166648727,R,256,EcAztr,R,2,use,"420, 559",used 2/2,
144,EcMero2_Rup_APECO78_12545_0.97_0.95,RB559,NA,aztr,0.103217208,R,256,EcAztr,R,2,use,"420, 559",used 2/2,
145,EcMero2_Rup_APECO78_21920_0.92_1,RB001,120m,aztr,0.908063859,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
146,EcMero2_Rup_APECO78_21920_0.92_1,RB081,NA,aztr,1.39291249,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
147,EcMero2_Rup_APECO78_21920_0.92_1,RB808,120m,aztr,0.535813204,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
148,EcMero2_Rup_APECO78_21920_0.92_1,RB115,120m,aztr,0.310105734,S,4,EcAztr,S,1,,,,
149,EcMero2_Rup_APECO78_21920_0.92_1,RB054,120m,aztr,0.160756495,R,128,EcAztr,R,2,,,,
150,EcMero2_Rup_APECO78_21920_0.92_1,RB602,120m,aztr,0.067862408,R,128,EcAztr,R,2,,,,
151,EcMero2_Rup_APECO78_21920_0.92_1,RB420,120m,aztr,0.606079743,R,256,EcAztr,R,2,use,"420, 559",used 2/2,
152,EcMero2_Rup_APECO78_21920_0.92_1,RB559,NA,aztr,0.308209814,R,256,EcAztr,R,2,use,"420, 559",used 2/2,
153,EcMero2_Rup_APECO78_22510_0.92_1,RB001,120m,aztr,2.103242851,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
154,EcMero2_Rup_APECO78_22510_0.92_1,RB081,NA,aztr,2.145010984,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
155,EcMero2_Rup_APECO78_22510_0.92_1,RB808,120m,aztr,2.264007104,S,0.12,EcAztr,S,3,use,"001, 081",used 2/3,
156,EcMero2_Rup_APECO78_22510_0.92_1,RB115,120m,aztr,1.365878947,S,4,EcAztr,S,1,,,,
157,EcMero2_Rup_APECO78_22510_0.92_1,RB054,120m,aztr,0.004122303,R,128,EcAztr,R,2,,,,
158,EcMero2_Rup_APECO78_22510_0.92_1,RB602,120m,aztr,0.116779948,R,128,EcAztr,R,2,,,,
159,EcMero2_Rup_APECO78_22510_0.92_1,RB420,120m,aztr,-0.036317544,R,256,EcAztr,R,2,use,"420, 559",used 2/2,
160,EcMero2_Rup_APECO78_22510_0.92_1,RB559,NA,aztr,-0.284963966,R,256,EcAztr,R,2,use,"420, 559",used 2/2,
161,EcMero2_Rup_APECO78_00325_0.97_1,RB001,120m,cefaz,1.834897663,S,1,EcCefaz,S,2,use,"001, 081",used 2/2,
162,EcMero2_Rup_APECO78_00325_0.97_1,RB081,NA,cefaz,1.087660045,S,1,EcCefaz,S,2,use,"001, 081",used 2/2,
163,EcMero2_Rup_APECO78_00325_0.97_1,RB808,120m,cefaz,-0.347211825,R,32,EcCefaz,R,1,,,,
164,EcMero2_Rup_APECO78_00325_0.97_1,RB115,120m,cefaz,-0.89261323,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
165,EcMero2_Rup_APECO78_00325_0.97_1,RB054,120m,cefaz,-0.382028189,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
166,EcMero2_Rup_APECO78_00325_0.97_1,RB602,120m,cefaz,-0.487888777,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
167,EcMero2_Rup_APECO78_00325_0.97_1,RB420,120m,cefaz,-0.929731097,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
168,EcMero2_Rup_APECO78_00325_0.97_1,RB559,NA,cefaz,-0.591836441,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
169,EcMero2_Rup_APECO78_04245_0.95_1,RB001,120m,cefaz,1.856832832,S,1,EcCefaz,S,2,use,"001, 081",used 2/2,
170,EcMero2_Rup_APECO78_04245_0.95_1,RB081,NA,cefaz,0.974554205,S,1,EcCefaz,S,2,use,"001, 081",used 2/2,
171,EcMero2_Rup_APECO78_04245_0.95_1,RB808,120m,cefaz,-0.438841514,R,32,EcCefaz,R,1,,,,
172,EcMero2_Rup_APECO78_04245_0.95_1,RB115,120m,cefaz,-0.77218617,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
173,EcMero2_Rup_APECO78_04245_0.95_1,RB054,120m,cefaz,-0.606441073,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
174,EcMero2_Rup_APECO78_04245_0.95_1,RB602,120m,cefaz,-0.681746071,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
175,EcMero2_Rup_APECO78_04245_0.95_1,RB420,120m,cefaz,-0.759057723,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
176,EcMero2_Rup_APECO78_04245_0.95_1,RB559,NA,cefaz,-0.688218007,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
177,EcMero2_Rup_APECO78_05395_0.92_1,RB001,120m,cefaz,1.849195364,S,1,EcCefaz,S,2,use,"001, 081",used 2/2,
178,EcMero2_Rup_APECO78_05395_0.92_1,RB081,NA,cefaz,3.792058783,S,1,EcCefaz,S,2,use,"001, 081",used 2/2,
179,EcMero2_Rup_APECO78_05395_0.92_1,RB808,120m,cefaz,0.022737488,R,32,EcCefaz,R,1,,,,
180,EcMero2_Rup_APECO78_05395_0.92_1,RB115,120m,cefaz,-0.756942943,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
181,EcMero2_Rup_APECO78_05395_0.92_1,RB054,120m,cefaz,0.013249585,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
182,EcMero2_Rup_APECO78_05395_0.92_1,RB602,120m,cefaz,-0.018619281,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
183,EcMero2_Rup_APECO78_05395_0.92_1,RB420,120m,cefaz,-0.163048944,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
184,EcMero2_Rup_APECO78_05395_0.92_1,RB559,NA,cefaz,0.560211582,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
185,EcMero2_Rup_APECO78_05500_0.97_1,RB001,120m,cefaz,1.560428362,S,1,EcCefaz,S,2,use,"001, 081",used 2/2,
186,EcMero2_Rup_APECO78_05500_0.97_1,RB081,NA,cefaz,1.827121937,S,1,EcCefaz,S,2,use,"001, 081",used 2/2,
187,EcMero2_Rup_APECO78_05500_0.97_1,RB808,120m,cefaz,0.106363794,R,32,EcCefaz,R,1,,,,
188,EcMero2_Rup_APECO78_05500_0.97_1,RB115,120m,cefaz,0.085550624,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
189,EcMero2_Rup_APECO78_05500_0.97_1,RB054,120m,cefaz,0.609474542,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
190,EcMero2_Rup_APECO78_05500_0.97_1,RB602,120m,cefaz,0.230997944,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
191,EcMero2_Rup_APECO78_05500_0.97_1,RB420,120m,cefaz,0.378227022,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
192,EcMero2_Rup_APECO78_05500_0.97_1,RB559,NA,cefaz,-0.117634544,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
193,EcMero2_Rup_APECO78_09510_0.97_1,RB001,120m,cefaz,1.653079113,S,1,EcCefaz,S,2,use,"001, 081",used 2/2,
194,EcMero2_Rup_APECO78_09510_0.97_1,RB081,NA,cefaz,3.799824066,S,1,EcCefaz,S,2,use,"001, 081",used 2/2,
195,EcMero2_Rup_APECO78_09510_0.97_1,RB808,120m,cefaz,0.121034884,R,32,EcCefaz,R,1,,,,
196,EcMero2_Rup_APECO78_09510_0.97_1,RB115,120m,cefaz,-0.213855698,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
197,EcMero2_Rup_APECO78_09510_0.97_1,RB054,120m,cefaz,0.138758699,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
198,EcMero2_Rup_APECO78_09510_0.97_1,RB602,120m,cefaz,-0.007008971,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
199,EcMero2_Rup_APECO78_09510_0.97_1,RB420,120m,cefaz,0.091811031,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
200,EcMero2_Rup_APECO78_09510_0.97_1,RB559,NA,cefaz,-0.103855145,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
201,EcMero2_Rup_APECO78_09705_0.92_1,RB001,120m,cefaz,1.535341336,S,1,EcCefaz,S,2,use,"001, 081",used 2/2,
202,EcMero2_Rup_APECO78_09705_0.92_1,RB081,NA,cefaz,1.367370005,S,1,EcCefaz,S,2,use,"001, 081",used 2/2,
203,EcMero2_Rup_APECO78_09705_0.92_1,RB808,120m,cefaz,0.618979619,R,32,EcCefaz,R,1,,,,
204,EcMero2_Rup_APECO78_09705_0.92_1,RB115,120m,cefaz,0.072206694,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
205,EcMero2_Rup_APECO78_09705_0.92_1,RB054,120m,cefaz,0.149727706,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
206,EcMero2_Rup_APECO78_09705_0.92_1,RB602,120m,cefaz,-0.12672463,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
207,EcMero2_Rup_APECO78_09705_0.92_1,RB420,120m,cefaz,-0.246055708,R,256,EcCefaz,R,5,use,"420, 559",used 2/5,
