,tag,Strain,time,drug,value,S_I_R,MIC,exp,S_I_R2,n_strains,use,subset_of_strains_used,num_of_mic_used,comment
1,EcMero2_Rup_APECO78_00325_0.97_1,RB001,120m,amp,1.215049095,S,8,EcAmp,S,2,,,,
2,EcMero2_Rup_APECO78_00325_0.97_1,RB081,NA,amp,1.481382109,S,8,EcAmp,S,2,,,,
3,EcMero2_Rup_APECO78_00325_0.97_1,RB808,120m,amp,-0.326850852,R,512,EcAmp,R,6,,,,
4,EcMero2_Rup_APECO78_00325_0.97_1,RB115,120m,amp,0.243210297,R,512,EcAmp,R,6,,,,
5,EcMero2_Rup_APECO78_00325_0.97_1,RB054,120m,amp,-0.278534185,R,512,EcAmp,R,6,,,,
6,EcMero2_Rup_APECO78_00325_0.97_1,RB602,120m,amp,-0.599389887,R,512,EcAmp,R,6,,,,
7,EcMero2_Rup_APECO78_00325_0.97_1,RB420,120m,amp,-0.796547295,R,512,EcAmp,R,6,,,,
8,EcMero2_Rup_APECO78_00325_0.97_1,RB559,NA,amp,-0.482032991,R,512,EcAmp,R,6,,,,
9,EcMero2_Rup_APECO78_04245_0.95_1,RB001,120m,amp,1.544163662,S,8,EcAmp,S,2,,,,
10,EcMero2_Rup_APECO78_04245_0.95_1,RB081,NA,amp,1.512478166,S,8,EcAmp,S,2,,,,
11,EcMero2_Rup_APECO78_04245_0.95_1,RB808,120m,amp,-0.454149275,R,512,EcAmp,R,6,,,,
12,EcMero2_Rup_APECO78_04245_0.95_1,RB115,120m,amp,-0.477864076,R,512,EcAmp,R,6,,,,
13,EcMero2_Rup_APECO78_04245_0.95_1,RB054,120m,amp,-0.445129391,R,512,EcAmp,R,6,,,,
14,EcMero2_Rup_APECO78_04245_0.95_1,RB602,120m,amp,-0.660615059,R,512,EcAmp,R,6,,,,
15,EcMero2_Rup_APECO78_04245_0.95_1,RB420,120m,amp,-0.809320345,R,512,EcAmp,R,6,,,,
16,EcMero2_Rup_APECO78_04245_0.95_1,RB559,NA,amp,-0.728688202,R,512,EcAmp,R,6,,,,
17,EcMero2_Rup_APECO78_05395_0.92_1,RB001,120m,amp,1.019834301,S,8,EcAmp,S,2,,,,
18,EcMero2_Rup_APECO78_05395_0.92_1,RB081,NA,amp,1.738591172,S,8,EcAmp,S,2,,,,
19,EcMero2_Rup_APECO78_05395_0.92_1,RB808,120m,amp,-0.562079395,R,512,EcAmp,R,6,,,,
20,EcMero2_Rup_APECO78_05395_0.92_1,RB115,120m,amp,-0.562125648,R,512,EcAmp,R,6,,,,
21,EcMero2_Rup_APECO78_05395_0.92_1,RB054,120m,amp,-0.148448254,R,512,EcAmp,R,6,,,,
22,EcMero2_Rup_APECO78_05395_0.92_1,RB602,120m,amp,-0.11508385,R,512,EcAmp,R,6,,,,
